year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1891, 21.2, 12.9, 19.4,,8.8, 16.3, 10.2, 21.1, 25.2, 23.3, 19.1, 18.6, 22.7,, ---,,44.6
1892, 25.8, 19.2, 11.1, 14.8, 19.6, 16.1, 13.1, 24.0, 21.1, 26.2, 17.4, 17.4,,67.6,,45.6,
1893, 21.5, 20.6, 16.3, 12.3, 14.7, 11.9, 18.8, 21.8, 23.5, 26.0, 20.0, 26.2,,59.5,,43.3,
1894, 23.7, 24.4, 15.0,,9.3, 21.2, 14.6, 20.0, 21.8,,7.6, 17.1, 21.2, 22.4,,74.3,
1895, 20.7,,8.6, 22.8, 17.1,,9.9, 16.4, 21.7, 23.4, 15.8, 23.0, 16.9, 20.9,,51.7,
1896, 18.8, 14.0, 24.7, 20.2,,7.8, 19.9, 19.4, 19.4, 20.9, 22.7, 15.9, 22.7,,53.7,,52.8
1897, 14.8, 16.0, 25.9, 13.1, 17.7, 14.5, 14.1, 19.9, 21.2, 15.5, 18.3, 21.4,,53.5,,56.7,
1898, 23.6, 23.9, 22.0, 19.7, 19.0, 15.0, 13.0, 20.8, 18.5, 18.7, 19.4, 28.5,,68.8,,60.7,
1899, 20.8, 12.9, 21.1, 23.9, 11.7, 14.1, 19.1,,8.9, 27.0, 17.7, 25.0, 20.6,,62.2,,56.7
1900, 26.7, 17.1, 15.2, 21.3, 15.7, 16.7, 23.2, 14.8, 19.8, 25.1, 19.3, 27.4,,64.5,,52.3,
1901, 16.7, 18.1, 18.1, 17.6,,9.0, 17.7, 12.9, 20.6, 12.6, 22.1, 19.5, 26.6,,62.2,,44.6
1902, 22.2, 14.0, 23.7, 14.2, 23.7, 14.4, 20.7, 18.4, 17.7, 18.6, 15.7, 19.3,,62.8,,61.6,
1903, 20.4, 23.7, 26.0, 17.7, 15.4, 12.5, 21.2, 25.7, 16.4, 27.1, 23.5, 14.6,,63.5,,59.1,
1904, 20.5, 19.7, 14.5, 24.1, 18.8, 14.0, 13.4, 24.8, 15.9, 18.8, 22.9, 20.1,,54.8,,57.5,
1905, 20.6, 22.7, 25.1, 18.9, 15.7,,8.8, 19.8, 21.5, 19.1, 24.8, 23.3, 19.0,,63.3,,59.6
1906, 23.5, 21.1, 21.8, 16.7, 23.1,,9.9, 17.1, 20.4, 10.8, 23.4, 23.7, 23.9,,63.6,,61.6
1907, 21.2, 19.0, 19.2, 17.8, 17.1, 26.0, 15.8, 26.7, 11.6, 20.4, 19.8, 20.3,,64.1,,54.1,
1908, 21.4, 23.2, 21.0, 15.2, 18.2, 15.2, 14.0, 15.2, 20.8, 11.4, 19.4, 22.0,,64.9,,54.4,
1909, 21.8, 12.1, 19.0, 18.1, 17.6,,9.9, 21.7, 18.3, 13.3, 24.4, 19.1, 19.7,,56.0,,54.6
1910, 22.8, 20.9, 14.8, 21.7, 16.8, 11.4, 13.5, 21.4, 10.7, 13.6, 23.1, 24.0,,63.3,,53.4,
1911, 17.3, 17.9, 15.9, 17.2, 11.8, 14.7, 18.9, 14.5, 19.0, 15.7, 21.3, 24.6,,59.2,,44.9,
1912, 17.8, 16.4, 22.7, 11.7, 14.9, 21.5, 12.1, 20.2,,9.3, 22.0, 23.4, 24.8,,58.8,,49.3
1913, 15.3, 13.3, 23.4, 14.8, 18.1, 16.6,,7.9,,9.4, 12.2, 17.9, 22.9, 20.5,,53.4,
1914, 17.8, 20.3, 23.2, 14.1, 15.4, 13.7, 16.5, 16.3, 15.5, 14.3, 22.9, 21.0,,58.5,,52.8,
1915, 21.1, 20.4, 18.4, 21.4,,9.8,,8.1, 22.3, 19.4, 14.4, 11.8, 17.6, 25.6,,62.5,
1916, 25.1, 21.7, 18.7, 19.3, 20.4, 17.4, 19.4, 14.0, 13.0, 21.1, 21.2, 22.8,,72.4,,58.4,
1917, 15.4, 10.9, 19.6, 21.1, 13.1, 15.5, 12.1, 20.7, 22.6, 28.2, 24.4, 19.1,,49.0,,53.8,
1918, 22.5, 21.9, 10.6,,9.6, 13.6, 15.9, 19.3, 22.8, 24.9, 22.0, 15.3, 24.6,,63.5,,33.8
1919, 21.5, 11.1, 18.5, 21.2,,7.8, 21.9,,6.9, 17.9, 20.8, 20.9, 23.5, 25.3,,57.2,
1920, 24.8, 20.4, 22.2, 20.3, 20.4, 10.7, 23.0, 14.2, 19.4,,8.5, 18.5, 15.1,,70.4,,62.8
1921, 26.1, 11.6, 26.8, 11.3, 20.2, 11.0, 16.2, 18.8, 17.8, 25.2, 12.6, 24.7,,52.8,,58.4,
1922, 22.9, 19.8, 18.3, 20.3, 17.9, 19.9, 21.7, 20.4, 15.8, 13.8, 21.2, 22.3,,67.4,,56.5,
1923, 26.8, 16.3,,9.1, 15.5, 21.0, 17.3, 20.9, 26.3, 23.7, 28.1, 23.2, 25.7,,65.4,,45.6
1924, 20.4, 16.0, 11.0, 16.2, 22.3, 18.0, 23.5, 22.9, 20.4, 15.3, 14.4, 22.9,,62.1,,49.5,
1925, 18.5, 23.7, 21.9, 17.8, 22.9,,9.4, 17.0, 15.7, 22.5, 21.2, 16.4, 23.0,,65.1,,62.6
1926, 22.5, 18.2, 20.1, 16.4, 20.0, 18.8, 12.7, 18.6, 20.4, 22.8, 20.1, 21.3,,63.6,,56.6,
1927, 24.5, 14.7, 18.3, 26.0, 16.2, 22.8, 15.3, 18.6, 23.9, 19.3, 21.6,,8.4,,60.6,,60.5
1928, 28.5, 18.0, 17.6, 14.7, 11.7, 20.5, 19.6, 20.3, 17.7, 20.5, 23.8, 21.8,,54.8,,44.0,
1929, 12.9,,9.7,,5.7, 16.9, 15.7, 19.1, 16.0, 23.2, 19.9, 27.3, 23.3, 27.8,,44.4,
1930, 22.4,,6.7, 17.6, 16.9, 15.5, 14.8, 17.9, 23.7, 18.2, 25.5, 21.6, 20.5,,56.9,,50.0
1931, 24.2, 25.0, 11.1, 19.9, 18.0, 17.8, 21.4, 11.1, 12.4, 21.6, 19.6, 21.2,,69.7,,49.0,
1932, 22.5,,7.8, 17.5, 21.8, 17.1,,7.4, 21.4, 14.4, 24.0, 27.3, 15.4, 17.8,,51.5,
1933, 15.2, 21.1, 14.0, 20.0, 12.9, 10.0, 17.9, 19.4,,8.0, 22.1, 14.0, 10.5,,54.1,,46.8
1934, 22.1, 12.9, 19.0, 22.9, 19.0, 10.9, 17.8, 21.3, 20.8, 25.7, 15.2, 20.3,,45.5,,60.9,
1935, 18.6, 19.8, 16.0, 16.0,,7.7, 18.2, 14.9, 16.6, 22.5, 26.1, 18.1, 18.7,,58.7,,39.6
1936, 21.7, 15.8, 13.3, 15.3, 11.6, 11.0, 21.7, 16.5, 14.2, 19.1, 17.3, 24.4,,56.2,,40.3,
1937, 23.4, 22.0, 16.6, 10.0, 11.1, 15.5, 15.6, 12.6, 17.9, 14.4, 14.6, 15.0,,69.7,,37.7,
1938, 25.2, 14.4, 22.2, 10.0, 16.9, 20.6, 21.2, 15.4, 17.4, 25.9, 24.4, 18.0,,54.5,,49.1,
1939, 21.2, 20.7, 20.6, 14.1,,9.1, 13.1, 21.4, 13.1, 12.2, 15.2, 25.9, 17.9,,59.9,,43.7
1940, 11.6, 10.3, 21.1, 14.8, 14.0,,9.8, 24.7, 18.3, 18.8, 17.4, 25.0, 20.9,,39.9,,49.8
