year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1862,176.8, 63.9, 88.1,109.9,106.7,134.0,128.5,111.5, 65.2,237.5,128.9,204.1,, ---, 304.7, 374.0, 431.6
1863,261.0,131.8, 70.9,148.7, 63.5, 95.4, 14.5,180.5,225.8,130.2,140.2,220.8, 596.9, 283.1, 290.4, 496.1,1683.3
1864,109.2,176.3,155.1, 73.9, 71.9,124.5, 80.6, 75.4,182.5,173.3,127.4,178.2, 506.3, 301.0, 280.5, 483.1,1528.4
1865,176.7,108.5,100.7, 53.8, 78.7, 32.0,118.7,125.6, 81.6,148.9,120.4,158.9, 463.4, 233.2, 276.3, 350.9,1304.5
1866,195.4,188.6,101.5, 63.6, 51.5, 53.7, 81.2,127.7,144.9,109.0,180.0,235.1, 542.8, 216.5, 262.7, 433.9,1532.2
1867,150.4,130.9, 60.8,160.2, 62.6, 88.9, 84.8, 88.4,112.8,187.2, 62.8,159.9, 516.4, 283.5, 262.1, 362.7,1349.5
1868,295.3,304.7,169.9, 99.0, 87.3, 98.4, 34.4,223.9, 90.4,191.9,109.9,185.9, 759.9, 356.2, 356.7, 392.3,1891.1
1869,174.7,211.9, 81.0, 95.7, 52.2, 68.9, 66.7, 67.6,193.7,164.8,217.7,185.4, 572.5, 228.8, 203.2, 576.1,1580.2
1870,106.2, 98.5, 36.4,127.4, 75.7, 63.3, 83.3, 60.6,125.7,142.7,124.3,143.3, 390.1, 239.5, 207.2, 392.7,1187.4
1871,120.8,138.1,107.3, 81.8, 37.7, 46.2,170.3, 99.6,107.9,142.8,109.8,144.1, 402.2, 226.9, 316.1, 360.5,1306.5
1872,225.3,103.5, 74.1, 90.8,115.6,189.7, 98.8,105.4,197.6,199.1,198.7,121.9, 472.9, 280.6, 393.9, 595.4,1720.5
1873,181.8, 51.2, 69.2, 61.2, 88.4, 90.2,137.7,147.4,157.9,199.8,146.7,182.2, 354.9, 218.8, 375.2, 504.4,1513.6
1874,208.7, 58.4,160.7,112.9, 71.4, 85.1, 98.7,161.7,176.6,226.9,131.1, 91.3, 449.2, 345.0, 345.5, 534.7,1583.5
1875,176.7, 68.7, 66.5, 65.1,105.8, 77.8,119.2,135.2,109.9,125.8,136.0,150.9, 336.7, 237.4, 332.2, 371.7,1337.6
1876,133.6,144.0,208.4, 94.7, 57.2, 98.0, 85.0, 86.8,103.6,127.5,102.5,150.3, 428.5, 360.3, 269.8, 333.6,1391.6
1877,163.7,190.2, 98.4, 61.1, 98.0,178.4,142.5,136.5, 90.1,222.6,250.3,200.9, 504.3, 257.6, 457.4, 562.9,1832.8
1878,153.3, 81.9,135.0, 43.4,101.8, 83.6, 75.1,111.5,189.6,187.2,169.8,123.9, 436.1, 280.1, 270.1, 546.5,1455.8
1879, 65.0, 70.7,114.3, 50.7, 84.2, 90.5,146.9,148.2,155.7,106.0,115.6,121.8, 259.7, 249.3, 385.7, 377.3,1269.9
1880,123.4,186.8, 75.7,105.4, 67.6, 87.7,120.3, 42.1,110.2,123.3,193.0,168.6, 432.0, 248.7, 250.2, 426.6,1404.2
1881, 39.3,110.5,115.9, 53.1, 88.5,110.0,167.3,117.5, 77.6,124.7,195.4,167.3, 318.4, 257.5, 394.8, 397.8,1367.2
1882,154.0,159.5,215.0,105.2, 79.6,122.7,127.3,108.0,132.7, 91.6,194.7,159.9, 480.8, 399.8, 358.0, 419.0,1650.2
1883,135.9,145.9, 98.8, 68.1, 97.1, 63.2,106.7,153.8,118.5,175.0,212.0,196.3, 441.7, 264.0, 323.7, 505.5,1571.3
1884,223.5,123.4,106.3, 48.2,120.2, 56.8,112.5,113.2,108.7,189.6,198.2,176.1, 543.2, 274.7, 282.5, 496.4,1576.7
1885,104.1,172.1,108.7, 58.6,108.1, 82.7, 66.0, 68.4,197.9,162.3,115.4,183.1, 452.3, 275.4, 217.1, 475.6,1427.5
1886,159.0, 76.0, 78.8, 93.8,101.5, 75.6,115.6, 97.6,133.1,121.4,174.3,183.2, 418.0, 274.2, 288.8, 428.7,1409.8
1887,177.4,142.4, 65.6, 91.9, 54.4, 48.3,112.3,101.1,121.2,121.8,119.0,136.7, 502.9, 211.9, 261.7, 361.9,1291.9
1888,128.7, 85.3,113.8,102.0,110.0, 76.4,100.3,118.6, 65.9,198.4,200.4,115.7, 350.6, 325.8, 295.3, 464.8,1415.5
1889,132.6,169.6,122.3, 85.6, 53.2, 24.2, 49.0,182.4,100.9,108.0,125.5,167.5, 417.9, 261.1, 255.7, 334.5,1320.9
1890,282.4, 38.6,171.2, 82.6, 52.2,122.2,144.0,150.9,112.7,252.1,194.7, 40.5, 488.5, 306.0, 417.0, 559.5,1644.0
1891,142.0,116.7,120.4, 37.4, 96.6, 62.4,141.7,158.5,164.6,150.1,133.0,207.5, 299.2, 254.4, 362.6, 447.6,1530.7
1892,195.2,102.4, 58.3, 66.8,127.2, 95.4,101.3,145.2,208.3,180.8,141.5,115.1, 505.1, 252.3, 342.0, 530.6,1537.6
1893,130.4,147.8, 79.0, 56.3, 63.2, 48.3,113.7,133.2,215.6,235.9,193.3,257.1, 393.3, 198.5, 295.2, 644.8,1673.9
1894,188.7,265.1,165.8, 28.2,111.7, 71.9,143.4,161.9, 19.8, 77.6,148.5,185.0, 710.9, 305.6, 377.2, 246.0,1567.7
1895,111.0, 45.5,137.7,104.7, 49.7,101.0,128.8,158.3,108.5,184.0,135.4,156.7, 341.6, 292.0, 388.1, 427.9,1421.3
1896,155.3,100.1,188.5,123.4, 48.7,127.6,102.6,133.2,173.7,188.7, 90.9,147.2, 412.1, 360.6, 363.4, 453.3,1579.9
1897, 65.0,104.6,161.5, 75.9, 93.2, 69.0, 96.5,105.3,166.7,118.1,121.6,211.0, 316.8, 330.6, 270.7, 406.5,1388.4
1898,168.8,205.1,137.9,113.5,104.7, 87.0, 83.6,128.9,155.2,122.1,163.0,327.4, 584.9, 356.1, 299.5, 440.4,1797.3
1899,149.1, 74.5,134.0,143.6, 80.8, 61.6, 94.8, 49.9,231.3,154.5,201.3,140.6, 551.0, 358.4, 206.3, 587.0,1516.1
1900,205.8, 83.6, 66.5,126.4, 94.4, 84.6,130.7,131.4,159.9,194.3,139.3,304.4, 430.0, 287.4, 346.7, 493.5,1721.3
1901,122.7,107.5,110.1,101.6, 40.9,112.9, 87.0,135.8, 84.6,166.6,125.2,193.1, 534.6, 252.6, 335.7, 376.5,1388.1
1902,156.8, 52.0,164.7, 73.7,111.0, 69.1, 90.0, 97.8,105.3,151.8, 68.5,188.6, 401.8, 349.4, 256.8, 325.6,1329.1
1903,236.6,259.8,243.0,101.1, 79.7, 60.5,148.5,217.5,118.4,258.6,185.4, 80.8, 684.9, 423.8, 426.4, 562.4,1989.8
1904,170.1,123.0, 67.9,220.4,107.2, 80.8, 55.8,154.5,121.7,122.0,132.8,177.3, 373.9, 395.4, 291.1, 376.6,1533.6
1905,170.7,176.5,173.6, 87.8, 77.9, 43.0, 91.8,130.4,142.1,157.5,162.6,134.3, 524.6, 339.4, 265.3, 462.1,1548.3
1906,236.2,166.5,140.9,101.1,135.7, 34.3,138.9,117.5, 82.9,164.9,219.8,177.7, 537.0, 377.7, 290.7, 467.7,1716.5
