year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,4.9,,5.3,,6.5,,8.8, 11.6, 13.9, 16.1, 16.8, 14.5,,9.8,,5.8
1885,,3.3,,4.5,,5.4,,9.2,,9.5, 13.6, 16.0, 13.9, 12.3,,6.9,
1886,,2.3,,3.1,,4.8,,8.6, 10.8, 13.6, 15.3, 15.1, 13.0, 11.1,,7.6,
1887,,5.1,,6.6,,6.0,,7.9, 11.9, 17.2, 16.5, 15.5, 12.1,,8.2,,5.8
1888,,5.1,,3.1,,3.7,,7.6, 11.1, 14.0, 13.9, 14.3, 13.5,,9.8,,7.0
1889,,6.3,,3.7,,5.7,,7.3, 14.7, 16.5, 15.4, 14.5, 13.1,,9.8,,8.2
1890,,6.5,,5.4,,6.9,,9.1, 13.5, 13.5, 14.0, 14.4, 15.5, 10.3,,7.0,
1891,,4.2,,8.4,,4.1,,7.8, 10.7, 15.4, 14.9, 14.3, 13.9, 10.4,,6.6,
1892,,3.5,,4.0,,4.6,,9.1, 11.8, 13.4, 14.3, 14.3, 11.8,,7.2,,8.0
1893,,3.8,,4.8,,8.1, 11.8, 13.6, 16.5, 16.4, 16.9, 12.7,,9.8,,4.9,
1894,,4.5,,4.7,,8.4, 12.0,,9.9, 14.7, 17.0, 14.5, 12.9,,9.8,,8.7
1895,,1.3,,1.5,,5.9,,9.7, 14.2, 15.4, 14.8, 15.8, 15.9,,8.0,,6.8
1896,,5.8,,7.1,,6.6,,9.5, 14.6, 14.6, 15.6, 14.2, 12.8,,7.2,,7.4
1897,,2.7,,5.4,,5.7,,8.0, 10.7, 14.8, 17.4, 17.0, 12.8, 11.5,,8.2,
1898,,7.3,,4.6,,5.8,,9.8, 10.7, 14.7, 15.4, 16.1, 15.8, 12.1,,7.5,
1899,,3.9,,6.1,,6.2,,7.9, 10.9, 16.7, 16.5, 18.9, 12.9, 11.1,,9.6,
1900,,4.8,,2.5,,4.8,,9.2, 11.5, 15.7, 16.1, 16.0, 14.6,,9.5,,7.2
1901,,5.0,,4.2,,5.4,,9.8, 14.7, 14.3, 18.8, 15.6, 15.5, 10.2,,7.2,
1902,,4.7,,3.4,,6.6,,9.4,,9.4, 14.5, 13.8, 13.9, 13.9, 10.8,,8.8
1903,,4.0,,6.7,,6.4,,7.5, 11.7, 14.6, 14.8, 14.3, 14.6,,9.5,,6.8
1904,,5.4,,3.6,,5.9,,8.9, 11.6, 15.0, 16.6, 15.4, 14.3, 10.6,,6.5,
1905,,6.3,,5.2,,7.1,,7.3, 12.2, 16.7, 16.7, 14.8, 13.5,,8.4,,6.2
1906,,5.5,,3.5,,5.4,,9.0,,9.6, 15.6, 15.7, 16.3, 15.9, 11.0,,8.1
1907,,5.0,,4.4,,7.4,,8.7, 11.2, 12.5, 14.9, 13.4, 14.7, 10.4,,7.3,
1908,,5.1,,5.8,,5.4,,7.3, 12.5, 14.6, 15.3, 14.8, 13.2, 13.3,,8.5,
1909,,5.3,,5.7,,3.9,,9.4, 12.0, 13.1, 14.5, 14.9, 12.8,,9.9,,6.2
1910,,3.8,,4.9,,7.7,,7.1, 12.0, 14.9, 14.6, 15.4, 13.6, 10.8,,3.9,
