year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,0.8,,0.3,,1.1,,1.8,,3.7,,7.2,,8.4,,9.8,
1885, -1.3, -1.1, -0.5,,2.1,,2.6,,6.2,,7.8,,6.4,,5.5,,1.4
1886, -2.2, -2.5, -0.8,,0.4,,3.1,,5.9,,8.1,,8.2,,5.7,,5.0
1887,,0.2,,0.8, -0.3,,0.4,,3.8,,7.7,,8.7,,8.3,,6.0
1888,,0.1, -2.5, -2.2,,1.0,,3.3,,5.2,,6.8,,7.4,,5.9,
1889,,1.1, -1.5,,0.0,,1.7,,6.4,,7.8,,7.5,,8.8,,6.3
1890,,1.2, -0.1, -0.1,,1.2,,5.3,,7.0,,7.1,,8.0,,8.4,
1891, -0.9,,1.6, -2.7, -0.2,,2.6,,7.0,,8.8,,8.4,,7.6,,3.8
1892, -1.9, -1.7, -2.8, -0.2,,3.7,,5.8,,7.5,,8.3,,4.9,,2.1,
1893, -1.4, -0.6,,0.7,,2.4,,5.8,,7.8,,9.5,,9.9,,6.0,
1894, -0.9, -0.4,,0.2,,3.1,,2.4,,6.6,,9.6,,8.6,,5.6,
1895, -4.4, -6.3, -0.2,,1.9,,4.8,,6.4,,8.0,,9.4,,8.6,,1.3
1896,,0.2,,2.0,,0.2,,3.0,,5.2,,7.9,,8.3,,7.6,
1897, -2.3, -0.5,,0.6,,0.3,,2.7,,6.7,,8.5, 10.0,,5.4,,4.0
1898,,2.7, -0.6, -0.4,,3.1,,3.2,,6.9,,7.4,,8.7,,7.7,
1899, -1.3, -1.0, -0.2,,0.8,,2.3,,7.8,,9.8, 10.0,,6.6,,4.6,
1900,,0.4, -4.2, -1.6,,2.0,,4.0,,7.6,,9.5,,8.5,,6.8,
1901,,0.2, -1.3, -0.3,,1.7,,4.3,,6.4, 10.3,,8.9,,7.9,,3.0
1902, -0.9, -2.9,,0.8,,1.3,,2.3,,6.3,,7.3,,7.4,,7.5,
1903, -0.8,,1.7,,0.7,,0.7,,4.2,,5.7,,7.2,,7.5,,6.6
1904,,0.6, -1.1, -0.6,,2.5,,4.0,,7.0,,8.6,,8.2,,6.7,
1905,,1.0, -0.2,,1.2,,0.7,,4.2,,7.8,,9.4,,8.3,,6.6
1906,,0.7, -2.1, -1.1,,0.2,,3.2,,7.3,,7.5,,9.1,,7.0,
1907,,0.3, -1.2,,0.9,,2.1,,3.9,,5.9,,7.6,,7.1,,6.8
1908, -0.1,,1.0, -0.5,,0.4,,5.0,,7.3,,9.1,,8.0,,7.4,
1909,,0.4,,0.0, -1.6,,1.7,,3.7,,6.4,,8.2,,8.4,,6.1
1910, -2.0, -0.7,,1.3,,0.6,,4.6,,7.0,,8.0,,9.5,,6.8,
1911,,1.1,,0.1, -0.1,,1.9,,5.2,,7.3,,8.7,,9.9,,6.9
1912, -0.2, -0.3,,1.6,,2.7,,4.6,,7.4,,8.8,,6.9,,5.5,
1913,,0.6,,0.4,,0.0,,1.6,,4.6,,7.5,,8.7,,8.4,
1914, -0.1,,1.1,,0.0,,3.4,,3.8,,7.3,,9.2,,9.3,,7.0
1915, -0.6, -0.5, -0.0,,1.9,,2.3,,6.3,,8.3,,9.6,,7.2,,4.1
1916,,2.2, -0.8, -1.1,,2.2,,4.0,,6.1,,9.1,,9.0,,7.1,
1917, -1.2, -1.2, -1.0, -0.6,,4.3,,6.7,,8.8,,9.9,,7.2,,1.9,
1918, -2.0,,1.9,,0.7,,0.9,,5.7,,6.3,,8.5,,9.7,,4.2
1919, -0.5, -2.8, -1.9,,1.7,,5.7,,6.9,,7.7,,8.5,,6.2,,4.1
1920, -0.5,,0.9,,1.2,,2.1,,4.6,,7.2,,7.8,,7.8,,6.7
1921,,1.0,,1.4,,0.7,,2.0,,4.0,,6.7,,9.1,,7.9,
1922, -0.1,,0.1,,0.4, -0.5,,4.3,,6.2,,7.1,,7.4,,5.9,
1923,,2.4,,1.6,,1.2,,1.5,,2.4,,6.0,,9.7,,8.2,
1924,,1.2,,0.8, -1.1,,1.4,,3.9,,6.7,,8.6,,9.0,,6.7
1925,,1.7,,0.2,,0.6,,1.6,,5.4,,7.5, 10.0,,9.1,,5.9
1926,,1.3,,1.4,,1.0,,3.7,,3.7,,7.5,,9.3,,9.4,
1927,,0.4,,0.8,,1.6,,1.4,,3.1,,5.1,,9.9,,9.2,
1928,,0.6,,0.4,,1.2,,2.6,,4.8,,5.2,,8.6,,8.7,
1929, -2.4, -1.2,,1.1,,1.1,,4.5,,6.5,,8.9,,8.6,,8.2,
1930,,0.3, -1.4, -1.0,,3.1,,4.1,,7.7,,9.3,,9.5,,7.6,
1931, -0.2, -0.7, -1.6,,2.2,,5.0,,6.8,,9.3,,8.0,,6.7,,4.7
1932,,1.8,,1.3,,0.5,,0.7,,4.4,,7.3,,9.5,,9.4,
1933, -0.8, -0.5,,2.1,,3.5,,5.1,,8.3, 11.0,,9.9,,7.9,,5.3
1934,,1.5,,2.1, -0.5,,1.6,,3.9,,7.2,,9.9,,9.5,,7.6
1935,,1.4,,0.1,,1.3,,1.5,,3.2,,7.4,,8.8,,9.5,
1936, -1.4, -1.4,,1.8,,0.6,,4.8,,6.8,,9.4,,9.7,,7.8,
