year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1960, 17.7, 19.9,,6.5,,2.1,,0.6,,0.0,,0.0,,0.0,,0.4,
1961, 15.3,,4.6,,2.3,,3.6,,0.7,,0.1,,0.0,,0.0,,0.0
1962, 10.3, 11.0, 19.5,,8.1,,1.1,,0.4,,0.0,,0.0,,0.0,,2.0
1963, 26.4, 26.1,,9.7,,4.2,,0.8,,0.0,,0.0,,0.0,,0.0,
1964,,8.9, 10.6, 11.4,,3.0,,0.0,,0.2,,0.0,,0.1,,0.6,
1965, 17.4, 16.8, 14.7,,5.1,,1.6,,0.0,,0.0,,0.0,,0.1,,1.0
1966, 16.3, 13.1,,6.1, 10.7,,0.4,,0.0,,0.0,,0.0,,0.0,,2.6
1967, 10.3,,7.9,,5.9,,6.2,,3.1,,0.0,,0.0,,0.0,,0.0
1968, 12.4, 23.0, 11.4,,9.8,,3.6,,0.0,,0.0,,0.0,,0.0,,0.2
1969,,9.8, 20.6, 20.5,,9.4,,1.7,,0.1,,0.0,,0.0,,0.0,
1970, 11.9, 19.5, 17.3, 12.2,,0.1,,0.0,,0.0,,0.0,,0.0,,0.6,
1971,,9.2,,7.1, 11.1,,5.2,,0.9,,0.1,,0.0,,0.0,,0.6
1972, 10.6,,9.4,,9.4,,2.8,,0.4,,0.1,,0.0,,0.0,,1.6
1973,,9.2, 12.4, 10.1,,8.1,,2.1,,0.0,,0.0,,0.0,,0.0,
1974,,6.4,,7.0, 10.1,,6.6,,1.5,,0.1,,0.0,,0.0,,2.3
1975,,9.0,,9.8, 15.9,,6.9,,4.3,,0.7,,0.0,,0.0,,1.2
1976, 10.9,,8.7, 11.6,,4.5,,0.4,,0.0,,0.0,,0.0,,0.1,
1977, 17.2, 11.7,,5.4,,6.9,,3.4,,0.1,,0.0,,0.1,,0.3,
1978, 17.9, 17.3,,6.9,,8.5,,0.5,,0.2,,0.0,,0.0,,0.0,
1979, 25.4, 20.9, 18.2,,6.7,,6.7,,0.0,,0.0,,0.0,,0.9,,0.2
1980, 17.1,,8.4, 13.7,,3.6,,1.5,,0.0,,0.0,,0.0,,0.0,
1981, 14.1, 16.7,,8.6,,8.3,,2.2,,0.0,,0.0,,0.0,,0.0,
1982, 12.7,,7.6, 10.2,,5.0,,3.8,,0.0,,0.0,,0.0,,0.0,
1983,,6.3, 19.3,,6.4, 13.2,,0.7,,0.0,,0.0,,0.0,,0.2,
1984, 20.6, 11.0, 10.3,,7.1,,3.8,,0.0,,0.0,,0.0,,0.0,,0.2
1985, 25.8, 13.4, 13.6,,4.0,,1.3,,0.3,,0.0,,0.0,,0.0,,0.3
1986, 16.6, 23.8,,9.4, 11.8,,0.1,,0.1,,0.0,,0.0,,3.0,,0.4
1987, 20.9, 16.4, 16.5,,2.3,,1.4,,0.1,,0.0,,0.0,,0.3,,2.8
1988, 10.7, 10.3, 10.2,,5.6,,1.1,,0.0,,0.0,,0.0,,0.5,,2.8
1989,,2.3,,8.3,,8.6,,8.5,,1.1,,0.5,,0.0,,0.0,
1990,,4.6,,6.0,,4.0,,5.4,,0.3,,0.0,,0.0,,0.0,
1991, 15.4, 19.0,,6.9,,4.4,,1.7,,0.9,,0.0,,0.0,,0.4,
1992, 13.3,,7.4,,5.0,,3.1,,0.8,,0.0,,0.0,,0.0,,0.0
1993,,8.6,,5.1,,8.1,,2.3,,1.9,,0.0,,0.0,,0.0,
1994, 11.9, 15.6,,7.4,,7.3,,2.5,,0.0,,0.0,,0.0,,0.0,
1995, 16.4,,9.1, 16.5,,5.3,,4.9,,0.0,,0.0,,0.0,,0.6,
1996,,7.0, 19.5, 12.1,,4.8,,5.2,,0.0,,0.0,,0.0,,0.1,
1997, 18.7,,6.6,,4.6,,3.1,,2.8,,0.0,,0.0,,0.0,,0.1
1998, 12.1,,3.0,,7.4,,8.5,,0.6,,0.3,,0.0,,0.0,,0.0
1999,,8.4, 10.1,,7.9,,5.3,,0.1,,0.0,,0.0,,0.0,,0.0
2000,,9.6,,8.0,,5.6,,8.3,,0.4,,0.0,,0.0,,0.0,
2001, 15.9, 15.0, 16.1,,6.0,,1.4,,0.1,,0.0,,0.0,,0.0,,0.0
2002,,6.6,,6.8,,7.5,,4.1,,0.7,,0.0,,0.0,,0.0,
2003, 14.0, 14.2,,8.0,,2.9,,0.7,,0.0,,0.0,,0.0,,0.1,
2004, 10.1, 14.9,,8.7,,1.2,,0.3,,0.0,,0.0,,0.0,,0.0,
2005,,7.9, 12.2,,9.5,,2.6,,2.6,,0.0,,0.0,,0.0,,0.0
2006, 10.1, 11.6, 14.5,,4.8,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0
2007,,7.3,,7.9,,6.2,,1.8,,0.2,,0.0,,0.0,,0.0,
2008,,8.8,,9.8, 10.1,,6.9,,0.1,,0.0,,0.0,,0.0,,0.0
2009, 14.2, 12.4,,7.1,,1.5,,0.2,,0.1,,0.0,,0.0,,0.0,
2010, 19.4, 20.8, 12.6,,5.0,,3.5,,0.0,,0.0,,0.0,,0.7,,3.0
2011, 17.2,,6.7, 10.2,,0.5,,0.5,,0.0,,0.0,,0.0,,0.0,
2012,,9.4,,8.7,,3.1,,8.2,,3.4,,0.1,,0.0,,0.0,
2013, 13.0, 16.7, 20.7,,9.5,,1.5,,0.0,,0.0,,0.0,,0.0,,0.3
2014,,5.2,,4.4,,4.7,,1.6,,0.0,,0.0,,0.0,,0.0,
2015, 13.3, 11.8,,9.2,,5.9,,2.2,,0.0,,0.0,,0.0,,0.0,
2016, 10.6, 15.0,,7.9,,8.1,,1.0,,0.0,,0.0,,0.0,,0.0,
2017, 13.7,,6.6,,7.0,,3.2,,0.3,,0.0,,0.0,,0.0,,0.0
2018, 13.1, 16.5, 15.0,,4.1,,0.7,,0.0,,0.0,,0.0,,0.1,,4.1
2019, 14.9,,6.8,,4.8,,4.3,,2.2,,0.0,,0.0,,0.0,,0.0
2020,,5.4,,7.5,,9.0,,2.6,,2.9,,0.0,,0.0,,0.0,
2021, 20.7, 10.3,,5.8, 14.7,,3.3,,0.0,,0.0,,0.0,,0.0,,0.6
