year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1862,227.5, 67.4,119.6,138.9,130.2,125.8,186.7,113.1, 77.8,288.4, 89.6,258.7,, ---, 388.7, 425.6, 455.8
1863,249.5,130.1, 80.1,129.3, 82.7,128.6, 23.9,146.3,184.5,159.3,149.1,183.4, 638.3, 292.1, 298.9, 493.0,1646.9
1864,127.2,109.5,136.8, 77.2, 50.4,108.6, 78.2, 67.3,191.0,107.1,135.6,137.7, 420.1, 264.4, 254.2, 433.7,1326.7
1865,134.4,112.6, 70.2, 31.7,110.0, 31.0, 88.5,154.2, 45.1,154.0,122.8,139.3, 384.7, 211.9, 273.8, 321.9,1194.0
1866,255.4,172.5, 97.4, 60.4, 45.6, 75.5,104.8,164.9,201.8,111.1,170.0,215.1, 567.2, 203.4, 345.2, 483.0,1674.6
1867,129.2,135.7, 60.3,189.2, 80.7, 75.8,144.4,120.8,131.4,176.6, 44.6,122.0, 480.1, 330.2, 340.9, 352.6,1410.7
1868,214.9,236.1,196.5,113.1,110.5, 51.6, 35.6,207.1, 71.5,179.4,117.9,246.8, 573.0, 420.1, 294.4, 368.8,1781.1
1869,198.2,200.6, 44.4, 74.5, 35.8, 59.1, 81.4, 42.5,240.7, 88.8,194.9,221.5, 645.6, 154.7, 182.9, 524.5,1482.4
1870,120.0,161.4, 42.5, 77.4,129.2, 66.1, 88.1, 49.9,126.3,197.0, 70.3, 91.4, 502.9, 249.1, 204.1, 393.6,1219.7
1871,135.1,197.5,129.0,126.0, 33.9, 70.6,148.6,130.3, 73.3,142.2,132.7,208.3, 424.0, 288.9, 349.5, 348.2,1527.5
1872,293.5,183.9,125.4, 55.5, 99.7,217.1,135.9,165.1,238.0,169.3,222.1,227.2, 685.7, 280.6, 518.2, 629.4,2132.8
1873,263.6, 36.0, 89.0, 18.9, 82.6, 74.6,193.3,178.7,152.9,228.9,117.6,142.5, 526.8, 190.6, 446.6, 499.4,1578.6
1874,189.6, 79.6,149.6,104.9, 58.1, 51.5,113.6,189.7,207.5,303.1,177.8, 89.1, 411.8, 312.6, 354.7, 688.5,1714.2
1875,244.1, 63.0, 67.2, 55.2, 89.7,108.0, 68.4,135.1,156.9,168.5,161.9,160.6, 396.2, 212.1, 311.5, 487.3,1478.6
1876,126.7,161.8,179.8, 73.3, 26.6,133.0,103.1,152.5, 94.9,204.3, 92.5,230.8, 449.1, 279.7, 388.6, 391.7,1579.4
1877,297.5,191.6, 97.8, 97.8, 96.3,155.8,150.3,189.9, 82.2,239.3,316.0,245.0, 719.9, 291.9, 496.0, 637.4,2159.4
1878,186.9, 96.1, 88.7, 86.0,116.4, 92.1, 33.6,119.8,176.6,192.6, 68.2, 71.7, 528.0, 291.2, 245.5, 437.5,1328.9
1879, 53.8, 82.3,129.3, 51.9, 71.8,141.1,160.8,161.3,210.3, 82.0, 52.7,113.9, 207.8, 253.0, 463.2, 345.1,1311.2
1880, 92.2,171.3, 90.6,134.4, 48.4, 74.2,110.5, 38.7,116.4, 34.1,186.6,156.2, 377.4, 273.4, 223.4, 337.1,1253.7
1881, 23.3,133.3,160.2, 46.6, 91.2,145.4,159.7,135.4, 83.9,101.1,231.5,189.8, 312.8, 298.0, 440.5, 416.5,1501.3
1882,163.6,153.7,166.7,106.1, 79.1,128.0,190.8,113.4,142.0,135.4,229.5,168.9, 507.1, 351.9, 432.2, 507.0,1777.3
1883,208.7,180.6, 65.9, 83.6, 86.9, 92.5, 95.8,181.1,116.0,184.8,232.5,196.2, 558.2, 236.4, 369.4, 533.2,1724.5
1884,259.5,193.1,124.1, 46.1,126.6, 36.5,164.9,104.7,134.6,169.5,162.2,231.8, 648.9, 296.8, 306.2, 466.3,1753.8
1885,132.8,194.9,103.5, 96.7, 83.4, 52.7, 72.0, 91.2,238.7,141.5,105.3,130.8, 559.4, 283.6, 215.9, 485.6,1443.5
1886,172.1, 82.4,124.6, 76.1,112.2, 46.8,108.0, 88.6,172.4,153.5,159.2,171.2, 385.3, 312.9, 243.3, 485.0,1467.0
1887,151.9,126.6, 69.4, 87.6, 44.5, 40.9,125.2, 94.6,129.8, 77.8,127.4,148.0, 449.7, 201.4, 260.8, 335.0,1223.6
1888,132.2, 45.1, 96.3, 75.9,123.1, 92.3,154.9,127.0, 59.4, 98.7,215.4,160.1, 325.3, 295.3, 374.3, 373.5,1380.6
1889,143.3,112.8, 87.9, 83.8, 96.0, 36.9, 83.8,169.5, 73.9,134.2, 98.0,179.6, 416.2, 267.7, 290.3, 306.1,1299.7
1890,240.6, 32.6,128.9, 56.0, 85.1,156.5,132.1,118.4,167.5,145.7,290.1, 54.9, 452.8, 270.0, 407.0, 603.3,1608.3
1891,123.9, 42.3,119.9, 50.4, 60.5, 52.3, 61.0,203.0,195.7,207.5,152.8,261.4, 221.1, 230.9, 316.3, 556.0,1530.8
1892,152.3, 77.1, 35.1, 42.5,149.7,115.1,103.7,207.0,195.7,128.1,161.4, 89.6, 490.8, 227.4, 425.8, 485.3,1457.5
1893, 81.0,171.4, 68.7, 53.6, 79.6, 53.6,125.8,140.9,115.4,197.8,114.5,212.5, 342.1, 201.9, 320.3, 427.6,1414.8
1894,210.4,290.3,119.9, 65.3, 94.4, 98.6,100.1,136.5,,6.7,116.2,178.1,158.2, 713.2, 279.6, 335.3, 301.1
1895, 58.1, 28.3,127.3, 93.2, 17.5, 49.0,154.5,194.4, 60.9,127.5,178.8,172.0, 244.6, 238.0, 398.0, 367.3,1261.7
1896,105.1,103.5,187.4, 79.1, 24.8,119.9,153.6,102.7,164.1,122.3, 69.9,195.4, 380.7, 291.4, 376.2, 356.3,1427.9
1897, 47.8,116.6,187.1, 87.9, 81.4,162.0, 97.6,185.0,136.9, 88.6,121.2,226.8, 359.8, 356.4, 444.6, 346.8,1539.1
1898,129.4,160.6, 67.6,114.0, 82.1, 92.8, 51.6,174.6,163.1,123.5,174.0,253.6, 516.8, 263.7, 319.0, 460.6,1586.8
1899,193.3,101.0,129.3,135.3,108.4, 66.7,114.0, 62.3,162.3,134.5,192.9,151.0, 547.9, 372.9, 242.9, 489.7,1550.8
1900,199.8,112.3, 14.5,102.3,119.1,108.3,108.4,158.5,142.5,196.2,166.0,269.7, 463.0, 235.9, 375.2, 504.7,1697.6
1901,108.3, 62.6, 84.5,124.7, 55.7,115.0, 56.9,161.6,132.7,180.0,146.1,175.9, 440.6, 265.0, 333.5, 458.8,1404.1
1902,145.9, 64.1,122.6, 70.6, 86.7, 51.6,102.8,101.8,134.2,109.3,133.8,174.4, 386.0, 279.9, 256.3, 377.3,1297.9
1903,238.4,232.5,272.7, 57.8, 87.8, 70.5,139.6,234.0,125.6,312.5,134.4,144.5, 645.2, 418.3, 444.2, 572.5,2050.4
1904,165.0,134.8, 98.2,170.9,102.0, 78.5,104.9,168.8,140.3,104.5,122.2,154.5, 444.4, 371.2, 352.2, 367.0,1544.7
1905,118.4,130.3,169.4, 98.9, 72.8, 53.1,101.8,153.1,110.4,133.3,161.4,137.2, 403.2, 341.2, 308.0, 405.1,1440.2
1906,201.2,124.0,115.9, 65.6,164.7, 44.8,107.8,173.1, 76.7,221.3,152.5,166.2, 462.4, 346.1, 325.7, 450.6,1613.8
1907,110.9,134.8,152.5, 93.7,143.0,156.0, 86.5,193.4, 49.6,194.4,140.1,199.8, 411.8, 389.3, 435.9, 384.1,1654.7
1908,181.9,128.4,177.2, 63.1, 92.3, 95.5,119.8,135.2,198.2, 53.9,131.1,176.4, 510.1, 332.6, 350.4, 383.2,1552.9
1909,182.5, 99.0, 82.9,126.6, 90.5, 80.1,148.2, 98.1, 74.4,249.3, 94.7,193.8, 457.9, 299.9, 326.4, 418.5,1520.1
1910,158.7,209.2, 95.5,130.5, 85.1, 62.2,137.1,229.5, 49.3, 87.3,125.6,172.6, 561.8, 311.1, 428.8, 262.2,1542.7
1911,116.8,206.5, 55.9,128.8, 95.5, 86.9, 97.0,107.1, 85.1,119.1,196.9,275.4, 495.9, 280.2, 291.0, 401.1,1571.0
1912,145.7,117.0,174.2, 72.1, 57.2,166.2, 94.6,127.4, 89.7,159.2,151.0,305.1, 538.1, 303.5, 388.3, 399.9,1659.4
1913,167.7,108.6,186.3,131.5,119.6,107.3, 32.4, 54.1, 81.0,111.4,206.6,150.1, 581.4, 437.4, 193.9, 399.1,1456.8
1914,141.0,223.8,175.9,103.6, 68.6, 39.2, 86.2,144.2, 77.8, 67.7,196.2,254.4, 514.8, 348.1, 269.6, 341.6,1578.5
1915,149.7,223.2, 87.9,120.0, 37.1, 53.5,136.6, 85.0, 47.2, 96.3, 83.6,207.4, 627.3, 245.1, 275.1, 227.2,1327.5
1916,220.2,181.8, 52.4,123.5,138.5, 66.4,109.2,120.6, 63.2,246.5,184.7,171.6, 609.4, 314.4, 296.1, 494.4,1678.5
1917, 88.2, 40.5, 85.9, 72.0,108.9, 91.7, 60.1,165.6,121.2,280.9,255.4,109.6, 300.2, 266.8, 317.5, 657.5,1480.0
1918,172.2,225.0, 59.2, 34.7, 84.0, 60.5,117.6,126.7,201.3,227.0,193.3,207.0, 506.9, 177.9, 304.8, 621.6,1708.7
1919,148.8, 32.4,126.8, 97.5, 35.7,137.4, 42.5,117.7,143.0, 57.2,138.5,271.3, 388.3, 260.1, 297.6, 338.7,1348.9
1920,225.7,206.9,174.6, 84.5,169.6, 72.7,135.2,151.0,105.8,106.1,161.3,160.3, 704.0, 428.7, 358.9, 373.2,1753.8
1921,274.4, 53.5,238.0, 56.6, 95.6, 26.7,144.5,183.2, 84.9,153.6,100.5,258.4, 488.2, 390.3, 354.4, 339.1,1670.1
1922,178.8,182.2, 76.9, 94.9,137.1, 93.8,129.7,109.9, 87.0, 83.0,120.2,165.0, 619.4, 308.9, 333.4, 290.2,1458.6
