year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1919, 37.8, 61.4,104.4,107.2,202.0,165.0,196.9,161.6,116.5, 90.9, 49.7, 29.9,, ---, 413.6, 523.5, 257.0
1920, 31.0, 50.4, 72.9,112.2,143.2,182.7,107.9,120.5,106.1, 79.5, 33.1, 30.9, 111.2, 328.2, 411.1, 218.7,1070.4
1921, 23.8, 49.0, 68.3,162.2,174.3,222.2,160.9,126.1,116.8, 52.5, 53.5, 24.4, 103.8, 404.8, 509.1, 222.8,1234.0
1922, 38.9, 39.0,121.5,175.9,159.9,138.9,128.0,118.4,101.0,104.5, 46.6, 18.3, 102.4, 457.4, 385.4, 252.0,1191.0
1923, 27.2, 31.7,119.2,138.1,172.3,101.0,127.4, 99.2,105.0, 86.4, 54.5, 37.9,,77.3, 429.5, 327.5, 245.9
1924, 25.0, 53.6,113.0,117.8,124.7,154.0,116.2, 81.7, 97.4, 76.3, 47.1, 21.2, 116.5, 355.5, 351.9, 220.7,1027.9
1925, 23.2, 42.9, 93.6,159.4,113.3,251.4,149.9,127.7,115.9, 62.7, 73.2, 36.5,,87.3, 366.3, 529.0, 251.8
1926, 22.7, 31.6, 67.7,116.2,182.4,190.1,169.7,151.4,107.9, 86.7, 46.2, 31.0,,90.7, 366.3, 511.2, 240.7
1927, 25.6, 47.9, 96.7,136.0,189.8,178.0,138.2,129.5,100.7, 82.8, 56.9, 28.1, 104.4, 422.6, 445.7, 240.4,1210.2
1928, 35.4, 67.2, 58.7,132.9,191.5,166.9,116.2,125.0,139.3, 68.2, 45.2, 34.5, 130.6, 383.1, 408.0, 252.8,1180.9
1929, 41.2, 46.0,154.2,148.0,202.7,205.0,152.1, 98.2, 98.9, 84.4, 36.9, 34.4, 121.7, 505.0, 455.3, 220.2,1302.2
1930, 28.4, 71.4, 88.8,139.6,178.8,195.2,107.5,108.1, 89.7, 63.4, 55.0, 22.7, 134.2, 407.3, 410.8, 208.1,1148.6
1931, 46.5, 52.2,113.4,120.4,162.5,102.6, 82.7,166.6, 91.5, 87.2, 32.4, 15.8, 121.3, 396.3, 351.8, 211.0,1073.6
1932, 34.1, 85.1, 82.1,146.4,160.0,192.6,104.3,109.4, 94.6, 67.3, 43.0, 31.5, 135.0, 388.6, 406.3, 204.9,1150.6
1933, 42.0, 71.9,114.0, 95.9,131.3,191.3,144.4,138.1,145.6, 63.5, 46.4, 23.7, 145.4, 341.2, 473.7, 255.5,1208.0
1934, 34.4, 63.2, 90.0,112.9,139.6,183.5,198.8,105.1,117.5, 53.2, 51.8, 11.4, 121.3, 342.5, 487.5, 222.4,1161.4
1935, 42.4, 50.6, 92.7,127.1,249.4,141.4,195.2,118.2,103.6, 44.2, 43.5, 45.7, 104.4, 469.3, 454.8, 191.3,1254.1
1936, 34.6, 62.2, 49.0,172.2,184.2,181.7,123.5,128.7, 90.5, 86.8, 37.3, 18.1, 142.5, 405.4, 433.9, 214.6,1168.8
