year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,6.2,,5.6,,7.0,,9.7, 12.5, 15.7, 17.4, 17.4, 15.1, 10.6,,6.7,
1885,,4.0,,5.7,,6.2,,9.3, 10.5, 15.0, 16.9, 15.4, 12.9,,8.1,,6.4
1886,,3.0,,3.1,,4.7,,9.0, 10.7, 14.6, 16.7, 15.6, 13.6, 11.5,,8.0,
1887,,4.6,,6.1,,6.0,,8.9, 13.2, 18.4, 17.9, 16.5, 13.6,,9.5,,6.0
1888,,5.3,,3.7,,4.2,,8.3, 12.9, 15.3, 14.6, 15.1, 13.7, 10.5,,7.9,
1889,,6.0,,4.8,,6.4,,8.1, 14.9, 17.7, 16.7, 15.2, 14.0, 10.2,,8.3,
1890,,6.8,,4.9,,7.6,,9.8, 14.2, 14.5, 15.4, 15.7, 15.9, 11.5,,7.6,
1891,,4.3,,7.7,,5.5,,8.4, 12.2, 16.8, 16.6, 15.4, 14.8, 10.7,,6.6,
1892,,3.9,,4.9,,5.0, 10.2, 13.2, 14.7, 15.7, 15.6, 12.5,,8.3,,7.8,
1893,,4.3,,5.4,,9.1, 12.9, 14.7, 17.9, 17.3, 17.9, 14.1, 11.0,,6.5,,6.9
1894,,4.6,,5.6,,8.9, 11.7, 10.9, 15.2, 17.5, 15.2, 14.0, 10.4,,9.1,,6.8
1895,,1.3,,1.2,,6.3, 10.3, 15.3, 17.2, 15.8, 16.1, 16.7,,8.7,,7.5,
1896,,6.1,,6.9,,7.5, 10.6, 16.0, 16.9, 16.2, 15.6, 13.8,,8.1,,7.1,
1897,,2.8,,6.0,,6.5,,8.5, 12.4, 15.4, 17.9, 17.3, 13.4, 11.7,,9.0,
1898,,7.7,,5.6,,6.5, 10.3, 12.1, 15.8, 16.9, 16.7, 16.0, 12.1,,7.7,,8.3
1899,,5.0,,6.0,,7.3,,8.7, 11.5, 17.7, 17.0, 19.4, 13.6, 11.3,,9.9,
1900,,5.2,,2.8,,5.8, 10.3, 12.1, 16.8, 17.0, 15.5, 15.0, 10.0,,7.3,,7.8
1901,,5.1,,4.5,,6.0, 10.5, 15.8, 15.0, 19.7, 16.4, 15.1, 10.4,,7.5,,4.4
1902,,5.1,,3.3,,7.6, 10.0, 10.7, 15.6, 15.2, 15.1, 14.3, 10.9,,8.6,,5.7
1903,,4.3,,7.6,,7.0,,8.4, 13.0, 15.8, 16.2, 15.2, 14.3, 10.6,,7.6,
1904,,5.6,,4.3,,5.7,,9.8, 12.1, 16.0, 16.8, 15.9, 14.6, 11.2,,7.2,
1905,,6.4,,6.5,,7.9,,8.7, 13.8, 17.7, 18.3, 15.9, 13.7, 10.0,,6.6,
1906,,6.4,,4.8,,6.6, 10.7, 11.2, 17.4, 16.8, 17.4, 16.5, 11.7,,8.7,,5.3
1907,,5.6,,5.0,,8.5,,9.8, 11.7, 13.3, 16.9, 14.9, 15.6, 10.9,,7.8,
1908,,5.3,,6.6,,5.9,,8.6, 14.3, 16.8, 17.3, 16.7, 14.4, 14.2,,9.2,
