year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,2.4,,1.2,,1.9,,2.4,,4.6,,7.5,,9.5, 10.2,,8.5
1885, -0.2,,0.6, -0.3,,2.5,,3.1,,7.0,,8.7,,7.3,,6.1,
1886, -1.7, -1.6, -0.4,,1.5,,4.0,,6.7,,9.2,,9.2,,7.2,,6.5
1887,,0.4,,1.0,,0.2,,1.0,,4.6,,8.4, 10.0,,8.4,,6.4
1888,,1.0, -1.1, -1.1,,1.7,,4.4,,6.7,,8.2,,8.5,,6.2,
1889,,1.2, -0.3,,0.8,,2.5,,6.8,,8.3,,8.4,,9.4,,7.1
1890,,2.3, -0.3,,1.3,,1.8,,6.0,,8.0,,8.5,,8.6,,9.3
1891,,0.1,,1.5, -1.1,,0.6,,3.6,,8.1, 10.0,,9.4,,8.4,
1892, -0.5, -0.3, -1.7,,0.8,,5.0,,6.7,,8.3,,9.0,,6.6,,2.5
1893, -0.2,,0.8,,1.4,,3.2,,6.9,,8.5,,9.8, 10.8,,7.2,
1894, -0.0,,1.1,,1.2,,4.0,,3.5,,7.4,,9.7,,9.0,,5.8
1895, -3.6, -5.6,,1.2,,2.7,,5.3,,7.6,,8.9, 10.5,,9.4,,2.1
1896,,1.7,,2.6,,1.4,,4.1,,5.8,,8.9,,9.4,,8.7,
1897, -1.1,,1.9,,1.6,,1.3,,3.5,,8.2,,9.4, 10.5,,6.4,
1898,,4.1,,0.7,,0.5,,3.9,,4.9,,7.8,,8.3,,9.8,
1899,,0.1,,0.3,,0.8,,2.5,,3.6,,8.8, 10.8, 10.4,,7.1,
1900,,1.3, -2.2, -0.9,,2.9,,5.3,,8.6, 10.9,,9.4,,7.6,,4.2
1901,,1.0, -0.8,,0.3,,2.3,,4.9,,7.1, 11.0,,9.6,,9.1,
1902,,0.6, -2.1,,2.0,,1.8,,2.9,,7.4,,8.0,,7.8,,8.0
1903,,0.3,,3.1,,1.9,,0.9,,5.1,,6.9,,8.7,,8.3,
1904,,1.6, -0.2, -0.1,,3.4,,4.6,,7.4,,9.6,,8.8,,7.3,
1905,,1.9,,1.3,,2.1,,1.7,,5.3,,8.4, 10.3,,8.9,,7.5
1906,,2.2, -1.0,,0.7,,1.2,,4.7,,8.0,,8.3, 10.3,,7.4,
1907,,1.1, -0.9,,1.6,,2.1,,4.6,,6.8,,8.7,,7.9,,7.5
1908, -0.2,,1.8, -0.1,,0.7,,6.1,,7.8,,9.4,,8.4,,8.0,
1909,,1.0,,0.5, -1.2,,2.2,,4.2,,6.4,,8.7,,9.0,,6.1
1910, -1.1,,0.0,,1.6,,1.3,,5.0,,7.5,,8.4,,9.7,,7.1
1911,,1.3,,0.4,,0.6,,2.2,,5.9,,7.4, 10.0, 10.4,,6.8,
1912, -0.3,,0.3,,2.3,,2.9,,5.1,,8.3,,9.3,,7.3,,5.6
1913,,0.4,,1.0,,0.7,,2.2,,4.9,,8.0,,8.4,,8.3,
1914,,0.3,,2.0,,0.5,,3.5,,4.6,,7.7,,9.4,,9.5,
1915, -0.1, -0.2,,0.2,,2.4,,3.3,,7.0,,8.6,,9.6,,7.2,
1916,,3.4, -0.2, -0.8,,2.7,,4.8,,6.3,,9.5,,9.9,,7.7,
