year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1960, 15.8, 16.6,,5.4,,2.7,,0.6,,0.0,,0.0,,0.0,,0.3,
1961, 14.5,,3.8,,4.2,,2.5,,1.2,,0.1,,0.0,,0.0,,0.0
1962, 10.5, 11.4, 20.9,,5.6,,1.1,,0.5,,0.0,,0.0,,0.1,,1.6
1963, 27.4, 26.1,,8.7,,3.3,,0.8,,0.0,,0.0,,0.0,,0.1,
1964, 11.6, 10.8, 11.1,,3.0,,0.0,,0.3,,0.0,,0.1,,0.3,,2.7
1965, 16.7, 13.6, 13.9,,4.5,,1.4,,0.0,,0.0,,0.0,,0.0,,0.7
1966, 16.1,,9.7,,6.7,,7.2,,0.6,,0.0,,0.0,,0.0,,0.0
1967, 11.0,,8.1,,5.1,,4.6,,2.5,,0.0,,0.0,,0.0,,0.0
1968, 13.1, 21.8,,8.9,,9.8,,2.6,,0.0,,0.0,,0.0,,0.0,
1969,,9.3, 20.2, 17.0,,8.5,,0.9,,0.1,,0.0,,0.0,,0.4,
1970, 12.3, 17.3, 17.1, 10.5,,0.1,,0.0,,0.0,,0.0,,0.1,,1.1,
1971,,9.2,,9.1, 10.7,,4.7,,1.3,,0.1,,0.0,,0.0,,0.2
1972, 11.4,,8.4,,8.3,,1.8,,0.3,,0.1,,0.0,,0.0,,0.8
1973, 10.5, 12.6, 10.8,,6.5,,1.5,,0.1,,0.0,,0.1,,0.1,,3.9
1974,,6.2,,7.4,,9.3,,5.2,,1.3,,0.1,,0.0,,0.0,
1975,,7.2,,9.9, 12.2,,6.9,,2.1,,0.5,,0.0,,0.0,,0.7
1976, 10.6, 10.4, 12.7,,4.8,,0.4,,0.0,,0.0,,0.0,,0.1,,0.6
1977, 16.6,,9.6,,5.2,,7.2,,2.2,,0.2,,0.0,,0.1,,0.2
1978, 15.6, 16.9,,7.1,,7.8,,0.6,,0.2,,0.0,,0.0,,0.0,
1979, 25.9, 21.0, 13.6,,5.7,,5.6,,0.0,,0.0,,0.0,,0.5,,0.5
1980, 18.4,,7.1, 11.5,,3.3,,1.6,,0.1,,0.0,,0.0,,0.0,
1981, 13.4, 17.3,,6.0,,6.4,,1.9,,0.1,,0.0,,0.0,,0.1,
1982, 13.9,,9.1,,7.9,,4.0,,3.3,,0.0,,0.0,,0.0,,0.1
1983,,6.1, 19.7,,5.9,,8.6,,0.4,,0.1,,0.0,,0.0,,0.2
1984, 16.8, 11.9,,9.4,,7.4,,2.5,,0.0,,0.0,,0.0,,0.2,
1985, 24.0, 15.0, 13.7,,4.0,,0.8,,0.2,,0.0,,0.0,,0.0,,0.8
1986, 15.5, 24.3,,9.8,,9.2,,0.1,,0.1,,0.0,,0.0,,1.1,
1987, 20.1, 15.0, 16.1,,1.8,,1.1,,0.1,,0.0,,0.0,,0.2,,3.2
1988,,8.6,,9.5,,8.2,,5.2,,0.5,,0.0,,0.0,,0.0,
1989,,4.7,,8.1,,6.6,,7.5,,0.6,,0.3,,0.0,,0.0,
1990,,4.8,,4.4,,4.1,,6.5,,0.3,,0.0,,0.0,,0.0,
