year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1891, 13.6,,3.5, 13.2,,8.8, 15.2,,8.9, 15.4, 21.5, 15.5, 18.7, 15.3, 18.7,, ---
1892, 15.3, 13.7,,7.4,,8.8, 13.7, 13.7,,9.9, 15.8, 15.0, 19.2, 13.9, 12.0,,47.7
1893, 14.5, 18.2,,7.1,,5.0,,9.7,,8.4, 15.4, 14.3, 14.1, 16.9, 13.7, 17.3,
1894, 19.7, 16.7, 10.4, 12.7, 15.9, 12.9, 16.4, 16.8,,6.6, 15.2, 14.9, 15.7,,53.7,,39.0
1895, 17.4,,4.3, 16.5, 11.5,,5.4,,9.2, 16.2, 18.0,,7.0, 16.8, 17.5, 16.4,
1896, 10.3,,7.4, 19.6, 11.4,,3.9, 14.2, 12.3, 14.2, 20.7, 18.6,,8.8, 20.1,,34.1
1897, 12.5, 13.2, 20.3, 13.8, 11.1, 12.8,,8.7, 18.9, 14.2,,9.0, 12.3, 16.7,,45.8,
1898, 11.0, 15.2, 11.6, 13.4, 16.4, 12.2,,6.7, 14.8,,8.4, 15.5, 14.1, 17.5,,43.0,
1899, 18.7, 11.2, 11.0, 17.9, 12.6,,8.3, 10.8,,7.7, 18.1, 11.0, 13.1, 15.9,,47.3,
1900, 21.5, 16.6,,8.3, 12.8, 11.1, 15.9, 13.7, 15.1, 10.4, 18.8, 18.8, 21.0,,54.0,,32.2
1901, 14.0, 10.7, 14.1, 14.2,,8.3, 11.4,,9.5, 13.4, 11.6, 16.9, 10.3, 19.8,,45.7,
1902, 12.8, 10.0, 14.6, 11.1, 18.1, 13.5, 13.3, 16.2, 11.3, 14.9, 13.4, 13.8,,42.6,,43.9,
1903, 16.7, 13.8, 21.6, 11.9, 14.2,,9.6, 16.1, 19.8, 14.4, 26.5, 15.3, 13.3,,44.3,,47.7
1904, 18.0, 18.3, 12.7, 14.9, 14.6,,9.0, 12.3, 16.0, 11.1, 10.8, 12.7, 15.3,,49.6,,42.1
1905, 11.4, 12.7, 19.9, 16.4,,7.7, 10.1, 10.8, 18.1, 12.7, 14.5, 18.0, 10.9,,39.4,,44.0
1906, 19.9, 16.2, 13.7, 10.2, 17.7,,8.8, 10.9, 14.8,,7.3, 21.1, 16.6, 17.8,,46.9,
1907, 10.9, 11.7, 12.4, 15.2, 16.4, 20.2, 13.6, 17.1,,6.1, 21.3, 14.1, 17.0,,40.5,,44.0
1908, 12.1, 14.8, 17.9, 12.9, 14.4,,8.8, 12.2, 13.5, 16.2,,9.6, 12.7, 17.3,,43.9,
