year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,2.7,,1.4,,1.8,,2.2,,5.0,,7.9, 10.3, 10.5,,9.0,
1885, -0.3,,1.3, -0.1,,2.5,,3.5,,7.8,,9.5,,8.1,,6.8,
1886, -1.5, -1.8, -0.1,,2.2,,4.7,,7.5,,9.8, 10.0,,8.1,,6.9,
1887, -0.7,,0.2, -0.1,,0.9,,4.6,,8.8, 10.6,,9.0,,6.8,,2.9
1888,,0.2, -1.4, -0.9,,1.7,,4.6,,7.3,,8.7,,8.8,,7.0,
1889,,0.3, -0.8,,0.4,,2.6,,7.2,,9.0,,9.2,,9.6,,7.6
1890,,1.9, -0.2,,1.4,,2.0,,6.0,,8.4,,9.1,,9.1,,9.3
1891, -1.7,,0.3, -0.6,,1.1,,3.9,,8.6,,9.7,,9.5,,8.8,
1892, -1.3, -0.4, -1.9,,0.9,,5.3,,7.2,,8.8,,9.7,,6.9,,2.7
1893, -0.9,,0.7,,1.4,,3.1,,6.8,,8.9, 10.6, 11.3,,7.3,,5.1
1894, -0.3,,0.7,,1.0,,4.0,,3.8,,8.0, 10.3,,9.6,,6.6,
1895, -3.4, -6.0,,0.8,,3.0,,5.5,,7.7,,9.6, 10.4,,9.2,,2.5
1896,,1.3,,1.2,,1.9,,3.9,,5.6,,9.6, 10.0,,9.0,,8.4
1897, -1.4,,1.9,,2.1,,1.9,,4.0,,9.0, 10.1, 10.7,,6.8,,5.3
1898,,3.2,,0.5, -0.1,,3.2,,5.3,,7.9,,9.0, 10.4,,9.0,
1899,,0.6,,0.4,,0.0,,2.9,,4.1,,8.7, 11.2, 11.0,,8.0,
1900,,1.0, -1.9, -0.6,,2.7,,4.9,,8.8, 11.2,,9.8,,7.8,,4.6
1901,,0.3, -1.2,,0.3,,2.5,,5.1,,7.6, 11.4, 10.0,,8.9,,4.6
1902,,0.9, -2.2,,2.1,,2.0,,3.5,,7.9,,8.8,,8.7,,7.9
1903,,0.5,,2.8,,2.3,,1.4,,5.4,,7.2,,9.4,,8.9,
1904,,0.8, -0.1,,0.1,,3.7,,5.3,,7.7, 10.6,,9.4,,7.4,
1905,,0.6,,1.2,,2.1,,2.5,,5.0,,8.9, 11.1,,9.5,,7.6
1906,,1.7, -0.9,,0.4,,1.0,,5.2,,8.2,,9.3, 10.8,,7.8,
1907,,0.4, -1.1,,1.0,,2.6,,5.1,,7.4,,8.8,,8.8,,7.8
1908, -0.7,,1.5,,0.1,,1.2,,6.6,,8.1, 10.1,,9.0,,8.1,
1909,,0.3, -0.5, -0.7,,2.6,,4.3,,7.0,,9.5,,9.7,,7.1,
1910, -0.4,,0.7,,1.4,,2.0,,5.5,,8.6,,9.2, 10.3,,7.6,
1911,,0.8,,0.7,,1.1,,2.7,,6.5,,8.3, 10.7, 11.5,,7.7,
1912,,0.3,,1.2,,2.9,,3.0,,6.1,,8.6, 10.4,,8.1,,6.4
1913,,0.9,,0.9,,1.4,,2.9,,5.7,,8.2,,9.4,,9.3,
1914,,0.2,,2.4,,1.4,,3.6,,5.0,,8.2, 10.4, 10.2,,7.6,
1915,,0.6,,0.1,,0.6,,2.5,,4.3,,7.6,,9.3, 10.1,,7.8
1916,,3.5, -0.0, -0.3,,2.7,,5.5,,6.7,,9.8, 10.5,,8.2,,6.1
1917, -0.7, -2.0, -1.0,,0.2,,5.9,,8.4,,9.9, 10.9,,8.9,,2.9,
1918, -0.3,,2.9,,1.1,,1.9,,6.5,,7.0,,9.6, 10.7,,6.8,
1919, -0.1, -1.6, -0.8,,2.2,,6.6,,8.0,,8.6,,9.8,,7.3,,3.3
1920,,0.8,,1.7,,2.1,,3.6,,6.0,,8.4,,9.3,,8.6,
1921,,3.1,,1.2,,2.3,,2.5,,5.1,,7.9, 10.9,,9.8,,8.3
1922,,0.3,,0.7,,0.8,,0.4,,6.0,,7.6,,8.4,,8.5,
1923,,2.1,,2.2,,2.2,,2.7,,4.0,,7.4, 11.6,,9.5,,7.1
1924,,1.4,,0.3, -0.9,,1.9,,5.9,,8.4,,9.8,,9.4,,8.5
1925,,2.0,,1.1,,1.0,,2.3,,6.3,,8.3, 10.9, 10.3,,6.7,
1926,,1.3,,2.9,,2.2,,4.1,,4.7,,7.9, 11.1, 10.6,,9.0,
1927,,1.1,,0.6,,2.8,,2.8,,4.9,,6.7, 10.8, 10.5,,7.8,
1928,,1.2,,1.6,,1.8,,3.2,,5.2,,7.0, 10.0,,9.9,,6.9
1929, -1.4, -2.3,,0.2,,1.4,,5.1,,7.4,,9.8,,9.8,,9.2,
1930,,1.5, -0.9,,0.6,,3.7,,5.3,,8.8, 10.2, 10.4,,8.9,,6.2
1931, -0.1,,0.2, -0.7,,3.1,,5.8,,8.7, 10.5,,9.2,,7.0,,4.3
1932,,2.5,,0.2,,0.4,,1.9,,5.4,,7.9, 10.8, 11.2,,8.0,
1933, -0.9,,0.3,,2.1,,3.8,,6.3,,9.0, 11.7, 11.2,,9.0,,6.0
1934,,1.0,,0.5,,0.3,,2.7,,5.3,,8.6, 11.2,,9.7,,8.7
1935,,1.6,,1.8,,2.1,,3.0,,4.2,,9.1, 10.5, 10.3,,8.3,
1936,,0.1, -1.0,,2.7,,1.4,,5.6,,8.5, 10.4, 10.5,,9.5,,4.8
1937,,1.6,,1.3, -0.8,,4.4,,6.3,,8.3, 10.5, 10.5,,7.9,,5.7
1938,,2.0,,1.3,,4.1,,2.2,,4.9,,8.5,,9.6, 10.2,,8.5
1939,,0.4,,1.9,,1.9,,3.2,,5.6,,8.0, 10.1, 10.8,,9.1,
1940, -4.1, -0.6,,1.2,,3.3,,6.2,,9.3,,9.4,,9.6,,6.9,
1941, -2.5, -0.7,,0.3,,1.9,,3.8,,8.5, 10.8,,9.5,,9.7,,5.9
1942, -1.6, -2.8,,0.6,,3.2,,4.8,,7.7,,9.8, 11.0,,8.4,,6.0
1943,,1.4,,2.1,,2.0,,5.0,,5.5,,8.6,,9.8, 10.1,,7.8
1944,,2.3,,0.2,,0.6,,4.5,,5.1,,8.0, 11.1, 11.0,,7.2,
1945, -3.1,,2.9,,3.3,,4.1,,6.0,,8.8, 11.0, 10.3,,9.5,,6.9
1946, -0.3,,2.2,,0.8,,3.8,,4.8,,7.7, 10.4,,9.2,,9.3,
1947, -0.7, -4.3, -1.1,,3.3,,6.8,,9.4, 11.1, 11.3,,9.0,,6.0,,3.0
1948,,1.1,,1.1,,2.8,,3.3,,4.7,,8.3, 10.1,,9.9,,8.8
1949,,1.7,,1.4,,0.8,,4.6,,5.0,,8.2, 10.8, 10.7, 10.5,,7.3
1950,,1.4,,0.8,,2.7,,2.5,,5.7,,9.7, 10.5, 10.2,,8.3,
1951,,0.4, -0.1,,0.1,,1.5,,4.6,,7.5, 10.4,,9.8,,9.1,
1952, -1.2, -0.4,,2.4,,3.8,,7.1,,8.2, 10.8, 10.5,,6.2,,4.8,
1953,,0.8,,0.9,,0.5,,1.9,,6.8,,8.9, 10.3, 10.4,,9.1,
1954,,0.1, -1.0,,1.4,,2.1,,6.0,,8.5,,9.3,,9.7,,7.5
1955, -0.8, -2.6, -1.1,,3.8,,4.3,,8.2, 10.6, 11.6,,8.9,,4.4,,3.7
1956, -0.1, -3.3,,1.6,,1.3,,5.7,,7.6, 10.5,,8.4,,9.5,,5.3
1957,,1.5,,0.7,,4.6,,3.4,,4.7,,7.9, 11.1, 10.4,,7.9,
1958, -0.4,,0.3, -0.6,,2.3,,5.2,,8.3, 10.4, 10.7, 10.1,,6.8,,3.0
1959, -2.2,,0.7,,2.9,,4.1,,6.2,,8.9, 10.7, 11.2,,8.3,,7.4
1960,,0.4, -0.5,,2.4,,3.8,,6.8,,9.5,,9.9,,9.6,,8.1
1961, -0.0,,3.0,,3.3,,4.8,,5.3,,8.3,,9.7,,9.9,,9.5
1962,,0.6,,0.8, -1.8,,2.4,,5.1,,7.5,,9.3,,9.3,,7.9
1963, -4.5, -4.0,,1.5,,3.6,,5.0,,9.1,,9.3,,9.4,,7.9,
1964,,0.6,,1.0,,1.0,,4.0,,7.3,,8.4, 10.3,,9.6,,8.1
1965, -0.2,,0.0,,0.3,,2.7,,6.1,,8.6,,8.8,,9.3,,7.7
1966, -0.1,,1.6,,2.2,,2.6,,5.2,,9.8,,9.5,,9.2,,9.1
1967,,1.2,,1.7,,2.7,,3.0,,5.1,,8.0, 10.6, 10.1,,8.8,
1968,,0.8, -1.8,,1.8,,2.5,,4.4,,8.7,,9.6, 10.1,,9.0,
1969,,1.9, -2.5, -0.4,,1.9,,5.8,,7.8, 10.7, 11.1,,8.9,,8.3,
1970,,0.4, -1.3, -0.4,,1.9,,6.9,,9.6,,9.7, 10.5,,9.2,,6.1
1971,,1.4,,1.0,,1.1,,2.8,,5.6,,7.3, 10.4, 10.4,,8.6,
1972,,0.8,,0.9,,1.5,,3.7,,5.6,,6.6,,9.8,,9.3,
1973,,1.5,,0.3,,1.2,,2.1,,5.9,,8.7, 10.2, 10.5,,8.9,
1974,,2.3,,1.7,,1.3,,2.4,,5.4,,7.9,,9.8,,9.5,
1975,,2.5,,0.8,,0.8,,3.4,,4.3,,7.7, 11.1, 11.9,,7.8,
1976,,2.1,,1.2,,0.8,,3.1,,6.2,,9.9, 11.4, 10.0,,8.6,
1977, -0.7,,1.0,,2.7,,2.4,,4.7,,7.0, 10.2,,9.8,,8.2,
1978, -0.4, -1.4,,2.1,,2.0,,5.7,,8.2,,9.5, 10.1,,9.1,,7.5
1979, -3.7, -1.9,,0.4,,2.9,,4.3,,8.5, 10.2,,9.4,,7.9,,6.9
1980, -0.9,,1.8,,0.6,,3.4,,4.9,,8.7,,9.5, 10.6,,9.8,
1981,,0.9, -0.3,,3.4,,2.7,,6.2,,8.3, 10.2, 10.4,,9.1,,3.5
1982, -0.8,,1.3,,1.4,,3.2,,5.1,,9.6, 10.7, 10.5,,8.6,,6.1
1983,,2.7, -1.5,,2.5,,1.6,,5.4,,8.6, 12.0, 11.1,,8.8,,5.9
1984, -0.6,,0.4,,1.0,,2.3,,4.3,,8.8, 10.1, 11.0,,8.8,,6.3
1985, -2.4, -1.0,,0.3,,3.5,,5.6,,7.3, 10.6,,9.8,,9.1,,6.6
1986, -0.1, -3.6,,0.8,,1.2,,6.1,,8.6, 10.4,,8.5,,5.9,,6.3
1987, -1.8, -0.3,,0.1,,4.5,,4.8,,7.6, 10.6, 10.2,,8.4,,4.9,
1988,,1.5,,1.1,,2.0,,3.3,,6.0,,9.0, 10.2, 10.0,,8.6,
