year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1960, 13.3, 15.9,,4.6,,2.4,,0.4,,0.0,,0.0,,0.0,,0.0,
1961, 13.0,,1.6,,4.5,,0.7,,1.0,,0.0,,0.0,,0.0,,0.0
1962,,7.1,,9.2, 22.2,,3.1,,0.6,,0.2,,0.0,,0.0,,0.1
1963, 28.8, 26.3,,7.3,,1.4,,0.2,,0.0,,0.0,,0.0,,0.0,
1964, 11.6, 10.7, 11.9,,4.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.7
1965, 13.9, 14.2, 11.4,,4.1,,1.3,,0.0,,0.0,,0.0,,0.0,,0.0
1966, 13.9,,7.0,,4.5,,5.6,,0.1,,0.0,,0.0,,0.0,,0.0
1967,,8.6,,7.3,,3.2,,2.4,,1.8,,0.0,,0.0,,0.0,
1968, 10.0, 21.3,,7.3,,9.5,,1.6,,0.0,,0.0,,0.0,,0.0,
1969,,7.3, 18.3, 15.5,,7.1,,1.0,,0.2,,0.0,,0.0,,0.7,
1970, 10.6, 14.5, 14.9,,8.4,,0.0,,0.0,,0.0,,0.0,,0.0,,0.5
1971,,7.3,,8.6,,8.1,,3.6,,1.4,,0.2,,0.0,,0.0,
1972,,9.6,,5.5,,6.8,,0.8,,0.2,,0.1,,0.0,,0.0,
1973, 10.3,,9.5, 11.1,,5.1,,1.0,,0.2,,0.0,,0.0,,0.0,
1974,,5.1,,6.3, 10.0,,3.7,,1.4,,0.0,,0.0,,0.0,,0.3
1975,,3.4,,7.4,,9.8,,7.1,,1.2,,0.1,,0.0,,0.0,
1976,,7.1, 11.3, 12.7,,4.2,,0.4,,0.0,,0.0,,0.0,,0.0,
1977, 16.0,,6.1,,3.3,,5.6,,1.3,,0.1,,0.0,,0.0,,0.0
1978, 10.0, 15.1,,4.6,,7.4,,0.0,,0.0,,0.0,,0.0,,0.0,
1979, 25.3, 20.8, 11.4,,5.8,,4.4,,0.0,,0.0,,0.0,,0.3,,0.1
1980, 19.0,,4.3,,9.1,,3.1,,0.9,,0.0,,0.0,,0.0,,0.0
1981, 10.4, 17.0,,2.4,,5.4,,1.3,,0.0,,0.0,,0.0,,0.0,
1982, 12.4,,9.7,,5.2,,3.3,,3.7,,0.0,,0.0,,0.0,,0.0
1983,,4.0, 19.0,,3.4,,5.9,,0.1,,0.0,,0.0,,0.0,,0.0
1984, 12.2, 12.7,,8.5,,6.9,,2.3,,0.0,,0.0,,0.0,,0.0,
1985, 24.0, 12.4, 12.2,,2.8,,0.3,,0.2,,0.0,,0.0,,0.0,,0.6
1986, 12.9, 25.5,,8.1,,8.1,,0.0,,0.0,,0.0,,0.0,,0.8,
1987, 18.9, 14.1, 13.6,,1.2,,1.0,,0.0,,0.0,,0.0,,0.1,,2.2
1988,,2.8,,6.9,,4.5,,4.0,,0.2,,0.0,,0.0,,0.0,
1989,,3.9,,6.3,,4.7,,8.0,,0.3,,0.2,,0.0,,0.0,
1990,,3.3,,1.8,,3.5,,6.7,,0.1,,0.0,,0.0,,0.0,
