year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,7.9,,6.7,,8.1,,9.7, 14.2, 16.9, 17.9, 19.8, 16.9, 11.8,,8.0,
1885,,4.8,,7.7,,7.2, 10.4, 11.5, 17.0, 19.2, 17.3, 15.1,,9.8,,7.6,
1886,,4.1,,3.8,,5.9, 11.0, 13.8, 16.8, 18.7, 18.6, 16.1, 12.9,,8.9,,5.3
1887,,5.3,,6.5,,6.4,,9.8, 12.4, 20.4, 20.6, 19.6, 14.5, 10.4,,6.6,
1888,,5.2,,3.5,,5.4,,8.8, 14.4, 16.6, 16.1, 17.0, 15.7, 11.9,,9.3,
1889,,5.7,,5.5,,7.0,,9.4, 15.3, 19.1, 18.3, 17.2, 16.1, 11.2,,9.1,
1890,,8.3,,5.4,,8.6, 10.7, 15.2, 16.3, 17.0, 16.9, 18.0, 12.6,,8.7,,1.5
1891,,4.5,,9.0,,6.6,,9.5, 13.1, 18.2, 17.5, 16.3, 17.1, 11.9,,8.0,
1892,,4.4,,5.7,,6.0, 12.2, 14.7, 16.8, 17.2, 17.7, 14.7,,9.7,,9.1,
1893,,4.4,,6.9, 11.8, 15.7, 17.2, 19.9, 19.5, 20.4, 16.3, 12.8,,7.6,,7.6,
1894,,5.7,,7.7, 10.4, 13.5, 12.4, 17.2, 19.0, 16.8, 15.1, 12.1,,9.8,,7.5,
1895,,2.4,,0.9,,7.8, 11.2, 17.3, 19.7, 18.3, 18.5, 19.9, 10.2,,9.6,,6.0
1896,,6.6,,7.4,,9.4, 12.7, 17.3, 20.3, 20.1, 17.2, 15.4,,9.7,,6.9,
1897,,3.4,,7.6,,8.7, 10.1, 14.4, 19.2, 20.7, 19.3, 15.1, 13.3, 10.0,,7.6,
1898,,8.1,,7.1,,7.1, 12.0, 13.4, 17.5, 19.5, 19.5, 18.9, 13.4,,9.5,,9.6
1899,,7.2,,8.2,,9.3, 10.6, 13.8, 20.5, 20.3, 23.2, 16.5, 13.3, 10.7,,4.9,
1900,,6.6,,5.0,,5.7, 11.7, 13.4, 17.4, 20.7, 18.4, 17.2, 12.4,,8.9,,9.1
1901,,5.4,,4.3,,6.4, 11.9, 16.3, 17.0, 21.3, 18.5, 16.3, 12.3,,7.7,,5.8
1902,,6.6,,4.0,,9.4, 10.8, 11.7, 16.8, 17.7, 17.5, 16.1, 11.7,,8.8,,6.5
1903,,6.0,,8.6,,8.9,,9.5, 13.9, 15.4, 17.2, 16.3, 15.4, 12.3,,8.9,
1904,,6.2,,5.3,,6.5, 10.5, 13.0, 16.1, 19.2, 17.4, 15.7, 12.5,,8.4,,6.6
1905,,5.9,,6.8,,9.0,,9.6, 13.9, 17.8, 19.2, 17.1, 14.6, 10.4,,7.4,
1906,,7.4,,5.7,,7.4, 11.0, 12.3, 16.9, 18.0, 19.0, 17.3, 13.0,,9.4,,6.2
1907,,5.7,,5.3,,9.7, 10.2, 13.2, 14.2, 17.4, 16.4, 17.6, 12.1,,9.1,,6.7
1908,,5.3,,7.2,,6.8,,9.1, 14.8, 17.4, 18.6, 17.5, 15.3, 15.2, 10.2,,6.7
1909,,6.0,,5.9,,5.9, 11.8, 15.1, 15.0, 16.6, 18.5, 14.8, 12.7,,7.6,,6.5
