year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,5.8,,4.3,,5.1,,6.0,,9.7, 12.3, 14.3, 15.2, 13.3,,8.8,
1885,,2.6,,4.9,,3.7,,6.3,,7.5, 12.4, 14.4, 12.7, 11.2,,6.6,
1886,,1.4,,1.1,,2.7,,6.9,,9.4, 12.3, 14.5, 14.4, 12.3, 10.2,,6.4
1887,,2.4,,3.2,,2.8,,5.2,,8.4, 14.6, 15.5, 14.0, 10.7,,6.6,
1888,,2.6,,1.2,,2.3,,5.5,,9.5, 12.3, 12.7, 13.0, 11.3,,7.9,
1889,,3.2,,2.6,,3.8,,6.0, 10.9, 13.9, 13.9, 13.4, 12.1,,7.9,,6.5
1890,,5.3,,2.4,,5.3,,6.5, 10.6, 12.4, 13.2, 13.2, 13.7,,9.1,,5.8
1891,,1.4,,4.7,,3.4,,5.6,,8.6, 13.6, 13.6, 12.9, 13.3,,8.6,
1892,,1.8,,3.1,,2.1,,6.8, 10.2, 12.1, 13.2, 13.9, 11.2,,6.3,,6.4
1893,,1.9,,4.1,,6.9,,9.9, 12.2, 14.5, 15.4, 16.1, 12.2,,9.2,,4.7
1894,,2.9,,4.6,,6.0,,8.9,,8.2, 12.5, 14.6, 13.1, 10.8,,8.7,
1895, -0.4, -2.8,,4.3,,7.3, 11.0, 13.3, 13.9, 14.2, 14.7,,6.5,,6.8,,3.5
1896,,4.2,,4.2,,6.0,,8.4, 11.3, 14.8, 15.0, 13.2, 12.1,,6.0,,3.6
1897,,1.0,,5.3,,5.5,,6.4,,9.1, 14.1, 15.6, 14.9, 11.2,,9.7,
1898,,5.7,,4.0,,3.3,,7.5,,9.3, 12.5, 14.3, 15.0, 13.9, 10.4,,6.6
1899,,4.3,,4.7,,4.7,,7.1,,9.1, 14.4, 15.5, 17.1, 12.6,,8.9,
1900,,4.1,,2.4,,2.5,,7.3,,8.8, 13.0, 15.7, 14.0, 12.6,,8.8,
1901,,2.9,,1.7,,3.4,,7.5, 10.7, 12.4, 16.2, 14.6, 12.7,,9.0,,4.4
1902,,4.3,,1.1,,6.0,,6.4,,7.9, 12.6, 13.3, 13.2, 11.9,,9.0,
1903,,3.6,,6.0,,6.0,,5.8,,9.8, 11.4, 13.4, 12.9, 11.8,,9.7,
1904,,3.9,,3.2,,3.7,,7.5,,9.2, 11.9, 15.2, 13.6, 11.7,,9.2,
1905,,3.5,,4.6,,5.9,,6.7,,9.7, 13.2, 15.0, 13.3, 11.1,,6.8,
1906,,4.9,,2.9,,4.2,,6.2,,8.9, 12.7, 13.8, 15.3, 12.6, 10.0,,6.6
