Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England
Areal series, starting in 1919
Last updated 01-Jan-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1919   40.9   52.7   94.4  125.1  227.4  207.3  138.7  201.7  145.4  129.7   46.5   32.4     ---   446.9   547.7   321.6  1442.2
1920   48.7   75.9  116.1   86.9  193.9  198.6  125.8  135.5  106.4  114.5   59.2   33.4   157.1   396.9   459.9   280.1  1295.0
1921   31.7   68.0  113.2  198.4  227.4  227.6  235.1  151.0  162.9  133.7   60.9   38.6   133.2   539.0   613.7   357.5  1648.6
1922   40.6   79.8   95.6  155.6  240.3  214.0  146.4  128.7  104.7  117.2   59.9   37.8   158.9   491.4   489.1   281.8  1420.5
1923   53.0   50.5   94.3  129.8  161.0  135.2  186.7  202.7  157.4   90.4   81.8   41.5   141.3   385.0   524.6   329.7  1384.4
1924   49.7   50.7  147.2  138.4  156.7  171.7  198.6  141.2  114.3   84.2   48.3   40.9   141.9   442.3   511.5   246.8  1341.8
1925   42.5   67.6   97.4  145.0  171.9  259.2  184.0  139.1  124.5   94.9   82.7   52.1   151.0   414.2   582.3   302.2  1460.8
1926   40.1   42.3  102.2  115.7  168.7  187.5  173.0  191.5  124.8  102.2   47.7   47.7   134.4   386.6   552.0   274.7  1343.2
1927   45.7   52.2  110.9  156.1  184.2  174.4  128.6  153.8  102.0   94.1   56.4   27.1   145.5   451.2   456.8   252.5  1285.5
1928   54.9   84.6   81.8  131.9  155.5  195.3  245.8  176.3  176.1  105.2   58.2   40.9   166.6   369.2   617.4   339.5  1506.4
1929   37.9   50.0  171.7  151.4  226.7  205.0  213.3  165.7  179.8  107.2   61.6   56.8   128.7   549.7   584.0   348.6  1627.1
1930   49.6   57.1  108.0  111.7  151.6  217.9  165.8  191.4  115.7  112.7   68.5   29.1   163.5   371.3   575.2   296.9  1379.2
1931   59.9   59.1  138.7  110.2  164.8  162.8  135.8  153.8   99.7  118.8   53.8   38.0   148.1   413.7   452.4   272.2  1295.4
1932   52.3   65.6  117.7  126.2  108.1  201.3  129.9  164.1  118.5   90.6   41.1   46.6   156.0   352.1   495.3   250.3  1262.1
1933   57.8   81.0  163.5  141.9  151.2  222.6  221.8  221.2  168.1   88.5   52.7   38.5   185.3   456.7   665.6   309.3  1608.8
1934   55.7   91.1  105.7  122.2  194.0  195.1  255.9  173.7  156.5   80.3   37.0   23.9   185.2   421.8   624.8   273.8  1491.0
1935   48.4   52.1  111.5  137.1  210.8  188.3  252.8  193.3  138.9   88.7   54.3   43.2   124.4   459.4   634.3   282.0  1519.3
1936   39.2   74.8   69.1  154.9  179.9  170.9  135.8  178.6   99.3  102.5   49.2   52.3   157.2   403.9   485.2   251.0  1306.4
1937   40.2   62.6   98.1   96.4  175.8  173.2  125.9  183.1  141.4   78.2   60.9   32.0   155.1   370.4   482.2   280.6  1267.9
1938   43.4   63.9  141.5  166.2  160.7  190.8  142.9  151.1  113.8  105.1   64.5   44.9   139.3   468.3   484.7   283.4  1388.6
1939   40.8   84.2   90.4  169.6  192.2  215.6  145.5  156.7  131.4   96.7   42.0   38.7   170.0   452.2   517.8   270.2  1403.9
