Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for England
Areal series, starting in 1884
Last updated 01-Jan-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    3.3    1.9    2.0    2.3    5.6    8.3   11.1   11.0    9.7    4.9    2.0    1.4     ---    3.34   10.13    5.55    5.32
1885   -0.0    2.2    0.2    2.7    4.0    8.5   10.3    8.9    7.4    3.8    2.8    0.2    1.17    2.29    9.28    4.64    4.26
1886   -1.2   -1.7    0.2    2.9    5.4    8.1   10.6   10.8    9.2    7.6    3.1   -1.2   -0.88    2.84    9.87    6.64    4.52
1887   -1.3   -0.1   -0.1    1.1    4.9    9.1   11.3    9.6    7.3    3.0    1.5   -0.4   -0.89    1.99   10.01    3.91    3.85
1888   -0.0   -1.3   -0.4    2.0    5.0    8.1    9.4    9.5    7.7    3.2    4.9    1.6   -0.54    2.20    9.03    5.23    4.16
1889   -0.2   -0.7    0.4    2.9    7.7    9.7   10.1   10.1    8.1    4.8    3.4   -0.2    0.26    3.69    9.97    5.44    4.71
1890    2.1   -0.0    1.8    2.2    6.2    8.9    9.9    9.7    9.6    5.2    1.8   -3.3    0.63    3.41    9.52    5.57    4.54
1891   -2.4   -0.4    0.1    1.5    4.4    9.2   10.0   10.0    9.2    5.5    2.1    0.4   -2.07    2.00    9.71    5.58    4.15
1892   -1.2   -0.2   -1.7    1.1    5.8    7.7    9.4   10.4    7.7    3.0    3.1   -1.3   -0.32    1.77    9.18    4.59    3.66
1893   -1.1    1.2    1.5    3.2    6.9    9.2   11.2   11.9    7.8    5.5    1.4    0.8   -0.46    3.87   10.78    4.91    4.98
1894   -0.2    0.9    1.3    4.3    4.3    8.7   10.8   10.2    7.3    5.5    4.4    1.8    0.49    3.30    9.89    5.72    4.96
1895   -3.1   -5.8    1.0    3.4    5.9    8.3   10.5   10.8    9.4    3.0    4.0    0.8   -2.23    3.44    9.88    5.45    4.08
1896    1.5    0.6    2.6    4.0    5.7   10.4   10.7    9.6    9.2    3.2    0.9    0.7    0.95    4.12   10.23    4.41    4.93
1897   -1.2    2.5    2.8    2.7    4.6    9.9   10.7   11.2    7.4    5.7    3.9    1.4    0.61    3.35   10.62    5.67    5.14
1898    3.3    0.8   -0.0    3.1    6.2    8.4    9.7   11.2    9.4    7.7    3.6    3.7    1.86    3.11    9.77    6.94    5.64
1899    1.5    0.9   -0.1    3.6    4.8    9.1   11.8   11.6    8.8    4.4    4.8   -1.0    2.08    2.74   10.87    5.97    5.03
1900    1.2   -1.0   -0.1    2.9    5.2    9.4   12.0   10.4    8.3    5.3    3.9    3.8   -0.25    2.66   10.61    5.83    5.14
1901    0.1   -1.2    0.5    3.0    5.4    8.2   12.0   10.6    9.2    5.2    1.1    0.1    0.97    2.97   10.29    5.14    4.55
