Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England E and NE
Areal series, starting in 1862
Last updated 01-Jan-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1862   63.5   35.9   93.2   53.3   72.4   73.7   77.2   68.8   79.0   88.8   32.4   67.8     ---   218.9   219.7   200.2   805.9
1863  102.3   18.4   34.3   29.9   33.2   77.3   37.8   85.9   71.0   96.5   76.8   56.4   188.6    97.4   201.0   244.3   719.9
1864   35.1   58.5   74.7   41.8   61.3   46.6   23.1   35.4   69.0   86.4   74.9   73.7   150.0   177.8   105.1   230.3   680.5
1865   55.3   51.7   41.1   36.4   81.6   27.0   64.2   96.6   15.5  146.2   72.1   34.9   180.6   159.1   187.7   233.8   722.5
1866   69.0   70.4   57.9   51.2   32.4   61.8   97.6   81.8  110.8   51.7   78.2   73.5   174.3   141.5   241.2   240.8   836.4
1867   85.2   39.5   47.6   81.7   60.5   44.1   89.1   70.6   59.3   49.1   27.0   57.5   198.3   189.8   203.8   135.5   711.3
1868   80.1   47.5   55.7   67.4   33.5   19.7   13.0   84.3   80.5   78.2   55.3  156.6   185.1   156.6   117.1   214.0   771.9
1869   82.4   65.7   51.8   49.4   94.4   35.7   18.9   48.2   99.3   55.9   64.3  106.0   304.8   195.6   102.7   219.5   772.0
1870   52.0   55.2   44.1   21.1   33.5   61.2   26.4   47.4   37.4  136.1   61.8  106.3   213.2    98.7   135.0   235.4   682.7
1871   29.8   61.6   30.1   84.4   37.6   81.0  103.5   34.0  131.9   57.1   48.5   59.1   197.8   152.1   218.4   237.5   758.6
1872   90.3   76.3   78.3   78.4   53.7   82.0  109.5   86.1  117.9  121.7  124.6  101.2   225.8   210.4   277.6   364.2  1120.1
1873   69.3   43.1   59.6   25.6   62.0   40.8   71.4   77.6   56.1   67.7   53.1   18.0   213.7   147.2   189.8   176.9   644.4
1874   51.4   41.1   41.0   34.9   51.2   24.0   41.6   74.1   62.4   66.9   84.9   90.7   110.5   127.1   139.7   214.2   664.2
1875   82.1   36.7   21.8   24.0   34.5   66.6  106.9   61.3   72.4  115.5  140.1   49.7   209.5    80.3   234.8   328.0   811.6
1876   34.0   76.6   83.5   81.6   26.6   65.8   57.2   56.7  103.1   54.3   91.7  175.0   160.3   191.8   179.6   249.0   906.0
1877  106.3   61.9   72.9   96.1   59.6   44.1   79.4  134.2   72.4   77.1   73.0   55.6   343.1   228.6   257.7   222.5   932.6
1878   67.0   35.3   29.3   48.2   91.9   72.7   23.8  136.9   55.5   64.9  133.1   67.0   157.9   169.4   233.5   253.6   825.7
1879   34.8   76.6   33.6   55.7   67.2  100.4  110.7   92.1   53.0   26.6   54.0   31.3   178.4   156.4   303.2   133.6   736.1
1880   10.9   58.6   46.9   62.4   42.1   69.4  140.5   45.5  127.4  141.9   75.8   86.3   100.9   151.5   255.3   345.1   907.8
1881   27.7   90.4   74.4   35.6   37.8   59.1   87.2  133.7   90.1   91.9   79.3   82.3   204.5   147.8   279.9   261.3   889.5
1882   49.2   42.7   54.6  100.7   48.3  108.2   86.7   74.8   53.2  124.8   98.2  113.9   174.3   203.6   269.6   276.3   955.3
1883   76.9   73.4   46.8   47.1   49.2   83.9  102.5   46.0  127.5   83.2   70.2   47.8   264.2   143.2   232.4   280.9   854.6
1884   96.7   48.4   56.9   47.8   32.6   19.3  100.7   33.4   43.7   43.4   46.0   72.9   192.9   137.4   153.4   133.1   641.9
