Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for England N
Areal series, starting in 1960
Last updated 01-Jan-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1960   15.9   17.1    4.7    2.7    0.4    0.0    0.0    0.0    0.0    0.6    4.2   14.9     ---     7.8     0.0     4.9    60.6
1961   15.9    3.7    2.9    2.1    0.5    0.0    0.0    0.0    0.0    0.1    6.7   21.4    34.5     5.4     0.0     6.8    53.1
1962   10.0   10.4   22.1    4.6    0.5    0.6    0.0    0.0    0.0    1.9    9.7   21.3    41.8    27.2     0.6    11.6    81.0
1963   26.9   27.7    9.2    2.2    0.2    0.0    0.0    0.0    0.0    0.1    4.1   13.1    75.9    11.7     0.0     4.2    83.6
1964   13.3   11.6   11.8    2.0    0.0    0.0    0.0    0.0    0.3    2.6    5.9   17.4    38.0    13.8     0.0     8.8    64.9
1965   16.6   12.1   14.9    4.1    1.4    0.0    0.0    0.0    0.0    0.1   15.8   11.8    46.0    20.3     0.0    15.9    76.7
1966   16.4   11.1    6.2    6.7    0.3    0.0    0.0    0.0    0.0    1.5    6.8    9.4    39.2    13.2     0.0     8.3    58.3
1967   11.6    7.3    3.4    3.2    2.3    0.0    0.0    0.0    0.0    0.3   10.2   13.8    28.3     8.8     0.0    10.5    52.0
1968   14.1   22.7    8.1   10.2    1.6    0.0    0.0    0.0    0.0    0.0    4.3   15.7    50.7    19.9     0.0     4.3    76.7
1969    9.6   20.9   18.1    8.9    0.6    0.0    0.0    0.0    0.0    0.1   13.3   16.5    46.2    27.5     0.0    13.4    88.0
1970   12.5   17.3   18.0   10.6    0.0    0.0    0.0    0.0    0.0    0.7    4.7   10.9    46.3    28.6     0.0     5.3    74.8
1971    9.8    9.2   11.1    4.9    1.4    0.1    0.0    0.0    0.0    1.5   12.1    5.2    29.9    17.4     0.1    13.6    55.3
1972   10.9    8.4    7.8    1.2    0.2    0.0    0.0    0.0    0.4    1.1    9.0    7.3    24.5     9.1     0.0    10.4    46.1
1973    9.7   12.3    9.3    6.2    1.5    0.0    0.0    0.0    0.0    3.6   11.3   13.3    29.3    17.0     0.0    14.9    67.2
1974    6.4    7.6    8.3    4.7    1.1    0.1    0.0    0.0    0.6    2.0    5.2    3.3    27.4    14.0     0.1     7.8    39.3
1975    6.3   10.8   12.4    6.1    2.1    0.3    0.0    0.0    0.1    1.0    9.2    8.5    20.3    20.6     0.3    10.3    56.7
1976   10.3    9.3   13.7    4.6    0.1    0.0    0.0    0.0    0.1    0.1    8.4   20.0    28.0    18.3     0.0     8.6    66.4
1977   17.6    8.1    5.3    6.0    1.7    0.1    0.0    0.0    0.0    0.0    7.9    4.8    45.7    13.0     0.1     7.9    51.6
