Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England N
Areal series, starting in 1862
Last updated 01-Jan-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1862   81.0   37.0   94.4   75.1   85.5   93.7   98.9   78.0   90.9  139.0   35.9  102.1     ---   254.9   270.6   265.8  1011.4
1863  128.2   29.3   36.0   40.0   44.0   93.1   41.5  102.1   98.0  127.0   86.9   72.5   259.7   120.0   236.7   312.0   898.7
1864   50.8   71.3   77.2   41.2   61.2   66.1   36.7   52.5   94.7   82.2   90.0   89.1   194.7   179.6   155.3   267.0   813.3
1865   74.3   62.7   43.1   34.9   92.5   23.3   64.6  111.8   24.1  142.2   86.8   42.3   226.2   170.5   199.6   253.1   802.6
1866  108.5   96.7   67.9   45.0   38.2   77.7  102.9  103.4  146.4   62.1  115.8  106.2   247.5   151.1   284.1   324.3  1070.9
1867   95.6   68.7   51.6  106.1   55.7   47.8   98.5   78.2   76.6   76.7   32.5   74.5   270.6   213.4   224.4   185.8   862.5
1868   91.9   65.4   93.3   67.1   42.7   20.1   15.5   93.3   73.3  101.5   67.1  185.2   231.8   203.1   128.9   241.9   916.5
1869  100.4   92.5   45.7   57.5   90.1   36.0   28.0   52.2  141.1   66.4   96.2  122.7   378.2   193.3   116.2   303.7   928.9
1870   75.3   59.6   53.3   29.5   47.6   57.2   29.8   46.9   55.3  175.5   68.6   90.9   257.6   130.4   133.9   299.3   789.4
1871   44.7   78.6   41.7   83.6   39.5   79.5  114.0   51.9  126.6   87.4   47.6   78.7   214.2   164.8   245.4   261.5   873.7
1872  125.6   96.2   87.6   78.7   61.3  112.3  120.0   93.2  147.3  141.7  130.9  111.6   300.4   227.5   325.5   420.0  1306.3
1873  110.0   34.4   68.9   21.0   62.5   50.4   93.8  102.5   68.4  102.3   66.7   32.4   256.0   152.5   246.7   237.3   813.4
