Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for England N
Areal series, starting in 1884
Last updated 01-Jan-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    2.5    1.2    1.5    2.1    5.1    7.5   10.4   10.5    8.8    4.6    1.7    0.4     ---    2.91    9.49    5.03    4.71
1885   -0.4    1.1   -0.3    2.3    3.4    7.7    9.7    8.3    6.5    3.3    2.1   -0.2    0.34    1.79    8.60    3.93    3.63
1886   -1.7   -1.9   -0.4    2.1    4.5    7.4    9.9   10.2    8.3    7.0    2.7   -1.8   -1.28    2.07    9.21    6.00    3.89
1887   -1.4   -0.4   -0.1    0.8    4.2    8.8   10.9    9.0    6.8    2.9    1.2   -0.9   -1.20    1.66    9.56    3.58    3.50
1888   -0.1   -1.3   -1.0    1.6    4.5    7.0    8.4    8.8    6.7    3.4    3.9    1.2   -0.75    1.69    8.05    4.66    3.59
1889    0.0   -0.9    0.1    2.4    6.9    8.9    9.1    9.8    7.5    4.5    2.7   -0.3    0.14    3.18    9.29    4.92    4.27
1890    1.4   -0.2    1.7    1.5    5.7    8.4    9.2    9.1    9.7    5.4    1.2   -2.6    0.34    3.00    8.91    5.42    4.25
1891   -2.1   -0.0   -0.5    0.8    3.8    8.2    9.6    9.5    8.7    4.6    1.5   -0.5   -1.64    1.37    9.12    4.95    3.65
1892   -1.5   -0.8   -2.1    0.7    5.3    7.4    8.5    9.7    7.1    2.7    2.4   -2.1   -0.92    1.31    8.53    4.01    3.11
1893   -1.1    0.3    1.3    2.6    6.3    8.7   10.2   11.5    7.3    4.8    1.1    0.8   -0.97    3.41   10.15    4.41    4.52
1894   -0.7    0.1    0.7    3.6    3.5    7.9   10.3    9.4    6.7    4.3    4.0    1.2    0.07    2.58    9.18    4.99    4.26
1895   -3.8   -5.7    0.7    2.7    5.4    7.8    9.6   10.5    9.1    2.3    3.0    0.1   -2.66    2.93    9.31    4.75    3.52
1896    1.2    0.5    1.5    3.8    5.3    9.8   10.1    9.2    8.4    2.6    1.2    0.3    0.61    3.53    9.68    4.05    4.50
1897   -1.7    1.5    2.0    1.7    3.8    9.0    9.8   10.6    6.6    5.1    3.9    0.8   -0.01    2.49    9.84    5.23    4.45
1898    3.1    0.3   -0.3    3.0    5.5    7.7    8.8   10.3    9.2    7.2    3.0    3.0    1.43    2.71    8.99    6.48    5.10
1899    0.5    0.0   -0.1    2.7    3.9    8.5   11.3   10.8    7.8    3.8    4.7   -1.5    1.20    2.17   10.23    5.38    4.38
