Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for England NW and N Wales
Areal series, starting in 1884
Last updated 01-Jan-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    7.3    6.5    8.3   10.1   14.4   17.2   18.4   20.0   17.0   11.4    7.6    5.6     ---   10.91   18.55   11.98   11.99
1885    4.3    7.1    6.7   10.2   11.4   16.6   18.6   16.1   14.5    8.9    7.2    5.8    5.61    9.44   17.08   10.19   10.63
1886    3.6    3.3    5.6   10.3   12.6   15.8   17.9   17.8   15.4   12.6    8.3    4.3    4.28    9.50   17.19   12.11   10.66
1887    4.7    6.4    6.0    9.3   12.2   19.5   19.9   18.6   14.0    9.6    6.2    4.9    5.06    9.15   19.32    9.93   10.95
1888    5.2    3.4    4.8    8.6   14.0   16.2   15.7   16.4   14.9   11.2    8.8    7.1    4.53    9.12   16.07   11.62   10.54
1889    5.6    5.0    6.6    9.1   15.8   18.9   17.8   16.6   15.2   10.6    8.6    5.7    5.97   10.52   17.74   11.48   11.34
1890    8.0    4.9    8.3   10.2   15.1   16.0   16.5   16.4   17.4   12.1    8.4    1.6    6.24   11.20   16.30   12.63   11.27
1891    4.2    8.6    6.1    8.8   12.7   17.8   17.2   16.1   16.7   11.6    7.4    6.4    4.68    9.17   17.03   11.88   11.13
1892    4.0    5.1    5.4   11.2   14.4   16.2   16.5   17.2   14.2    9.0    8.4    4.4    5.18   10.34   16.61   10.51   10.50
1893    4.2    6.3   10.9   14.7   16.2   19.3   18.9   19.8   15.3   12.1    7.2    7.3    4.94   13.94   19.35   11.56   12.73
1894    5.2    7.1   10.1   13.1   11.7   16.3   18.7   15.9   14.1   11.4    9.6    7.1    6.49   11.62   17.00   11.69   11.71
1895    1.8    0.7    6.9   11.0   16.0   18.0   17.3   17.9   19.0    9.5    9.0    5.4    3.27   11.28   17.76   12.45   11.08
1896    6.5    7.0    8.6   11.6   16.3   19.2   18.7   16.5   15.0    9.0    6.7    5.6    6.26   12.20   18.11   10.21   11.73
