Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for England NW and N Wales
Areal series, starting in 1884
Last updated 01-Jan-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    5.1    3.8    5.0    6.0    9.6   12.6   14.4   15.2   13.0    8.3    4.7    3.2     ---    6.88   14.07    8.67    8.42
1885    2.1    4.2    3.3    6.2    7.4   12.0   14.1   12.0   10.6    6.1    4.6    2.9    3.13    5.63   12.70    7.09    7.14
1886    1.0    0.8    2.5    6.3    8.5   11.7   13.9   13.9   11.7    9.8    5.9    1.5    1.59    5.78   13.18    9.16    7.34
1887    1.9    3.1    2.7    5.1    8.2   14.1   15.3   13.5   10.5    6.4    3.7    2.2    2.16    5.35   14.32    6.84    7.25
1888    2.7    1.0    1.8    5.2    9.2   11.7   12.2   12.5   10.8    7.5    6.5    4.3    1.97    5.42   12.14    8.26    7.14
1889    3.1    2.2    3.5    5.7   11.3   13.7   13.4   13.1   11.5    7.5    5.9    3.0    3.25    6.87   13.42    8.31    7.87
1890    4.9    2.2    5.0    6.1   10.5   12.1   12.8   12.6   13.6    8.9    5.1   -0.6    3.42    7.21   12.52    9.20    7.80
1891    1.3    4.6    2.9    4.9    8.3   13.1   13.4   12.8   12.9    8.2    4.5    3.4    1.67    5.36   13.10    8.55    7.54
1892    1.5    2.5    1.7    6.2    9.9   11.7   12.6   13.4   10.8    5.9    5.6    1.5    2.46    5.92   12.60    7.43    6.95
1893    1.8    3.5    6.4    9.1   11.5   14.1   14.8   15.7   11.5    8.8    4.2    4.3    2.23    8.97   14.85    8.19    8.84
1894    2.5    4.0    5.7    8.5    7.7   12.1   14.5   12.7   10.4    8.0    7.0    4.4    3.58    7.30   13.13    8.48    8.16
1895   -0.9   -2.6    3.8    6.9   10.8   12.9   13.4   14.1   14.3    6.0    6.1    2.8    0.40    7.16   13.44    8.76    7.34
1896    4.0    3.9    5.2    7.9   11.0   14.5   14.4   12.8   11.7    5.7    3.8    3.0    3.58    8.02   13.88    7.07    8.16
1897    0.6    4.4    5.1    5.7    8.6   13.4   14.7   14.8   10.7    9.3    6.9    4.2    2.61    6.47   14.33    8.96    8.22
1898    5.8    3.6    3.3    7.3    9.0   12.2   13.6   14.6   13.5   10.1    6.1    6.4    4.57    6.53   13.48    9.90    8.82
1899    3.6    3.9    4.4    6.5    8.4   14.0   15.1   16.1   11.9    8.4    8.0    1.4    4.65    6.45   15.08    9.39    8.50
1900    3.5    1.4    2.6    7.2    8.9   13.3   15.7   13.5   12.4    8.5    6.0    6.4    2.13    6.18   14.17    8.95    8.31
1901    2.7    1.4    3.4    7.4   10.6   12.2   16.4   14.3   12.6    8.6    4.4    2.6    3.56    7.12   14.31    8.55    8.09
1902    3.8    0.5    5.5    6.3    7.5   12.4   12.8   12.6   11.7    8.6    6.1    3.9    2.37    6.43   12.61    8.80    7.68
1903    3.1    5.8    5.7    5.3    9.6   11.7   13.5   12.9   11.6    9.1    5.6    2.7    4.20    6.89   12.69    8.78    8.06
1904    3.5    2.3    3.2    7.5    9.3   12.1   15.1   13.5   11.7    8.9    4.9    2.9    2.85    6.67   13.58    8.49    7.93
1905    3.3    4.1    5.7    6.1    9.5   13.4   15.2   13.2   11.1    6.3    4.4    4.9    3.43    7.10   13.96    7.25    8.13
1906    4.6    2.3    4.0    6.2    9.0   13.1   14.0   15.2   12.5    9.6    6.5    2.8    3.99    6.42   14.12    9.55    8.36
1907    3.1    2.0    5.4    6.4    9.2   11.1   13.3   12.8   12.8    8.7    5.7    4.0    2.67    7.01   12.38    9.09    7.91
1908    2.1    4.5    3.3    5.2   11.1   12.8   14.3   13.3   12.0   11.6    6.7    3.5    3.51    6.52   13.46   10.11    8.37
1909    3.1    2.7    2.7    7.6    9.6   10.8   13.3   13.9   10.8    9.3    4.1    3.1    3.10    6.62   12.69    8.09    7.62
1910    2.7    4.0    5.4    6.0   10.0   13.4   13.3   13.8   11.5    9.5    2.8    5.5    3.25    7.14   13.48    7.95    8.18
1911    3.4    3.8    4.3    6.4   11.7   13.0   16.1   16.5   12.3    8.4    5.2    5.3    4.24    7.47   15.23    8.63    8.91
1912    2.8    4.1    6.0    7.8   10.2   12.5   14.7   11.6   10.1    7.7    5.6    5.8    4.08    8.02   12.93    7.79    8.25
1913    3.4    4.1    4.8    7.0    9.8   12.6   13.6   14.0   12.9   10.0    7.4    4.4    4.42    7.21   13.42   10.11    8.70
1914    3.0    5.9    5.0    8.6    9.3   13.1   14.6   14.9   12.3    9.4    5.9    3.7    4.41    7.60   14.20    9.22    8.82
1915    3.3    3.2    4.2    6.9    9.5   13.1   13.2   13.9   12.4    8.2    2.0    4.1    3.39    6.89   13.39    7.55    7.87
1916    6.7    2.9    2.3    7.0    9.8   10.7   14.0   15.0   12.1    9.4    6.2    1.9    4.61    6.39   13.26    9.24    8.19
1917    1.0    0.5    2.4    4.2   11.2   13.1   14.9   14.2   12.9    6.8    7.3    2.3    1.12    5.95   14.06    8.98    7.60
1918    3.4    5.9    4.7    6.1   11.3   11.7   13.9   14.7   10.6    8.3    4.8    6.0    3.77    7.39   13.46    7.91    8.47
1919    2.4    1.2    2.2    6.0   12.2   12.5   12.8   13.8   11.6    7.2    2.5    4.5    3.27    6.80   13.08    7.08    7.46
1920    4.1    5.1    5.8    6.8   10.2   13.0   12.8   12.5   11.7    9.8    6.7    3.5    4.58    7.62   12.75    9.42    8.51
1921    6.2    4.1    6.0    7.1    9.8   13.0   16.4   13.7   12.7   12.0    4.2    5.9    4.58    7.61   14.37    9.67    9.29
1922    2.9    3.6    3.7    4.5   10.7   12.1   12.1   12.1   10.9    7.6    5.5    5.0    4.13    6.35   12.09    8.02    7.59
1923    5.2    4.5    5.8    6.5    7.7   11.1   15.7   13.5   11.1    8.6    3.0    3.3    4.91    6.64   13.46    7.61    8.02
1924    3.8    2.7    3.2    5.7   10.0   12.4   13.8   12.8   12.1    9.2    6.3    6.5    3.27    6.30   13.01    9.18    8.22
1925    4.7    3.9    4.1    6.4   10.1   13.6   15.5   14.3   10.4    9.3    2.7    2.1    5.05    6.91   14.48    7.50    8.14
1926    4.3    5.6    5.3    8.3    8.9   12.2   15.9   14.9   13.0    7.1    4.8    3.8    3.93    7.46   14.35    8.28    8.67
1927    4.0    3.5    6.0    6.6    9.6   10.8   14.7   14.4   11.4    9.6    5.4    1.4    3.78    7.42   13.32    8.77    8.14
1928    4.4    5.1    4.8    7.4    9.8   11.3   13.9   14.0   11.5    9.1    6.7    3.1    3.58    7.36   13.05    9.11    8.43
1929    1.3    0.2    5.6    5.7   10.3   11.8   14.3   13.7   13.4    8.5    6.0    4.9    1.55    7.19   13.30    9.30    8.02
1930    4.4    1.4    4.0    7.0    9.5   13.6   13.8   14.1   12.3    9.4    5.4    3.9    3.64    6.84   13.84    9.04    8.28
1931    2.5    3.1    3.1    6.5    9.9   12.6   13.9   13.1   10.6    8.0    6.9    5.0    3.18    6.53   13.21    8.52    7.97
1932    5.5    2.8    3.9    5.6    9.1   13.0   14.6   15.3   11.7    7.8    5.9    5.2    4.47    6.19   14.34    8.45    8.39
1933    1.9    3.2    6.3    7.7   10.8   14.1   16.0   15.9   13.7    9.2    4.8    1.5    3.45    8.28   15.37    9.23    8.80
1934    4.0    3.6    3.9    6.6    9.6   13.4   16.6   13.7   13.1    9.4    5.4    7.1    3.02    6.69   14.57    9.29    8.89
1935    3.9    4.9    5.8    7.0    9.1   13.5   15.3   14.9   12.2    8.4    5.8    2.1    5.28    7.29   14.56    8.80    8.58
1936    2.5    1.8    5.9    5.3   10.2   13.2   13.9   14.6   13.2    8.7    5.1    4.8    2.16    7.14   13.93    8.97    8.30
1937    4.4    4.2    2.4    8.1   10.7   12.5   14.5   15.2   12.1    9.1    4.7    2.2    4.47    7.04   14.08    8.64    8.36
1938    4.9    4.3    7.8    6.7    9.5   12.4   13.3   14.4   12.4    9.6    8.3    3.9    3.78    8.00   13.35   10.08    8.97
