Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for England NW and N Wales
Areal series, starting in 1884
Last updated 01-Jan-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    2.9    1.3    1.6    2.0    5.2    7.7   10.3   10.5    9.0    5.3    1.8    0.8     ---    2.95    9.51    5.37    4.88
1885   -0.1    1.4   -0.0    2.2    3.5    7.6    9.6    8.1    6.8    3.3    2.0   -0.0    0.69    1.88    8.42    4.01    3.70
1886   -1.4   -1.7   -0.5    2.3    4.6    7.7    9.9   10.2    8.1    7.0    3.5   -1.2   -1.04    2.13    9.28    6.23    4.07
1887   -0.7   -0.1   -0.4    0.8    4.4    8.9   10.8    9.0    7.0    3.3    1.1   -0.5   -0.70    1.60    9.58    3.77    3.65
1888    0.2   -1.3   -1.1    1.8    4.6    7.4    8.7    8.8    6.7    3.9    4.1    1.6   -0.54    1.79    8.31    4.92    3.80
1889    0.7   -0.6    0.5    2.3    7.0    8.7    9.1    9.8    7.8    4.5    3.2    0.3    0.60    3.28    9.19    5.16    4.46
1890    2.0   -0.4    1.8    2.0    6.0    8.4    9.2    9.1    9.8    5.8    1.9   -2.8    0.66    3.29    8.90    5.84    4.43
1891   -1.5    0.6   -0.2    1.1    4.0    8.5    9.6    9.6    9.2    4.9    1.7    0.4   -1.28    1.63    9.26    5.24    4.01
1892   -0.9   -0.2   -2.0    1.1    5.6    7.5    8.7    9.9    7.5    2.8    2.8   -1.4   -0.23    1.57    8.73    4.37    3.46
1893   -0.6    0.8    1.9    3.4    6.9    9.0   10.7   11.7    7.8    5.5    1.3    1.4   -0.43    4.08   10.47    4.86    5.01
1894   -0.1    0.9    1.4    4.0    3.8    8.1   10.3    9.7    6.7    4.8    4.4    1.8    0.71    3.04    9.37    5.29    4.66
1895   -3.5   -5.8    0.8    2.9    5.7    7.8    9.5   10.4    9.5    2.6    3.2    0.3   -2.42    3.10    9.26    5.09    3.67
1896    1.6    1.0    1.8    4.2    5.7    9.8   10.1    9.4    8.5    2.6    0.8    0.4    0.96    3.91    9.78    3.93    4.67
1897   -1.6    2.0    2.2    2.0    3.9    9.2   10.2   10.8    7.0    5.9    4.3    1.3    0.21    2.71   10.10    5.72    4.79
1898    3.7    0.8   -0.1    3.3    5.4    8.0    9.2   10.5    9.3    7.3    3.3    3.7    1.97    2.86    9.27    6.62    5.39
1899    0.9    0.4    0.5    3.2    4.2    8.9   11.1   11.1    8.2    4.0    5.3   -1.3    1.71    2.61   10.37    5.84    4.72
1900    1.2   -1.8   -0.5    3.0    4.9    9.0   11.4    9.6    8.0    5.2    3.5    4.0   -0.58    2.48   10.00    5.55    4.83
1901    0.1   -1.3    0.7    2.8    5.1    7.8   11.5   10.5    8.8    5.2    1.2    0.2    1.02    2.88    9.98    5.07    4.44
1902    1.4   -2.5    2.4    2.0    3.9    8.2    8.8    8.7    7.7    5.9    3.5    1.5   -0.23    2.74    8.59    5.71    4.34
1903    0.6    3.2    2.7    1.4    5.5    7.3    9.7    9.3    7.7    6.5    2.7    0.5    1.72    3.24    8.78    5.65    4.77
1904    0.9   -0.0    0.1    4.0    5.4    7.8   10.7    9.6    7.4    5.4    2.0    0.1    0.47    3.19    9.41    4.96    4.49
1905    0.9    1.6    2.4    2.8    5.2    8.5   11.0    9.5    7.6    2.8    1.7    2.7    0.85    3.48    9.70    4.03    4.75
1906    2.3   -0.6    0.8    1.3    5.7    8.7    9.7   11.4    7.7    6.6    3.8    0.1    1.54    2.64    9.94    6.03    4.83
1907    0.7   -1.0    1.3    2.6    5.4    7.7    9.3    9.5    8.4    5.6    2.9    1.7   -0.03    3.12    8.84    5.61    4.54
1908   -0.8    2.0    0.3    1.6    7.0    8.3   10.2    9.6    8.6    7.9    3.6    1.0    0.94    2.97    9.38    6.72    4.95
1909    0.5   -0.3   -0.3    3.1    4.6    6.8   10.0   10.1    7.2    6.2    1.0    0.5    0.42    2.45    8.96    4.81    4.13
1910    0.1    1.3    1.9    2.4    5.6    9.1    9.2   10.4    7.6    6.6   -0.1    3.3    0.58    3.35    9.56    4.73    4.81
1911    1.1    1.1    1.4    3.1    7.0    8.3   11.1   11.9    8.0    5.0    2.5    2.9    1.84    3.84   10.48    5.20    5.33
1912    0.2    1.3    3.1    3.1    6.2    8.8   10.8    8.3    6.6    3.8    3.1    2.9    1.48    4.15    9.31    4.48    4.86
1913    0.9    1.1    1.6    3.4    5.7    8.5    9.6    9.6    8.9    6.9    4.6    2.2    1.65    3.57    9.22    6.81    5.27
1914    0.5    3.0    1.9    4.0    5.4    8.5   10.6   10.6    7.9    6.2    2.9    1.1    1.89    3.74    9.92    5.67    5.23
1915    1.0    0.3    0.9    3.1    4.6    7.9    9.6   10.3    8.1    4.7   -1.4    1.4    0.80    2.85    9.27    3.77    4.22
1916    4.3    0.4   -0.2    3.0    5.6    7.0   10.3   10.9    8.6    6.5    3.7   -0.9    2.05    2.78    9.41    6.28    4.94
1917   -0.8   -2.6   -0.9    0.6    6.3    8.5   10.1   11.0    9.6    3.4    4.8   -0.3   -1.36    2.02    9.88    5.93    4.19
1918    0.6    3.6    1.3    2.1    6.5    7.2    9.6   11.1    7.4    5.4    1.6    3.5    1.23    3.31    9.33    4.79    5.00
1919    0.1   -1.5   -0.9    2.5    7.1    8.3    8.7   10.0    7.6    3.6   -0.4    1.9    0.78    2.90    9.01    3.60    3.96
1920    1.2    2.2    2.5    3.9    6.4    8.6    9.8    9.1    7.9    6.2    4.0    0.9    1.78    4.27    9.16    6.02    5.22
1921    3.7    1.3    2.9    2.5    5.2    8.1   11.3   10.2    8.2    8.3    1.4    3.1    1.98    3.53    9.87    6.01    5.56
1922    0.3    0.7    0.6    0.5    6.3    7.8    8.6    8.9    7.3    4.2    2.7    3.0    1.40    2.49    8.43    4.74    4.27
1923    2.9    2.2    2.3    2.8    4.1    7.9   12.1   10.0    7.6    6.0    0.1    0.9    2.73    3.08   10.02    4.61    4.94
1924    1.3    0.4   -0.9    1.7    6.5    8.7   10.2    9.6    9.0    6.1    3.5    4.3    0.87    2.44    9.51    6.19    5.05
1925    2.2    1.3    1.4    2.8    6.5    8.6   11.0   10.7    7.1    6.1   -0.4   -0.5    2.61    3.54   10.09    4.27    4.74
1926    1.8    3.1    2.3    4.4    4.7    7.8   11.8   10.9    9.3    3.7    1.9    1.6    1.41    3.80   10.23    4.98    5.30
1927    1.8    0.4    3.0    3.3    5.3    6.9   11.0   10.7    8.1    6.1    2.6   -0.6    1.26    3.85    9.57    5.64    4.92
1928    1.6    2.1    1.9    3.5    5.5    7.4   10.3   10.2    7.5    6.0    3.8    0.3    1.01    3.62    9.31    5.78    5.02
1929   -1.1   -2.4   -0.1    1.7    5.6    7.5   10.1   10.2    9.1    5.5    3.0    2.5   -1.03    2.43    9.30    5.88    4.35
1930    1.6   -1.2    1.0    3.8    5.4    8.7   10.5   10.5    9.1    6.6    2.4    1.6    1.02    3.39    9.94    6.04    5.04
1931   -0.1    0.6   -0.6    3.3    5.8    9.0   10.7    9.3    7.2    4.3    4.5    2.6    0.71    2.84    9.65    5.30    4.73
1932    2.8   -0.2    0.4    2.0    5.6    8.1   11.4   11.5    8.0    4.5    3.3    2.9    1.78    2.67   10.34    5.26    5.05
1933   -1.0    0.4    2.1    3.9    6.8    9.3   11.7   11.6    8.8    6.2    2.1   -0.9    0.79    4.25   10.87    5.69    5.10
1934    1.1    0.7    0.4    2.8    5.6    8.6   11.6    9.8    9.0    6.7    2.7    5.1    0.26    2.93   10.03    6.15    5.38
1935    1.5    2.4    2.6    3.3    4.2    9.3   10.9   10.2    8.6    5.5    3.1   -0.5    3.03    3.34   10.14    5.71    5.09
1936    0.1   -1.0    2.9    1.4    5.7    9.0   10.6   10.7    9.7    5.3    2.2    2.0   -0.44    3.34   10.12    5.72    4.91
1937    1.9    1.7   -0.7    4.6    6.4    8.6   10.8   10.6    8.2    5.7    1.7   -0.3    1.87    3.40   10.04    5.19    4.95
1938    2.3    1.7    4.4    2.2    5.3    8.7    9.5   10.5    8.7    6.8    5.7    1.5    1.23    3.99    9.58    7.06    5.64
1939    0.6    1.8    2.0    3.4    5.8    8.0   10.5   11.1    9.0    3.7    4.9    0.5    1.27    3.77    9.85    5.85    5.12
1940   -4.8   -0.6    1.4    3.6    6.2    9.2    9.7   10.1    7.4    5.5    3.5    1.0   -1.68    3.78    9.68    5.47    4.37
1941   -2.8   -0.8    0.4    2.0    4.0    8.6   10.8    9.8   10.1    6.4    2.7    2.7   -0.86    2.14    9.74    6.41    4.52
1942   -1.5   -3.6    0.7    3.3    5.3    7.8    9.9   11.4    8.5    6.4    1.1    3.4   -0.70    3.12    9.74    5.36    4.47
1943    1.4    2.7    2.0    5.1    5.2    8.8    9.8   10.7    8.1    6.2    3.1    0.5    2.51    4.10    9.80    5.82    5.33
1944    2.6    0.5    0.7    4.7    5.4    8.2   11.3   11.0    7.2    5.1    2.6    1.1    1.24    3.58   10.15    4.97    5.04
1945   -3.1    3.1    3.3    4.3    6.2    9.0   11.3   10.3    9.3    7.4    3.8    1.9    0.27    4.60   10.20    6.85    5.57
1946   -0.7    2.5    0.5    4.4    4.7    7.7   10.4    9.4    9.4    5.8    4.9   -0.1    1.19    3.18    9.16    6.70    4.91
1947   -0.6   -4.3   -0.8    3.5    7.1    9.6   11.2   11.4    9.4    6.2    3.3    2.2   -1.57    3.28   10.75    6.31    4.91
1948    1.7    1.3    2.9    3.5    4.7    8.3   10.6   10.4    9.5    6.1    4.2    1.9    1.73    3.71    9.82    6.59    5.45
