Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for England S
Areal series, starting in 1960
Last updated 01-Jan-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1960   13.7   12.8    2.9    2.7    0.1    0.0    0.0    0.0    0.0    0.8    3.1   10.5     ---     5.7     0.0     4.0    46.6
1961   11.0    0.5    5.8    0.2    0.7    0.0    0.0    0.0    0.0    1.0    6.3   17.9    22.0     6.7     0.0     7.3    43.4
1962    8.3   10.7   20.5    1.6    1.2    0.7    0.0    0.0    0.0    1.0    8.7   19.7    36.9    23.3     0.7     9.7    72.4
1963   29.1   26.2    7.4    1.4    0.1    0.0    0.0    0.0    0.0    0.0    1.8   16.6    75.0     9.0     0.0     1.8    82.7
1964   12.8    9.5    9.7    2.3    0.0    0.0    0.0    0.0    0.0    2.2    3.8   16.1    39.0    12.0     0.0     6.0    56.5
1965   14.9   14.0   11.4    2.3    0.5    0.0    0.0    0.0    0.0    0.4   12.1    8.3    45.1    14.3     0.0    12.5    63.9
1966   15.1    5.2    5.4    2.6    0.0    0.0    0.0    0.0    0.0    0.7    5.5    5.9    28.6     8.0     0.0     6.2    40.5
1967   10.3    8.4    2.2    2.5    1.5    0.0    0.0    0.0    0.0    0.0    6.7   12.3    24.6     6.2     0.0     6.7    43.8
1968   12.3   19.1    5.9    8.9    0.2    0.0    0.0    0.0    0.0    0.0    4.0   13.1    43.7    15.0     0.0     4.0    63.5
1969    6.8   18.6   12.7    6.2    0.0    0.0    0.0    0.0    0.5    0.1    8.3   13.1    38.5    19.0     0.0     8.8    66.3
1970   10.2   14.2   15.4    7.7    0.0    0.0    0.0    0.0    0.0    0.8    2.0   13.2    37.5    23.0     0.0     2.8    63.4
1971    7.3    9.0    9.6    2.9    1.2    0.0    0.0    0.0    0.0    0.7   10.4    4.3    29.4    13.7     0.0    11.1    45.4
1972   10.3    4.5    5.7    0.5    0.0    0.0    0.0    0.0    0.0    0.9    7.9    4.7    19.2     6.2     0.0     8.9    34.6
1973   10.7   11.9   10.8    3.5    0.3    0.0    0.0    0.0    0.0    2.1    9.7   10.1    27.3    14.6     0.0    11.8    59.0
1974    4.0    5.7    6.9    2.4    1.0    0.0    0.0    0.0    0.0    1.1    1.8    1.2    19.8    10.3     0.0     2.9    24.1
1975    2.5    7.9    7.9    6.0    0.4    0.0    0.0    0.0    0.2    0.6    7.2   10.2    11.6    14.4     0.0     7.9    42.8
1976    8.6    9.9   11.8    4.1    0.2    0.0    0.0    0.0    0.0    0.0    5.4   17.9    28.7    16.1     0.0     5.4    58.0
1977   14.7    5.0    4.2    6.2    0.6    0.0    0.0    0.0    0.0    0.0    6.6    2.5    37.6    11.0     0.0     6.6    39.8
1978   12.2   15.4    5.1    6.4    0.0    0.0    0.0    0.0    0.0    0.1    5.2   11.9    30.1    11.5     0.0     5.3    56.3
1979   25.8   20.2    8.0    4.2    4.0    0.0    0.0    0.0    0.0    0.4    6.9    7.2    57.9    16.3     0.0     7.3    76.8
1980   18.1    4.6    7.5    2.4    0.9    0.0    0.0    0.0    0.0    1.8    7.0    8.8    29.9    10.8     0.0     8.8    51.2
1981   11.1   18.2    2.4    3.6    1.3    0.0    0.0    0.0    0.0    1.9    2.6   19.9    38.2     7.3     0.0     4.5    61.1
1982   13.2    7.5    5.8    2.9    1.6    0.0    0.0    0.0    0.0    0.5    3.8   11.7    40.6    10.3     0.0     4.3    47.1
1983    3.3   18.6    4.0    3.8    0.0    0.0    0.0    0.0    0.0    3.0    5.7    8.0    33.7     7.8     0.0     8.6    46.4
1984   11.2   10.7    6.4    7.0    1.1    0.0    0.0    0.0    0.0    0.7    1.0    9.3    30.0    14.5     0.0     1.7    47.4
1985   23.6   14.4   12.5    2.8    0.0    0.0    0.0    0.0    0.0    0.2   12.3    5.3    47.3    15.3     0.0    12.5    71.2
1986   12.5   24.3    8.5    5.7    0.0    0.0    0.0    0.0    0.2    0.6    1.0    6.4    42.1    14.2     0.0     1.8    59.2
1987   19.9   13.4   14.8    0.4    0.2    0.0    0.0    0.0    0.0    1.9    2.9    6.8    39.7    15.4     0.0     4.8    60.3
1988    5.2    7.7    4.5    4.6    0.0    0.0    0.0    0.0    0.0    1.6   13.3    1.8    19.7     9.2     0.0    15.0    38.8
1989    6.2    6.3    2.8    5.0    0.0    0.0    0.0    0.0    0.0    0.0    7.5    5.7    14.3     7.8     0.0     7.5    33.5
1990    2.3    0.9    3.4    6.2    0.1    0.0    0.0    0.0    0.0    0.3    2.9    9.6     8.9     9.7     0.0     3.2    25.7
1991   12.1   19.2    3.5    3.7    0.4    0.1    0.0    0.0    0.0    0.6    4.9   10.8    41.0     7.7     0.1     5.5    55.5
