Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England S
Areal series, starting in 1919
Last updated 01-Jan-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1919   45.6   55.0   97.9  132.2  237.7  219.4  139.9  220.2  152.7  141.9   50.3   35.7     ---   467.8   579.4   344.9  1528.3
1920   52.1   78.2  128.5   87.5  205.7  202.8  135.5  147.0  108.6  122.8   67.3   36.6   165.9   421.7   485.3   298.7  1372.5
1921   35.4   73.4  123.5  208.8  232.9  233.3  256.6  162.6  168.8  147.6   62.2   39.6   145.3   565.2   652.6   378.6  1744.7
1922   44.0   89.1  101.4  157.9  261.6  220.4  154.0  130.9  117.9  126.4   58.2   43.8   172.7   520.8   505.2   302.5  1505.5
1923   56.8   57.8   94.4  129.9  164.6  134.3  200.0  228.0  168.0   91.8   93.1   44.1   158.4   388.9   562.4   353.0  1463.1
1924   56.5   54.7  159.8  144.2  170.8  180.9  220.5  151.0  116.1   83.4   49.0   48.0   155.3   474.8   552.5   248.5  1434.9
1925   46.3   72.9   98.9  148.1  190.3  279.4  188.7  146.5  131.4  100.7   88.1   57.0   167.2   437.2   614.7   320.2  1548.3
1926   46.1   43.7  105.6  120.7  167.8  200.4  178.5  196.4  125.9  101.3   48.9   49.6   146.8   394.0   575.4   276.1  1384.9
1927   53.0   53.0  119.7  164.8  204.6  176.8  128.7  167.1  105.4   98.7   56.5   29.2   155.6   489.1   472.5   260.6  1357.4
1928   62.1   91.0   91.8  135.4  164.3  204.6  260.8  188.4  195.5  113.0   61.7   44.0   182.3   391.5   653.8   370.2  1612.6
1929   41.3   57.8  177.7  154.1  235.9  210.6  232.2  179.3  193.5  110.3   68.3   64.7   143.0   567.7   622.1   372.2  1725.7
1930   51.6   60.7  116.1  121.9  149.8  226.5  179.3  205.4  125.1  118.4   69.5   32.9   177.0   387.8   611.2   313.0  1457.2
1931   62.8   66.2  142.0  109.1  164.2  178.4  147.3  153.1  108.9  116.6   61.4   39.9   161.8   415.3   478.9   287.0  1350.0
1932   50.1   65.1  133.7  124.5  111.2  208.8  135.3  179.5  113.6   96.8   45.2   50.9   155.1   369.4   523.5   255.6  1314.6
1933   67.4   86.6  176.1  158.1  165.5  226.1  234.7  235.8  173.9   95.2   57.5   44.4   204.9   499.8   696.7   326.6  1721.6
1934   56.4   97.1  115.2  125.6  210.4  203.9  268.2  184.7  164.2   82.2   37.1   28.2   197.9   451.2   656.8   283.5  1573.3
1935   52.3   57.5  119.5  139.2  200.6  198.9  265.0  200.3  145.7   98.8   60.9   44.8   138.0   459.3   664.2   305.5  1583.6
1936   39.5   78.5   78.6  147.5  184.3  174.4  140.6  186.1  104.2  107.0   48.5   57.9   162.8   410.4   501.1   259.8  1347.2
1937   44.7   61.2  108.3  104.5  181.6  186.1  129.2  197.5  151.6   85.0   64.9   34.5   163.7   394.5   512.8   301.5  1349.1
1938   44.3   67.8  160.0  176.8  158.7  200.3  149.9  154.1  122.1  114.5   66.5   49.6   146.5   495.5   504.2   303.1  1464.4
1939   42.8   94.3   90.1  174.7  199.2  217.9  151.1  168.4  150.5   98.4   41.3   42.1   186.7   464.0   537.4   290.2  1470.8
1940   71.1   27.9  122.8  122.1  226.6  273.8  189.1  198.5  173.8   92.8   72.4   41.3   141.1   471.6   661.4   338.9  1612.2
1941   38.1   66.3  109.7  113.6  155.9  212.1  228.7  172.0  114.0  109.8   43.4   41.0   145.6   379.2   612.8   267.1  1404.6
1942   42.3   48.9   80.7  213.4  203.1  241.8  175.6  146.4  136.5   88.6   58.1   40.4   132.2   497.2   563.9   283.2  1475.8
1943   48.3   85.7  135.3  168.4  243.2  203.5  203.9  173.3  145.7  104.4   69.4   45.1   174.4   546.9   580.7   319.5  1626.3
1944   43.6   64.3  133.9  151.6  230.7  170.9  123.7  203.3  145.7   98.8   47.5   55.6   153.0   516.1   498.0   292.0  1469.6
1945   50.0   66.5  140.1  196.3  180.0  192.4  184.0  159.1   82.9  107.0   43.6   41.7   172.2   516.5   535.5   233.5  1443.7
1946   55.9   69.7  102.9  200.5  187.6  168.8  211.6  148.5  111.3   80.8   45.3   66.4   167.2   491.0   528.9   237.3  1449.2
1947   59.6   25.9   72.3  158.9  180.6  199.6  178.8  276.4  156.6  114.5   73.2   35.3   152.0   411.9   654.8   344.3  1531.8
1948   41.9   76.0  166.3  209.0  252.5  162.9  182.0  141.4  143.9   99.1   70.4   58.7   153.2   627.8   486.3   313.4  1604.2
1949   59.1  115.2  114.1  184.3  225.4  248.8  243.5  214.9  150.4  112.5   69.1   54.4   233.0   523.9   707.2   332.0  1791.7
1950   39.8   64.4  128.0  165.4  178.8  251.7  189.7  178.5  117.1  101.8   57.6   43.4   158.6   472.2   619.9   276.5  1516.2
1951   46.3   66.9   91.6  191.5  163.2  241.7  213.9  165.2  107.2  115.9   63.6   57.0   156.5   446.3   620.7   286.7  1524.0
1952   81.6   81.6   90.7  168.8  210.1  206.0  189.9  180.8  132.9  106.2   67.0   59.4   220.3   469.6   576.7   306.2  1575.1
1953   38.8   67.6  133.1  174.1  216.8  152.5  199.2  216.6  157.6   89.4   51.3   34.1   165.8   523.9   568.3   298.3  1531.0
1954   62.7   65.0  100.8  192.3  155.5  147.7  137.6  135.1  163.5   89.8   55.3   52.7   161.7   448.6   420.3   308.5  1357.9
1955   35.2   82.2  157.5  169.7  205.8  158.8  260.9  197.7  157.0  123.1   57.7   43.8   170.1   532.9   617.5   337.8  1649.3
