Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for England S
Areal series, starting in 1884
Last updated 01-Jan-2022 11:00
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    6.2    5.2    6.2    6.8   11.2   13.8   16.2   17.1   14.6    9.1    5.4    4.5     ---    8.10   15.72    9.70    9.72
1885    2.6    5.9    4.5    7.7    8.9   14.1   16.3   14.1   12.4    7.5    5.9    3.3    4.26    7.03   14.85    8.58    8.61
1886    1.9    1.0    4.0    7.8   10.6   13.4   16.0   16.0   14.0   11.3    6.4    2.3    2.12    7.46   15.18   10.59    8.78
1887    1.9    3.7    3.6    6.3    9.5   15.3   17.5   15.8   11.8    7.2    4.6    2.8    2.59    6.49   16.21    7.84    8.36
1888    2.8    1.4    3.2    6.1   10.5   13.4   13.8   14.4   12.7    7.9    7.9    4.8    2.37    6.62   13.87    9.46    8.26
1889    2.6    2.7    4.6    7.1   12.5   15.4   15.2   14.8   12.9    8.8    6.8    2.9    3.40    8.10   15.12    9.46    8.89
1890    5.7    3.1    5.9    7.2   11.6   13.8   14.6   14.6   14.7    9.6    5.8   -1.2    3.92    8.24   14.35   10.03    8.81
1891    0.9    4.0    4.1    6.3    9.5   14.5   14.8   14.3   14.1    9.8    5.6    4.3    1.14    6.63   14.53    9.84    8.54
1892    2.0    3.4    2.6    7.5   11.4   13.3   14.3   15.4   12.4    7.1    6.6    2.2    3.21    7.18   14.33    8.70    8.19
1893    1.7    4.7    7.4   10.3   12.8   15.3   16.4   17.4   13.1   10.1    5.0    4.2    2.80   10.16   16.42    9.41    9.91
1894    3.1    4.8    6.5    9.7    9.3   13.7   15.7   14.6   11.8    9.5    7.6    5.0    4.03    8.50   14.67    9.66    9.31
1895    0.2   -2.1    5.3    8.2   12.0   14.5   15.5   15.7   15.7    7.5    7.8    4.0    1.14    8.53   15.25   10.32    8.76
1896    4.4    4.1    7.0    8.9   11.7   16.1   16.6   14.5   13.2    7.3    4.1    3.7    4.15    9.19   15.72    8.19    9.31
1897    1.4    5.8    6.8    7.3   10.1   15.2   16.6   16.2   12.2   10.1    7.1    4.7    3.57    8.05   16.01    9.80    9.47
1898    5.9    4.6    4.1    8.1   10.6   13.5   15.5   16.6   15.4   11.4    7.2    7.0    5.09    7.60   15.22   11.34   10.02
1899    5.0    5.2    4.9    8.0   10.1   15.2   17.5   18.0   13.9    9.4    8.2    2.2    5.75    7.65   16.91   10.48    9.82
1900    4.2    2.8    3.5    8.1   10.1   14.4   17.8   15.4   13.8    9.8    7.0    6.8    3.08    7.23   15.90   10.22    9.52
1901    3.2    1.8    3.9    8.3   11.2   13.8   17.6   16.0   13.9    9.6    4.6    3.3    3.97    7.82   15.83    9.40    9.00
1902    4.7    1.4    6.7    7.4    8.8   13.5   14.9   14.6   12.9    9.4    6.6    4.3    3.20    7.64   14.35    9.65    8.82
1903    4.1    6.6    7.0    6.4   11.0   12.6   15.3   14.3   13.2   10.6    6.3    3.2    4.96    8.15   14.07   10.06    9.23
1904    3.7    3.5    4.3    8.8   10.8   13.3   17.2   15.2   12.5    9.8    5.2    4.2    3.45    7.96   15.24    9.15    9.05
1905    3.2    5.0    6.8    7.5   10.6   14.6   17.5   14.9   12.5    7.0    4.8    4.4    4.11    8.28   15.67    8.09    9.08
1906    5.1    3.2    4.9    7.1   10.5   13.7   15.8   17.0   14.1   11.1    7.2    2.8    4.23    7.51   15.52   10.81    9.41
1907    3.2    2.5    6.2    7.5   10.6   12.6   14.0   14.7   13.9    9.9    6.7    4.7    2.85    8.10   13.79   10.16    8.92
