Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for England S
Areal series, starting in 1884
Last updated 01-Jan-2022 11:00
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    3.7    2.3    2.3    2.4    5.9    8.6   11.4   11.3   10.2    5.1    2.2    1.9     ---    3.57   10.47    5.83    5.64
1885    0.2    2.8    0.4    2.9    4.3    9.0   10.6    9.3    7.9    4.0    3.2    0.4    1.61    2.56    9.63    5.02    4.59
1886   -0.9   -1.6    0.6    3.3    5.9    8.4   11.0   11.2    9.7    7.9    3.3   -0.9   -0.67    3.24   10.22    6.97    4.86
1887   -1.2    0.0   -0.1    1.3    5.3    9.3   11.5    9.8    7.6    3.0    1.7   -0.1   -0.73    2.16   10.24    4.09    4.04
1888    0.0   -1.2   -0.1    2.1    5.3    8.8    9.9    9.9    8.2    3.1    5.4    1.8   -0.43    2.47    9.55    5.54    4.45
1889   -0.3   -0.5    0.6    3.1    8.1   10.2   10.6   10.2    8.4    5.0    3.8   -0.2    0.33    3.96   10.32    5.72    4.94
1890    2.4    0.0    1.8    2.6    6.4    9.2   10.2   10.1    9.6    5.2    2.2   -3.7    0.79    3.62    9.84    5.64    4.70
1891   -2.5   -0.5    0.4    1.8    4.8    9.7   10.2   10.2    9.4    6.0    2.4    0.9   -2.30    2.34   10.02    5.92    4.41
1892   -1.1    0.2   -1.4    1.3    6.1    7.9    9.9   10.7    8.0    3.2    3.5   -1.0   -0.00    2.01    9.52    4.89    3.96
1893   -1.1    1.6    1.6    3.5    7.2    9.5   11.7   12.1    8.0    5.9    1.5    0.8   -0.19    4.12   11.12    5.17    5.23
1894    0.1    1.3    1.6    4.7    4.7    9.1   11.1   10.6    7.7    6.1    4.6    2.2    0.71    3.68   10.27    6.11    5.33
1895   -2.6   -5.9    1.2    3.8    6.2    8.6   10.9   11.0    9.6    3.3    4.6    1.1   -2.00    3.72   10.17    5.82    4.37
1896    1.7    0.6    3.2    4.2    5.9   10.7   11.0    9.9    9.6    3.5    0.7    0.9    1.14    4.43   10.52    4.61    5.17
1897   -0.9    3.0    3.2    3.2    5.0   10.4   11.2   11.5    7.9    6.1    3.8    1.7    0.94    3.81   11.04    5.91    5.51
1898    3.4    1.1    0.1    3.2    6.6    8.7   10.2   11.6    9.5    8.0    4.0    4.1    2.09    3.32   10.19    7.18    5.92
1899    2.0    1.4   -0.2    4.0    5.3    9.4   12.1   12.1    9.3    4.7    4.9   -0.7    2.55    3.05   11.21    6.28    5.38
1900    1.4   -0.4   -0.0    3.0    5.4    9.7   12.2   10.8    8.5    5.7    4.1    3.8    0.10    2.82   10.90    6.13    5.40
1901    0.3   -1.1    0.6    3.2    5.6    8.6   12.1   10.9    9.5    5.5    1.1    0.3    1.07    3.13   10.55    5.37    4.75
1902    1.9   -1.6    2.7    2.7    4.2    9.0    9.8   10.0    8.3    6.0    3.7    1.8    0.26    3.20    9.62    5.98    4.92
1903    1.5    3.4    3.3    2.0    6.3    7.9   10.6    9.9    8.9    7.4    3.1    0.8    2.19    3.85    9.46    6.48    5.43
1904    0.7    0.7    0.6    4.4    6.4    8.2   11.9   10.2    7.8    5.9    1.6    1.4    0.74    3.80   10.14    5.10    5.00
1905    0.0    2.0    2.8    3.7    5.2   10.1   12.3   10.4    8.5    2.9    1.4    1.8    1.12    3.93   10.94    4.23    5.11
1906    2.1   -0.1    1.1    1.4    6.2    8.4   10.4   11.7    8.7    7.5    4.2   -0.1    1.29    2.94   10.21    6.82    5.17
1907    0.4   -0.8    1.0    3.2    6.2    8.7    9.4   10.1    8.6    6.2    3.5    2.2   -0.16    3.50    9.40    6.09    4.93
1908   -0.9    1.8    0.5    1.9    7.7    8.9   11.0    9.9    8.5    7.8    4.2    1.5    1.01    3.37    9.92    6.82    5.22
1909    0.3   -1.0    0.0    3.4    4.9    7.8   10.5   10.5    8.2    7.1    1.4    0.8    0.29    2.77    9.63    5.59    4.54
1910    0.7    1.8    1.4    3.1    6.4    9.9   10.2   11.1    8.5    7.7    0.0    3.7    1.07    3.65   10.41    5.43    5.41
1911    0.6    1.3    1.8    3.1    7.3    9.4   11.9   12.9    8.7    5.9    2.8    3.3    1.90    4.07   11.41    5.80    5.79
1912    1.0    2.3    3.9    3.3    7.4    9.3   11.8    9.2    7.3    3.5    3.2    3.7    2.20    4.88   10.12    4.62    5.50
1913    1.8    1.2    2.5    3.9    6.7    8.9   10.2   10.3    9.9    7.5    4.6    2.3    2.26    4.37    9.82    7.35    5.85
1914    0.3    3.0    2.5    4.1    5.8    9.0   11.3   11.1    8.1    6.5    3.2    1.8    1.81    4.14   10.50    5.94    5.58
1915    1.4    0.8    1.2    2.8    5.8    8.5   10.2   10.8    8.4    5.4   -0.2    2.6    1.36    3.28    9.87    4.52    4.84
1916    4.3    0.6    0.4    3.3    6.7    7.2   10.2   11.5    8.8    7.5    3.1   -0.9    2.56    3.48    9.65    6.48    5.25
1917   -0.5   -2.2   -0.6    0.8    7.2    9.9   10.9   11.8    9.7    3.5    4.7   -1.0   -1.20    2.47   10.87    5.95    4.55
1918    0.6    3.2    1.4    2.8    7.2    7.5   10.6   11.2    8.6    5.6    2.2    4.2    0.87    3.81    9.80    5.48    5.45
1919    0.2   -1.1    0.5    2.5    7.3    8.7    9.5   11.0    8.2    2.7    0.3    2.4    1.16    3.45    9.75    3.72    4.39
1920    1.8    2.2    2.8    5.0    7.1    9.4   10.3    9.1    8.5    6.5    2.8    1.5    2.13    4.96    9.59    5.94    5.59
1921    4.4    1.2    3.1    3.0    6.1    8.8   12.1   11.2    9.1    7.9    1.9    3.2    2.43    4.08   10.69    6.32    6.04
1922    0.8    1.3    1.5    1.5    7.0    8.7    9.5    9.4    8.2    4.5    1.9    3.0    1.78    3.37    9.22    4.82    4.80
1923    1.8    3.1    3.0    3.7    5.4    8.2   12.7   10.5    7.7    6.4   -0.2    0.6    2.63    4.03   10.47    4.65    5.26
1924    2.0    0.0   -0.2    2.7    7.2    9.5   10.4   10.0   10.0    7.0    4.2    3.8    0.88    3.24    9.97    7.04    5.56
1925    2.4    2.1    1.2    3.1    7.0    9.0   11.6   11.3    7.4    6.8    1.0    0.3    2.77    3.79   10.65    5.08    5.29
1926    1.3    4.1    2.8    4.6    5.8    8.6   12.1   11.5   10.6    4.4    3.1    1.3    1.83    4.42   10.76    6.04    5.86
1927    1.5    0.9    3.7    3.9    6.2    8.1   11.6   11.4    9.0    6.5    3.0   -0.0    1.24    4.60   10.37    6.18    5.51
1928    1.7    2.3    2.6    3.8    5.9    8.4   11.1   10.9    7.5    6.5    4.6    0.3    1.29    4.09   10.13    6.21    5.47
1929   -1.0   -2.9    0.1    1.8    5.7    8.2   10.5   10.6   10.3    5.7    3.1    2.9   -1.12    2.56    9.77    6.40    4.65
1930    2.7    0.2    1.5    4.4    6.4   10.1   10.9   11.2   10.0    6.9    2.9    1.6    2.00    4.08   10.75    6.60    5.76
1931    0.5    0.8   -0.1    4.0    6.7   10.1   11.2   10.4    7.7    4.6    4.6    2.5    0.94    3.55   10.55    5.62    5.26
1932    2.9   -0.2    0.2    3.0    6.3    8.6   11.7   12.7    9.2    5.2    3.9    2.7    1.79    3.16   11.04    6.10    5.55
1933   -0.6    0.8    2.5    3.8    7.1    9.6   12.4   12.0   10.1    6.6    2.9   -1.3    0.96    4.51   11.33    6.55    5.52
1934    0.6   -0.7    0.9    3.8    6.1    9.7   11.9   10.3    9.5    7.0    3.3    5.7   -0.44    3.58   10.63    6.64    5.72
1935    2.0    2.7    2.2    4.0    5.0   10.3   11.9   11.0    9.6    5.8    3.6    0.6    3.48    3.74   11.06    6.35    5.74
1936    1.3   -0.5    3.5    2.3    6.4    9.8   11.3   11.0   10.6    5.1    2.4    2.0    0.49    4.08   10.69    6.01    5.45
1937    2.1    2.8    0.2    5.3    7.3    9.1   11.7   11.6    8.6    6.7    1.9    0.4    2.32    4.24   10.81    5.75    5.66
1938    2.8    1.8    3.7    2.0    5.7    9.6   10.5   11.4    9.3    6.5    5.9    1.3    1.66    3.82   10.51    7.22    5.90
1939    1.9    2.1    2.5    3.9    6.0    8.9   11.0   11.7   10.2    4.7    5.7    0.3    1.76    4.14   10.54    6.82    5.75
1940   -4.3   -0.2    1.8    4.2    6.8   10.2   10.2   10.4    7.7    5.8    3.6    0.7   -1.44    4.29   10.27    5.69    4.75
1941   -1.5    0.4    1.2    2.5    4.2    9.5   11.9   10.4   10.0    6.4    3.4    2.2   -0.15    2.64   10.61    6.59    5.08
1942   -2.0   -2.7    1.4    4.3    5.8    8.4   10.9   11.7    9.4    6.9    1.8    4.0   -0.75    3.83   10.36    6.05    5.05
1943    2.4    2.1    1.9    5.7    6.7    9.4   11.1   11.5    8.6    6.7    2.8    0.8    2.85    4.75   10.65    6.02    5.81
1944    2.8    0.4    0.5    5.0    5.3    8.9   12.1   12.2    8.1    5.9    3.2    0.6    1.38    3.57   11.09    5.73    5.44
