Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for England SE and Central S
Areal series, starting in 1960
Last updated 01-Jan-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1960   14.2   11.2    3.0    3.2    0.0    0.0    0.0    0.0    0.0    1.4    3.7    9.0     ---     6.2     0.0     5.1    45.8
1961   10.9    0.2    7.2    0.0    1.1    0.0    0.0    0.0    0.0    0.8    6.1   17.9    20.1     8.3     0.0     6.8    44.1
1962    9.0   11.5   19.8    1.2    1.5    0.8    0.0    0.0    0.0    0.9    8.6   20.8    38.4    22.5     0.8     9.6    74.1
1963   29.5   26.3    7.4    2.0    0.1    0.0    0.0    0.0    0.0    0.0    1.7   17.4    76.6     9.4     0.0     1.7    84.3
1964   10.8    9.3    8.9    2.7    0.0    0.0    0.0    0.0    0.0    2.4    3.6   15.5    37.5    11.5     0.0     6.0    53.2
1965   14.4   15.4   11.3    1.8    0.3    0.0    0.0    0.0    0.0    0.4   12.5    8.5    45.3    13.4     0.0    12.9    64.6
1966   15.4    3.3    6.0    2.1    0.0    0.0    0.0    0.0    0.0    0.3    5.5    5.6    27.2     8.1     0.0     5.8    38.2
1967   11.1    9.0    2.0    2.8    1.7    0.0    0.0    0.0    0.0    0.0    6.3   13.3    25.7     6.4     0.0     6.3    46.1
1968   13.4   18.4    5.3    9.4    0.1    0.0    0.0    0.0    0.0    0.0    3.8   13.3    45.0    14.7     0.0     3.8    63.7
1969    6.2   18.2   11.5    6.6    0.0    0.0    0.0    0.0    0.2    0.3    9.0   13.5    37.8    18.1     0.0     9.5    65.6
1970    9.5   14.0   15.3    8.0    0.0    0.0    0.0    0.0    0.0    0.4    1.7   14.0    37.1    23.3     0.0     2.1    63.0
1971    7.0    9.5   10.1    2.7    1.2    0.0    0.0    0.0    0.0    1.0   10.4    4.7    30.5    13.9     0.0    11.5    46.5
1972   10.2    2.8    5.1    0.6    0.0    0.0    0.0    0.0    0.0    0.7    8.6    4.3    17.7     5.7     0.0     9.4    32.4
1973   11.1   13.4   12.6    3.1    0.4    0.0    0.0    0.0    0.0    1.8   11.2    9.9    28.8    16.0     0.0    13.0    63.4
1974    3.1    5.7    7.3    1.9    1.0    0.0    0.0    0.0    0.0    1.4    0.6    1.2    18.7    10.2     0.0     2.1    22.3
1975    1.9    8.2    7.2    6.4    0.3    0.0    0.0    0.0    0.0    0.4    7.2   12.5    11.3    13.9     0.0     7.6    44.1
1976    9.1    9.3   11.2    4.9    0.1    0.0    0.0    0.0    0.0    0.0    5.7   17.7    30.9    16.1     0.0     5.7    58.0
1977   14.4    5.1    4.2    7.4    0.5    0.0    0.0    0.0    0.0    0.0    6.6    2.9    37.2    12.1     0.0     6.6    41.1
1978   13.1   14.8    5.1    5.9    0.0    0.0    0.0    0.0    0.0    0.1    5.2   11.4    30.7    11.0     0.0     5.3    55.5
1979   25.5   18.9    7.4    4.5    3.9    0.0    0.0    0.0    0.0    0.4    7.4    7.2    55.7    15.8     0.0     7.7    75.1
1980   18.6    5.2    7.3    2.4    0.8    0.0    0.0    0.0    0.0    1.9    8.1    8.9    30.9    10.4     0.0    10.0    53.1
