Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for England SE and Central S
Areal series, starting in 1884
Last updated 01-Jan-2022 11:00
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    3.5    2.6    2.5    2.5    6.3    9.0   11.6   11.5   10.5    4.8    2.1    2.1     ---    3.77   10.75    5.79    5.76
1885   -0.0    3.2    0.4    3.2    4.8    9.2   10.8    9.4    8.3    3.9    3.2    0.4    1.69    2.78    9.82    5.11    4.72
1886   -1.1   -1.8    0.2    3.4    6.1    8.6   11.0   11.1    9.9    7.8    3.1   -1.0   -0.80    3.23   10.27    6.91    4.81
1887   -1.6   -0.1   -0.1    1.2    5.3    9.2   11.4   10.0    7.6    2.7    1.7   -0.1   -0.92    2.13   10.23    3.98    3.96
1888   -0.3   -1.6   -0.1    2.0    5.3    8.9   10.1   10.1    8.5    2.8    5.6    2.0   -0.66    2.39    9.73    5.58    4.45
1889   -0.5   -0.9    0.5    3.4    8.3   10.4   10.9   10.3    8.3    5.1    3.6   -0.3    0.25    4.05   10.54    5.68    4.96
1890    2.6   -0.0    1.6    2.8    6.6    9.1   10.3   10.3    9.6    4.8    2.0   -4.1    0.80    3.68    9.92    5.47    4.67
1891   -2.6   -0.8    0.3    1.9    5.0    9.7   10.3   10.3    9.7    6.4    2.5    1.3   -2.56    2.42   10.10    6.18    4.53
1892   -1.0    0.4   -1.3    1.6    5.9    8.0   10.0   11.0    8.3    3.1    3.7   -0.8    0.22    2.06    9.69    5.01    4.08
1893   -1.3    1.8    1.7    3.9    7.4    9.7   11.8   12.1    8.4    6.1    1.4    0.7   -0.15    4.33   11.24    5.27    5.32
1894    0.2    1.4    2.1    5.3    5.0    9.3   11.5   10.9    8.0    6.3    4.7    2.0    0.73    4.11   10.57    6.29    5.56
1895   -2.4   -5.8    1.0    3.9    6.3    8.8   11.1   11.1   10.1    3.3    4.8    1.2   -1.92    3.73   10.39    6.02    4.52
1896    1.6    0.5    3.5    4.3    5.9   10.8   11.3    9.9    9.6    3.6    0.7    0.9    1.12    4.57   10.68    4.65    5.24
1897   -0.8    3.0    3.2    3.5    5.0   10.4   11.6   11.7    8.1    6.4    3.7    1.8    0.94    3.91   11.25    6.04    5.64
1898    3.4    1.2    0.3    3.3    7.0    8.9   10.5   11.9    9.8    8.2    4.1    4.2    2.17    3.56   10.46    7.37    6.11
1899    2.3    1.7   -0.2    4.1    5.4    9.6   12.4   12.6    9.2    4.9    5.1   -0.8    2.75    3.10   11.56    6.38    5.54
1900    1.2   -0.1    0.2    3.2    5.7    9.6   12.5   11.0    8.4    5.7    4.4    3.9    0.10    3.04   11.05    6.18    5.52
1901    0.2   -1.4    0.7    3.4    5.5    8.6   12.0   10.9    9.6    5.5    0.9    0.2    1.00    3.22   10.53    5.34    4.73
1902    1.8   -1.4    2.6    3.0    4.2    9.0   10.0   10.4    8.5    5.6    3.7    1.7    0.27    3.26    9.82    5.92    4.97
1903    1.7    3.4    3.5    2.0    6.5    8.0   10.8   10.2    9.1    7.7    3.1    0.9    2.25    4.01    9.65    6.64    5.58
1904    0.5    0.8    0.6    4.5    6.7    8.5   12.0   10.4    7.8    6.1    1.5    1.8    0.71    3.95   10.31    5.14    5.12
1905   -0.3    2.3    3.1    4.0    5.3   10.4   12.6   10.7    8.8    2.7    1.4    1.9    1.22    4.12   11.23    4.26    5.24
1906    2.1   -0.1    1.2    1.6    6.3    8.2   10.6   11.7    9.0    7.8    4.3   -0.3    1.33    3.02   10.16    7.05    5.22
1907    0.4   -0.9    0.9    3.2    6.5    8.9    9.5   10.2    8.8    6.6    3.5    2.6   -0.27    3.53    9.55    6.31    5.05
1908   -1.0    1.4    0.5    1.9    7.6    9.1   11.2   10.0    8.3    7.6    4.0    1.3    0.97    3.37   10.10    6.63    5.17
1909    0.3   -1.4    0.1    3.5    5.0    7.9   10.6   10.8    8.2    7.5    1.2    0.7    0.13    2.85    9.78    5.64    4.57
1910    0.8    1.8    1.5    3.4    6.6   10.2   10.3   11.2    8.4    7.9   -0.3    3.8    1.09    3.81   10.55    5.37    5.49
1911    0.4    1.2    1.8    3.0    7.5    9.7   12.0   13.1    9.0    6.0    2.9    3.7    1.81    4.11   11.60    5.99    5.89
1912    1.5    2.6    4.2    3.5    7.7    9.5   11.9    9.4    7.1    3.6    3.1    4.1    2.59    5.13   10.30    4.59    5.70
1913    2.2    1.5    3.0    4.0    6.9    9.1   10.2   10.5   10.1    7.9    4.8    2.3    2.65    4.63    9.94    7.61    6.07
1914   -0.1    3.0    2.7    4.4    6.0    9.0   11.4   11.4    8.3    6.4    3.4    2.3    1.70    4.34   10.64    6.02    5.69
1915    1.3    1.0    1.3    2.9    6.1    8.8   10.4   11.1    8.4    5.5   -0.2    3.2    1.53    3.43   10.13    4.58    5.02
1916    4.4    0.7    0.7    3.5    7.0    7.3   10.2   11.9    9.0    7.9    3.1   -0.6    2.81    3.72    9.82    6.68    5.44
1917   -0.6   -2.1   -0.5    0.8    7.5   10.3   11.1   12.0    9.9    3.6    4.5   -1.1   -1.07    2.61   11.13    5.97    4.65
1918    0.5    3.0    1.3    2.8    7.5    7.4   10.9   11.2    9.0    5.7    2.5    4.5    0.71    3.91    9.87    5.72    5.55
1919    0.2   -0.9    0.9    2.4    7.4    8.6    9.5   11.3    8.5    2.4    0.4    2.4    1.34    3.59    9.82    3.76    4.47
1920    1.8    2.3    3.0    5.2    7.3    9.7   10.5    9.0    8.7    6.9    2.7    1.8    2.19    5.17    9.74    6.09    5.75
1921    4.5    1.1    3.1    3.2    6.4    9.0   12.3   11.3    9.3    7.9    1.8    3.1    2.53    4.24   10.86    6.36    6.13
