Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for England SW and S Wales
Areal series, starting in 1960
Last updated 01-Jan-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1960   12.0   13.1    2.1    1.8    0.2    0.0    0.0    0.0    0.0    0.8    3.3   11.6     ---     4.0     0.0     4.0    44.6
1961    9.6    0.4    4.8    0.1    0.7    0.0    0.0    0.0    0.0    0.5    3.4   15.6    21.6     5.6     0.0     3.9    35.2
1962    6.4    9.0   19.9    1.7    0.4    0.1    0.0    0.0    0.1    0.8    7.4   15.5    31.0    22.0     0.1     8.3    61.4
1963   29.0   24.2    6.2    0.9    0.1    0.0    0.0    0.0    0.0    0.0    0.8   16.0    68.8     7.2     0.0     0.8    77.3
1964   10.1    9.4    9.2    2.9    0.0    0.0    0.0    0.0    0.0    1.4    3.5   14.2    35.5    12.1     0.0     4.9    50.7
1965   13.3   14.0   10.3    2.7    0.8    0.0    0.0    0.0    0.0    0.0   10.0    6.2    41.5    13.8     0.0    10.1    57.4
1966   12.2    4.1    3.2    3.1    0.0    0.0    0.0    0.0    0.0    1.0    4.8    2.6    22.6     6.3     0.0     5.8    31.1
1967    8.7    7.3    2.7    1.5    1.6    0.0    0.0    0.0    0.0    0.0    5.4    9.8    18.5     5.9     0.0     5.4    37.0
1968    8.6   19.4    6.4    8.6    0.6    0.0    0.0    0.0    0.0    0.0    4.7   12.0    37.9    15.6     0.0     4.7    60.4
1969    5.2   16.9   12.8    4.6    0.3    0.1    0.0    0.0    0.4    0.1    7.5   13.4    34.2    17.7     0.1     8.0    61.3
1970    9.1   13.1   13.5    7.4    0.0    0.0    0.0    0.0    0.0    0.3    1.4   13.0    35.6    20.9     0.0     1.7    57.8
1971    6.1    8.6    7.4    2.3    0.7    0.0    0.0    0.0    0.0    0.3    8.9    4.4    27.7    10.5     0.1     9.2    38.8
1972    8.3    3.1    4.9    0.4    0.1    0.0    0.0    0.0    0.0    1.2    7.0    3.1    15.8     5.3     0.0     8.2    28.0
1973    9.8    8.8    9.3    3.7    0.4    0.1    0.0    0.0    0.0    1.1    6.2    9.3    21.7    13.4     0.1     7.2    48.7
1974    3.3    4.9    8.1    2.6    0.6    0.0    0.0    0.0    0.2    1.1    0.6    0.9    17.5    11.3     0.0     1.8    22.1
1975    2.4    4.3    8.0    7.0    0.3    0.0    0.0    0.0    0.2    1.1    3.0    7.6     7.5    15.2     0.0     4.3    33.8
1976    7.1   10.2   10.0    4.3    0.6    0.0    0.0    0.0    0.0    0.1    3.5   15.4    24.9    14.9     0.0     3.6    51.2
1977   14.2    4.2    2.9    4.9    1.0    0.0    0.0    0.0    0.0    0.0    7.0    2.1    33.8     8.8     0.0     7.0    36.4
1978    9.0   13.7    4.5    6.1    0.0    0.0    0.0    0.0    0.0    0.1    4.5   10.3    24.8    10.6     0.0     4.6    48.2
1979   24.4   17.4    8.8    4.8    4.0    0.0    0.0    0.0    0.1    0.0    5.1    7.4    52.1    17.6     0.0     5.2    72.0
1980   18.8    2.8    6.7    2.1    0.4    0.0    0.0    0.0    0.0    0.5    7.1    7.9    29.0     9.1     0.0     7.6    46.2
1981    8.6   16.0    1.7    3.8    0.6    0.0    0.0    0.0    0.0    1.3    1.6   17.1    32.5     6.1     0.0     2.9    50.6
1982   10.4    7.0    4.0    2.4    2.3    0.0    0.0    0.0    0.0    0.3    3.8    9.1    34.5     8.7     0.0     4.1    39.4
1983    2.6   16.8    2.7    3.6    0.0    0.0    0.0    0.0    0.0    1.9    5.8    5.5    28.5     6.3     0.0     7.7    39.0
1984    9.6   10.1    7.8    6.1    1.1    0.0    0.0    0.0    0.0    0.4    1.8    6.7    25.3    15.0     0.0     2.2    43.5
1985   22.4   12.1   10.5    2.3    0.1    0.1    0.0    0.0    0.0    0.6    9.6    5.8    41.1    12.8     0.1    10.1    63.3
1986    9.7   24.4    6.6    7.1    0.0    0.0    0.0    0.0    0.2    0.3    1.4    5.3    39.9    13.7     0.0     1.9    55.0
1987   17.9   12.1   11.5    0.8    0.4    0.0    0.0    0.0    0.1    1.6    2.6    6.9    35.3    12.8     0.0     4.2    53.9
1988    2.9    6.5    3.9    3.7    0.1    0.0    0.0    0.0    0.0    1.2    9.9    1.3    16.3     7.7     0.0    11.1    29.6
1989    4.3    5.6    3.0    6.1    0.1    0.1    0.0    0.0    0.0    0.0    5.5    6.9    11.3     9.2     0.1     5.5    31.7
1990    2.1    0.6    2.9    5.9    0.0    0.0    0.0    0.0    0.0    0.1    4.2   10.6     9.6     8.9     0.0     4.3    26.5
1991   12.5   18.6    3.1    3.4    0.2    0.3    0.0    0.0    0.0    0.3    3.7    7.2    41.8     6.7     0.3     4.1    49.4
1992   15.0    6.5    1.7    2.1    0.1    0.0    0.0    0.0    0.0    3.2    1.0   10.6    28.6     4.0     0.0     4.2    40.2
1993    3.7    4.6    7.2    0.7    0.5    0.0    0.0    0.0    0.0    4.8    7.5    5.4    18.9     8.4     0.0    12.3    34.3
1994    5.8    9.6    1.3    2.7    0.2    0.0    0.0    0.0    0.0    0.9    0.1    4.1    20.7     4.1     0.0     1.0    24.5
1995    6.4    1.8    9.3    2.8    1.2    0.0    0.0    0.0    0.0    0.0    4.3   14.7    12.2    13.2     0.0     4.3    40.5
1996    7.9   16.9    7.5    4.5    2.5    0.0    0.0    0.0    0.0    0.0    8.3   15.2    39.6    14.4     0.0     8.4    62.8
1997   15.4    3.3    1.7    2.8    0.7    0.0    0.0    0.0    0.0    2.9    1.3    7.1    33.9     5.2     0.0     4.2    35.2
1998    9.2    3.8    1.4    3.6    0.1    0.0    0.0    0.0    0.0    0.5    3.6    8.2    20.1     5.0     0.0     4.1    30.3
1999    5.9    5.3    2.9    3.7    0.0    0.0    0.0    0.0    0.0    0.3    2.0    5.5    19.4     6.6     0.0     2.2    25.6
2000   10.3    3.4    3.3    3.2    0.0    0.0    0.0    0.0    0.0    0.1    1.1    7.0    19.2     6.5     0.0     1.2    28.3
2001   10.4   12.0    7.6    2.8    0.2    0.0    0.0    0.0    0.0    0.0    3.8   14.2    29.3    10.6     0.0     3.8    51.0
2002    5.2    3.8    3.0    1.9    0.0    0.0    0.0    0.0    0.0    1.2    0.2    4.7    23.2     5.0     0.0     1.4    20.1
2003   11.2   10.4    4.1    3.7    0.3    0.0    0.0    0.0    0.1    5.0    2.4    6.7    26.3     8.1     0.0     7.5    43.9
2004    7.5   11.1    7.2    0.8    0.1    0.0    0.0    0.0    0.0    0.0    2.0    6.0    25.3     8.0     0.0     2.0    34.6
2005    2.9   11.4    7.7    1.9    0.5    0.0    0.0    0.0    0.0    0.0   11.0    9.5    20.3    10.1     0.0    11.0    44.9
2006   11.1   11.3    9.7    3.9    0.0    0.0    0.0    0.0    0.0    0.0    3.9    5.0    31.9    13.7     0.0     3.9    44.9
2007    3.7    5.2    2.7    0.5    0.2    0.0    0.0    0.0    0.1    0.3    4.5    9.4    13.9     3.3     0.0     4.9    26.4
2008    2.1    8.4    4.0    5.4    0.0    0.0    0.0    0.0    0.0    1.4    2.9   14.2    19.9     9.4     0.0     4.3    38.4
2009   13.8   10.2    5.1    1.0    0.0    0.0    0.0    0.0    0.0    0.3    0.1   13.0    38.2     6.1     0.0     0.4    43.5
2010   19.1   11.9   11.6    2.7    1.1    0.0    0.0    0.0    0.1    2.2    8.4   23.8    43.9    15.3     0.0    10.7    80.7
2011   13.5    2.8    7.7    0.1    0.0    0.0    0.0    0.0    0.0    0.1    0.5    2.3    40.1     7.8     0.0     0.7    27.2
2012    6.4   11.5    1.6    3.9    0.1    0.0    0.0    0.0    0.0    1.2    3.7    7.8    20.2     5.6     0.0     4.8    36.2
2013   11.1   10.6   16.9    7.5    0.5    0.0    0.0    0.0    0.0    0.0    4.7    2.8    29.4    24.8     0.0     4.7    53.9
2014    3.8    1.0    2.8    0.2    0.0    0.0    0.0    0.0    0.0    0.0    2.0    7.9     7.6     3.0     0.0     2.0    17.8
2015    7.6   11.4    4.5    0.9    0.0    0.0    0.0    0.0    0.0    0.1    2.1    0.0    27.0     5.4     0.0     2.1    26.6
2016    5.4    8.3    6.2    3.8    0.2    0.0    0.0    0.0    0.0    0.0    4.5    6.2    13.6    10.2     0.0     4.6    34.6
2017   10.2    5.0    1.0    2.3    0.2    0.0    0.0    0.0    0.0    0.2    4.7    7.0    21.4     3.5     0.0     4.9    30.6
2018    5.8   13.5    8.8    0.9    0.4    0.0    0.0    0.0    0.2    3.2    2.8    1.9    26.3    10.1     0.0     6.1    37.3
2019   10.3    5.1    1.6    2.0    1.3    0.0    0.0    0.0    0.0    0.6    2.8    4.3    17.2     4.9     0.0     3.5    28.0
2020    4.6    1.6    4.2    2.0    1.5    0.0    0.0    0.0    0.0    0.0    2.4    5.8    10.4     7.7     0.0     2.4    22.1
2021   14.4    9.1    5.0    9.3    1.6    0.0    0.0    0.0    0.0    0.0    4.0    2.6    29.4    15.9     0.0     4.0    46.0
