Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England SW and S Wales
Areal series, starting in 1919
Last updated 01-Jan-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1919   57.3   63.5  109.9  155.8  191.4  215.9  193.4  216.4  138.8  140.4   55.5   43.8     ---   457.1   625.7   334.6  1582.0
1920   50.4   69.6  111.1   91.6  183.5  185.4  130.4  145.1  118.0  102.0   60.5   49.8   163.9   386.2   460.9   280.4  1297.3
1921   28.8   74.5  105.0  224.2  230.6  255.1  248.1  153.3  161.9  134.2   53.9   38.1   153.2   559.8   656.5   350.0  1707.7
1922   45.3   71.5  119.4  171.9  237.1  211.2  165.1  118.3  117.2  120.2   62.4   37.1   154.8   528.4   494.6   299.8  1476.6
1923   51.4   63.9  103.1  121.0  184.9  160.1  165.3  204.4  147.6   91.3   98.1   52.4   152.3   409.0   529.7   337.0  1443.4
1924   47.6   72.4  157.1  151.8  153.7  156.6  194.6  141.2  108.8   76.5   57.5   45.0   172.4   462.6   492.4   242.9  1362.9
1925   35.3   75.7  113.1  169.1  153.3  317.4  183.9  153.8  140.6   99.1   89.0   55.3   156.1   435.5   655.0   328.7  1585.5
1926   42.7   41.9   85.4  143.3  171.8  224.5  180.9  177.6  107.0   94.6   56.5   50.5   139.9   400.6   583.0   258.1  1376.8
1927   46.4   61.0  115.2  155.7  195.9  182.1  129.7  164.5  104.7  107.8   59.6   24.0   157.9   466.9   476.3   272.1  1346.8
1928   59.8   83.5   89.9  148.0  176.8  177.1  229.9  177.9  185.0  107.9   56.1   41.5   167.3   414.7   584.9   349.0  1533.4
1929   55.0   57.1  197.5  171.8  218.6  234.1  227.3  160.3  189.0   99.4   63.6   60.5   153.6   587.8   621.6   352.0  1734.0
1930   46.2   76.1  105.3  142.4  134.0  232.0  175.2  173.4  129.1   93.2   64.4   38.7   182.8   381.8   580.6   286.6  1410.0
1931   72.0   70.0  124.3  109.0  147.4  161.0  136.4  154.7  112.1  114.8   65.5   38.3   180.7   380.7   452.2   292.4  1305.6
1932   42.8   79.3  142.5  133.6  112.9  237.5  129.5  165.2  112.7  102.3   51.0   45.7   160.4   388.9   532.1   265.9  1354.8
