Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for England SW and S Wales
Areal series, starting in 1884
Last updated 01-Jan-2022 11:00
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    8.7    7.7    8.8   10.3   15.0   17.9   18.7   20.8   17.8   12.8    8.8    7.3     ---   11.37   19.17   13.14   12.90
1885    5.7    8.8    8.2   11.1   12.4   18.0   20.3   18.7   16.1   10.9    8.8    6.6    7.21   10.56   18.99   11.94   12.14
1886    5.1    4.5    6.8   11.8   14.7   18.0   19.8   19.6   17.2   13.9    9.6    6.3    5.42   11.09   19.14   13.54   12.31
1887    5.9    7.0    7.3   10.7   13.6   21.2   21.7   20.8   15.5   11.3    7.4    6.3    6.38   10.55   21.27   11.39   12.43
1888    5.9    4.1    6.4    9.6   15.0   17.3   17.1   17.7   16.7   12.6   10.4    8.3    5.46   10.33   17.35   13.21   11.77
1889    6.2    6.3    8.1   10.6   15.8   19.8   19.1   18.2   17.0   12.1    9.9    6.8    6.98   11.48   19.02   12.99   12.52
1890    9.0    6.3    9.3   11.4   15.7   17.1   17.7   18.1   18.5   13.7    9.2    2.3    7.40   12.16   17.63   13.83   12.40
1891    5.0    9.1    7.2   10.4   13.8   18.8   18.3   17.2   17.6   12.7    8.9    8.1    5.34   10.48   18.12   13.05   12.27
1892    5.3    6.7    6.8   13.1   15.3   17.4   18.4   18.5   15.8   10.7   10.0    6.1    6.74   11.72   18.10   12.15   12.02
1893    5.1    7.9   12.4   16.7   17.9   20.7   20.0   21.2   17.3   13.6    8.3    8.1    6.32   15.65   20.65   13.09   14.14
1894    6.4    8.3   10.9   13.9   13.2   17.6   19.0   17.8   16.1   13.1   10.4    8.3    7.59   12.67   18.14   13.19   12.94
1895    3.5    1.6    8.8   11.8   17.8   20.3   18.9   19.0   20.8   11.4   10.9    7.4    4.57   12.80   19.40   14.31   12.73
1896    7.3    8.1   10.3   13.5   18.2   20.8   21.0   18.5   16.2   10.7    7.5    6.9    7.58   14.01   20.09   11.43   13.26
1897    4.4    8.7    9.6   10.8   14.9   19.7   21.4   19.7   16.0   14.2   10.7    8.5    6.60   11.81   20.26   13.62   13.23
1898    8.7    8.0    7.8   12.4   14.0   18.0   20.6   20.4   19.9   14.4   10.4   10.1    8.41   11.41   19.68   14.91   13.77
1899    8.0    9.0   10.0   11.3   14.4   21.0   21.4   23.8   17.9   14.2   11.3    6.2    9.04   11.87   22.09   14.48   14.07
1900    7.5    6.1    6.8   12.4   14.2   17.9   21.6   19.5   18.3   13.6    9.8    9.9    6.63   11.12   19.69   13.93   13.18
1901    6.4    5.2    7.3   12.5   16.9   17.8   22.1   19.6   17.2   13.4    8.5    6.9    7.23   12.23   19.85   13.04   12.86
1902    7.4    4.8   10.2   11.5   12.7   16.9   18.8   18.6   17.0   12.9    9.7    7.2    6.44   11.49   18.11   13.19   12.36
1903    7.0    9.2    9.8   10.4   14.8   16.3   18.4   17.3   16.3   13.5    9.6    6.2    7.76   11.70   17.34   13.14   12.43
1904    7.1    6.4    7.5   11.5   13.9   17.0   20.1   18.5   16.5   13.2    9.1    7.9    6.57   10.97   18.55   12.94   12.41
1905    6.7    7.7    9.9   10.7   15.0   18.1   20.4   18.1   15.7   11.4    8.3    7.7    7.42   11.87   18.86   11.77   12.49
1906    8.4    6.8    8.4   11.9   13.4   17.8   19.1   20.0   18.2   13.9   10.0    6.7    7.66   11.23   19.01   14.02   12.92
1907    6.4    5.9   10.5   10.9   13.9   15.0   18.2   17.7   18.4   12.9   10.0    7.6    6.34   11.77   16.97   13.76   12.31
