Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for England SW and S Wales
Areal series, starting in 1884
Last updated 01-Jan-2022 11:00
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    6.5    5.3    5.9    6.6   10.5   13.3   15.1   16.1   14.1    9.5    6.0    4.9     ---    7.66   14.85    9.87    9.50
1885    3.4    6.0    4.6    7.0    8.3   13.4   15.3   13.8   12.0    7.6    6.5    3.6    4.73    6.62   14.20    8.67    8.47
1886    2.2    1.7    3.7    7.7   10.3   13.3   15.5   15.4   13.3   11.0    6.8    3.0    2.54    7.24   14.73   10.39    8.70
1887    3.0    3.8    3.6    5.9    9.5   15.4   16.5   15.2   11.5    7.2    4.6    3.3    3.23    6.34   15.70    7.77    8.31
1888    3.2    1.5    3.2    6.2   10.2   13.0   13.6   13.8   12.2    8.5    8.0    5.4    2.70    6.51   13.51    9.56    8.26
1889    3.6    3.3    4.6    7.0   11.6   14.8   14.8   14.2   12.8    8.6    7.3    3.8    4.14    7.74   14.60    9.57    8.90
1890    6.1    3.3    5.9    7.4   11.4   13.2   14.0   14.2   14.1    9.8    6.3    0.0    4.42    8.21   13.79   10.08    8.83
1891    1.8    4.7    4.0    6.5    9.3   14.3   14.3   13.7   13.7    9.4    5.9    5.2    2.08    6.58   14.13    9.66    8.58
1892    2.5    4.0    2.9    7.8   10.8   12.8   14.3   14.8   12.0    7.1    7.1    3.3    3.90    7.17   13.99    8.72    8.30
1893    2.5    5.1    7.5   10.8   12.9   15.2   16.1   16.8   12.9    9.9    5.4    5.0    3.59   10.42   16.03    9.38   10.03
1894    3.6    5.2    6.6    9.5    9.1   13.2   15.0   14.1   11.7    9.7    7.7    5.8    4.59    8.37   14.13    9.70    9.29
1895    0.7   -1.9    5.1    8.0   11.7   14.3   14.8   14.8   15.4    7.5    8.1    4.7    1.60    8.26   14.62   10.29    8.64
1896    4.8    4.7    7.1    9.1   12.2   15.5   16.0   14.3   12.9    7.0    4.1    4.1    4.74    9.49   15.27    7.98    9.34
1897    2.0    6.4    6.5    7.4   10.0   15.0   16.5   15.5   12.0   10.7    7.7    5.5    4.09    7.97   15.67   10.10    9.61
1898    6.4    4.8    4.1    8.1   10.2   13.2   15.4   16.1   14.8   11.3    7.5    7.5    5.63    7.46   14.92   11.22    9.99
1899    5.2    5.6    5.4    7.8   10.0   15.2   16.5   18.0   13.8   10.0    8.6    3.2    6.15    7.71   16.58   10.79    9.96
1900    5.0    3.2    3.4    8.0    9.6   13.6   16.6   14.9   13.3    9.9    6.9    7.1    3.80    7.00   15.03   10.06    9.33
1901    3.7    2.3    4.1    8.1   11.5   13.3   17.0   15.3   13.5    9.8    5.1    4.0    4.47    7.90   15.23    9.48    9.03
1902    5.1    1.9    6.9    7.2    8.7   13.0   14.3   14.4   12.7    9.7    7.1    4.7    3.75    7.56   13.92    9.83    8.85
1903    4.7    6.6    6.8    6.6   10.7   12.2   14.5   13.7   12.7   10.7    6.9    3.9    5.29    8.05   13.47   10.10    9.17
1904    4.5    4.0    4.4    8.2   10.0   12.7   16.1   14.5   12.4   10.1    5.8    5.4    4.12    7.55   14.43    9.44    9.02
1905    4.0    5.4    6.6    7.7   10.4   13.9   16.2   14.2   12.0    7.5    5.0    5.3    4.90    8.24   14.79    8.18    9.05
