Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for England SW and S Wales
Areal series, starting in 1884
Last updated 01-Jan-2022 11:00
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    4.4    2.9    2.9    2.6    6.1    8.8   11.5   11.4   10.5    6.1    3.2    2.5     ---    3.88   10.58    6.61    6.09
1885    1.1    3.2    0.9    2.6    4.4    9.0   10.4    9.0    7.9    4.3    4.2    0.8    2.25    2.65    9.48    5.45    4.82
1886   -0.7   -1.0    0.6    3.4    6.0    8.8   11.1   11.2    9.6    8.2    4.1   -0.3   -0.31    3.35   10.39    7.29    5.11
1887    0.0    0.6   -0.2    0.9    5.6    9.6   11.3    9.7    7.6    3.2    1.8    0.3    0.11    2.09   10.20    4.19    4.21
1888    0.5   -0.9   -0.1    2.5    5.6    8.9   10.2   10.1    7.7    4.5    5.7    2.5   -0.04    2.68    9.75    5.95    4.79
1889    1.0    0.4    1.2    3.2    7.5    9.9   10.6   10.3    8.7    5.1    4.8    0.8    1.34    3.97   10.26    6.20    5.31
1890    3.1    0.4    2.4    3.2    7.1    9.4   10.3   10.4    9.8    6.0    3.3   -2.2    1.47    4.22   10.02    6.37    5.28
1891   -1.4    0.5    0.7    2.4    4.8    9.9   10.3   10.3    9.9    6.1    2.9    2.3   -1.11    2.65   10.20    6.30    4.92
1892   -0.3    1.2   -0.9    2.2    6.4    8.2   10.2   11.2    8.3    3.5    4.2    0.5    1.07    2.57    9.89    5.32    4.57
1893   -0.1    2.3    2.6    4.7    8.1    9.8   12.1   12.4    8.5    6.1    2.5    1.8    0.87    5.13   11.47    5.71    5.93
1894    0.8    2.3    2.2    4.9    5.1    9.2   11.2   10.7    7.4    6.3    5.0    3.2    1.62    4.06   10.40    6.26    5.72
1895   -2.2   -5.4    1.4    4.0    6.1    8.6   10.9   11.0   10.1    3.7    5.3    2.1   -1.32    3.83   10.16    6.33    4.68
