Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for England and Wales
Areal series, starting in 1960
Last updated 01-Jan-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1960   14.3   14.5    3.6    2.7    0.2    0.0    0.0    0.0    0.0    0.8    3.6   12.1     ---     6.5     0.0     4.4    51.8
1961   12.7    1.6    4.7    0.8    0.7    0.0    0.0    0.0    0.0    0.7    6.0   19.0    26.5     6.2     0.0     6.7    46.3
1962    8.6   10.4   21.2    2.7    0.9    0.6    0.0    0.0    0.0    1.3    8.8   19.7    38.1    24.8     0.6    10.1    74.3
1963   28.4   26.7    7.9    1.7    0.2    0.0    0.0    0.0    0.0    0.0    2.5   15.5    74.8     9.8     0.0     2.5    82.8
1964   12.8   10.3   10.6    2.4    0.0    0.0    0.0    0.0    0.1    2.3    4.5   16.3    38.6    13.1     0.0     6.9    59.4
1965   15.3   13.4   12.4    3.1    0.9    0.0    0.0    0.0    0.0    0.2   13.2    9.2    45.1    16.4     0.0    13.4    67.8
1966   15.3    7.2    5.5    4.2    0.1    0.0    0.0    0.0    0.0    1.0    5.8    6.6    31.7     9.8     0.0     6.8    45.8
1967   10.4    7.9    2.7    2.7    1.8    0.0    0.0    0.0    0.0    0.1    7.9   12.5    24.9     7.1     0.0     8.0    46.0
1968   12.5   20.5    6.7    9.3    0.8    0.0    0.0    0.0    0.0    0.0    4.3   13.9    45.5    16.9     0.0     4.3    68.2
1969    7.7   19.2   14.7    7.1    0.3    0.0    0.0    0.0    0.4    0.1    9.9   14.5    40.9    22.2     0.0    10.4    74.1
1970   10.9   15.2   16.1    8.7    0.0    0.0    0.0    0.0    0.0    0.7    2.8   12.5    40.6    24.8     0.0     3.5    66.9
1971    8.0    9.0    9.8    3.6    1.3    0.1    0.0    0.0    0.0    0.9   10.7    4.7    29.5    14.7     0.1    11.7    48.2
1972   10.4    5.8    6.5    0.7    0.1    0.0    0.0    0.0    0.1    1.0    8.2    5.4    20.9     7.3     0.0     9.3    38.3
1973   10.3   11.7   10.4    4.5    0.8    0.0    0.0    0.0    0.0    2.5    9.8   10.9    27.5    15.7     0.0    12.3    61.0
1974    4.9    6.4    7.7    3.3    1.1    0.0    0.0    0.0    0.2    1.4    2.8    1.8    22.2    12.1     0.0     4.5    29.6
1975    3.7    8.7    9.5    6.2    1.0    0.1    0.0    0.0    0.2    0.8    7.5    9.1    14.2    16.8     0.1     8.5    46.8
1976    8.9    9.9   12.5    4.3    0.2    0.0    0.0    0.0    0.0    0.1    6.2   18.5    27.9    16.9     0.0     6.3    60.7
1977   15.7    6.1    4.4    6.0    1.1    0.0    0.0    0.0    0.0    0.0    7.1    3.3    40.4    11.5     0.1     7.2    43.8
1978   13.2   16.1    5.4    6.7    0.0    0.0    0.0    0.0    0.0    0.1    5.3   13.1    32.6    12.2     0.0     5.5    60.1
1979   26.0   21.0   10.0    4.7    4.3    0.0    0.0    0.0    0.2    0.4    6.9    8.0    60.1    19.0     0.0     7.4    81.4
1980   18.5    5.1    9.1    2.9    1.0    0.0    0.0    0.0    0.0    2.0    7.1    9.2    31.6    13.1     0.0     9.1    55.0
1981   12.0   18.0    3.4    4.3    1.4    0.0    0.0    0.0    0.0    2.9    2.8   21.1    39.2     9.1     0.0     5.7    65.9
1982   13.6    8.6    6.1    3.3    2.0    0.0    0.0    0.0    0.0    0.7    4.3   12.7    43.4    11.4     0.0     5.0    51.4
1983    4.2   19.4    4.1    5.4    0.0    0.0    0.0    0.0    0.0    3.3    6.0    7.6    36.3     9.5     0.0     9.3    50.0
1984   13.1   11.9    7.3    7.3    1.7    0.0    0.0    0.0    0.0    0.6    1.2    8.8    32.7    16.3     0.0     1.7    51.9
1985   24.0   14.8   12.8    3.0    0.1    0.0    0.0    0.0    0.0    0.2   12.9    6.4    47.6    15.9     0.0    13.1    74.3
1986   13.7   24.6    8.9    6.7    0.0    0.0    0.0    0.0    0.5    0.5    1.3    7.0    44.7    15.7     0.0     2.3    63.2
1987   20.1   14.2   15.1    0.6    0.6    0.0    0.0    0.0    0.1    2.0    3.0    7.5    41.2    16.3     0.0     5.1    63.2
1988    5.4    8.0    5.9    4.5    0.1    0.0    0.0    0.0    0.1    2.0   12.3    1.6    21.0    10.4     0.0    14.4    39.9
1989    5.2    6.5    4.2    5.9    0.2    0.1    0.0    0.0    0.0    0.0    7.1    7.7    13.3    10.3     0.1     7.1    36.9
1990    2.9    1.8    3.8    6.3    0.1    0.0    0.0    0.0    0.0    0.3    3.8    9.8    12.4    10.2     0.0     4.0    28.7
1991   14.5   19.3    3.9    4.0    0.5    0.3    0.0    0.0    0.0    0.6    5.3   10.5    43.6     8.4     0.3     5.9    58.9
1992   14.8    8.0    1.8    2.0    0.2    0.0    0.0    0.0    0.0    4.3    2.8   13.0    33.3     4.0     0.0     7.1    47.0
1993    5.9    5.7    8.2    1.2    0.5    0.0    0.0    0.0    0.1    5.2   11.2    7.8    24.7     9.9     0.0    16.5    45.9
1994    8.3   13.5    2.1    2.7    0.3    0.0    0.0    0.0    0.0    0.8    0.7    7.0    29.6     5.1     0.0     1.5    35.4
1995   10.5    3.5   12.7    4.0    1.6    0.0    0.0    0.0    0.1    0.3    5.3   15.8    21.0    18.4     0.0     5.7    53.9
1996    8.1   18.9    9.4    5.4    3.3    0.0    0.0    0.0    0.0    0.0   12.1   14.9    42.9    18.2     0.0    12.2    72.4
1997   18.7    4.3    2.5    4.0    1.3    0.0    0.0    0.0    0.0    4.9    2.3    6.9    38.0     7.8     0.0     7.2    44.8
1998    9.1    4.6    3.6    3.9    0.1    0.0    0.0    0.0    0.0    0.9    6.3    9.2    20.5     7.6     0.0     7.2    37.8
1999    6.2    7.7    3.0    4.0    0.0    0.0    0.0    0.0    0.0    0.4    2.0    9.4    23.1     7.0     0.0     2.4    32.8
2000   10.1    5.3    4.8    4.3    0.0    0.0    0.0    0.0    0.0    0.2    1.5    8.4    24.8     9.2     0.0     1.7    34.6
2001   14.3   14.0    9.4    3.0    0.4    0.0    0.0    0.0    0.0    0.0    4.9   17.4    36.7    12.8     0.0     4.9    63.4
2002    8.0    4.4    4.6    3.1    0.1    0.0    0.0    0.0    0.0    1.9    0.4    4.9    29.7     7.7     0.0     2.3    27.2
2003   11.8   13.9    7.1    4.5    0.2    0.0    0.0    0.0    0.1    4.0    3.0   11.6    30.5    11.7     0.0     7.0    56.0
2004    9.2   11.3    6.2    0.8    0.1    0.0    0.0    0.0    0.0    0.0    4.3    8.5    32.2     7.1     0.0     4.3    40.4
2005    4.5   10.7    8.1    2.3    0.9    0.0    0.0    0.0    0.0    0.0   11.6   11.8    23.8    11.3     0.0    11.6    50.0
2006   10.4   10.5   12.3    3.7    0.1    0.0    0.0    0.0    0.0    0.0    3.5    5.8    32.7    16.1     0.0     3.5    46.3
2007    4.4    7.4    3.4    0.7    0.1    0.0    0.0    0.0    0.1    0.7    5.1   11.2    17.7     4.2     0.0     5.8    33.1
2008    3.3   11.5    6.0    5.6    0.2    0.0    0.0    0.0    0.0    2.5    4.4   15.0    25.9    11.7     0.0     6.9    48.3
2009   14.7   12.3    5.8    0.8    0.0    0.0    0.0    0.0    0.0    0.2    0.4   15.2    41.9     6.6     0.0     0.6    49.4
2010   18.3   15.7   10.4    3.0    1.7    0.0    0.0    0.0    0.0    2.2    9.8   23.7    49.2    15.2     0.0    12.0    84.9
2011   13.7    3.1    7.7    0.2    0.4    0.0    0.0    0.0    0.0    0.3    0.9    5.3    40.4     8.3     0.0     1.2    31.6
2012    8.8   13.0    2.4    4.6    0.7    0.0    0.0    0.0    0.1    1.3    4.9   10.1    27.1     7.7     0.0     6.3    45.9
