Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England and Wales
Areal series, starting in 1919
Last updated 01-Jan-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1919   41.9   54.6   94.4  127.3  223.3  205.6  144.3  199.9  144.3  128.7   47.1   33.7     ---   445.1   549.8   320.0  1445.2
1920   48.3   75.7  114.0   85.4  189.8  194.8  125.2  134.3  107.7  113.1   58.0   35.2   157.6   389.3   454.3   278.8  1281.5
1921   31.0   68.2  110.4  198.9  227.8  229.2  234.1  149.1  162.6  131.3   59.5   38.1   134.4   537.1   612.4   353.5  1640.3
1922   41.1   78.0   98.3  158.7  236.1  211.2  148.7  127.0  104.6  116.8   58.3   36.6   157.1   493.1   486.9   279.8  1415.5
1923   51.4   51.5   94.4  128.8  164.2  135.7  182.1  199.0  154.9   89.3   81.9   42.0   139.5   387.3   516.9   326.1  1375.2
1924   48.7   52.1  147.4  139.9  155.1  167.7  195.7  139.2  112.5   84.1   48.9   40.8   142.8   442.3   502.6   245.6  1332.1
1925   41.3   67.3   97.5  148.6  168.0  262.5  183.3  139.7  124.4   93.5   83.7   51.5   149.3   414.1   585.5   301.5  1461.0
1926   39.7   41.8   98.8  117.9  169.5  191.0  172.0  188.6  121.6  100.6   48.0   46.6   133.0   386.2   551.5   270.3  1336.2
1927   44.9   53.4  110.3  154.4  185.0  173.6  128.1  153.2  102.0   95.4   56.6   26.5   144.9   449.7   454.9   253.9  1283.3
1928   54.4   83.1   81.4  133.1  157.4  192.5  240.8  174.9  174.0  103.8   57.1   40.3   164.0   371.9   608.2   334.9  1492.9
1929   39.6   51.0  176.2  153.9  226.7  209.0  211.2  162.6  178.4  105.7   60.0   56.2   131.0   556.8   582.8   344.2  1630.6
1930   48.9   59.1  105.9  112.8  148.7  219.8  163.1  186.3  114.9  109.1   66.7   29.3   164.3   367.4   569.2   290.6  1364.6
1931   59.9   59.0  137.8  109.0  162.5  159.6  134.4  154.3  100.1  118.2   53.4   37.1   148.2   409.4   448.3   271.7  1285.4
1932   50.7   67.3  118.9  125.4  108.4  204.8  128.6  161.8  118.1   89.2   42.3   46.2   155.1   352.7   495.3   249.6  1261.9
1933   61.1   81.4  160.6  142.3  151.1  218.0  218.7  217.8  169.2   87.3   55.2   40.5   188.7   453.9   654.5   311.7  1603.1
1934   55.4   91.9  105.8  123.4  192.8  197.2  253.2  171.8  153.1   78.1   36.6   23.7   187.7   422.0   622.2   267.8  1482.8
1935   47.9   52.3  112.0  138.5  210.9  184.6  248.4  191.6  136.4   85.8   55.1   43.8   123.9   461.4   624.6   277.3  1507.4
1936   38.9   74.0   67.8  156.1  181.0  168.3  133.0  177.5  100.0  101.8   49.9   50.5   156.7   404.9   478.8   251.7  1298.8
1937   39.0   60.3   99.6   98.2  178.2  170.7  124.7  184.5  141.0   79.5   60.8   32.7   149.7   375.9   479.9   281.3  1269.0
1938   42.1   63.1  138.5  171.7  159.9  188.4  139.6  149.1  113.0  102.6   63.3   45.2   137.9   470.0   477.0   278.9  1376.4
1939   39.6   82.3   88.7  170.2  193.3  217.5  141.1  158.7  133.7   98.1   41.0   39.1   167.1   452.2   517.3   272.9  1403.5
1940   64.1   29.6  113.5  115.7  215.4  277.6  175.2  182.5  163.9   82.6   61.6   39.4   132.8   444.7   635.2   308.2  1521.1
1941   37.3   64.4  104.1  107.9  153.0  204.2  208.9  164.0  102.8  102.0   41.5   38.0   141.2   365.0   577.1   246.2  1328.1
1942   37.0   49.7   75.4  206.3  199.6  227.2  172.8  130.1  134.7   84.3   52.5   34.3   124.8   481.2   530.1   271.5  1403.9
1943   42.9   82.9  130.3  161.3  231.9  197.4  204.4  150.4  135.0   98.4   64.5   43.2   160.0   523.5   552.2   297.8  1542.5
1944   37.7   61.2  127.0  144.1  206.7  161.5  111.0  186.9  134.1   92.5   44.6   49.4   142.1   477.8   459.4   271.2  1356.8
1945   50.9   64.6  126.9  189.8  169.0  183.5  172.8  158.8   89.8   99.2   42.6   37.7   164.9   485.7   515.1   231.7  1385.6
1946   49.1   71.5  106.4  183.6  193.4  167.6  191.3  139.4  104.2   76.6   38.5   58.0   158.3   483.4   498.3   219.3  1379.7
1947   50.8   30.7   69.9  148.9  173.1  179.2  163.9  268.9  143.2  106.1   74.8   31.8   139.5   391.9   612.0   324.1  1441.3
1948   38.6   68.8  158.7  191.0  246.7  158.5  172.3  126.1  123.4   91.3   64.4   54.0   139.1   596.4   456.9   279.2  1493.8
1949   52.9  106.1  114.9  166.2  222.3  246.9  224.5  199.2  144.2   99.5   59.8   47.1   213.0   503.4   670.6   303.6  1683.7
1950   36.2   64.0  122.5  153.2  171.6  238.6  181.9  165.7  108.8   96.9   55.2   40.1   147.3   447.2   586.2   260.9  1434.6
1951   43.5   63.6   87.2  184.1  161.8  226.0  197.8  151.8  106.2  109.5   57.4   50.6   147.1   433.1   575.6   273.1  1439.5
1952   72.1   80.8   89.3  158.6  199.4  190.5  174.9  169.3  119.1  103.0   66.5   51.6   203.4   447.3   534.7   288.6  1475.2
1953   38.4   62.1  133.8  170.1  209.7  147.6  186.7  196.1  143.8   89.5   47.2   31.8   152.1   513.6   530.4   280.5  1456.7
1954   54.5   60.0   98.9  182.6  149.9  140.9  129.5  122.2  156.5   80.7   55.1   45.0   146.3   431.5   392.6   292.3  1275.9
1955   34.8   79.2  151.5  163.7  199.3  155.4  265.9  195.0  152.2  117.7   54.9   41.3   159.0   514.5   616.3   324.8  1610.9
1956   53.9   73.5  136.0  161.7  236.4  153.1  158.8  148.5   96.8  109.1   56.4   20.4   168.7   534.1   460.5   262.3  1404.7
1957   46.8   79.3   92.9  156.5  206.5  285.2  139.6  141.5  109.8   83.9   61.5   51.1   146.4   455.9   566.3   255.2  1454.6
1958   50.0   54.6  108.0  146.3  176.3  139.2  170.4  125.4  122.1   92.7   45.4   31.2   155.7   430.5   435.0   260.2  1261.6
1959   76.4   60.7   94.7  144.9  223.3  229.3  236.8  206.4  192.4  134.4   51.4   31.2   168.3   462.9   672.5   378.2  1681.8
1960   36.0   76.8   71.8  159.8  182.4  255.0  148.9  156.5  123.0   66.3   61.5   50.9   144.1   414.0   560.5   250.7  1388.9
1961   40.1   59.8  139.1   97.0  205.8  216.0  166.5  174.2  126.1  110.3   63.2   56.4   150.7   442.0   556.6   299.6  1454.5
1962   59.3   70.7  117.9  154.3  165.5  236.5  132.5  152.6  114.3  107.6   42.7   65.7   186.4   437.7   521.6   264.6  1419.6
1963   64.2   75.9  101.7  116.9  185.0  191.4  179.2  125.8  136.0   79.5   52.2   46.1   205.9   403.5   496.4   267.8  1354.0
1964   42.4   58.5   61.9  119.9  188.7  144.5  181.3  187.8  176.5  110.0   58.2   46.8   147.0   370.5   513.6   344.6  1376.4
1965   65.4   37.4  127.2  147.4  162.2  175.8  116.2  172.1  105.1  110.4   73.8   53.0   149.5   436.7   464.1   289.2  1345.9
1966   32.3   36.8  116.0   92.1  217.2  165.0  163.4  169.5  141.2   84.4   52.3   38.9   122.2   425.3   497.8   277.9  1309.0
1967   58.5   78.4  152.9  123.0  157.9  214.0  198.0  155.3  116.3   91.9   66.1   55.8   175.9   433.8   567.2   274.3  1468.0
1968   37.0   67.9  118.8  172.6  152.2  189.0  146.2  137.3  115.0   59.3   42.9   34.0   160.7   443.5   472.4   217.2  1272.1
1969   32.6   64.1   72.2  186.6  139.8  250.3  209.0  146.1  100.0  100.8   72.1   29.9   130.7   398.6   605.4   272.9  1403.5
1970   31.2   97.2  110.4  129.8  190.2  239.0  159.6  168.4  134.6   96.3   54.0   47.7   158.2   430.4   567.0   284.9  1458.4
1971   36.1   65.8   91.3  117.7  223.5  138.0  233.5  132.2  166.1  127.7   81.9   30.3   149.6   432.5   503.7   375.7  1444.1
1972   39.6   40.5  133.5  134.6  152.2  146.2  164.3  182.0  122.5   91.8   69.8   39.7   110.5   420.3   492.5   284.1  1316.7
1973   33.7   76.8  133.5  153.6  167.1  221.9  156.2  177.0  141.6   89.0   81.6   51.1   150.2   454.1   555.2   312.2  1483.1
1974   47.9   60.9   99.9  153.8  195.2  192.4  159.6  181.2  131.0   84.9   51.7   44.1   159.9   448.9   533.2   267.5  1402.5
1975   36.8   65.0   87.8  128.0  195.2  268.1  201.3  219.5  142.2  107.7   73.2   40.7   145.9   411.0   688.8   323.1  1565.5
1976   48.2   48.6  106.5  153.9  165.7  244.5  252.4  251.7  101.2   63.9   62.8   53.2   137.5   426.2   748.6   227.9  1552.6
1977   45.9   62.1   85.7  158.0  226.0  155.7  193.3  149.6  110.4  100.9   81.4   38.8   161.1   469.6   498.5   292.7  1407.6
1978   50.0   51.4  114.0  113.4  199.1  165.1  140.0  142.1  142.2   85.9   68.8   32.6   140.2   426.4   447.1   296.9  1304.4
1979   58.6   58.6   85.5  125.4  178.2  166.8  177.5  161.8  157.7  101.4   62.8   50.6   149.7   389.1   506.1   321.9  1384.9
1980   59.7   43.3   81.8  168.2  223.8  155.6  146.7  141.3  130.6  105.4   58.5   51.5   153.7   473.7   443.5   294.6  1366.3
1981   46.8   67.1   64.1  131.4  137.3  150.3  149.7  185.7  149.9  109.1   48.9   43.0   165.4   332.8   485.8   308.0  1283.5
