Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for England and Wales
Areal series, starting in 1884
Last updated 01-Jan-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    5.7    4.7    5.7    6.4   10.6   13.3   15.5   16.4   14.0    8.8    5.1    3.9     ---    7.58   15.05    9.28    9.19
1885    2.3    5.2    4.0    7.1    8.3   13.4   15.5   13.3   11.7    7.0    5.4    3.1    3.79    6.46   14.07    8.02    8.04
1886    1.5    0.9    3.4    7.1    9.8   12.7   15.3   15.3   13.2   10.7    6.1    1.9    1.86    6.75   14.45   10.01    8.20
1887    1.8    3.5    3.3    5.8    8.9   14.8   16.7   15.0   11.2    6.8    4.2    2.5    2.34    6.04   15.53    7.40    7.91
1888    2.7    1.3    2.6    5.7   10.0   12.6   13.1   13.7   11.9    7.7    7.3    4.5    2.18    6.12   13.14    8.94    7.78
1889    2.7    2.5    4.1    6.5   12.0   14.8   14.5   14.2   12.3    8.3    6.4    2.8    3.25    7.56   14.49    8.96    8.45
1890    5.3    2.8    5.6    6.6   11.1   13.2   13.9   13.9   14.3    9.3    5.4   -0.9    3.65    7.77   13.69    9.66    8.40
1891    0.9    4.1    3.6    5.7    8.9   13.9   14.3   13.7   13.6    9.1    5.1    3.8    1.27    6.06   13.95    9.30    8.08
1892    1.7    2.9    2.3    6.9   10.8   12.6   13.6   14.7   11.8    6.6    6.1    1.8    2.79    6.64   13.63    8.16    7.65
1893    1.7    4.2    6.9    9.6   12.2   14.8   15.7   16.8   12.5    9.5    4.7    4.1    2.49    9.59   15.77    8.91    9.43
1894    2.7    4.4    6.1    9.1    8.6   13.0   15.2   13.9   11.2    8.9    7.3    4.7    3.74    7.92   14.07    9.13    8.79
1895   -0.3   -2.3    4.7    7.7   11.5   13.9   14.8   15.2   15.1    6.9    7.1    3.5    0.81    7.97   14.62    9.69    8.21
1896    4.2    4.0    6.3    8.4   11.3   15.4   15.8   13.9   12.6    6.7    4.0    3.4    3.88    8.68   15.02    7.74    8.84
1897    1.1    5.2    6.1    6.6    9.4   14.5   15.8   15.7   11.6    9.7    6.9    4.4    3.15    7.38   15.35    9.40    8.94
1898    5.8    4.1    3.7    7.7    9.9   12.9   14.8   15.9   14.7   10.9    6.7    6.6    4.80    7.12   14.54   10.77    9.52
1899    4.4    4.6    4.6    7.4    9.4   14.7   16.7   17.3   13.1    9.0    8.0    1.9    5.26    7.13   16.23   10.02    9.28
1900    3.8    2.2    3.1    7.7    9.6   13.9   17.0   14.7   13.2    9.2    6.6    6.6    2.64    6.78   15.23    9.68    9.01
1901    2.9    1.6    3.7    7.9   10.8   13.3   17.1   15.4   13.4    9.2    4.5    3.0    3.77    7.47   15.29    9.02    8.61
1902    4.3    1.0    6.2    7.0    8.2   13.0   14.1   13.8   12.4    9.1    6.4    4.2    2.82    7.14   13.63    9.29    8.35
1903    3.7    6.3    6.5    5.9   10.3   12.2   14.6   13.7   12.5   10.0    6.0    2.9    4.65    7.59   13.51    9.51    8.73
1904    3.5    3.0    3.9    8.3   10.2   12.8   16.3   14.6   12.2    9.4    5.0    3.7    3.16    7.43   14.57    8.85    8.58
1905    3.2    4.6    6.3    6.9   10.1   14.0   16.7   14.3   11.9    6.7    4.5    4.5    3.78    7.77   15.00    7.73    8.67
1906    4.8    2.8    4.5    6.6    9.9   13.4   15.2   16.3   13.5   10.5    6.9    2.7    4.04    7.01   14.95   10.30    8.95
1907    3.0    2.3    5.8    7.0    9.9   12.0   13.6   14.0   13.3    9.4    6.2    4.3    2.69    7.61   13.21    9.66    8.46
1908    2.1    4.7    3.8    5.6   11.7   13.6   15.3   14.1   12.5   11.6    7.0    3.7    3.70    7.05   14.34   10.38    8.83
1909    2.9    2.5    3.0    8.2   10.2   11.4   14.2   15.1   11.6   10.0    4.5    3.4    3.08    7.12   13.60    8.74    8.14
