Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for England and Wales
Areal series, starting in 1884
Last updated 01-Jan-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    3.3    1.9    2.1    2.3    5.6    8.2   11.0   11.0    9.7    5.0    2.1    1.5     ---    3.33   10.08    5.63    5.33
1885    0.1    2.2    0.2    2.6    4.0    8.5   10.2    8.8    7.4    3.7    2.8    0.2    1.22    2.27    9.19    4.63    4.23
1886   -1.2   -1.7    0.2    2.8    5.4    8.1   10.6   10.8    9.1    7.6    3.2   -1.1   -0.88    2.79    9.83    6.65    4.51
1887   -1.2   -0.1   -0.2    1.0    4.9    9.1   11.2    9.5    7.3    3.0    1.5   -0.4   -0.82    1.93    9.92    3.88    3.82
1888   -0.0   -1.2   -0.5    2.0    5.0    8.1    9.4    9.5    7.6    3.3    4.9    1.6   -0.52    2.18    9.01    5.24    4.15
1889   -0.1   -0.6    0.5    2.8    7.6    9.6   10.0   10.0    8.2    4.8    3.5   -0.1    0.33    3.64    9.89    5.46    4.71
1890    2.1   -0.1    1.8    2.2    6.2    8.9    9.8    9.7    9.6    5.3    2.0   -3.3    0.66    3.42    9.48    5.63    4.55
1891   -2.3   -0.2    0.1    1.5    4.4    9.1    9.9    9.9    9.2    5.5    2.1    0.5   -1.98    2.01    9.67    5.60    4.17
1892   -1.2   -0.1   -1.7    1.2    5.8    7.7    9.4   10.3    7.7    3.0    3.2   -1.2   -0.24    1.77    9.16    4.61    3.69
1893   -1.0    1.2    1.5    3.3    7.0    9.2   11.2   11.9    7.8    5.5    1.5    0.9   -0.38    3.96   10.79    4.95    5.03
1894   -0.1    1.0    1.3    4.3    4.3    8.6   10.8   10.1    7.3    5.5    4.4    1.9    0.57    3.31    9.85    5.69    4.97
1895   -3.1   -5.9    1.0    3.4    5.8    8.2   10.4   10.7    9.4    3.0    4.0    0.8   -2.23    3.40    9.80    5.45    4.04
1896    1.5    0.6    2.6    4.1    5.6   10.3   10.6    9.6    9.2    3.1    0.8    0.7    0.99    4.11   10.18    4.34    4.91
1897   -1.2    2.6    2.7    2.7    4.6    9.9   10.7   11.2    7.4    5.8    3.9    1.4    0.61    3.33   10.60    5.69    5.14
1898    3.3    0.9   -0.1    3.1    6.1    8.3    9.7   11.1    9.4    7.7    3.7    3.8    1.88    3.06    9.73    6.91    5.61
1899    1.5    1.0   -0.1    3.6    4.8    9.0   11.7   11.6    8.8    4.4    4.9   -1.0    2.12    2.77   10.82    6.01    5.04
1900    1.2   -1.0   -0.2    2.9    5.1    9.4   11.8   10.3    8.2    5.3    3.8    3.8   -0.23    2.60   10.50    5.79    5.10
1901    0.2   -1.2    0.5    3.0    5.4    8.2   11.9   10.6    9.2    5.2    1.1    0.2    1.01    2.95   10.27    5.17    4.56
1902    1.6   -2.0    2.5    2.3    4.0    8.6    9.4    9.4    8.0    5.9    3.6    1.7    0.00    2.94    9.14    5.83    4.63
1903    1.1    3.2    3.0    1.7    5.9    7.6   10.2    9.6    8.4    7.0    2.9    0.6    1.98    3.53    9.15    6.10    5.11
1904    0.7    0.4    0.4    4.2    5.9    8.0   11.4   10.0    7.7    5.6    1.7    0.9    0.58    3.52    9.82    5.00    4.76
1905    0.2    1.7    2.6    3.3    5.1    9.4   11.8   10.0    8.1    2.8    1.4    1.9    0.92    3.67   10.41    4.10    4.89
