Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for Northern Ireland
Areal series, starting in 1960
Last updated 01-Jan-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1960   14.8   19.2    3.0    1.4    0.1    0.0    0.0    0.0    0.0    0.1    3.3   15.7     ---     4.4     0.0     3.4    57.5
1961   11.5    3.1    0.7    3.5    0.1    0.0    0.0    0.0    0.0    0.0    5.1   19.1    30.3     4.3     0.0     5.1    43.1
1962   11.8    7.0   18.5    6.5    0.3    0.4    0.0    0.0    0.0    0.4    4.8    9.8    37.9    25.2     0.4     5.2    59.4
1963   27.0   22.7    8.7    2.6    0.2    0.0    0.0    0.0    0.1    0.0    5.7   11.4    59.5    11.5     0.0     5.8    78.4
1964    4.1    9.8    7.7    2.4    0.0    0.0    0.0    0.0    0.0    1.2    5.4   11.5    25.3    10.1     0.0     6.7    42.3
1965   15.9   11.6    8.7    1.5    1.7    0.0    0.0    0.0    0.0    0.4   11.9    9.3    39.0    11.9     0.0    12.3    61.1
1966   12.9    5.9    3.8    6.4    0.0    0.0    0.0    0.0    0.0    1.6    8.5    5.5    28.1    10.2     0.0    10.0    44.6
1967    7.9    6.0    4.3    3.7    2.4    0.0    0.0    0.0    0.0    0.2    5.7    9.3    19.3    10.4     0.0     5.9    39.4
1968    8.9   21.8    8.0    9.3    2.9    0.0    0.0    0.0    0.0    0.0    4.7   13.6    39.9    20.3     0.0     4.7    69.2
1969   10.0   18.0   14.7    8.0    0.5    0.0    0.0    0.0    0.1    0.2   14.7   12.5    41.6    23.2     0.0    15.0    78.7
1970   11.3   17.4   13.0    8.5    0.0    0.0    0.0    0.0    0.0    0.0    6.0    8.1    41.1    21.5     0.0     6.0    64.2
1971    8.8    7.6    8.1    3.9    0.4    0.0    0.0    0.0    0.3    1.4    7.1    5.3    24.6    12.4     0.0     8.8    43.0
1972   11.6    7.2    9.6    2.1    0.1    0.0    0.0    0.0    0.6    0.1    7.5    9.6    24.0    11.7     0.0     8.3    48.4
1973    6.4   10.5    9.3    5.3    2.5    0.0    0.0    0.0    0.0    2.4    8.1    8.1    26.5    17.2     0.0    10.5    52.7
1974    6.1    7.1    8.8    3.8    0.3    0.0    0.0    0.0    0.8    0.1    6.1    1.4    21.3    12.8     0.0     6.9    34.3
1975    6.9    6.0   10.5    5.3    1.3    0.4    0.0    0.0    0.4    0.9    3.7    5.2    14.3    17.1     0.4     5.1    40.6
1976    7.3    7.6    8.1    3.5    0.1    0.0    0.0    0.0    0.0    0.5    6.3   17.2    20.0    11.8     0.0     6.8    50.6
1977   16.9   10.5    2.1    5.3    2.4    0.0    0.0    0.0    0.1    0.0    8.7    2.8    44.5     9.8     0.0     8.9    48.9
1978   13.5   13.2    6.4    6.1    0.4    0.0    0.0    0.0    0.0    0.0    4.5    9.1    29.6    13.0     0.0     4.5    53.3
1979   24.7   17.7   13.6    4.7    5.7    0.0    0.0    0.0    0.1    0.3    6.5   11.5    51.5    24.0     0.0     6.8    84.7
1980   17.6    8.4   11.5    1.9    0.2    0.0    0.0    0.0    0.0    0.6    5.8    9.1    37.5    13.6     0.0     6.4    55.1
1981    7.8   10.8    3.8    3.8    1.4    0.0    0.0    0.0    0.0    3.8    2.6   16.2    27.7     8.9     0.0     6.4    50.1
1982   13.1    8.5    6.1    2.8    2.9    0.0    0.0    0.0    0.0    0.3    5.0   14.9    37.8    11.8     0.0     5.4    53.6
1983    5.5   13.5    4.3   11.4    0.2    0.0    0.0    0.0    0.0    1.9    5.4    3.9    33.8    15.9     0.0     7.3    46.0
1984   19.0    8.5   10.7    4.9    2.4    0.0    0.0    0.0    0.1    1.9    6.3    7.1    31.4    17.9     0.0     8.2    60.8
1985   24.5   13.0   11.3    2.0    0.3    0.0    0.0    0.0    0.0    0.1   15.1    6.9    44.6    13.5     0.0    15.2    73.0
1986   14.9   21.0    9.5    8.9    0.0    0.0    0.0    0.0    0.6    0.1    3.8    9.0    42.7    18.5     0.0     4.5    67.9
1987   15.8   13.8   11.4    1.9    0.2    0.0    0.0    0.0    0.0    2.7    2.7    6.1    38.6    13.6     0.0     5.5    54.8
1988    9.9    9.6    3.4    3.1    0.5    0.0    0.0    0.0    0.0    2.5    7.2    0.1    25.7     7.0     0.0     9.7    36.4
1989    2.9    7.7    6.7    7.7    0.2    0.0    0.0    0.0    0.0    0.0    4.3   10.7    10.7    14.5     0.0     4.3    40.1
1990    4.0    5.7    2.0    2.6    0.0    0.0    0.0    0.0    0.0    0.0    7.0   12.4    20.4     4.7     0.0     7.0    33.8
