Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Northern Ireland
Areal series, starting in 1862
Last updated 01-Jan-2022 11:00
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1862  148.8   38.7   97.6   93.4  103.7   85.2  122.3   71.5   55.2  151.7   64.7  118.7     ---   294.6   279.0   271.7  1151.5
1863  107.4   37.0   54.0   62.0   66.3  131.6   11.7  109.7  127.3  151.3   99.6   82.5   263.1   182.4   253.0   378.1  1040.4
1864   59.7   55.3   87.4   68.0   62.8   85.3   49.5   65.3   96.7   62.0  145.5   55.8   197.5   218.2   200.1   304.2   893.2
1865  115.8  120.6   81.5   32.7  104.7   17.2   52.1  134.5   16.2  154.0  114.2   96.3   292.1   218.9   203.8   284.4  1039.7
1866  158.2  100.8   86.9   43.5   41.9   62.1   70.9  121.5  117.5   66.4  135.6  135.0   355.3   172.3   254.5   319.5  1140.3
1867  143.4   94.8   65.2  127.4   94.3   39.8  174.4   78.2   52.6  173.3   40.2   71.9   373.1   286.9   292.5   266.0  1155.3
1868  126.8   96.5  125.7   66.2   58.5   25.4   25.7  136.3   52.7   77.8  129.3  163.2   295.2   250.4   187.4   259.8  1084.1
1869  101.9  145.7   65.1   83.3   69.9   41.7   63.6   53.0  123.0   54.8  158.1  152.9   410.8   218.3   158.3   335.9  1113.0
1870   95.3   92.3   40.8   42.9   63.3   45.5   55.8   65.6   89.9  253.1   57.4  101.6   340.4   146.9   166.9   400.4  1003.5
1871  114.2   92.2   60.5  112.3   18.9   64.7  154.6   77.5   88.2   71.8   70.3   67.2   308.0   191.7   296.8   230.3   992.4
1872  164.1  115.6   78.2   90.2   70.1  128.0   68.4  115.7  161.4  143.8  151.3  165.7   346.9   238.4   312.1   456.6  1452.6
1873  130.7   26.2   61.4   14.7   59.9   45.8  130.5  150.5   85.3   96.4   71.9   33.8   322.6   136.0   326.8   253.7   907.2
1874   65.5   60.4   61.3   59.3   38.3   53.6   75.4  118.8  107.9  112.4  116.6  120.3   159.7   159.0   247.8   337.0   989.9
1875  147.0   38.3   46.1   16.3   60.6   88.7   80.6   98.2  129.6  153.2  137.4   67.7   305.5   123.0   267.6   420.2  1063.8
1876   52.9  124.0  116.5   64.3   17.4   64.9   52.6  105.1  119.6  126.0  113.9  229.8   244.6   198.2   222.6   359.4  1186.9
1877  197.8   94.5   84.2   90.6   76.9   83.5  113.6  119.8   58.6  116.4  149.0  114.0   522.1   251.8   316.8   324.0  1298.9
1878  120.4   53.5   54.6   60.3  121.5   91.6   26.1  113.8  111.9  114.6   78.6   83.0   287.8   236.4   231.4   305.2  1029.9
1879   66.9   62.8   64.3   63.2  107.9  141.3  163.0  110.8  136.0   50.5   39.1   58.0   212.8   235.4   415.1   225.6  1063.9
1880   51.8   76.0   66.4  111.9   33.2   85.3  146.9   43.9   99.6   42.1  118.7   94.2   185.8   211.5   276.1   260.4   970.0
1881   23.0  120.9  103.8   52.9   69.3  109.6   76.3  114.2   69.0   94.4  111.1  107.0   238.2   226.0   300.2   274.5  1051.7
1882   64.8   73.0   85.9   88.4   68.9  103.5  165.1   98.0  109.9   79.7  170.5  117.2   244.8   243.2   366.7   360.2  1225.0
1883  144.4  114.5   50.8   47.2   60.5   58.3   84.9  140.6  147.8  105.8  127.4   79.9   376.1   158.5   283.8   381.0  1162.2
1884  161.0  107.8   97.4   44.6   85.6   26.9  100.7   81.8   90.9   99.0  110.0  115.8   348.6   227.6   209.3   299.9  1121.3
1885   75.7  115.6   68.1   64.9   68.3   19.5   54.8   60.6  151.0  111.2   67.7   58.5   307.2   201.4   134.9   329.9   915.9
1886  140.9   83.9   97.1   58.6  110.7   53.6   91.8   66.6   95.6  125.9  102.7  148.6   283.3   266.3   211.9   324.2  1176.0
1887   79.9   57.0   38.5   54.4   54.9   21.6   90.8   97.6   95.6   60.1   79.3   97.7   285.6   147.8   209.9   235.1   827.4
1888   73.0   26.5   94.4   58.2   78.0  125.7  160.2  117.6   38.8   48.7  142.9  108.3   197.3   230.6   403.5   230.4  1072.3
