Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Northern Ireland
Areal series, starting in 1919
Last updated 01-Jan-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1919   56.7   75.6  112.7  149.3  195.6  155.8  179.4  170.5  128.4   97.6   69.8   40.7     ---   457.6   505.7   295.8  1432.0
1920   48.9   61.7  101.8  112.6  154.1  171.6  109.7  116.5  114.4   93.8   34.3   45.9   151.3   368.4   397.8   242.5  1165.2
1921   32.1   51.2   81.6  103.1  151.7  215.3  156.6  111.6  131.0   31.0   52.4   31.0   129.2   336.4   483.5   214.4  1148.5
1922   62.4   50.4  134.1  208.6  143.8  105.9  131.5  101.9  105.9  107.1   44.0   35.8   143.9   486.4   339.4   257.0  1231.5
1923   17.4   64.4  145.0  142.8  167.8   91.6  136.6   80.2  109.4  109.3   73.3   46.0   117.6   455.5   308.4   292.1  1183.8
1924   32.8   56.1  161.7  122.6  163.7  121.2   98.8   93.3   87.3   89.5   51.8   37.5   134.9   448.0   313.2   228.6  1116.2
1925   43.2   58.4   91.7  166.4  113.8  245.0  120.7  147.5  110.2   68.7   87.7   39.9   139.0   372.0   513.2   266.6  1293.3
1926   39.5   31.0   65.3  159.1  162.5  207.9  165.4  157.8  111.8  106.1   53.4   30.4   110.4   386.9   531.1   271.3  1290.2
1927   46.3   57.2  110.3  130.1  238.2  150.0  145.3  143.9  115.9   97.1   75.7   38.1   133.8   478.6   439.2   288.7  1348.1
1928   66.0   65.2   99.8  153.4  234.7  172.0  111.5  153.7  147.2   58.9   65.1   26.5   169.3   487.9   437.1   271.1  1353.8
1929   33.4   28.0  161.7  145.6  203.7  184.9  135.5   91.4  124.0  108.8   46.5   52.5    87.9   511.0   411.7   279.3  1315.9
1930   38.7   65.4   90.2  164.0  172.1  229.1   97.2  103.8  121.6   64.2   68.1   30.1   156.6   426.3   430.2   253.9  1244.6
1931   55.4   55.7  112.5  115.7  167.6  128.6   87.2  173.5   97.3  102.7   58.4   19.2   141.2   395.8   389.3   258.4  1173.7
1932   30.1   77.5  116.5  162.6  161.3  202.8  113.8  107.0   99.5   94.1   64.2   44.9   126.8   440.4   423.6   257.8  1274.3
1933   58.6   50.8  118.9  107.3  115.2  158.7  141.4  124.2  160.9   58.7   56.8   27.6   154.3   341.4   424.3   276.4  1179.0
1934   38.3   60.5  107.9  110.5  163.0  194.4  201.7  101.8  121.4   58.5   47.5   25.1   126.3   381.5   497.8   227.4  1230.6
1935   33.5   67.6   89.7  148.6  239.5  145.1  191.2  126.0  112.1   74.8   75.0   58.9   126.2   477.8   462.2   262.0  1362.0
1936   39.2   72.6   72.3  172.4  187.8  188.3  116.0  134.1  108.7   92.4   47.8   31.8   170.6   432.5   438.3   248.9  1263.3
1937   38.8   69.7  121.7   42.3  204.7  130.1  101.5  140.8  111.0   77.1   46.0   33.6   140.3   368.6   372.4   234.1  1117.3
1938   24.5   61.0   88.0  188.9  144.0  124.5  107.9  153.8   98.3   85.4   46.1   51.0   119.2   420.9   386.2   229.8  1173.5
1939   65.1   42.2  100.2  148.8  173.2  237.7   91.6  146.5   99.1  113.8   41.1   29.1   158.3   422.2   475.8   253.9  1288.2
1940   44.5   34.1   80.4  112.9  168.9  258.6  123.7  109.9  101.1   56.6   53.0   27.0   107.7   362.2   492.2   210.7  1170.7
1941   41.7   82.2  109.3  118.4  159.6  151.3  107.1  121.3   99.3   88.3   56.6   24.6   150.8   387.3   379.8   244.1  1159.8
1942   50.2   57.2   73.7  207.5  199.2  170.4  146.3   82.1  107.2   71.6   67.4   26.7   132.1   480.4   398.9   246.2  1259.6
1943   60.7   71.2   97.9  111.1  218.3  169.6  195.7   89.1   87.9   84.0   49.7   23.9   158.5   427.4   454.4   221.5  1259.0
1944   27.4   78.7  108.0  112.7  156.1  111.1   88.4  164.8  110.0   89.0   49.6   27.3   130.0   376.9   364.3   248.5  1123.1
1945   41.9   59.2   86.5  166.0  153.4  133.5  124.9  154.6   94.1   73.9   45.7   44.9   128.4   405.9   413.0   213.6  1178.6
1946   57.0   70.4   96.3  137.8  272.4  142.1  123.1  130.1   73.8   56.2   57.8   52.7   172.4   506.5   395.3   187.8  1269.9
1947   41.1   50.5   82.0  130.5  173.9  139.8  117.1  262.3   92.9   85.4   73.4   23.3   144.3   386.5   519.2   251.8  1272.3
1948   40.4   57.2  125.7  163.4  232.9  118.0  153.9  108.2   95.1   90.5   73.0   46.1   120.9   522.0   380.0   258.5  1304.3
1949   35.7   75.4  115.1  130.8  193.1  253.9  126.5  116.5  142.2   68.9   62.4   30.7   157.2   439.0   497.0   273.6  1351.3
1950   43.2   64.5  117.6  127.6  214.5  184.2  145.2  134.4   97.6   81.0   79.4   38.8   138.4   459.7   463.8   258.0  1328.0
1951   51.3   76.7   97.3  165.7  202.0  206.0  120.5  130.9   95.5   81.6   38.9   39.2   166.8   464.9   457.4   216.0  1305.6
1952   45.2   60.4  109.3  143.7  172.0  144.9  118.3  120.6  117.3  110.7   54.4   42.3   144.7   424.9   383.8   282.3  1238.9
1953   39.9   59.2  114.1  160.4  193.6  166.5  137.5  125.9   86.3   78.7   46.6   29.2   141.4   468.0   429.9   211.6  1237.8
1954   34.8   41.5  103.5  174.9  156.7  127.5   90.0  120.0  125.2   58.0   57.0   23.0   105.5   435.0   337.5   240.2  1111.9
1955   51.2   77.1  142.0  177.3  202.5  103.4  246.9  143.5  132.7   87.1   44.9   33.8   151.3   521.8   493.8   264.7  1442.5
1956   41.4   69.4  111.8  158.0  170.0  181.0  133.1  129.7   82.7   95.4   44.6   25.4   144.6   439.8   443.8   222.7  1242.6
1957   65.5   94.6   62.2  187.9  189.8  258.6   86.4  112.8   97.6   56.9   56.5   41.8   185.5   439.9   457.9   211.0  1310.7
1958   55.3   52.1   84.6  137.1  187.7  113.3  152.9  103.2   94.1   77.2   43.9   33.7   149.2   409.4   369.4   215.3  1135.2
1959   75.0   57.0  114.8  154.1  215.6  207.3  125.5  142.8  138.6   90.1   66.4   39.2   165.7   484.4   475.6   295.0  1426.3
1960   40.9  101.0   56.4  159.8  190.3  227.4  134.1  150.5  120.5   62.3   60.7   57.7   181.1   406.5   512.0   243.5  1361.6
1961   57.7   61.9   89.1  102.0  183.5  139.8  100.8  128.7  111.9   99.5   56.7   36.8   177.4   374.6   369.3   268.1  1168.5
1962   50.5   62.0  120.3  205.6  203.8  175.4  108.3  150.1   73.6   90.0   31.1   34.6   149.2   529.7   433.9   194.7  1305.4
1963   58.9   73.6  112.3  125.7  177.3  178.9  157.6  101.6  116.9   72.7   53.5   45.7   167.1   415.3   438.1   243.2  1274.8
1964   28.8   55.0   62.9  124.9  163.1  134.0  102.6  140.1  127.6   64.7   69.7   37.7   129.6   351.0   376.7   262.0  1111.2
1965   58.9   52.7  108.7  150.1  133.2  140.3  125.2  124.9   76.9   61.5   67.2   43.9   149.3   392.0   390.4   205.6  1143.5
1966   28.1   36.5  105.0   89.5  202.9  116.2  158.2  142.9  102.1  100.8   65.8   36.0   108.5   397.5   417.4   268.7  1184.2
1967   47.1   77.1  108.8  140.1  160.4  173.9   97.7  129.4  114.3   85.4   64.9   43.0   160.2   409.4   401.1   264.6  1242.1
1968   33.1   96.2   98.5  165.2  163.0  207.0  157.4  195.5  110.7   58.6   43.6   33.5   172.3   426.8   559.9   212.8  1362.3
1969   32.0   63.3   85.6  184.4  144.7  205.1  163.0  136.7   81.9   64.6   58.2   31.9   128.8   414.8   504.8   204.8  1251.5
1970   30.2   93.5  116.6  142.8  120.3  196.1  101.7  148.9   88.7   61.1   64.3   43.5   155.6   379.7   446.7   214.2  1207.7
1971   56.9   55.2   81.8  131.7  167.1  153.3  170.1  114.4  135.8   91.4   52.0   31.4   155.6   380.6   437.9   279.2  1241.1
1972   37.5   65.7  105.5  144.2  140.0  163.6  158.5  103.6  131.8   86.9   51.9   36.7   134.6   389.7   425.6   270.6  1225.9
1973   21.8   65.0  110.9  142.7  131.1  157.5  115.9  123.4  115.4   84.5   40.9   38.2   123.5   384.7   396.9   240.9  1147.4
1974   34.0   57.3  102.9  204.6  142.3  178.7  124.6  156.7  110.2   93.6   74.3   29.0   129.4   449.8   459.9   278.1  1308.0
1975   45.6   75.2  143.2  142.0  256.4  226.5  152.5  154.0  108.3   72.5   57.8   27.4   149.8   541.5   533.0   238.6  1461.3
1976   38.2   49.1   75.0  161.8  122.1  174.1  129.8  254.0   98.2   77.6   72.0   35.6   114.6   358.9   557.9   247.8  1287.5
1977   52.8   45.0   81.8  145.3  235.4  184.6  178.6  186.9  100.7   74.5   70.0   19.2   133.3   462.5   550.2   245.2  1374.9
1978   58.4   71.3   98.6  120.0  169.9  128.0  129.0   92.6   91.4   88.5   47.9   41.2   149.0   388.6   349.6   227.9  1137.1
1979   49.1   69.6  106.7  127.0  162.4  145.8   99.5  133.4  108.2   86.3   60.6   39.6   160.0   396.1   378.7   255.1  1188.1
1980   45.7   52.9   95.0  145.9  221.1   94.2  112.4  104.9   91.6   81.7   53.2   28.5   138.2   462.0   311.5   226.5  1127.1
1981   36.8   54.3   83.5  165.8  138.8  128.4  102.0  125.9  110.0   95.4   46.2   27.6   119.5   388.1   356.4   251.6  1114.9
1982   46.9   59.5  146.0  156.2  175.7  132.6  178.4  128.8  108.1   78.4   45.6   39.9   134.0   477.9   439.8   232.1  1296.1
1983   40.1   66.4   58.8  153.8  122.9  122.6  177.2  138.0   79.2   84.2   34.3   26.5   146.5   335.4   437.8   197.7  1103.9
1984   43.9   46.3   73.2  175.6  237.2  145.1  182.5  142.5  100.2   93.2   50.2   27.0   116.7   486.0   470.1   243.6  1317.1
1985   57.5   65.7   85.7  129.8  153.9  168.4  102.6  107.0   83.5   83.4   59.4   38.1   150.3   369.4   377.9   226.2  1134.9
1986   38.4   73.4  116.3  151.5  157.1  158.2   82.8  119.2  159.8  105.3   69.6   34.2   149.8   424.8   360.2   334.8  1265.8
1987   46.9   66.0   79.2  101.4  178.8  105.9  112.4  112.8  153.1  111.4   49.0   30.1   147.1   359.4   331.1   313.5  1147.0
1988   53.9   69.5   80.3  138.2  180.9  177.5  115.8  115.5  102.8   92.2   62.2   29.5   153.5   399.4   408.8   257.2  1218.3
1989   46.4   81.7  108.6  130.4  224.2  190.4  234.3  116.8   95.9   66.3   47.5   33.1   157.6   463.2   541.6   209.7  1375.6
1990   51.5   57.2   81.0  160.3  194.2  136.1  210.3  104.3  110.9   65.8   67.3   46.1   141.8   435.6   450.7   243.9  1285.0
1991   60.5   55.1   81.5  143.8  153.4  123.5  134.3  152.9  165.2   72.9   53.8   23.9   161.7   378.7   410.7   291.8  1220.7
1992   28.3   52.1   67.1   82.0  186.4  161.9  127.3  149.4   94.7   82.2   46.3   34.4   104.3   335.5   438.7   223.1  1112.1
1993   34.4   24.6   83.1  115.4  137.1  103.7   99.6  137.6   99.0   92.0   58.0   34.0    93.4   335.7   340.9   249.1  1018.7
1994   46.3   38.0   96.7  163.2  157.8  105.2  126.0  120.3  115.0   98.0   54.8   40.8   118.3   417.7   351.5   267.8  1162.1
1995   32.6   57.4   90.8  154.2  164.2  219.2  155.5  236.3  127.9   89.7   45.2   41.9   130.8   409.3   611.0   262.7  1414.9
1996   22.0   98.1   49.6  117.9  184.8  187.4  141.4   99.6  147.9   61.6   65.8   38.0   162.0   352.3   428.4   275.3  1214.1
1997   23.3   65.3   87.9   81.4  208.8  147.2  131.3  183.4  133.6   78.2   34.3   32.0   126.6   378.2   461.8   246.0  1206.7
1998   45.6   50.8   52.8  136.8  157.4  142.4  106.3  132.6  108.3  103.8   61.1   26.5   128.5   347.0   381.3   273.2  1124.5
1999   40.5   55.7  120.8  147.4  140.0  123.4  177.1  117.9  101.7   82.2   51.3   35.0   122.6   408.3   418.4   235.3  1193.2
2000   37.0   66.7   75.2  134.4  245.3  136.5  144.7  169.8  107.1   94.0   36.5   33.0   138.7   454.9   450.9   237.6  1280.2
2001   65.9   87.9  114.1  129.2  202.5  118.0  132.0  147.3  115.6   72.8   38.6   62.0   186.9   445.9   397.3   227.0  1286.0
2002   42.2   69.5  117.1  159.2  168.6  122.1  104.3  127.3  123.3   76.3   45.7   34.6   173.7   445.0   353.8   245.3  1190.4
2003   58.8   83.1  154.2  170.4  133.7  154.8  114.2  182.5  101.8   95.5   68.4   41.1   176.4   458.3   451.5   265.8  1358.5
2004   34.7  102.3  124.5  135.9  183.2  134.3  134.4  135.5  113.5   81.0   34.8   37.7   178.1   443.7   404.2   229.3  1251.9
2005   35.9   68.4   89.4  140.2  182.6  124.8  117.7  127.5  100.4   65.2   72.8   31.7   142.0   412.3   370.0   238.5  1156.8
2006   40.1   85.6   90.6  163.9  185.6  189.7  207.3  111.2  107.7   85.5   67.2   43.9   157.4   440.1   508.2   260.4  1378.4
2007   48.1   69.6  120.5  193.7  225.1  141.6  150.1  116.5  106.4   86.5   30.3   32.7   161.7   539.3   408.2   223.2  1321.2
2008   32.9   82.2  117.0  174.6  235.8  157.2  118.7   70.5   89.6   94.8   45.9   37.9   147.8   527.3   346.4   230.3  1256.9
2009   49.8   53.1  111.5  149.2  195.3  231.5  146.7  115.8  122.2   69.7   64.4   48.3   140.7   456.1   494.0   256.2  1357.4
2010   53.8   60.0  129.6  157.6  198.5  187.6   99.6  164.5  116.7  105.0   76.5   61.4   162.1   485.7   451.7   298.2  1410.6
2011   71.2   69.1  119.8  195.1  170.4  147.2  145.2  105.9   91.3   53.0   66.1   28.2   201.7   485.3   398.3   210.5  1262.5
2012   42.7   33.4  117.4  153.4  195.8   94.9  112.0  150.1  117.9   93.3   58.5   49.6   104.3   466.6   357.0   269.8  1219.1
2013   26.8   80.1   65.0  166.4  164.7  161.7  222.8  112.7   96.4   94.7   69.1   38.4   156.5   396.1   497.2   260.1  1298.9
2014   38.1   69.3   93.8  163.4  108.1  167.2  155.5  150.8  116.7   91.7   58.8   43.8   145.8   365.3   473.5   267.2  1257.2
2015   58.6   63.2  133.0  209.3  152.1  177.8  114.7  135.3  125.4  100.9   39.7   31.0   165.5   494.4   427.8   266.0  1341.0
2016   36.8   71.3  113.2  149.5  218.3  130.7  110.1  130.6   96.3   90.6   76.3   41.3   139.1   481.0   371.4   263.2  1265.1
2017   46.6   46.1  118.8  104.2  252.4  115.0  166.0  124.8  106.7   56.8   60.1   34.4   134.1   475.5   405.8   223.6  1232.0
2018   49.4   96.9   84.8  128.5  216.0  226.5  174.4  110.1   97.5   93.1   60.0   23.8   180.8   429.3   511.0   250.6  1361.1
2019   36.0   78.9   85.9  118.4  151.7  152.7  132.1  152.4  119.7  106.2   51.6   45.2   138.6   356.0   437.2   277.5  1230.7
2020   42.0   74.1  128.6  207.0  223.3  118.0   83.0  113.4  121.5   95.3   40.5   37.2   161.3   559.0   314.4   257.4  1284.1
2021   57.5   61.8   74.1  217.0  192.8  144.8  175.5  115.8   74.3   86.0   33.9   20.7   156.6   483.8   436.1   194.3  1254.3
