Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for Northern Ireland
Areal series, starting in 1884
Last updated 01-Jan-2022 11:00
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    8.2    7.7    8.8   10.8   14.1   16.8   18.0   18.3   16.6   12.2    8.4    6.7     ---   11.22   17.72   12.36   12.22
1885    6.5    8.4    8.0   10.8   11.9   16.4   19.0   17.2   14.7    9.8    8.9    7.2    7.12   10.23   17.55   11.13   11.58
1886    5.0    5.8    7.2   10.8   12.9   16.1   17.8   17.9   15.7   12.9    9.6    4.9    6.00   10.30   17.29   12.72   11.41
1887    6.7    8.4    8.5   11.0   14.6   21.4   19.7   17.3   14.8   10.4    7.3    6.1    6.60   11.37   19.46   10.84   12.20
1888    7.6    5.5    6.3    9.8   14.4   16.7   16.1   16.9   15.2   12.1    9.8    8.0    6.42   10.18   16.58   12.35   11.55
1889    7.3    6.7    8.6    9.6   15.1   18.6   17.7   16.3   15.4   11.4    9.8    8.1    7.37   11.14   17.54   12.19   12.09
1890    8.6    6.7    9.6   11.4   15.1   16.6   17.2   16.7   17.3   13.3    9.4    5.2    7.83   12.04   16.86   13.30   12.29
1891    5.8    9.8    7.9    9.6   12.9   18.7   17.5   16.6   16.7   12.0    7.8    8.1    6.85   10.14   17.58   12.15   11.95
1892    5.5    6.7    6.5   11.8   14.2   16.0   15.9   16.7   14.1   10.0    9.7    6.1    6.77   10.82   16.23   11.25   11.11
1893    5.8    7.1   10.8   13.8   15.7   19.2   18.8   19.3   15.7   12.1    8.0    7.7    6.30   13.46   19.12   11.96   12.88
1894    5.8    8.5   10.5   12.3   12.2   16.2   18.0   16.1   15.3   12.2    9.8    8.0    7.29   11.66   16.80   12.41   12.09
1895    3.2    2.9    8.2   11.2   16.0   18.9   17.2   17.4   18.2    9.9    8.9    6.1    4.74   11.78   17.82   12.34   11.54
1896    7.9    8.7    9.1   12.4   16.8   18.9   17.3   16.8   14.9    9.3    8.2    6.3    7.49   12.78   17.65   10.78   12.21
1897    4.8    8.3    8.4    9.6   13.5   16.4   19.3   17.9   14.9   12.9   10.2    7.9    6.37   10.53   17.89   12.67   12.03
1898    9.1    7.3    8.2   12.0   13.2   16.7   18.2   18.2   17.8   12.9    9.4    9.6    8.11   11.16   17.72   13.37   12.75
1899    6.6    7.7    9.6   10.2   13.5   19.0   18.3   21.0   15.3   12.9   10.9    6.3    7.99   11.10   19.44   13.06   12.64
1900    7.0    4.9    6.7   11.7   13.4   17.7   18.7   17.3   16.4   11.6    8.7    9.0    6.06   10.59   17.89   12.24   11.95
1901    6.7    5.9    7.0   11.2   16.2   15.8   19.1   17.4   15.5   11.5    8.6    5.7    7.23   11.45   17.43   11.86   11.75
1902    6.4    4.6    9.1   10.9   11.4   15.6   16.4   16.3   15.7   11.9    9.5    7.1    5.62   10.45   16.11   12.37   11.28
1903    6.1    9.2    8.5    9.3   13.6   15.9   17.1   16.0   15.1   11.6    8.9    5.6    7.40   10.48   16.36   11.85   11.42
1904    6.6    5.3    7.3   10.6   13.3   16.6   17.9   16.7   15.2   12.2    8.5    6.9    5.87   10.38   17.07   11.97   11.45
1905    7.2    7.5    8.8    9.6   14.7   18.4   19.0   16.3   14.6   10.3    7.6    8.4    7.18   11.05   17.90   10.81   11.89
1906    7.3    5.9    8.2   10.7   12.1   17.1   17.4   18.4   16.9   12.3    9.5    6.3    7.23   10.33   17.65   12.88   11.87
1907    6.8    6.4   10.0   10.0   12.4   14.1   17.2   16.5   16.2   11.5    8.6    7.0    6.49   10.78   15.95   12.11   11.41
1908    6.6    8.3    7.6    9.0   15.2   16.4   17.5   16.6   14.7   14.1   10.9    7.8    7.24   10.62   16.85   13.20   12.06
1909    6.9    7.4    6.3   11.4   14.1   14.8   16.3   18.0   14.8   11.9    8.4    5.9    7.36   10.59   16.40   11.69   11.37
1910    6.2    7.7    8.7    9.9   13.6   16.3   16.7   17.0   15.1   13.0    7.3    8.0    6.55   10.73   16.70   11.79   11.64
1911    7.0    8.0    7.9   10.7   15.2   16.4   19.2   19.5   16.2   11.9    8.2    7.6    7.66   11.31   18.38   12.10   12.36
1912    6.4    7.4    9.3   12.1   14.4   15.6   16.2   14.4   13.8   11.4    8.8    8.9    7.11   11.93   15.39   11.35   11.57
1913    7.0    7.7    7.9   10.4   13.0   15.3   16.1   17.7   15.7   13.0   10.5    7.0    7.88   10.43   16.40   13.05   11.80
1914    6.6    9.0    8.3   12.9   13.9   17.5   17.7   18.7   15.8   13.1    9.4    5.7    7.47   11.69   17.98   12.78   12.39
1915    5.8    6.4    8.7   11.4   13.1   17.1   17.0   17.3   15.8   12.1    7.0    6.6    5.94   11.06   17.13   11.64   11.55
1916    9.6    6.3    5.8   11.0   12.8   14.4   17.4   19.3   15.6   12.7    9.2    5.2    7.52    9.87   17.05   12.53   11.63
1917    4.2    6.2    6.9    8.6   14.2   16.6   18.7   17.9   16.1   10.1   10.3    5.9    5.16    9.93   17.74   12.15   11.33
1918    6.2    8.7    9.6   10.1   15.0   16.7   17.6   17.9   12.9   11.3    9.4    8.9    6.88   11.56   17.39   11.18   12.03
1919    5.6    5.5    6.7   11.4   16.0   16.2   17.1   18.6   15.6   11.6    6.5    7.5    6.70   11.40   17.32   11.23   11.57
1920    7.5    8.8    9.0    9.7   13.9   16.6   16.3   16.2   15.7   13.4   10.7    6.8    7.93   10.91   16.37   13.25   12.07
1921    9.3    8.1    9.3   11.9   14.1   18.2   20.7   16.5   16.3   14.6    9.5    9.5    8.07   11.76   18.44   13.45   13.19
1922    7.0    8.2    8.4    8.7   15.5   15.8   15.4   15.1   14.0   11.4    9.2    7.5    8.25   10.90   15.45   11.52   11.37
1923    8.4    8.3    9.4    9.5   12.0   15.3   18.7   16.7   14.8   12.1    6.2    7.1    8.04   10.32   16.89   11.05   11.57
1924    7.4    7.0    7.3   10.0   13.7   15.8   16.8   16.3   14.5   12.3   10.2    9.0    7.16   10.33   16.30   12.31   11.70
1925    7.8    6.8    8.2   10.1   12.8   17.4   18.1   18.0   14.3   13.1    8.1    6.2    7.93   10.36   17.80   11.82   11.76
1926    7.7    8.7    9.0   12.2   13.0   16.4   19.2   18.7   16.7   11.3    8.5    6.9    7.47   11.42   18.11   12.16   12.37
1927    7.0    8.2    9.6   10.8   14.3   14.1   17.2   17.7   14.1   13.5    8.7    5.6    7.33   11.58   16.37   12.14   11.77
1928    7.9    8.3    7.7   10.4   14.3   15.0   17.6   17.1   15.3   12.2    9.8    6.9    7.22   10.81   16.57   12.42   11.88
1929    5.2    5.0   11.5   10.0   14.4   16.0   18.0   16.6   17.4   11.8    8.9    7.2    5.75   12.02   16.90   12.70   11.89
1930    6.5    4.7    8.1   10.9   14.3   17.8   16.6   16.5   15.5   12.0    8.5    7.0    6.17   11.11   16.94   11.96   11.56
1931    6.1    6.8    7.1   10.4   13.6   16.2   16.7   16.7   14.3   12.3   10.0    8.4    6.62   10.35   16.52   12.19   11.56
