Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for Northern Ireland
Areal series, starting in 1884
Last updated 01-Jan-2022 11:00
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    5.6    4.6    5.6    6.7    9.6   12.5   14.3   14.5   12.5    8.7    5.7    3.8     ---    7.33   13.76    8.99    8.70
1885    3.8    4.7    4.1    6.8    7.7   11.7   14.2   12.9   10.8    6.6    5.9    4.4    4.09    6.19   12.96    7.71    7.81
1886    2.1    2.8    4.0    6.4    8.7   11.9   13.8   13.8   11.5    9.5    6.5    2.3    3.10    6.33   13.16    9.18    7.79
1887    3.6    4.8    4.8    6.2    9.9   15.7   15.5   13.5   10.8    7.3    4.3    3.2    3.54    6.95   14.90    7.49    8.32
1888    4.7    2.7    2.9    6.1    9.7   12.3   12.6   12.9   11.3    8.5    7.1    5.0    3.54    6.26   12.60    8.96    8.00
1889    4.5    3.6    5.4    6.4   11.3   13.7   13.5   13.1   12.1    7.9    6.9    5.1    4.39    7.73   13.45    8.97    8.67
1890    5.3    3.9    5.9    7.0   10.9   12.8   13.3   12.7   13.6    9.8    5.9    2.7    4.82    7.94   12.95    9.79    8.69
1891    2.9    5.9    3.9    5.7    8.6   14.1   14.0   13.3   13.0    8.0    4.9    4.9    3.75    6.07   13.80    8.64    8.28
1892    2.5    4.0    2.5    6.7   10.0   11.7   12.5   13.3   10.5    6.4    6.5    3.2    3.79    6.37   12.48    7.78    7.47
1893    3.6    4.3    7.0    9.3   12.0   14.6   14.8   15.5   11.9    8.5    5.0    4.8    3.68    9.42   14.98    8.46    9.30
1894    3.1    5.1    6.2    8.7    8.1   12.1   14.4   13.0   10.7    8.5    6.8    5.1    4.30    7.67   13.19    8.65    8.50
1895    0.6   -0.7    5.2    7.3   10.9   13.3   13.3   13.8   13.9    6.4    6.1    3.5    1.78    7.79   13.48    8.80    7.85
1896    5.2    6.0    5.5    8.5   11.7   14.1   13.6   12.8   11.4    6.0    5.2    3.2    4.86    8.57   13.52    7.54    8.61
1897    1.9    5.6    5.3    5.6    8.9   12.7   14.8   14.1   10.9    9.8    7.6    5.0    3.50    6.61   13.87    9.45    8.53
1898    6.7    4.1    4.6    8.0    9.5   12.5   13.7   14.2   13.9    9.9    6.5    6.8    5.30    7.35   13.47   10.08    9.23
1899    3.6    4.6    5.6    6.8    9.1   14.2   14.8   16.0   11.5    8.9    8.4    3.7    5.00    7.17   15.02    9.60    8.96
1900    4.3    1.5    3.5    7.6    9.5   13.3   14.9   13.5   12.2    8.0    5.7    6.2    3.21    6.87   13.93    8.63    8.40
1901    4.1    3.1    4.0    6.9   10.8   11.8   15.4   13.5   12.2    7.9    6.0    3.2    4.53    7.26   13.58    8.72    8.28
1902    4.1    1.6    6.2    6.7    7.9   12.0   12.9   12.6   12.2    8.8    6.8    4.9    3.02    6.92   12.49    9.27    8.09
1903    3.5    6.4    5.1    5.8    9.8   11.8   13.4   12.5   11.7    8.8    6.0    3.3    4.88    6.91   12.59    8.82    8.18
1904    4.0    2.8    4.1    7.1    9.3   12.5   14.3   13.1   11.5    8.8    5.9    4.2    3.38    6.83   13.31    8.75    8.16
