Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for Northern Ireland
Areal series, starting in 1884
Last updated 01-Jan-2022 11:00
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    2.9    1.4    2.6    2.7    5.2    8.2   10.5   10.6    8.5    5.2    3.0    1.0     ---    3.49    9.78    5.57    5.17
1885    1.0    1.1    0.1    2.9    3.5    7.0    9.4    8.6    6.7    3.3    2.7    1.6    1.04    2.19    8.35    4.23    4.02
1886   -0.9   -0.1    0.8    1.9    4.4    7.7    9.7    9.6    7.3    6.2    3.3   -0.3    0.22    2.40    9.02    5.60    4.17
1887    0.6    1.3    1.1    1.3    5.2   10.0   11.3    9.7    6.7    4.2    1.3    0.2    0.49    2.57   10.31    4.11    4.43
1888    1.8   -0.2   -0.4    2.5    5.1    7.9    9.0    8.8    7.5    4.9    4.4    2.0    0.65    2.37    8.60    5.55    4.45
1889    1.7    0.4    2.2    3.4    7.5    8.9    9.3    9.8    8.8    4.3    4.0    2.2    1.42    4.35    9.34    5.68    5.23
1890    2.0    1.1    2.2    2.7    6.7    9.0    9.4    8.7    9.9    6.3    2.3    0.2    1.80    3.89    9.02    6.18    5.07
1891   -0.0    1.8   -0.0    1.8    4.4    9.6   10.4   10.0    9.3    4.1    1.9    1.7    0.65    2.04   10.01    5.09    4.59
1892   -0.5    1.1   -0.9    1.9    6.2    7.7    9.4    9.9    7.1    2.7    3.4    0.4    0.79    2.38    9.04    4.37    4.04
1893    1.3    1.5    3.1    4.7    8.4   10.1   10.8   11.7    8.0    4.8    1.9    1.9    1.09    5.43   10.88    4.93    5.73
1894    0.3    1.6    1.8    5.2    4.2    8.1   10.8    9.9    6.0    4.8    3.8    2.3    1.24    3.73    9.61    4.87    4.92
1895   -2.0   -4.2    2.1    3.4    6.0    7.9    9.3   10.2    9.6    3.0    3.3    0.9   -1.19    3.86    9.15    5.26    4.17
1896    2.6    3.3    1.9    4.8    6.6    9.5    9.9    8.8    8.0    2.8    2.2    0.1    2.22    4.42    9.40    4.30    5.04
1897   -1.0    2.9    2.2    1.7    4.3    9.0   10.3   10.2    6.9    6.6    5.0    2.0    0.61    2.74    9.88    6.19    5.03
1898    4.3    1.0    0.9    4.1    5.8    8.3    9.1   10.3    9.9    6.9    3.6    4.0    2.48    3.60    9.26    6.80    5.72
1899    0.5    1.3    1.6    3.5    4.8    9.5   11.2   11.2    7.7    4.9    5.8    1.1    1.97    3.29   10.63    6.13    5.28
1900    1.5   -1.8    0.4    3.7    5.6    9.0   11.2    9.8    7.9    4.4    2.8    3.5    0.35    3.21   10.01    5.04    4.87
1901    1.6    0.2    1.1    2.6    5.5    7.9   11.7    9.7    9.0    4.3    3.5    0.7    1.81    3.11    9.78    5.59    4.85
1902    1.8   -1.5    3.3    2.5    4.5    8.4    9.4    8.9    8.6    5.7    4.2    2.7    0.37    3.44    8.94    6.16    4.92
1903    0.8    3.6    1.7    2.4    6.1    7.8    9.8    9.1    8.4    5.9    3.1    0.9    2.33    3.41    8.88    5.80    4.97
1904    1.5    0.2    0.8    3.8    5.5    8.5   10.7    9.6    7.9    5.5    3.3    1.4    0.88    3.35    9.61    5.56    4.90
1905    2.6    1.5    1.7    2.7    5.7    9.5   10.9    9.4    7.6    3.8    1.6    4.1    1.84    3.38    9.93    4.34    5.13
1906    2.1   -0.5    1.3    1.8    5.3    8.6    9.1   11.2    7.8    4.9    4.0    1.4    2.00    2.82    9.65    5.56    4.79
1907    1.2   -0.6    2.2    2.5    4.4    6.8    9.1    8.2    8.2    5.1    1.6    1.2    0.74    3.03    8.03    4.95    4.18
1908    0.4    2.2    0.5    0.9    6.3    7.7   10.1    8.8    7.8    7.6    4.0    1.4    1.23    2.58    8.88    6.45    4.81
1909    1.7    1.7   -0.4    2.6    4.5    7.1    9.1    9.5    6.5    4.7   -0.5    0.0    1.61    2.25    8.58    3.61    3.91
1910    0.3   -0.1    1.6    1.9    5.4    8.6    8.9   10.0    7.7    6.7   -0.2    2.8    0.09    2.97    9.16    4.77    4.50
1911    1.1    0.6    1.0    2.9    6.2    7.5   10.5   10.4    7.3    4.9    2.3    1.5    1.50    3.38    9.46    4.81    4.69
1912    1.3    1.4    2.6    3.9    5.8    8.5    8.5    7.2    6.9    3.9    3.3    2.0    1.38    4.11    8.05    4.68    4.61
1913    1.4    1.9    1.2    2.8    5.6    7.8    8.9    8.8    8.5    6.7    4.0    1.7    1.76    3.18    8.49    6.42    4.95
1914    1.4    1.9    0.6    3.8    5.1    8.1   10.2   10.0    7.8    6.4    2.5   -0.0    1.67    3.13    9.44    5.56    4.82
1915    0.1   -0.8    0.9    3.5    4.4    7.9    8.9    9.2    8.5    4.9    1.0    1.0   -0.21    2.96    8.70    4.78    4.16
1916    3.0   -0.6    0.0    2.5    5.1    6.3    9.7   11.0    9.2    6.5    3.7   -0.1    1.15    2.54    9.01    6.43    4.70
1917    0.2   -0.1    0.5    0.2    6.2    7.8   10.1   10.4    8.8    3.1    4.4    0.2    0.03    2.33    9.44    5.39    4.33
1918    0.6    3.3    1.5    2.2    6.5    7.9    9.2   10.7    5.8    4.3    2.3    3.1    1.27    3.40    9.28    4.16    4.80
1919    0.6    0.0   -1.3    2.7    6.5    7.7    8.3    9.2    6.5    4.5   -1.1    1.2    1.31    2.62    8.39    3.31    3.76
1920    0.5    2.0    1.2    2.6    5.5    8.6    8.3    8.2    8.1    6.8    4.6    0.5    1.24    3.12    8.34    6.51    4.74
1921    2.9    2.4    1.9    2.5    4.6    8.3   11.0    9.2    8.3    7.9    3.9    4.0    1.89    3.01    9.49    6.73    5.60
1922    1.3    1.8    0.8   -0.5    6.1    7.6    8.0    8.8    7.4    4.9    4.2    2.7    2.38    2.18    8.12    5.47    4.44
1923    2.4    2.8    3.1    3.2    3.6    8.3   10.9    9.2    6.9    5.0   -0.1    1.5    2.64    3.27    9.49    3.94    4.75
1924    2.3    1.3    0.2    1.6    5.3    8.7    9.7    9.6    7.7    5.2    4.8    3.3    1.72    2.39    9.36    5.87    5.00
1925    2.7    0.6    1.7    1.9    5.5    8.7   10.9   10.0    7.0    6.3    1.6    0.4    2.26    3.06    9.89    4.96    4.81
1926    1.9    3.3    2.6    4.6    4.7    8.0   10.6   10.1    8.4    3.5    2.2    1.7    1.82    3.96    9.58    4.71    5.14
1927    1.5    1.6    3.0    2.9    4.8    5.8   10.2   10.4    7.4    6.1    3.0    1.8    1.60    3.60    8.83    5.50    4.90
1928    1.1    2.4    2.2    3.0    5.5    6.9    9.9    8.8    6.8    6.4    3.4    2.1    1.76    3.59    8.54    5.51    4.88
1929    0.5    1.8    1.3    2.2    5.1    7.5    9.8   10.0    9.5    4.8    2.9    1.6    1.46    2.86    9.11    5.72    4.76
1930    0.6   -0.8    0.9    3.6    5.5    7.9   10.4   10.1    8.3    5.9    2.2    1.6    0.51    3.33    9.50    5.48    4.73
1931    0.2    0.2    1.4    3.3    6.0    8.7   10.3    9.1    7.1    4.3    3.5    4.2    0.68    3.60    9.39    4.97    4.90
1932    3.3    0.7    0.9    1.5    5.7    8.6   10.6   10.1    7.2    4.2    3.3    2.7    2.77    2.71    9.77    4.92    4.93
1933    0.2    0.5    2.8    4.6    5.7    9.3   11.7   10.6    8.7    6.1    2.7    1.8    1.14    4.38   10.58    5.84    5.43
1934    2.2    1.5    0.7    2.0    5.4    8.8   10.9    9.3    8.2    5.3    3.0    5.1    1.84    2.70    9.71    5.50    5.23
1935    2.3    1.6    3.0    3.0    4.8    8.7    9.5   10.2    8.0    4.6    1.9   -0.2    3.06    3.62    9.48    4.86    4.82
1936   -0.2   -0.2    3.1    1.2    5.5    8.2   10.1   10.6    9.1    5.3    1.3    1.8   -0.18    3.28    9.65    5.26    4.69
1937    1.6    0.8   -0.6    4.9    6.0    8.5    9.8   10.4    7.6    4.4    3.4    0.1    1.41    3.44    9.56    5.13    4.76
1938    1.5    1.4    5.1    2.1    5.0    8.2    9.5    9.4    8.8    5.9    5.0    0.6    0.99    4.11    9.04    6.54    5.23
1939    0.1    3.0    2.3    3.6    5.9    7.8   10.1   10.0    8.7    4.1    4.4    0.9    1.16    3.97    9.29    5.74    5.09
1940   -1.4    1.3    1.8    4.3    6.5    9.2    8.9   10.0    7.0    5.6    2.5    1.0    0.26    4.17    9.39    5.04    4.73
1941   -1.6   -0.6    1.4    2.2    4.2    9.0   10.6    9.5   10.1    6.5    2.7    2.6   -0.41    2.62    9.69    6.43    4.75
1942    0.9   -0.3    1.7    3.6    4.9    8.3    9.9   10.6    8.1    5.4    2.2    3.1    1.14    3.41    9.63    5.24    4.91
1943    2.5    3.1    3.0    5.5    5.4    8.7    9.7   10.0    8.3    6.3    3.7    2.3    2.88    4.60    9.49    6.10    5.71
1944    3.8    1.0    1.2    5.2    6.3    8.4   11.2   10.6    7.6    5.3    2.8    1.8    2.41    4.24   10.09    5.24    5.47
1945   -2.1    3.8    5.0    5.1    6.2    8.9   11.0   10.7    9.4    7.2    4.9    3.4    1.08    5.44   10.22    7.16    6.13
1946    1.0    3.0    1.8    4.1    4.7    7.9   10.1    9.0    9.6    6.7    4.3    0.3    2.45    3.53    9.02    6.89    5.21
1947    0.5   -2.6   -0.5    3.5    6.8    9.5   10.4   11.2    9.0    7.4    4.0    2.8   -0.54    3.27   10.37    6.82    5.22
1948    0.9    1.9    3.8    4.2    4.6    8.4   10.1   10.4    9.2    6.3    4.9    2.9    1.84    4.21    9.63    6.78    5.63
1949    3.0    2.9    2.4    5.2    5.3    8.8   11.1   11.0    9.8    7.6    3.5    2.5    2.90    4.32   10.30    6.97    6.11
1950    3.1    0.8    3.3    3.2    5.8    9.7   10.4    9.9    8.1    5.9    1.2   -0.8    2.18    4.11    9.99    5.09    5.08
1951    1.0   -0.4    0.6    2.2    4.4    7.8   10.7    9.9    9.2    6.9    4.4    2.6   -0.08    2.43    9.48    6.85    4.98
1952   -0.3    1.0    3.2    4.5    6.9    8.6   11.2   10.5    6.4    5.5    2.0    0.7    1.07    4.86   10.09    4.63    5.01
1953    1.8    2.4    0.7    2.0    7.4    8.8   10.3   10.3   10.1    6.3    4.9    4.5    1.60    3.39    9.84    7.10    5.82
