Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for Scotland
Areal series, starting in 1960
Last updated 01-Jan-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1960   19.1   20.2    9.3    3.0    1.4    0.0    0.0    0.1    0.9    0.6    8.8   18.5     ---    13.8     0.1    10.2    81.9
1961   18.6    8.1    3.8    5.6    2.3    0.4    0.0    0.0    0.0    0.7   11.2   21.1    45.2    11.7     0.5    11.9    71.8
1962   13.9   14.2   20.7   10.9    1.6    0.4    0.1    0.1    0.2    2.5   11.3   16.3    49.2    33.2     0.6    14.0    92.2
1963   25.7   25.7   10.2    6.6    2.1    0.0    0.0    0.0    0.3    0.9   10.0   14.8    67.7    18.9     0.1    11.2    96.4
1964   10.7   12.0   12.6    4.1    0.0    1.0    0.0    0.2    0.7    3.9    8.0   18.3    37.6    16.7     1.3    12.6    71.7
1965   19.7   14.4   17.6    7.9    2.2    0.1    0.1    0.1    0.1    1.8   16.1   18.0    52.4    27.8     0.3    18.0    98.1
1966   18.1   15.4    9.4   13.2    1.7    0.0    0.1    0.1    0.0    3.5   13.0   15.0    51.5    24.3     0.2    16.5    89.5
1967   12.6    9.0    9.9    8.4    4.1    0.0    0.0    0.1    0.0    3.2    8.5   13.8    36.6    22.3     0.1    11.8    69.6
1968   15.1   24.4   13.3   10.8    6.1    0.1    0.0    0.0    0.1    0.7    9.9   17.5    53.3    30.2     0.1    10.7    98.0
1969   12.1   22.6   21.9   11.2    2.0    0.4    0.0    0.1    0.5    0.4   19.3   16.9    52.2    35.1     0.4    20.2   107.3
1970   15.0   21.5   19.9   14.6    0.3    0.1    0.0    0.0    0.2    2.1    8.0   12.8    53.4    34.8     0.1    10.2    94.4
1971   11.6    9.7   12.9    6.9    1.6    0.2    0.0    0.0    0.7    4.0   12.4    5.9    34.0    21.4     0.2    17.2    65.9
1972   13.3   13.5   11.7    4.0    0.7    0.2    0.0    0.0    2.0    1.7   12.0   11.7    32.7    16.4     0.2    15.7    70.9
1973   11.5   14.6   12.0   10.6    2.9    0.2    0.1    0.2    0.2    6.9   12.2   15.1    37.9    25.5     0.5    19.3    86.5
1974    8.9    9.5   12.4    9.2    2.0    0.1    0.0    0.0    2.2    3.2    7.3    7.5    33.4    23.6     0.2    12.7    62.2
