Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for Scotland E
Areal series, starting in 1960
Last updated 01-Jan-2022 11:00
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1960   20.8   21.5    9.7    3.5    1.7    0.0    0.0    0.1    0.9    0.5   10.8   21.1     ---    14.9     0.2    12.1    90.5
1961   20.3    8.9    4.3    5.2    2.5    0.4    0.1    0.1    0.0    1.0   13.1   22.1    50.4    12.0     0.6    14.1    78.1
1962   17.0   16.0   21.6   11.5    1.5    0.6    0.1    0.1    0.3    3.2   13.1   20.9    55.0    34.5     0.8    16.5   105.7
1963   27.1   27.0   11.4    6.6    2.4    0.0    0.0    0.1    0.4    1.1   10.4   15.9    75.0    20.4     0.1    12.0   102.5
1964   13.0   13.2   13.5    4.0    0.1    1.0    0.0    0.3    0.9    5.1   11.2   21.2    42.1    17.6     1.3    17.2    83.4
1965   21.3   15.8   19.8   10.3    2.5    0.2    0.1    0.1    0.2    2.8   17.3   21.3    58.3    32.5     0.5    20.3   111.7
1966   18.9   16.7   10.4   13.8    2.1    0.0    0.1    0.2    0.0    4.5   14.8   17.5    56.9    26.4     0.2    19.3    99.0
1967   15.1   11.4   10.5    8.7    4.2    0.1    0.0    0.1    0.1    3.5   11.6   15.0    43.9    23.4     0.2    15.2    80.2
1968   17.2   25.8   14.5   12.0    6.7    0.1    0.0    0.0    0.2    1.2    9.9   17.9    57.9    33.2     0.2    11.3   105.5
1969   14.4   23.6   24.0   13.4    2.1    0.3    0.0    0.1    0.6    0.5   21.4   20.2    56.0    39.5     0.4    22.5   120.6
1970   16.4   22.5   21.1   16.8    0.4    0.1    0.0    0.0    0.4    2.6    9.9   14.1    59.2    38.4     0.2    12.9   104.5
1971   13.9   11.5   15.4    8.2    2.2    0.3    0.0    0.0    0.9    5.7   14.4    6.4    39.5    25.8     0.3    21.0    78.9
1972   13.7   14.9   12.8    4.4    0.9    0.3    0.0    0.0    3.0    1.9   14.3   14.2    35.1    18.1     0.3    19.2    80.4
1973   14.1   16.1   14.8   11.3    3.4    0.3    0.1    0.3    0.3    7.1   14.5   16.8    44.4    29.5     0.6    21.9    98.9
1974   10.6   11.1   13.2   12.7    2.2    0.1    0.1    0.0    2.7    4.3    9.0    8.9    38.4    28.2     0.2    16.1    75.0
1975   15.6   15.5   19.6    9.0    5.0    1.5    0.0    0.1    2.0    2.4   10.9   11.2    39.9    33.5     1.6    15.3    92.7
1976   15.9   12.9   16.7    7.2    0.8    0.0    0.0    0.0    0.4    2.3   12.0   24.8    40.0    24.7     0.0    14.8    93.1
1977   20.3   18.3    8.4   10.5    5.3    0.7    0.0    0.5    0.9    0.5   13.0    9.7    63.4    24.2     1.2    14.4    88.0
1978   22.6   21.5   12.0   11.1    2.3    0.6    0.0    0.0    0.1    0.4    8.2   14.8    53.8    25.5     0.6     8.7    93.7
1979   26.7   23.3   21.3    9.2    8.5    0.0    0.0    0.0    1.7    1.4   13.0   15.7    64.9    39.1     0.1    16.2   121.0
1980   20.6   11.6   17.5    5.4    4.1    0.3    0.0    0.0    0.0    6.7   10.6   14.4    47.8    27.0     0.3    17.3    91.2
1981   19.0   19.4   12.6   11.9    3.3    0.4    0.0    0.0    0.2   10.4    9.0   25.8    52.7    27.8     0.5    19.7   112.1
1982   16.8   11.4   13.9    6.2    6.4    0.1    0.0    0.1    0.8    2.5   10.9   19.4    53.9    26.4     0.2    14.2    88.3
1983   11.4   23.2   10.7   14.4    1.0    0.4    0.0    0.0    0.8    4.4    9.1   11.6    53.9    26.1     0.4    14.3    86.9
1984   24.9   15.5   14.6   10.1    5.5    0.1    0.0    0.0    0.6    1.7    3.6   10.0    52.0    30.2     0.1     5.9    86.7
1985   23.6   18.5   17.5    7.4    2.2    0.6    0.0    0.0    0.1    2.6   20.6   11.3    52.1    27.1     0.6    23.3   104.3
1986   20.7   25.0   14.0   14.4    0.4    0.3    0.0    0.2    3.1    2.3    8.5   16.3    57.0    28.7     0.5    13.8   105.1
1987   23.1   18.0   20.5    4.3    2.2    0.3    0.0    0.0    0.6    6.7    6.1   12.1    57.4    26.9     0.3    13.4    93.8
1988   16.2   13.8   14.8    7.9    1.3    0.1    0.0    0.0    0.7    4.0    9.7    4.0    42.1    23.9     0.1    14.3    72.3
1989    5.2   12.8   12.6   11.0    1.3    0.7    0.0    0.0    0.7    1.2    8.4   20.3    22.0    25.0     0.8    10.3    74.4
1990   10.0    9.8    5.2    8.6    0.9    0.0    0.0    0.0    0.4    1.4    9.0   16.3    40.1    14.8     0.0    10.7    61.6
1991   21.5   20.7   10.1    7.5    1.7    1.0    0.0    0.0    1.3    1.3   11.4   16.1    58.5    19.4     1.0    13.9    92.6
1992   18.8   13.1    8.6    6.3    2.0    0.0    0.0    0.0    0.1   11.7   12.5   18.3    48.0    16.9     0.1    24.4    91.5
1993   14.8    7.9   11.8    4.4    2.7    0.0    0.0    0.0    2.3    9.3   17.0   21.2    41.0    19.0     0.0    28.6    91.5
1994   18.4   19.2   12.6    9.6    5.3    0.0    0.0    0.0    0.1    3.3    3.4   13.3    58.8    27.5     0.1     6.8    85.2
1995   20.5   13.9   19.8    8.2    6.9    0.1    0.0    0.0    0.8    1.2    8.4   19.3    47.7    34.9     0.1    10.4    99.1
1996    9.4   20.8   15.0    5.5    6.5    0.1    0.0    0.0    0.0    0.7   17.9   19.5    49.5    26.9     0.1    18.7    95.3
1997   22.4   11.9    6.5    6.0    4.5    0.1    0.0    0.0    0.7    5.7    2.7    9.7    53.8    17.0     0.2     9.1    70.3
1998   15.9    5.2   11.2   10.3    1.4    0.5    0.0    0.0    0.1    4.9   13.8   13.5    30.8    23.0     0.6    18.9    77.0
1999   13.1   15.7   10.2    6.6    1.0    0.1    0.0    0.2    0.1    1.3    7.7   20.8    42.3    17.8     0.3     9.1    76.8
2000   12.9   13.4    8.9    9.5    1.3    0.3    0.0    0.0    0.1    1.6    8.7   12.3    47.1    19.7     0.4    10.4    69.1
2001   20.2   19.5   17.8    7.9    2.8    0.4    0.0    0.0    0.0    0.0    8.5   20.5    52.0    28.5     0.4     8.6    97.7
2002   12.1   12.1   10.5    6.2    1.5    0.0    0.0    0.0    0.1    7.1    4.0    8.6    44.7    18.2     0.0    11.3    62.2
2003   16.3   18.1   11.5    4.5    0.6    0.0    0.0    0.0    0.5    6.4    6.3   15.7    43.0    16.6     0.0    13.3    80.0
2004   14.8   16.8   10.5    2.5    1.0    0.0    0.0    0.1    0.0    1.2    6.9   15.0    47.3    13.9     0.1     8.1    68.7
2005   11.3   14.1    9.9    5.4    3.7    0.3    0.0    0.0    0.0    0.5   13.1   13.5    40.3    19.0     0.3    13.6    71.7
2006   13.4   14.3   18.1    8.5    2.7    0.0    0.0    0.0    0.0    0.2    5.7   12.6    41.2    29.3     0.0     5.9    75.5
2007   11.1   11.6    9.5    2.9    1.4    0.1    0.0    0.0    0.9    2.1    6.6   17.6    35.3    13.8     0.1     9.6    63.8
2008   15.7   13.4   15.2    9.5    1.0    0.1    0.0    0.0    0.0    5.2   11.5   18.9    46.7    25.6     0.1    16.7    90.3
2009   21.2   13.8   10.3    3.8    1.7    0.4    0.0    0.0    0.0    1.7    7.0   23.9    53.9    15.7     0.4     8.7    83.7
2010   22.4   22.2   14.1    6.7    5.4    0.0    0.0    0.0    0.6    3.3   15.5   26.1    68.4    26.2     0.0    19.4   116.2
2011   20.9   13.1   12.4    2.1    2.5    0.1    0.0    0.0    0.0    0.8    3.2   18.1    60.1    16.9     0.1     3.9    73.2
2012   16.5   11.9    5.8   10.4    5.4    0.5    0.0    0.2    1.2    7.9   12.0   16.3    46.5    21.6     0.7    21.1    88.0
2013   17.1   20.3   23.8   11.9    2.7    0.1    0.0    0.0    0.3    1.0   15.6    9.0    53.7    38.4     0.1    16.9   101.9
2014   11.0    9.6    8.8    3.5    1.3    0.0    0.0    0.2    0.0    0.7    3.1   18.5    29.7    13.6     0.2     3.9    56.7
2015   18.5   16.1   12.6    9.1    4.2    0.5    0.0    0.0    0.0    1.4    5.6    8.7    53.1    25.9     0.5     7.0    76.8
2016   16.8   19.5   12.2   11.0    1.3    0.0    0.0    0.1    0.0    1.5   15.8    7.7    45.0    24.5     0.1    17.3    85.8
2017   17.6   11.2   11.2    5.2    1.0    0.1    0.0    0.0    0.1    1.3   12.7   18.7    36.5    17.4     0.1    14.1    79.2
2018   17.3   21.7   19.2    6.2    1.5    0.0    0.0    0.0    0.3    5.3    3.8   12.1    57.7    26.9     0.0     9.4    87.4
2019   19.3   10.1    9.0    6.6    3.4    0.0    0.0    0.0    0.1    5.8   12.4   12.3    41.4    19.0     0.0    18.3    79.0
2020    9.9   15.1   12.8    6.9    4.4    0.1    0.0    0.0    0.8    0.6    5.4   13.1    37.2    24.2     0.1     6.9    69.2
2021   25.2   12.7    7.9   18.8    5.0    0.1    0.0    0.0    0.1    1.1    5.3   16.1    51.0    31.6     0.1     6.6    92.3
