Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for Scotland E
Areal series, starting in 1884
Last updated 01-Jan-2022 11:01
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    3.3    2.7    3.6    5.0    8.0   11.3   12.8   13.5   11.0    7.1    3.3    1.2     ---    5.54   12.55    7.12    6.92
1885    0.6    2.3    2.4    5.5    6.3   11.1   13.0   10.6    9.3    4.5    3.2    2.3    1.34    4.70   11.56    5.61    5.92
1886   -0.2   -0.2    1.5    4.8    7.1   10.6   12.5   12.4    9.7    8.2    4.5   -0.9    0.68    4.43   11.86    7.51    5.87
1887    1.9    3.1    2.8    4.5    7.9   13.1   14.0   12.4    9.5    5.5    2.7    0.8    1.30    5.08   13.18    5.88    6.54
1888    2.4    0.4    0.6    4.3    7.8    9.6   10.8   11.1    9.5    7.2    4.6    3.2    1.19    4.22   10.52    7.13    5.98
1889    2.9    1.1    2.7    4.7   10.1   12.6   12.0   12.0    9.8    6.1    4.8    2.4    2.43    5.81   12.23    6.87    6.80
1890    3.5    1.7    3.9    5.2    9.0   10.9   11.4   11.7   12.4    7.8    3.5    0.4    2.57    6.04   11.34    7.89    6.81
1891    1.0    4.1    1.4    3.7    6.7   11.5   13.0   11.8   11.1    6.5    3.1    1.7    1.75    3.91   12.11    6.89    6.29
1892    0.7    0.9    0.9    4.8    8.1   10.1   11.4   11.8    8.7    4.6    4.0   -0.5    1.11    4.59   11.15    5.77    5.48
1893    1.0    1.8    4.6    6.9    9.9   12.5   12.8   14.0    9.8    7.1    2.6    3.3    0.73    7.16   13.12    6.50    7.23
1894    1.1    2.0    4.4    6.7    6.2   10.6   13.3   11.8    9.3    5.9    5.5    2.4    2.15    5.78   11.93    6.92    6.64
1895   -2.4   -3.5    2.7    5.9    9.4   11.6   12.0   13.1   12.7    4.6    4.1    1.3   -1.07    6.02   12.23    7.06    6.00
1896    2.7    3.8    3.6    7.1   10.3   12.0   12.6   11.4    9.8    4.2    3.8    1.8    2.57    6.99   11.99    5.90    6.92
1897   -0.2    2.6    3.0    4.0    6.8   10.9   13.2   13.5    9.3    7.5    5.5    2.1    1.34    4.62   12.52    7.42    6.53
1898    4.8    2.0    2.6    6.2    7.2   11.0   12.4   12.6   12.1    8.5    3.9    4.4    3.00    5.32   12.05    8.17    7.35
1899    1.0    2.1    3.0    4.7    6.3   12.6   13.7   14.0    9.7    7.5    6.5    0.2    2.52    4.66   13.45    7.87    6.79
1900    2.2   -1.3    1.3    5.9    7.8   11.4   13.7   11.8   10.5    6.0    4.2    4.6    0.39    5.01   12.30    6.91    6.56
1901    1.8    0.5    2.5    5.6    9.0   10.7   15.1   12.8   11.2    6.5    3.6    0.8    2.36    5.72   12.88    7.10    6.72
1902    1.7   -0.6    3.9    5.1    5.9   10.0   11.0   10.7   10.2    6.7    5.3    2.4    0.71    4.97   10.57    7.38    6.06
1903    1.2    4.1    3.6    3.8    7.8   10.5   11.8   11.0   10.0    7.0    3.8    0.9    2.50    5.09   11.07    6.93    6.29
1904    2.5    0.5    2.0    6.0    7.6   10.9   12.8   12.1   10.1    7.3    3.4    2.1    1.29    5.19   11.93    6.94    6.46
1905    2.9    2.7    4.0    4.1    8.6   11.9   14.0   11.9   10.1    5.4    3.0    4.3    2.58    5.60   12.60    6.14    6.93
1906    2.9    0.7    2.4    5.1    7.0   12.2   12.4   13.1   11.3    7.6    5.6    1.4    2.70    4.80   12.57    8.17    6.84
1907    2.0    1.3    4.3    5.1    7.2    9.5   11.5   10.6   10.9    7.2    3.9    2.1    1.57    5.57   10.55    7.32    6.33
1908    1.6    3.2    1.8    3.6    9.1   11.5   12.6   11.8   10.4   10.0    5.0    2.5    2.25    4.85   11.97    8.47    6.93
1909    2.0    2.0    0.7    5.5    7.8    9.9   12.1   12.6    9.2    7.0    2.5    0.6    2.15    4.64   11.59    6.21    6.01
1910    0.6    1.8    4.3    4.3    8.2   11.2   11.6   12.6   10.4    8.1    1.1    4.0    0.97    5.60   11.79    6.52    6.53
1911    2.7    2.4    2.7    5.5   10.0   11.6   14.1   14.0   10.5    6.0    3.4    3.4    3.05    6.08   13.26    6.62    7.22
1912    1.4    2.3    4.5    6.7    8.7   10.7   12.8   10.2    9.0    6.2    3.9    3.0    2.36    6.61   11.24    6.35    6.62
1913    1.4    2.8    3.0    5.3    8.2   11.5   12.8   12.7   10.7    8.3    5.6    2.4    2.40    5.49   12.35    8.18    7.07
1914    2.0    4.0    2.9    7.4    8.2   12.0   13.3   13.1   10.7    7.9    4.4    1.4    2.78    6.16   12.82    7.66    7.29
1915    1.4    1.6    3.0    5.7    7.0   11.2   12.1   12.8   10.6    6.5    1.0    1.3    1.46    5.20   12.03    6.05    6.21
1916    4.8    1.3    0.8    5.5    7.9    9.4   12.7   13.0   10.4    7.0    5.2    1.2    2.49    4.73   11.74    7.52    6.62
1917    0.4    0.5    1.1    3.1    8.4   11.2   13.1   13.2   11.0    4.7    5.5    1.1    0.72    4.18   12.50    7.05    6.12
1918    0.5    4.2    3.5    4.4    9.7   10.8   12.5   13.1    7.9    7.1    3.0    3.1    1.85    5.90   12.15    6.02    6.68
1919    1.2   -0.4    0.5    5.3    9.7   11.2   11.9   12.5   10.0    6.5    0.4    1.9    1.33    5.17   11.87    5.65    5.94
1920    1.9    3.7    4.3    5.0    8.6   11.2   11.4   11.3   10.1    7.8    5.7    1.8    2.49    5.99   11.32    7.86    6.91
1921    3.6    3.2    4.1    6.0    8.5   11.4   13.9   11.6   11.0    9.7    2.7    4.4    2.85    6.20   12.32    7.82    7.55
1922    1.0    1.9    2.9    3.0    8.8   10.4   10.9   10.8    9.2    6.2    4.3    3.3    2.46    4.94   10.69    6.59    6.09
