Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for Scotland E
Areal series, starting in 1884
Last updated 01-Jan-2022 11:01
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    1.0    0.0    0.6    1.1    3.6    6.8    8.7    9.1    7.2    3.7    0.5   -1.3     ---    1.78    8.24    3.80    3.44
1885   -1.8   -0.6   -1.1    1.5    2.5    6.5    8.0    6.3    5.1    1.5    0.3   -0.3   -1.26    0.98    6.96    2.31    2.36
1886   -2.7   -2.6   -1.4    0.8    3.4    6.0    7.8    8.4    5.8    5.4    1.9   -3.7   -1.84    0.93    7.42    4.41    2.46
1887   -0.5   -0.0   -0.6    0.3    3.4    7.5    9.2    7.7    5.7    1.9    0.2   -2.0   -1.46    1.05    8.17    2.59    2.75
1888   -0.3   -2.2   -2.5    0.6    3.2    4.9    7.0    7.2    5.1    4.2    2.3    0.6   -1.49    0.44    6.37    3.87    2.52
1889    0.0   -1.7   -0.7    1.6    5.7    7.5    7.6    8.4    6.0    2.9    1.8   -0.5   -0.32    2.22    7.82    3.56    3.25
1890    0.7   -1.2    0.3    0.9    4.8    6.8    7.4    7.7    8.2    4.5    0.3   -1.6   -0.30    2.02    7.32    4.37    3.28
1891   -1.7    0.1   -2.1   -0.2    2.5    6.9    9.1    8.1    7.3    2.8    0.5   -1.1   -1.09    0.06    8.05    3.55    2.70
1892   -2.1   -1.9   -3.1   -0.2    3.6    5.8    7.3    8.0    4.9    1.8    1.0   -3.3   -1.69    0.11    7.04    2.55    1.83
1893   -1.5   -0.9    0.1    1.9    5.7    7.7    8.9    9.7    5.7    3.6   -0.1    0.7   -1.94    2.56    8.79    3.05    3.48
1894   -1.7   -0.9   -0.3    2.6    2.4    6.1    9.1    7.8    5.4    2.0    2.8   -0.4   -0.63    1.56    7.70    3.40    2.94
1895   -5.2   -7.4   -0.1    1.9    4.1    6.4    8.0    9.4    8.2    1.3    1.4   -1.1   -4.20    1.96    7.95    3.60    2.30
1896   -0.1    1.1    0.0    3.1    5.0    8.2    8.5    7.4    6.5    0.9    1.2   -0.8   -0.06    2.68    8.01    2.87    3.41
1897   -2.5   -0.3    0.2    0.0    2.5    6.9    8.3    9.4    5.0    3.4    2.9   -0.9   -1.25    0.90    8.22    3.78    2.92
1898    2.1   -0.9   -0.8    2.7    3.3    6.4    7.3    8.3    7.7    5.4    0.6    1.5    0.13    1.74    7.35    4.55    3.66
1899   -1.7   -1.4   -0.6    0.9    2.0    7.6    9.7    9.0    5.8    3.7    3.4   -2.5   -0.49    0.76    8.79    4.28    3.01
1900   -0.0   -4.5   -2.1    1.7    4.0    7.2    9.9    8.4    6.2    2.7    1.9    2.0   -2.27    1.20    8.50    3.57    3.16
1901   -0.6   -2.3   -0.2    1.1    3.8    6.0   10.3    8.4    7.6    2.8    0.2   -1.6   -0.26    1.55    8.26    3.54    2.99
1902   -1.1   -3.5    0.5    0.7    2.1    5.7    7.1    6.6    6.6    3.0    2.6   -0.1   -2.03    1.12    6.48    4.09    2.56
1903   -1.3    1.3    0.5   -0.0    3.8    6.1    7.7    6.9    6.2    4.1    0.8   -1.7   -0.05    1.41    6.93    3.71    2.87
1904    0.0   -1.9   -1.3    2.0    3.7    6.6    8.6    7.9    6.0    3.6    0.4   -0.5   -1.18    1.45    7.73    3.36    2.95
1905    0.2   -0.4    0.6    0.6    4.2    7.0    9.2    8.0    6.3    2.0    0.3    1.8   -0.21    1.84    8.11    2.86    3.36
1906    0.4   -2.5   -1.1   -0.1    3.4    7.6    7.7    9.0    6.0    4.1    3.0   -1.6   -0.02    0.74    8.09    4.38    3.03
1907   -0.8   -2.1    0.2    1.3    3.5    5.6    7.7    6.3    5.9    4.0    0.8   -0.4   -1.45    1.67    6.55    3.59    2.71
