Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for Scotland N
Areal series, starting in 1960
Last updated 01-Jan-2022 11:00
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1960   18.7   19.6   11.1    3.4    1.7    0.0    0.0    0.0    1.3    0.2    9.1   18.1     ---    16.2     0.1    10.6    83.2
1961   19.6   10.0    4.5    7.3    3.2    0.7    0.0    0.0    0.0    0.9   12.7   21.0    47.6    15.0     0.8    13.7    80.0
1962   14.0   15.2   20.8   12.5    2.0    0.3    0.1    0.3    0.2    2.4   10.7   13.9    50.2    35.4     0.7    13.4    92.5
1963   24.1   24.3    9.7    8.5    2.8    0.0    0.0    0.0    0.5    1.4   10.9   15.6    62.3    20.9     0.1    12.7    97.7
1964   10.3   12.2   12.6    5.1    0.1    1.7    0.0    0.2    0.6    4.0    6.8   18.0    38.0    17.8     2.0    11.4    71.6
1965   20.1   11.6   18.1    8.0    2.5    0.1    0.1    0.1    0.0    1.6   15.9   19.6    49.8    28.7     0.3    17.5    97.8
1966   18.8   15.9   11.1   14.5    2.3    0.0    0.1    0.2    0.0    3.3   12.8   16.0    54.3    28.0     0.3    16.1    95.1
1967   12.4    8.0   12.3    9.7    4.7    0.0    0.0    0.1    0.0    4.2    7.5   13.6    36.4    26.7     0.1    11.8    72.6
1968   15.4   24.3   13.8   10.7    7.5    0.1    0.0    0.1    0.1    0.7   11.4   18.2    53.4    31.9     0.2    12.2   102.3
1969   12.0   23.2   21.2   10.9    2.2    0.6    0.0    0.1    0.7    0.4   19.8   15.3    53.4    34.3     0.6    20.9   106.3
1970   16.3   22.1   21.0   14.7    0.4    0.1    0.0    0.0    0.1    2.7    8.6   12.7    53.7    36.0     0.1    11.4    98.5
1971   11.6   10.1   12.2    7.1    1.7    0.3    0.0    0.0    0.6    3.1   11.8    5.9    34.4    21.0     0.3    15.5    64.4
1972   15.0   15.5   12.6    4.6    0.8    0.2    0.0    0.0    1.6    1.5   11.5   12.7    36.3    17.9     0.2    14.5    75.9
1973   11.3   15.1   11.2   11.9    3.0    0.2    0.1    0.4    0.2    7.8   11.8   16.0    39.1    26.1     0.7    19.7    88.9
1974    9.4   10.0   13.5    8.4    2.1    0.1    0.0    0.0    1.7    2.4    6.8    9.1    35.4    23.9     0.2    10.9    63.6
1975   16.1   13.3   17.7    9.3    3.9    1.3    0.0    0.0    1.7    2.3    7.5    7.3    38.5    30.9     1.3    11.6    80.5
1976   15.9   13.8   13.6    6.2    1.5    0.0    0.0    0.0    0.5    1.5    8.1   22.2    36.9    21.2     0.0    10.1    83.2
1977   17.8   18.0    7.9   11.2    4.8    0.8    0.0    0.3    0.6    0.5   12.3   10.9    58.0    24.0     1.1    13.4    85.1
1978   20.9   19.0   12.3   10.7    2.3    0.7    0.0    0.0    0.0    0.4    8.2   11.5    50.7    25.3     0.8     8.6    86.1
1979   25.7   21.1   22.1    7.8    9.0    0.0    0.0    0.0    0.9    0.8   12.1   14.3    58.4    39.0     0.1    13.8   113.9
1980   17.7   11.8   16.8    3.9    3.2    0.3    0.0    0.0    0.0    5.3   10.6   12.6    43.8    23.8     0.3    16.0    82.1
1981   17.7   15.5   13.0   12.1    3.1    0.4    0.0    0.0    0.2    8.0    7.5   24.0    45.8    28.3     0.4    15.7   101.7
1982   14.4   10.9   11.6    5.4    7.0    0.0    0.0    0.1    0.3    1.6    9.6   17.5    49.3    24.0     0.1    11.5    78.4
1983   11.7   21.5   11.0   15.0    1.8    0.3    0.0    0.0    0.5    2.8    6.1   11.7    50.8    27.7     0.3     9.4    82.3
1984   24.6   11.4   14.8    7.5    3.5    0.1    0.0    0.0    1.1    1.2    4.5   10.0    47.6    25.7     0.1     6.8    78.5
1985   22.9   15.4   16.2    7.3    2.5    0.9    0.0    0.0    0.1    2.9   19.6   12.4    48.3    26.0     0.9    22.6   100.4
1986   19.8   24.0   11.6   15.5    0.6    0.5    0.0    0.1    1.6    2.3    7.7   14.0    56.3    27.7     0.6    11.7    97.9
1987   19.2   16.6   19.8    5.1    2.8    0.4    0.0    0.0    0.2    6.7    6.2   12.8    49.8    27.7     0.4    13.1    89.8
