Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Scotland N
Areal series, starting in 1919
Last updated 01-Jan-2022 11:00
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1919   31.0   60.7  108.9  100.0  183.9  143.8  149.2  135.1  109.0   69.5   36.1   19.5     ---   392.8   428.1   214.6  1146.8
1920   25.0   44.5   87.4  115.7  148.6  224.9  133.7  106.0   92.4   81.0   39.3   38.2    89.1   351.7   464.7   212.7  1136.8
1921   24.9   51.7   83.2  154.4  175.5  187.3  148.3  121.0   84.1   53.9   42.0   11.6   114.7   413.1   456.6   179.9  1137.8
1922   18.7   41.1   55.8  139.8  166.6  119.4  105.1  113.6   95.5   85.4   28.4   22.3    71.4   362.2   338.1   209.3   991.6
1923   18.7   40.1  138.1  136.1  129.6  109.6  118.8  102.1   99.9   78.2   42.4   17.7    81.1   403.8   330.5   220.4  1031.2
1924   27.1   38.2   70.6  119.8  133.2  149.6  135.0   78.5  114.4   73.7   35.0   22.3    83.0   323.5   363.1   223.0   997.3
1925   37.0   43.8   72.3  149.5  127.3  200.9  126.8  119.0   73.0   68.1   62.0   18.8   103.1   349.2   446.7   203.1  1098.5
1926   27.5   48.5   83.6  120.3  179.6  140.3  169.8  135.0   99.8   74.5   53.5   17.1    94.8   383.5   445.1   227.8  1149.5
1927   22.1   67.7  102.9  116.8  147.2  164.0  130.9  135.9   66.2   73.8   42.1   28.8   107.0   367.0   430.7   182.2  1098.5
1928   22.9   59.3   62.3  117.1  134.6  167.9   91.2  110.3  131.0   79.9   35.0   17.8   111.0   314.0   369.4   245.9  1029.3
1929   39.5   57.1  141.6  162.6  172.9  153.1  117.6   90.0   80.9   62.4   42.5   26.2   114.5   477.2   360.7   185.8  1146.6
1930   35.1   86.3  103.1  127.7  165.2  190.2   97.9   96.8   71.6   55.5   35.8   22.8   147.6   396.0   384.9   162.8  1088.0
1931   26.6   50.1  131.3  106.9  141.4  128.5   83.0  135.3  103.2   64.6   34.7   18.7    99.5   379.6   346.8   202.5  1024.3
1932   32.7   61.7   67.7  111.6  175.8  162.0  110.4  127.4   72.7   50.1   41.8   26.6   113.0   355.2   399.8   164.6  1040.6
1933   35.9   44.3   91.9   98.6  138.0  184.6  123.5  136.4  125.1   41.0   39.2   25.1   106.9   328.6   444.5   205.3  1083.7
1934   21.9   40.0  110.8   99.3  134.8  200.1  141.6   88.9  117.8   56.2   37.0   18.1    87.0   344.9   430.5   211.0  1066.4
1935   19.3   52.2  124.0  113.9  209.0  137.6  170.2   94.6   91.7   43.2   44.3   28.8    89.5   446.9   402.4   179.1  1128.6
1936   29.6   59.9   64.9  143.7  163.4  212.5  123.2  107.7   99.7   85.9   36.4   15.7   118.3   372.0   443.3   222.0  1142.6
1937   27.2   51.7  108.8   94.3  202.5  138.9   97.2  131.4   97.4   72.3   34.5   25.5    94.7   405.5   367.5   204.2  1081.7
1938   17.7   44.2   66.0  119.0  149.7  125.1  102.9  178.3   98.9   68.6   29.4   25.6    87.4   334.7   406.3   196.9  1025.2
1939   33.5   39.1   91.4  129.0  152.5  173.3   70.0  145.9  103.4   99.8   29.9   18.3    98.2   372.9   389.2   233.1  1086.2
1940   34.8   62.5   77.0  114.7  162.0  213.2   90.3  108.9   77.2   61.7   32.2   22.0   115.6   353.6   412.4   171.1  1056.4
1941   41.4   42.5  113.0  106.3  155.6  162.3  102.5   88.9   93.0   68.6   37.6   17.8   106.0   374.8   353.7   199.2  1029.6
1942   24.1   58.6   73.1  210.0  201.4   92.5  117.8   70.2   87.9   55.5   39.5   16.8   100.6   484.5   280.6   182.9  1047.5
1943   29.6   33.8   94.3   97.9  163.1  135.6  160.6   88.0   90.3   48.8   26.0   28.9    80.2   355.3   384.2   165.1   996.9
1944   20.2   42.8   68.6  101.6  101.3  108.4  107.9  154.2  102.2   54.4   39.7   17.6    91.9   271.5   370.5   196.3   918.8
