Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for Scotland N
Areal series, starting in 1884
Last updated 01-Jan-2022 11:01
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    4.9    5.3    6.5    8.8   11.6   13.9   16.1   16.8   14.5    9.8    5.8    4.3     ---    8.99   15.61   10.02    9.87
1885    3.3    4.5    5.4    9.2    9.5   13.6   16.0   13.9   12.3    6.9    6.1    5.3    4.01    8.01   14.52    8.44    8.85
1886    2.3    3.1    4.8    8.6   10.8   13.6   15.3   15.1   13.0   11.1    7.6    2.2    3.56    8.07   14.69   10.55    8.99
1887    5.1    6.6    6.0    7.9   11.9   17.2   16.5   15.5   12.1    8.2    5.8    3.5    4.57    8.62   16.42    8.71    9.72
1888    5.1    3.1    3.7    7.6   11.1   14.0   13.9   14.3   13.5    9.8    7.0    6.7    3.91    7.44   14.04   10.10    9.15
1889    6.3    3.7    5.7    7.3   14.7   16.5   15.4   14.5   13.1    9.8    8.2    6.3    5.60    9.26   15.44   10.37   10.16
1890    6.5    5.4    6.9    9.1   13.5   13.5   14.0   14.4   15.5   10.3    7.0    3.8    6.12    9.83   14.01   10.93   10.03
1891    4.2    8.4    4.1    7.8   10.7   15.4   14.9   14.3   13.9   10.4    6.6    5.4    5.39    7.53   14.86   10.31    9.68
1892    3.5    4.0    4.6    9.1   11.8   13.4   14.3   14.3   11.8    7.2    8.0    3.2    4.30    8.50   14.04    8.96    8.77
1893    3.8    4.8    8.1   11.8   13.6   16.5   16.4   16.9   12.7    9.8    4.9    6.4    3.89   11.15   16.61    9.13   10.51
1894    4.5    4.7    8.4   12.0    9.9   14.7   17.0   14.5   12.9    9.8    8.7    6.2    5.22   10.05   15.40   10.44   10.28
1895    1.3    1.5    5.9    9.7   14.2   15.4   14.8   15.8   15.9    8.0    6.8    4.3    3.02    9.95   15.36   10.22    9.52
1896    5.8    7.1    6.6    9.5   14.6   14.6   15.6   14.2   12.8    7.2    7.4    4.9    5.69   10.23   14.80    9.12   10.02
1897    2.7    5.4    5.7    8.0   10.7   14.8   17.4   17.0   12.8   11.5    8.2    5.1    4.28    8.16   16.40   10.84    9.97
1898    7.3    4.6    5.8    9.8   10.7   14.7   15.4   16.1   15.8   12.1    7.5    7.0    5.68    8.77   15.42   11.77   10.59
1899    3.9    6.1    6.2    7.9   10.9   16.7   16.5   18.9   12.9   11.1    9.6    4.3    5.66    8.32   17.39   11.23   10.45
1900    4.8    2.5    4.8    9.2   11.5   15.7   16.1   16.0   14.6    9.5    7.2    7.2    3.94    8.50   15.94   10.40    9.97
1901    5.0    4.2    5.4    9.8   14.7   14.3   18.8   15.6   15.5   10.2    7.2    3.8    5.51    9.97   16.27   10.96   10.42
1902    4.7    3.4    6.6    9.4    9.4   14.5   13.8   13.9   13.9   10.8    8.8    5.4    3.99    8.45   14.07   11.20    9.59
1903    4.0    6.7    6.4    7.5   11.7   14.6   14.8   14.3   14.6    9.5    6.8    3.8    5.31    8.56   14.56   10.32    9.57
1904    5.4    3.6    5.9    8.9   11.6   15.0   16.6   15.4   14.3   10.6    6.5    5.6    4.28    8.81   15.66   10.49    9.98
1905    6.3    5.2    7.1    7.3   12.2   16.7   16.7   14.8   13.5    8.4    6.2    6.9    5.71    8.86   16.05    9.34   10.13
1906    5.5    3.5    5.4    9.0    9.6   15.6   15.7   16.3   15.9   11.0    8.1    4.7    5.36    7.99   15.85   11.68   10.05
1907    5.0    4.4    7.4    8.7   11.2   12.5   14.9   13.4   14.7   10.4    7.3    5.0    4.72    9.11   13.62   10.81    9.61
1908    5.1    5.8    5.4    7.3   12.5   14.6   15.3   14.8   13.2   13.3    8.5    6.3    5.29    8.39   14.93   11.68   10.19
1909    5.3    5.7    3.9    9.4   12.0   13.1   14.5   14.9   12.8    9.9    6.2    3.6    5.74    8.42   14.19    9.68    9.30
1910    3.8    4.9    7.7    7.1   12.0   14.9   14.6   15.4   13.6   10.8    3.9    6.4    4.08    8.95   14.96    9.45    9.63
1911    5.7    5.8    5.9    8.5   13.6   14.9   16.7   16.9   13.3    9.4    5.8    6.5    5.97    9.35   16.17    9.50   10.29
1912    4.3    5.3    7.2    9.9   11.6   13.5   15.3   12.9   11.9    9.3    6.1    6.0    5.38    9.58   13.88    9.11    9.45
1913    4.6    5.6    5.9    8.6   11.5   14.3   15.3   15.4   13.7   11.3    8.5    5.7    5.41    8.65   15.03   11.16   10.06
1914    4.7    6.9    5.9   10.8   11.1   14.7   15.9   16.1   13.6   10.9    7.0    4.0    5.74    9.27   15.59   10.51   10.15
1915    4.1    4.4    5.8    8.7   11.5   15.0   14.9   15.3   13.7   10.6    4.5    3.8    4.14    8.66   15.09    9.61    9.39
1916    7.5    3.8    3.5    8.8   11.4   12.2   15.2   15.6   13.4   10.1    7.8    4.4    5.06    7.87   14.37   10.44    9.49
1917    2.5    4.1    4.5    6.1   12.2   14.6   16.7   16.3   13.6    7.4    7.9    4.3    3.65    7.62   15.90    9.59    9.21
1918    3.6    6.7    6.7    8.5   13.4   13.7   15.3   15.2   10.8    9.7    7.0    5.9    4.81    9.56   14.75    9.18    9.73
1919    4.1    2.7    3.9    7.9   14.6   13.3   14.9   14.3   12.9    9.2    3.5    4.8    4.30    8.79   14.19    8.52    8.88
1920    4.7    6.6    7.1    8.0   11.7   15.3   14.5   14.1   13.2   11.8    8.7    5.2    5.34    8.94   14.62   11.23   10.08
1921    6.3    6.5    6.8   10.4   11.8   14.6   16.4   14.1   13.2   12.2    6.4    7.2    6.01    9.65   15.03   10.62   10.51
1922    4.1    5.2    6.1    6.9   11.8   13.2   13.6   13.8   12.7    9.7    7.3    6.0    5.52    8.29   13.54    9.90    9.23
1923    6.8    5.1    8.1    8.0    9.0   12.3   15.8   14.3   12.2    9.2    4.3    4.9    6.03    8.38   14.15    8.57    9.20
1924    5.4    5.0    5.0    8.2   10.6   13.1   15.4   14.4   12.9   10.3    8.2    7.5    5.11    7.94   14.31   10.45    9.69
1925    6.0    4.5    5.5    8.5   11.6   15.0   16.8   15.4   11.4   10.1    5.7    3.4    6.08    8.52   15.72    9.07    9.52
1926    5.6    6.4    7.1   10.3   11.1   14.2   17.0   16.2   13.6    7.5    6.2    6.0    5.08    9.49   15.80    9.09   10.12
1927    5.0    6.1    8.0    7.6   10.5   12.2   16.6   16.1   12.1   10.1    6.4    2.8    5.69    8.67   14.99    9.56    9.48
1928    5.4    6.2    6.1    9.0   11.7   12.3   14.0   15.0   12.9   10.4    7.6    4.9    4.78    8.95   13.81   10.30    9.65
1929    3.0    3.4    9.5    7.9   12.7   13.3   15.7   14.4   14.1    9.0    6.8    5.7    3.79   10.07   14.49    9.97    9.68
1930    5.1    3.8    5.2    9.1   11.6   15.9   15.4   15.4   13.5    9.8    6.0    5.7    4.91    8.64   15.58    9.76    9.75
1931    4.3    4.4    4.9    8.3   12.0   13.2   15.2   15.1   12.9   10.1    8.7    7.3    4.83    8.43   14.52   10.58    9.74
1932    7.8    6.4    6.4    7.4   11.1   15.1   15.7   16.2   12.5    8.7    7.3    6.5    7.17    8.32   15.68    9.49   10.11
1933    4.4    4.6    8.7    9.7   12.4   16.8   18.0   16.7   15.4   10.3    6.9    5.2    5.23   10.27   17.19   10.83   10.80
1934    6.4    7.0    5.9    7.6   11.5   15.4   17.5   15.5   14.9   10.0    6.9    7.5    6.18    8.33   16.11   10.59   10.52
1935    6.1    5.5    8.1    8.5   12.3   14.4   16.7   16.5   13.2    9.3    7.0    3.4    6.39    9.65   15.89    9.84   10.12
1936    3.3    4.1    7.4    8.0   12.8   16.1   16.1   16.3   14.6   10.6    7.1    6.1    3.62    9.39   16.15   10.76   10.22
1937    5.8    4.2    3.7    9.9   13.8   14.1   15.7   16.5   13.4   10.6    7.0    3.9    5.40    9.12   15.46   10.36    9.92
1938    6.0    5.9    9.4    9.6   11.4   13.5   14.9   16.8   14.2   10.6    8.4    5.5    5.24   10.14   15.11   11.04   10.54
1939    3.7    6.8    7.1    9.2   12.6   15.4   14.7   16.8   14.8    9.6    8.0    5.1    5.29    9.63   15.64   10.78   10.33
1940    2.4    4.3    6.4    9.0   14.5   17.6   14.7   15.1   12.3   10.4    7.1    5.0    3.92   10.00   15.79    9.92    9.92
1941    1.7    3.6    5.6    7.3   11.0   15.1   16.2   14.7   15.4   10.7    7.5    6.8    3.42    7.97   15.34   11.20    9.66
1942    3.5    3.5    5.8   10.9   12.4   13.3   15.5   15.4   13.0    9.7    7.1    7.4    4.65    9.69   14.76    9.93    9.83
1943    5.0    6.9    7.9   10.0   12.2   14.7   16.0   14.4   13.2   11.6    6.9    5.7    6.43    9.99   15.02   10.58   10.38
1944    6.3    5.1    6.4   10.6   11.0   13.5   16.3   17.2   13.0    9.8    5.6    5.1    5.70    9.33   15.70    9.48   10.01
1945    1.7    6.8    9.4    9.9   12.5   14.8   16.8   16.5   14.9   12.4    8.7    6.5    4.43   10.61   16.04   11.99   10.92
1946    5.2    5.4    7.0   10.2   13.1   13.9   15.3   15.0   13.9   10.4    7.8    5.0    5.72   10.08   14.73   10.71   10.20
1947    4.2    0.4    3.4    8.6   14.1   14.8   17.0   20.1   14.1   11.8    6.6    5.5    3.28    8.71   17.33   10.83   10.11
1948    3.8    5.6   10.1    9.9   13.0   14.0   15.7   14.1   13.3    9.8    9.0    6.8    4.97   11.03   14.63   10.68   10.45
1949    6.1    6.7    6.5   10.1   12.0   15.3   16.7   15.9   15.4   11.7    8.0    5.3    6.53    9.50   15.99   11.69   10.82
1950    6.1    4.7    8.1    8.0   12.4   15.2   16.4   16.5   12.4   10.2    5.6    2.4    5.39    9.53   16.06    9.39    9.87
1951    3.8    3.7    4.6    6.7   11.6   14.2   15.3   14.6   14.2   11.5    8.2    5.7    3.29    7.65   14.73   11.29    9.56
1952    2.7    4.7    7.2   10.7   13.5   12.9   15.9   15.0   11.1    9.4    4.7    4.6    4.39   10.45   14.60    8.46    9.39
1953    5.8    6.3    8.6    8.0   12.9   15.3   15.1   15.8   14.7   11.3    8.8    7.2    5.52    9.85   15.41   11.60   10.84
1954    4.7    3.7    6.6    9.9   12.6   14.1   14.2   14.4   12.2   10.5    7.1    6.5    5.25    9.71   14.21    9.93    9.74
1955    3.1    1.6    5.1   10.9   10.8   14.7   18.6   18.2   14.8    9.5    8.7    5.0    3.80    8.93   17.22   10.97   10.13
1956    3.9    3.6    7.6    8.4   12.5   13.6   15.4   13.3   14.2   10.1    7.8    6.8    4.17    9.52   14.11   10.66    9.79
1957    6.4    4.8    9.2   10.3   11.9   15.1   14.7   15.0   12.0   10.8    7.5    5.8    6.03   10.45   14.95   10.12   10.33
