Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for Scotland N
Areal series, starting in 1884
Last updated 01-Jan-2022 11:01
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    3.0    2.9    3.7    5.5    7.4   10.4   12.1   13.0   10.9    7.0    3.2    1.9     ---    5.53   11.84    7.04    6.76
1885    0.8    1.5    2.3    5.8    6.0    9.7   11.9   10.2    9.1    4.0    3.4    2.7    1.40    4.68   10.61    5.49    5.63
1886    0.1    0.2    2.0    4.5    6.7    9.8   11.3   11.4    9.2    7.9    4.8   -0.6    1.05    4.36   10.84    7.29    5.63
1887    2.6    3.7    2.9    4.0    7.6   12.4   12.5   11.7    9.0    5.5    3.2    0.9    1.83    4.86   12.21    5.87    6.34
1888    2.6    0.2    0.7    4.1    7.1    9.6   10.3   10.7    9.7    7.1    4.7    4.1    1.23    3.96   10.22    7.16    5.93
1889    3.6    0.9    2.8    4.6   10.5   12.1   11.4   11.5    9.7    6.3    5.5    3.5    2.96    5.97   11.65    7.14    6.90
1890    3.7    2.6    3.4    5.1    9.3   10.1   10.4   11.1   11.9    7.6    4.3    1.4    3.30    5.95   10.53    7.92    6.77
1891    1.7    5.0    0.7    3.8    6.4   11.2   11.8   11.2   10.7    7.0    3.7    2.6    2.62    3.62   11.40    7.12    6.31
1892    0.9    1.1    0.9    4.4    7.6    9.5   10.9   11.2    8.3    4.6    5.3    0.4    1.54    4.30   10.53    6.01    5.41
1893    1.0    2.0    4.4    7.1    9.6   12.2   12.8   13.3    9.4    7.0    2.3    3.8    1.12    7.03   12.76    6.22    7.11
1894    1.8    2.0    4.3    7.5    5.9   10.6   13.2   11.4    9.2    6.0    6.1    3.2    2.58    5.91   11.77    7.09    6.81
1895   -1.6   -2.4    2.8    5.8    9.4   10.9   11.2   12.5   12.2    4.5    3.8    2.0   -0.21    6.01   11.52    6.81    5.97
1896    2.8    4.4    3.4    6.2    9.8   11.2   11.8   10.8    9.7    4.1    4.9    2.2    3.07    6.44   11.27    6.20    6.77
1897    0.3    2.4    3.1    4.1    6.6   10.8   12.9   13.3    9.1    7.8    5.4    2.3    1.58    4.62   12.34    7.46    6.53
1898    5.0    2.0    2.7    6.3    7.0   10.8   11.4   12.3   11.6    8.7    4.3    4.3    3.14    5.32   11.49    8.20    7.23
1899    1.2    2.5    2.9    4.2    6.5   12.2   13.0   14.4    9.8    7.8    7.1    1.6    2.69    4.55   13.24    8.21    6.96
1900    2.7   -0.9    1.6    5.5    7.6   11.6   12.7   12.1   10.6    6.0    4.5    4.7    1.21    4.90   12.15    7.02    6.60
1901    2.7    1.3    2.5    5.6    9.4   10.3   14.5   12.1   11.7    6.5    4.0    1.4    2.94    5.86   12.34    7.40    6.88
1902    1.9    0.4    3.7    5.5    5.6   10.4   10.5   10.5   10.6    7.1    6.4    2.8    1.28    4.93   10.47    8.04    6.32
1903    1.7    4.1    3.5    4.1    7.8   10.0   10.9   10.8   10.6    7.0    4.3    1.4    2.82    5.15   10.60    7.30    6.37
1904    3.1    1.2    2.6    5.7    7.7   10.8   12.6   11.7   10.4    7.7    3.9    3.2    1.92    5.32   11.69    7.32    6.72
1905    3.6    2.5    4.2    4.0    8.1   12.2   13.0   11.5   10.0    5.5    3.6    4.6    3.13    5.42   12.24    6.39    6.94
1906    3.1    0.7    2.2    4.5    6.3   11.4   11.5   12.7   11.5    7.5    5.9    1.9    2.86    4.33   11.87    8.28    6.63
1907    2.6    1.6    4.2    5.4    7.5    9.1   11.2   10.2   10.8    7.3    4.4    2.8    2.07    5.68   10.21    7.51    6.46
1908    2.5    3.4    2.5    3.8    8.7   10.9   12.2   11.4   10.3   10.4    5.8    3.6    2.88    5.00   11.49    8.85    7.13
1909    2.8    3.0    1.2    5.5    7.8    9.7   11.3   11.7    9.5    6.9    3.4    0.8    3.13    4.80   10.90    6.60    6.14
1910    1.0    2.1    4.6    3.9    8.2   10.9   11.3   12.4   10.2    8.0    1.7    4.2    1.27    5.57   11.55    6.65    6.57
1911    3.4    3.0    3.0    5.2    9.3   11.0   12.7   13.4   10.1    6.3    3.3    4.2    3.55    5.84   12.37    6.55    7.10
1912    2.1    2.5    4.4    6.4    8.0   10.3   12.0    9.8    8.8    6.4    3.9    3.2    2.93    6.27   10.74    6.36    6.50
1913    2.6    3.1    3.0    5.1    7.9   10.8   12.0   11.9   10.3    8.3    5.8    3.3    2.96    5.32   11.57    8.14    7.03
1914    2.3    4.0    3.0    7.1    7.4   10.8   12.5   12.6   10.3    8.0    4.4    1.5    3.16    5.81   12.02    7.55    7.00
1915    1.7    1.8    2.9    5.3    6.8   10.6   11.6   12.4   10.5    7.3    2.0    1.4    1.66    5.00   11.55    6.58    6.22
1916    4.8    1.6    1.2    5.5    7.6    9.1   12.1   12.3   10.3    7.3    5.6    2.2    2.62    4.74   11.18    7.72    6.64
1917    0.6    1.6    1.8    2.7    8.2   10.6   12.7   13.1   10.4    4.6    5.3    1.7    1.46    4.24   12.14    6.73    6.13
1918    0.8    4.3    3.7    4.7    9.4    9.9   11.8   12.4    7.5    7.0    4.1    3.5    2.19    5.96   11.41    6.18    6.61
1919    1.8   -0.1    1.0    4.8   10.0   10.1   11.3   11.5    9.6    6.6    1.1    2.5    1.80    5.28   10.98    5.75    5.89
1920    2.1    3.9    4.2    5.1    8.1   11.1   11.1   10.9   10.0    8.6    6.1    2.6    2.81    5.80   11.05    8.22    6.99
1921    3.6    4.0    3.8    6.2    7.8   10.6   12.8   11.0   10.2    9.3    3.5    4.5    3.39    5.94   11.46    7.67    7.29
1922    2.0    2.7    3.3    3.1    8.0    9.6   10.3   10.5    9.3    6.6    4.8    3.9    3.06    4.80   10.15    6.87    6.19
1923    4.5    3.3    4.6    4.7    5.6    9.1   12.8   11.2    9.1    6.7    2.0    2.4    3.93    5.00   11.05    5.95    6.37
1924    3.3    2.8    2.0    4.8    7.1    9.8   12.0   11.7    9.6    7.4    6.0    5.4    2.84    4.63   11.15    7.67    6.83
1925    3.8    2.3    3.0    5.0    8.4   11.1   13.3   12.1    8.7    7.6    3.3    0.8    3.89    5.46   12.17    6.53    6.64
1926    3.4    3.8    4.0    7.0    7.3   10.7   13.0   12.8   10.3    4.7    3.7    3.7    2.62    6.09   12.17    6.22    7.05
1927    2.7    3.4    4.8    4.5    6.6    8.6   13.2   12.6    9.2    7.2    4.1    0.6    3.26    5.33   11.48    6.84    6.48
1928    3.0    3.3    3.7    5.8    8.1    8.7   11.2   11.8    9.4    7.4    5.1    2.8    2.25    5.85   10.60    7.32    6.71
1929    0.4    1.1    5.3    4.5    8.5    9.8   12.3   11.5   11.1    6.5    4.5    3.7    1.44    6.12   11.21    7.35    6.63
1930    2.6    1.2    2.1    6.1    7.8   11.7   12.3   12.4   10.6    7.4    3.3    3.4    2.55    5.30   12.17    7.08    6.77
1931    2.0    1.9    1.7    5.3    8.4    9.9   12.2   11.5    9.8    7.2    6.2    4.9    2.43    5.13   11.22    7.73    6.78
1932    4.8    3.9    3.5    4.1    7.7   11.0   12.6   12.7    9.6    6.2    4.7    3.9    4.56    5.08   12.12    6.82    7.07
1933    1.8    1.9    5.4    6.5    8.6   12.4   14.5   13.3   11.6    7.7    4.4    2.8    2.56    6.86   13.41    7.90    7.62
1934    3.9    4.7    2.7    4.5    7.6   11.2   13.7   12.4   11.2    7.1    4.1    5.5    3.78    4.97   12.44    7.46    7.40
1935    3.7    2.8    4.7    5.0    7.7   10.8   12.7   13.0    9.9    6.4    4.4    0.9    4.04    5.80   12.18    6.91    6.86
1936    0.9    1.3    4.6    4.3    8.7   11.4   12.7   12.9   11.1    7.3    4.4    3.6    1.07    5.87   12.33    7.60    6.95
1937    3.4    1.8    0.9    6.6    9.2   10.5   12.2   12.7   10.2    7.7    4.4    1.3    2.96    5.55   11.84    7.43    6.77
1938    3.4    3.0    6.6    6.1    7.5   10.2   11.7   12.7   10.7    7.8    5.9    3.0    2.57    6.74   11.53    8.11    7.40
1939    1.0    4.1    4.1    5.7    8.7   11.0   11.7   13.2   11.3    6.4    5.4    2.8    2.64    6.16   11.95    7.69    7.12
1940   -0.3    1.7    3.2    5.7   10.1   12.8   11.6   11.7    9.2    7.6    4.4    2.6    1.38    6.33   12.03    7.05    6.69
1941   -0.8    0.8    2.3    4.1    7.0   11.0   12.8   11.5   12.1    7.7    4.7    4.4    0.90    4.48   11.78    8.17    6.50
1942    1.2    0.7    2.8    6.5    7.8    9.6   11.9   12.6   10.0    7.0    4.4    4.7    2.13    5.70   11.39    7.12    6.63
1943    2.6    4.3    5.0    6.8    8.1   10.8   12.1   11.1    9.9    8.8    4.5    3.2    3.82    6.62   11.31    7.76    7.27
1944    3.7    2.3    3.5    7.2    7.7   10.1   13.1   13.4    9.5    7.0    2.9    2.6    3.11    6.11   12.21    6.46    6.94
1945   -1.2    4.2    6.5    6.6    8.3   11.0   13.4   12.9   11.6    9.2    5.9    4.0    1.77    7.13   12.44    8.88    7.70
1946    2.4    2.8    3.8    6.5    8.4   10.2   12.2   11.4   11.0    7.0    5.1    2.3    3.10    6.24   11.26    7.67    6.94
1947    1.7   -2.3    0.2    5.4    9.6   11.2   13.1   15.0   10.7    8.7    4.0    3.3    0.68    5.07   13.14    7.81    6.78
1948    1.2    2.9    6.2    6.3    8.2   10.6   12.4   11.2   10.2    7.0    5.9    4.5    2.45    6.89   11.40    7.69    7.22
1949    3.3    3.8    3.4    6.6    8.0   10.9   13.0   12.7   12.0    8.9    5.1    2.7    3.85    5.98   12.19    8.68    7.55
1950    3.8    1.7    5.1    4.6    8.3   11.4   12.8   12.8    9.6    7.2    3.1   -0.0    2.79    6.01   12.33    6.65    6.73
1951    1.5    1.2    1.9    3.4    7.3   10.0   12.1   11.4   10.8    8.5    5.7    3.4    0.87    4.22   11.17    8.32    6.46
1952   -0.1    2.1    4.2    6.9    9.6    9.5   12.2   11.9    8.0    6.5    2.2    2.2    1.78    6.90   11.23    5.59    6.29
1953    3.6    3.5    4.9    4.2    8.9   11.5   12.0   12.4   11.5    8.7    6.3    4.5    3.08    6.03   11.95    8.81    7.69
1954    2.4    1.0    3.1    5.7    8.7   10.3   11.1   11.4    9.0    7.6    4.2    4.0    2.67    5.85   10.94    6.96    6.59
1955    0.4   -1.4    2.2    6.9    6.6   10.6   13.9   14.2   11.5    6.6    6.2    2.4    1.08    5.21   12.92    8.05    6.71
1956    1.1    0.8    4.4    4.4    8.7    9.7   11.9   10.1   11.0    7.4    5.4    4.4    1.43    5.87   10.58    7.94    6.64
1957    3.4    1.9    6.3    6.3    7.6   10.7   11.9   11.9    9.1    8.0    5.0    3.2    3.29    6.76   11.52    7.34    7.14
1958    1.2    1.2    1.0    5.2    6.8   10.7   12.3   12.4   12.4    8.5    5.4    2.5    1.90    4.33   11.81    8.74    6.65
1959   -0.6    3.0    5.0    6.2    9.5   11.3   12.8   13.4   11.4    9.8    5.3    3.0    1.59    6.88   12.54    8.85    7.55
1960    1.7    0.6    4.3    6.8    9.9   12.2   12.0   11.7   10.1    7.7    4.3    1.7    1.81    6.99   11.98    7.38    6.94
1961    1.5    4.1    6.2    6.3    7.9   10.3   11.3   11.7   11.2    8.2    3.5    0.2    2.37    6.82   11.13    7.61    6.89
1962    2.7    2.9    0.7    4.8    7.3   10.6   11.1   10.7    9.5    8.7    3.9    2.6    1.91    4.26   10.80    7.39    6.31
