Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for Scotland N
Areal series, starting in 1884
Last updated 01-Jan-2022 11:01
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    0.8    0.3    1.1    1.8    3.7    7.2    8.4    9.8    7.6    4.6    1.2   -0.1     ---    2.22    8.47    4.46    3.88
1885   -1.3   -1.1   -0.5    2.1    2.6    6.2    7.8    6.4    5.5    1.4    1.1    0.4   -0.83    1.37    6.82    2.65    2.57
1886   -2.2   -2.5   -0.8    0.4    3.1    5.9    8.1    8.2    5.7    5.0    2.4   -3.4   -1.40    0.91    7.39    4.39    2.51
1887    0.2    0.8   -0.3    0.4    3.8    7.7    8.7    8.3    6.0    2.9    0.9   -1.7   -0.84    1.28    8.22    3.26    3.15
1888    0.1   -2.5   -2.2    1.0    3.3    5.2    6.8    7.4    5.9    4.5    2.3    1.8   -1.37    0.69    6.46    4.25    2.81
1889    1.1   -1.5    0.0    1.7    6.4    7.8    7.5    8.8    6.3    3.1    3.0    0.8    0.53    2.73    8.01    4.13    3.78
1890    1.2   -0.1   -0.1    1.2    5.3    7.0    7.1    8.0    8.4    5.0    1.7   -0.8    0.69    2.17    7.34    5.04    3.68
1891   -0.9    1.6   -2.7   -0.2    2.6    7.0    8.8    8.4    7.6    3.8    0.9    0.1   -0.10   -0.07    8.11    4.11    3.10
1892   -1.9   -1.7   -2.8   -0.2    3.7    5.8    7.5    8.3    4.9    2.1    2.5   -2.4   -1.16    0.25    7.19    3.19    2.17
1893   -1.4   -0.6    0.7    2.4    5.8    7.8    9.5    9.9    6.0    4.4   -0.1    1.2   -1.51    2.95    9.08    3.43    3.82
1894   -0.9   -0.4    0.2    3.1    2.4    6.6    9.6    8.6    5.6    2.2    3.5    0.3   -0.00    1.88    8.27    3.76    3.41
1895   -4.4   -6.3   -0.2    1.9    4.8    6.4    8.0    9.4    8.6    1.3    1.1   -0.4   -3.36    2.14    7.94    3.65    2.57
1896    0.2    2.0    0.2    3.0    5.2    7.9    8.3    7.6    6.5    1.2    2.6   -0.3    0.57    2.82    7.92    3.40    3.69
1897   -2.3   -0.5    0.6    0.3    2.7    6.7    8.5   10.0    5.4    4.0    2.9   -0.5   -1.02    1.21    8.41    4.10    3.17
1898    2.7   -0.6   -0.4    3.1    3.2    6.9    7.4    8.7    7.7    5.4    1.3    1.6    0.56    1.96    7.68    4.80    3.95
1899   -1.3   -1.0   -0.2    0.8    2.3    7.8    9.8   10.0    6.6    4.6    4.4   -0.9   -0.20    0.94    9.19    5.20    3.59
1900    0.4   -4.2   -1.6    2.0    4.0    7.6    9.5    8.5    6.8    2.8    1.9    2.0   -1.49    1.46    8.52    3.82    3.35
1901    0.2   -1.3   -0.3    1.7    4.3    6.4   10.3    8.9    7.9    3.0    1.1   -0.8    0.36    1.89    8.54    3.99    3.47
1902   -0.9   -2.9    0.8    1.3    2.3    6.3    7.3    7.4    7.5    3.4    3.7    0.5   -1.49    1.48    7.00    4.86    3.09
1903   -0.8    1.7    0.7    0.7    4.2    5.7    7.2    7.5    6.6    4.3    1.8   -1.2    0.43    1.86    6.81    4.21    3.20
1904    0.6   -1.1   -0.6    2.5    4.0    7.0    8.6    8.2    6.7    4.8    1.2    0.8   -0.54    1.95    7.94    4.24    3.57
1905    1.0   -0.2    1.2    0.7    4.2    7.8    9.4    8.3    6.6    2.7    1.2    2.3    0.58    2.07    8.53    3.50    3.82
1906    0.7   -2.1   -1.1    0.2    3.2    7.3    7.5    9.1    7.0    4.2    3.7   -0.7    0.39    0.76    7.98    4.93    3.27
1907    0.3   -1.2    0.9    2.1    3.9    5.9    7.6    7.1    6.8    4.3    1.6    0.6   -0.53    2.33    6.90    4.25    3.37
1908   -0.1    1.0   -0.5    0.4    5.0    7.3    9.1    8.0    7.4    7.6    3.2    0.9    0.50    1.67    8.13    6.07    4.12
1909    0.4    0.0   -1.6    1.7    3.7    6.4    8.2    8.4    6.1    4.0    0.6   -1.9    0.47    1.25    7.68    3.58    3.02
1910   -2.0   -0.7    1.3    0.6    4.6    7.0    8.0    9.5    6.8    5.3   -0.6    2.0   -1.55    2.20    8.16    3.85    3.52
1911    1.1    0.1   -0.1    1.9    5.2    7.3    8.7    9.9    6.9    3.1    0.8    1.8    1.08    2.33    8.66    3.61    3.92
1912   -0.2   -0.3    1.6    2.7    4.6    7.4    8.8    6.9    5.5    3.5    1.5    0.4    0.46    2.99    7.68    3.47    3.54
1913    0.6    0.4    0.0    1.6    4.6    7.5    8.7    8.4    7.0    5.3    3.2    1.0    0.51    2.07    8.20    5.17    4.05
1914   -0.1    1.1    0.0    3.4    3.8    7.3    9.2    9.3    7.0    5.2    1.7   -1.0    0.65    2.40    8.58    4.66    3.92
1915   -0.6   -0.5   -0.0    1.9    2.3    6.3    8.3    9.6    7.2    4.1   -0.5   -0.7   -0.71    1.39    8.09    3.61    3.14
1916    2.2   -0.8   -1.1    2.2    4.0    6.1    9.1    9.0    7.1    4.3    3.4    0.0    0.23    1.65    8.09    4.93    3.79
1917   -1.2   -1.2   -1.0   -0.6    4.3    6.7    8.8    9.9    7.2    1.9    2.7   -0.8   -0.78    0.92    8.52    3.90    3.09
1918   -2.0    1.9    0.7    0.9    5.7    6.3    8.5    9.7    4.2    4.3    1.2    1.1   -0.38    2.45    8.19    3.23    3.55
1919   -0.5   -2.8   -1.9    1.7    5.7    6.9    7.7    8.5    6.2    4.1   -1.3    0.2   -0.63    1.83    7.71    3.03    2.93
1920   -0.5    0.9    1.2    2.1    4.6    7.2    7.8    7.8    6.7    5.6    3.4    0.1    0.18    2.68    7.59    5.25    3.92
1921    1.0    1.4    0.7    2.0    4.0    6.7    9.1    7.9    7.3    6.4    0.8    2.0    0.80    2.23    7.94    4.83    4.13
1922   -0.1    0.1    0.4   -0.5    4.3    6.2    7.1    7.4    5.9    3.5    2.4    1.9    0.70    1.41    6.89    3.92    3.23
1923    2.4    1.6    1.2    1.5    2.4    6.0    9.7    8.2    6.0    4.3   -0.2    0.2    1.94    1.69    8.00    3.40    3.63
1924    1.2    0.8   -1.1    1.4    3.9    6.7    8.6    9.0    6.7    4.6    3.8    3.3    0.72    1.38    8.11    5.05    4.08
1925    1.7    0.2    0.6    1.6    5.4    7.5   10.0    9.1    5.9    5.3    0.9   -1.7    1.78    2.55    8.89    4.05    3.91
1926    1.3    1.4    1.0    3.7    3.7    7.5    9.3    9.4    7.1    1.9    1.2    1.5    0.29    2.80    8.74    3.38    4.09
1927    0.4    0.8    1.6    1.4    3.1    5.1    9.9    9.2    6.3    4.3    2.0   -1.5    0.89    2.03    8.08    4.20    3.57
1928    0.6    0.4    1.2    2.6    4.8    5.2    8.6    8.7    6.0    4.4    2.8    1.0   -0.16    2.86    7.55    4.41    3.88
1929   -2.4   -1.2    1.1    1.1    4.5    6.5    8.9    8.6    8.2    4.1    2.2    1.5   -0.86    2.25    8.00    4.82    3.62
1930    0.3   -1.4   -1.0    3.1    4.1    7.7    9.3    9.5    7.6    5.1    0.8    1.1    0.16    2.04    8.83    4.54    3.88
1931   -0.2   -0.7   -1.6    2.2    5.0    6.8    9.3    8.0    6.7    4.7    3.8    2.6    0.10    1.87    8.05    5.02    3.91
1932    1.8    1.3    0.5    0.7    4.4    7.3    9.5    9.4    6.7    3.8    2.1    1.3    1.91    1.88    8.72    4.21    4.08
1933   -0.8   -0.5    2.1    3.5    5.1    8.3   11.0    9.9    7.9    5.3    2.0    0.6    0.03    3.55    9.76    5.09    4.56
1934    1.5    2.1   -0.5    1.6    3.9    7.2    9.9    9.5    7.6    4.4    1.4    3.6    1.37    1.67    8.89    4.44    4.36
1935    1.4    0.1    1.3    1.5    3.2    7.4    8.8    9.5    6.8    3.6    1.8   -1.5    1.76    2.01    8.59    4.04    3.69
1936   -1.4   -1.4    1.8    0.6    4.8    6.8    9.4    9.7    7.8    4.1    1.7    1.1   -1.42    2.42    8.63    4.51    3.76
1937    1.1   -0.5   -2.0    3.3    4.9    7.0    8.9    9.0    7.0    4.9    1.8   -1.0    0.59    2.06    8.31    4.57    3.71
1938    1.0    0.2    3.8    2.7    3.8    7.0    8.5    8.6    7.2    5.1    3.4    0.5    0.07    3.42    8.06    5.25    4.35
1939   -1.7    1.5    1.0    2.1    5.1    6.7    8.8    9.6    7.9    3.3    2.9    0.7    0.04    2.74    8.39    4.68    4.00
1940   -2.9   -1.1   -0.0    2.3    5.8    8.2    8.5    8.4    6.0    4.9    1.8    0.3   -1.09    2.70    8.37    4.26    3.54
1941   -3.1   -1.9   -1.0    0.9    3.1    7.0    9.5    8.3    8.9    4.8    2.0    2.0   -1.57    1.03    8.29    5.22    3.40
1942   -1.1   -2.1   -0.2    2.1    3.4    6.2    8.4    9.7    7.0    4.4    1.7    2.0   -0.32    1.78    8.12    4.38    3.51
1943    0.1    1.6    2.1    3.6    4.3    7.1    8.3    7.8    6.7    6.1    2.2    0.9    1.26    3.32    7.73    5.02    4.25
1944    1.2   -0.5    0.5    3.8    4.6    6.9    9.9    9.6    6.0    4.3    0.3    0.3    0.59    2.97    8.81    3.52    3.93
1945   -4.1    1.7    3.6    3.2    4.3    7.3   10.0    9.3    8.3    6.1    3.3    1.8   -0.81    3.70    8.88    5.90    4.57
1946   -0.2    0.3    0.6    3.1    3.9    6.7    9.3    7.8    8.0    3.8    2.4   -0.3    0.63    2.53    7.95    4.75    3.81
1947   -0.6   -5.0   -3.0    2.2    5.4    7.7    9.3   10.1    7.3    5.7    1.5    1.1   -1.85    1.49    9.04    4.84    3.53
1948   -1.4    0.1    2.3    2.5    3.5    7.2    9.0    8.5    7.2    4.2    2.9    2.2   -0.05    2.77    8.26    4.76    4.03
1949    0.5    0.8    0.3    3.1    4.1    6.5    9.3    9.5    8.6    6.2    2.4    0.2    1.20    2.51    8.46    5.74    4.33
1950    1.6   -1.3    2.1    1.2    4.2    7.8    9.2    9.1    6.9    4.3    0.7   -2.4    0.23    2.51    8.69    3.95    3.64
1951   -0.8   -1.3   -0.9    0.1    3.3    5.9    8.8    8.3    7.5    5.5    3.1    1.1   -1.51    0.83    7.69    5.38    3.41
1952   -2.9   -0.5    1.2    3.1    6.0    6.3    8.7    8.9    5.0    3.6   -0.2   -0.1   -0.78    3.46    7.97    2.80    3.27
1953    1.5    0.7    1.2    0.4    5.2    7.9    9.0    9.0    8.4    6.1    3.8    2.1    0.69    2.29    8.64    6.11    4.64
1954    0.1   -1.7   -0.3    1.6    5.0    6.9    8.0    8.6    5.9    4.9    1.5    1.5    0.25    2.11    7.83    4.07    3.53
1955   -2.2   -4.3   -0.7    2.9    2.6    6.6    9.3   10.2    8.2    3.7    3.7   -0.1   -1.60    1.55    8.74    5.20    3.36
1956   -1.6   -2.1    1.0    0.5    5.2    5.9    8.5    7.0    7.9    4.9    3.1    2.1   -1.25    2.26    7.19    5.28    3.56
1957    0.5   -1.0    3.5    2.4    3.6    6.5    9.1    8.8    6.2    5.1    2.5    0.5    0.59    3.14    8.15    4.61    4.01
1958   -1.7   -1.8   -1.9    1.7    2.9    7.0    8.8    9.2    8.8    5.7    2.5   -0.1   -0.98    0.87    8.38    5.65    3.44
1959   -3.4   -0.5    1.7    2.8    5.2    7.5    9.6   10.2    7.2    6.5    2.6    0.5   -1.36    3.22    9.13    5.45    4.19
1960   -1.1   -2.6    1.2    3.5    5.6    8.2    8.5    8.4    6.4    5.5    1.6   -1.1   -1.02    3.42    8.40    4.51    3.71
1961   -1.2    1.2    3.3    2.8    4.1    7.0    8.6    8.6    7.9    5.6    0.8   -2.7   -0.41    3.42    8.08    4.76    3.85
1962    0.1   -0.2   -2.4    0.7    4.0    7.0    7.7    7.6    6.6    6.3    1.6    0.0   -0.92    0.78    7.42    4.87    3.28
1963   -3.9   -4.0    1.0    2.2    3.7    7.8    8.0    8.1    7.2    5.1    1.8   -0.3   -2.55    2.27    7.97    4.70    3.09
1964    1.1    0.4    0.7    2.9    6.0    6.3    8.5    7.5    6.6    3.7    2.4   -0.9    0.40    3.19    7.48    4.23    3.78
1965   -1.5    0.3   -0.5    1.5    4.8    7.8    7.1    8.1    7.1    5.3   -0.3   -1.3   -0.72    1.94    7.66    4.03    3.21
1966   -1.0   -1.2    1.4    0.3    3.7    8.7    8.0    7.6    8.4    4.0    0.4   -0.3   -1.15    1.82    8.10    4.27    3.36
1967    0.9    1.4    1.0    1.8    3.4    6.8    8.8    8.7    7.6    4.0    1.7    0.6    0.64    2.08    8.12    4.43    3.91
1968   -0.5   -3.0    0.7    1.7    2.8    7.2    8.2    8.1    7.6    6.2    1.2   -0.5   -0.89    1.72    7.81    5.00    3.32
1969    0.4   -3.6   -1.6    1.0    4.3    6.9    9.2   10.1    7.2    7.1   -1.0   -0.1   -1.14    1.21    8.74    4.46    3.38
1970   -0.6   -3.3   -1.3    0.4    5.8    8.3    7.7    9.5    7.6    5.0    1.5    0.7   -1.23    1.65    8.51    4.71    3.50
1971    1.1    0.9    0.7    1.9    5.1    5.9    8.6    8.5    7.8    5.3    1.7    3.2    0.89    2.56    7.68    4.91    4.23
1972    0.2   -0.4    0.6    2.3    4.7    5.5    8.2    7.9    5.7    5.1    1.0    0.9    1.01    2.55    7.23    3.93    3.50
1973    1.0   -0.9    1.1    0.9    4.2    7.2    8.9    8.9    7.2    3.2    1.0   -0.2    0.40    2.07    8.35    3.81    3.58
1974    1.5    0.8    0.4    1.7    4.9    6.7    8.2    8.4    5.9    3.5    1.8    2.1    0.72    2.36    7.80    3.72    3.85
1975    0.1   -0.1   -0.5    2.0    3.1    6.5    9.3   10.3    6.3    5.5    2.0    2.4    0.72    1.53    8.75    4.62    3.95
1976    0.3    0.2    0.4    2.7    4.9    8.3   10.3    8.7    7.5    5.2    1.6   -2.0    0.98    2.67    9.10    4.76    4.02
