Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for Scotland W
Areal series, starting in 1960
Last updated 01-Jan-2022 11:00
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1960   17.7   19.9    6.5    2.1    0.6    0.0    0.0    0.0    0.4    1.1    6.3   16.5     ---     9.3     0.0     7.7    71.1
1961   15.3    4.6    2.3    3.6    0.7    0.1    0.0    0.0    0.0    0.1    7.0   20.3    36.4     6.7     0.1     7.1    54.1
1962   10.3   11.0   19.5    8.1    1.1    0.4    0.0    0.0    0.0    2.0   10.2   14.8    41.6    28.7     0.4    12.2    77.4
1963   26.4   26.1    9.7    4.2    0.8    0.0    0.0    0.0    0.0    0.1    8.4   12.7    67.3    14.7     0.0     8.5    88.4
1964    8.9   10.6   11.4    3.0    0.0    0.2    0.0    0.1    0.6    2.5    6.3   15.6    32.2    14.4     0.3     9.4    59.3
1965   17.4   16.8   14.7    5.1    1.6    0.0    0.0    0.0    0.1    1.0   15.1   12.4    49.9    21.4     0.1    16.1    84.2
1966   16.3   13.1    6.1   10.7    0.4    0.0    0.0    0.0    0.0    2.6   11.5   10.9    41.8    17.2     0.0    14.1    71.6
1967   10.3    7.9    5.9    6.2    3.1    0.0    0.0    0.0    0.0    1.5    6.6   12.8    29.1    15.2     0.0     8.1    54.3
1968   12.4   23.0   11.4    9.8    3.6    0.0    0.0    0.0    0.0    0.2    7.8   16.2    48.2    24.8     0.0     8.0    84.4
1969    9.8   20.6   20.5    9.4    1.7    0.1    0.0    0.0    0.0    0.2   16.6   15.6    46.6    31.6     0.2    16.8    94.4
1970   11.9   19.5   17.3   12.2    0.1    0.0    0.0    0.0    0.0    0.6    5.2   11.4    47.0    29.5     0.0     5.9    78.2
1971    9.2    7.1   11.1    5.2    0.9    0.1    0.0    0.0    0.6    3.5   11.3    5.3    27.7    17.2     0.1    15.4    54.3
1972   10.6    9.4    9.4    2.8    0.4    0.1    0.0    0.0    1.6    1.8   10.2    7.7    25.3    12.6     0.1    13.6    53.9
1973    9.2   12.4   10.1    8.1    2.1    0.0    0.0    0.0    0.0    5.6   10.3   12.1    29.4    20.3     0.1    16.0    70.0
1974    6.4    7.0   10.1    6.6    1.5    0.1    0.0    0.0    2.3    3.0    6.0    3.7    25.5    18.2     0.1    11.4    46.8
1975    9.0    9.8   15.9    6.9    4.3    0.7    0.0    0.0    1.2    1.2    7.0    8.3    22.5    27.1     0.7     9.4    64.3
1976   10.9    8.7   11.6    4.5    0.4    0.0    0.0    0.0    0.1    0.8    6.3   19.6    27.9    16.4     0.0     7.2    62.9
1977   17.2   11.7    5.4    6.9    3.4    0.1    0.0    0.1    0.3    0.0   10.7    5.7    48.4    15.7     0.1    11.1    61.4
1978   17.9   17.3    6.9    8.5    0.5    0.2    0.0    0.0    0.0    0.1    5.6   13.0    40.9    15.9     0.2     5.7    70.0
1979   25.4   20.9   18.2    6.7    6.7    0.0    0.0    0.0    0.9    0.2    8.4   12.6    59.3    31.6     0.0     9.6   100.1
1980   17.1    8.4   13.7    3.6    1.5    0.0    0.0    0.0    0.0    4.1    8.5   11.1    38.1    18.8     0.0    12.6    68.0
1981   14.1   16.7    8.6    8.3    2.2    0.0    0.0    0.0    0.0    6.7    3.5   21.9    41.8    19.0     0.0    10.2    81.9
1982   12.7    7.6   10.2    5.0    3.8    0.0    0.0    0.0    0.0    0.7    7.1   14.2    42.2    19.0     0.0     7.8    61.4
1983    6.3   19.3    6.4   13.2    0.7    0.0    0.0    0.0    0.2    3.3    7.0    6.7    39.8    20.3     0.0    10.5    63.1
1984   20.6   11.0   10.3    7.1    3.8    0.0    0.0    0.0    0.0    0.2    3.5    6.3    38.3    21.2     0.0     3.8    62.8
1985   25.8   13.4   13.6    4.0    1.3    0.3    0.0    0.0    0.0    0.3   18.3    8.0    45.6    18.9     0.3    18.6    85.2
1986   16.6   23.8    9.4   11.8    0.1    0.1    0.0    0.0    3.0    0.4    5.2    8.8    48.5    21.3     0.1     8.5    79.1
1987   20.9   16.4   16.5    2.3    1.4    0.1    0.0    0.0    0.3    2.8    4.5   11.5    46.0    20.2     0.1     7.6    76.6
