Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for Scotland W
Areal series, starting in 1891
Last updated 01-Jan-2022 11:00
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1891   18.5    7.6   14.9    8.7   13.2    8.7   14.9   24.0   23.1   20.5   18.4   21.3     ---    36.9    47.6    62.0   194.0
1892   21.4   13.6    6.8   10.4   18.2   15.1   10.9   20.6   21.7   17.2   18.2   14.9    56.3    35.3    46.6    57.1   188.8
1893   16.7   19.2   11.6    8.4   12.9    8.2   15.8   18.7   17.9   22.5   14.2   24.4    50.8    32.9    42.7    54.6   190.5
1894   22.8   23.5   13.7   16.4   17.3   15.1   15.7   17.8    2.5   13.5   19.8   19.8    70.7    47.4    48.5    35.8   197.8
1895   15.9    5.2   20.8   14.5    4.6   10.8   18.5   24.7    9.0   17.1   18.2   18.2    40.9    39.9    54.0    44.3   177.6
1896   15.5   13.4   22.0   15.3    4.3   18.0   17.7   15.8   21.0   16.8   12.0   21.1    47.2    41.6    51.5    49.8   193.0
1897   11.7   16.7   25.2   13.3   13.4   17.7   13.5   21.4   17.9   11.9   16.3   19.3    49.5    51.9    52.6    46.1   198.2
1898   19.5   19.7   14.1   17.3   13.9   14.3   10.1   19.1   15.9   16.1   17.8   25.8    58.4    45.3    43.5    49.9   203.6
1899   21.8   12.8   15.8   20.1   13.2    9.9   15.0    9.1   22.8   14.4   19.6   18.8    60.5    49.1    34.0    56.8   193.4
1900   26.8   15.8    6.5   17.0   14.3   17.6   20.9   16.0   17.7   23.5   20.7   28.0    61.4    37.8    54.5    61.8   224.8
1901   18.5   11.1   13.4   16.2   10.1   14.6   10.3   19.6   16.8   25.0   13.9   22.3    57.6    39.7    44.5    55.7   191.8
1902   19.4   12.3   23.8   14.1   17.6   12.8   17.9   16.3   14.6   16.1   17.2   17.9    54.1    55.5    47.1    47.9   200.2
1903   20.8   21.8   29.4   11.4   16.0   10.9   18.7   26.6   17.3   29.4   21.3   18.0    60.5    56.7    56.3    68.0   241.6
1904   22.8   17.4   15.8   24.0   18.3   13.8   17.4   21.2   14.9   17.8   19.9   18.7    58.1    58.0    52.4    52.6   221.8
1905   19.1   20.1   25.8   18.0   12.4    8.3   19.5   21.8   16.7   16.1   19.7   18.5    57.8    56.3    49.6    52.5   216.0
1906   25.2   18.3   14.2   12.0   22.4    9.5   18.0   21.5   10.1   25.7   20.5   22.1    62.1    48.6    48.9    56.4   219.5
1907   16.1   14.0   18.0   13.6   18.4   24.2   13.9   24.4    7.9   23.5   17.9   20.3    52.2    50.0    62.5    49.3   212.2
1908   17.5   20.5   19.0   12.6   19.0   12.6   15.6   15.5   22.7   11.9   17.8   22.0    58.2    50.6    43.7    52.3   206.6
1909   20.2    8.9   14.2   16.1   13.4   10.7   19.1   16.6   12.0   22.1   12.2   16.1    51.0    43.7    46.4    46.3   181.4
