Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for Scotland W
Areal series, starting in 1884
Last updated 01-Jan-2022 11:01
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    6.2    5.6    7.0    9.7   12.5   15.7   17.4   17.4   15.1   10.6    6.7    5.0     ---    9.74   16.85   10.80   10.76
1885    4.0    5.7    6.2    9.3   10.5   15.0   16.9   15.4   12.9    8.1    6.4    5.5    4.88    8.68   15.80    9.12    9.69
1886    3.0    3.1    4.7    9.0   10.7   14.6   16.7   15.6   13.6   11.5    8.0    3.2    3.91    8.13   15.64   11.02    9.51
1887    4.6    6.1    6.0    8.9   13.2   18.4   17.9   16.5   13.6    9.5    6.0    4.6    4.60    9.37   17.61    9.69   10.47
1888    5.3    3.7    4.2    8.3   12.9   15.3   14.6   15.1   13.7   10.5    7.9    6.7    4.57    8.45   14.99   10.69    9.86
1889    6.0    4.8    6.4    8.1   14.9   17.7   16.7   15.2   14.0   10.2    8.3    6.2    5.85    9.82   16.50   10.84   10.73
1890    6.8    4.9    7.6    9.8   14.2   14.5   15.4   15.7   15.9   11.5    7.6    3.1    6.00   10.54   15.20   11.67   10.62
1891    4.3    7.7    5.5    8.4   12.2   16.8   16.6   15.4   14.8   10.7    6.6    6.2    4.97    8.69   16.28   10.73   10.45
1892    3.9    4.9    5.0   10.2   13.2   14.7   15.7   15.6   12.5    8.3    7.8    3.8    4.98    9.48   15.33    9.51    9.64
1893    4.3    5.4    9.1   12.9   14.7   17.9   17.3   17.9   14.1   11.0    6.5    6.9    4.45   12.20   17.69   10.55   11.52
1894    4.6    5.6    8.9   11.7   10.9   15.2   17.5   15.2   14.0   10.4    9.1    6.8    5.68   10.49   15.98   11.15   10.85
1895    1.3    1.2    6.3   10.3   15.3   17.2   15.8   16.1   16.7    8.7    7.5    4.5    3.15   10.63   16.35   10.94   10.11
1896    6.1    6.9    7.5   10.6   16.0   16.9   16.2   15.6   13.8    8.1    7.1    5.0    5.82   11.39   16.21    9.64   10.83
1897    2.8    6.0    6.5    8.5   12.4   15.4   17.9   17.3   13.4   11.7    9.0    6.2    4.55    9.13   16.84   11.37   10.60
1898    7.7    5.6    6.5   10.3   12.1   15.8   16.9   16.7   16.0   12.1    7.7    8.3    6.55    9.63   16.47   11.89   11.34
1899    5.0    6.0    7.3    8.7   11.5   17.7   17.0   19.4   13.6   11.3    9.9    4.0    6.45    9.16   18.06   11.60   10.98
1900    5.2    2.8    5.8   10.3   12.1   16.8   17.0   15.5   15.0   10.0    7.3    7.8    4.05    9.39   16.45   10.79   10.52
1901    5.1    4.5    6.0   10.5   15.8   15.0   19.7   16.4   15.1   10.4    7.5    4.4    5.86   10.74   17.06   11.01   10.90
1902    5.1    3.3    7.6   10.0   10.7   15.6   15.2   15.1   14.3   10.9    8.6    5.7    4.27    9.45   15.29   11.25   10.21
