Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for Scotland W
Areal series, starting in 1884
Last updated 01-Jan-2022 11:01
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    2.4    1.2    1.9    2.4    4.6    7.5    9.5   10.2    8.5    5.0    1.5    0.3     ---    2.94    9.11    4.98    4.60
1885   -0.2    0.6   -0.3    2.5    3.1    7.0    8.7    7.3    6.1    2.6    1.9    0.9    0.25    1.75    7.68    3.53    3.37
1886   -1.7   -1.6   -0.4    1.5    4.0    6.7    9.2    9.2    7.2    6.5    3.3   -1.9   -0.78    1.72    8.39    5.68    3.53
1887    0.4    1.0    0.2    1.0    4.6    8.4   10.0    8.4    6.4    2.7    1.1   -0.9   -0.20    1.94    8.94    3.40    3.63
1888    1.0   -1.1   -1.1    1.7    4.4    6.7    8.2    8.5    6.2    4.9    3.6    2.3   -0.33    1.66    7.79    4.91    3.78
1889    1.2   -0.3    0.8    2.5    6.8    8.3    8.4    9.4    7.1    3.8    3.7    1.3    1.12    3.37    8.70    4.87    4.45
1890    2.3   -0.3    1.3    1.8    6.0    8.0    8.5    8.6    9.3    5.7    1.9   -0.6    1.13    3.04    8.38    5.61    4.40
1891    0.1    1.5   -1.1    0.6    3.6    8.1   10.0    9.4    8.4    4.3    1.8    1.4    0.33    1.07    9.16    4.84    4.03
1892   -0.5   -0.3   -1.7    0.8    5.0    6.7    8.3    9.0    6.6    2.5    2.9   -1.5    0.21    1.33    8.01    3.98    3.15
1893   -0.2    0.8    1.4    3.2    6.9    8.5    9.8   10.8    7.2    5.0    1.1    2.4   -0.32    3.81    9.72    4.42    4.76
1894   -0.0    1.1    1.2    4.0    3.5    7.4    9.7    9.0    5.8    3.2    4.5    1.7    1.14    2.88    8.74    4.47    4.27
1895   -3.6   -5.6    1.2    2.7    5.3    7.6    8.9   10.5    9.4    2.1    3.0    0.6   -2.38    3.09    9.02    4.81    3.57
1896    1.7    2.6    1.4    4.1    5.8    8.9    9.4    8.7    8.0    2.1    2.3    0.5    1.61    3.77    9.03    4.13    4.64
1897   -1.1    1.9    1.6    1.3    3.5    8.2    9.4   10.5    6.4    5.3    4.8    1.1    0.39    2.12    9.35    5.52    4.41
1898    4.1    0.7    0.5    3.9    4.9    7.8    8.3    9.8    9.2    6.8    2.6    3.9    2.00    3.10    8.64    6.20    5.23
1899    0.1    0.3    0.8    2.5    3.6    8.8   10.8   10.4    7.1    4.8    6.0   -0.5    1.45    2.31    9.98    5.96    4.57
1900    1.3   -2.2   -0.9    2.9    5.3    8.6   10.9    9.4    7.6    4.2    3.3    4.1   -0.41    2.43    9.66    5.00    4.59
1901    1.0   -0.8    0.3    2.3    4.9    7.1   11.0    9.6    9.1    4.4    2.3    0.0    1.52    2.49    9.23    5.25    4.29
1902    0.6   -2.1    2.0    1.8    2.9    7.4    8.0    7.8    8.0    4.5    3.9    1.7   -0.41    2.22    7.73    5.46    3.91
1903    0.3    3.1    1.9    0.9    5.1    6.9    8.7    8.3    7.5    5.6    2.7    0.2    1.67    2.64    7.96    5.26    4.26
1904    1.6   -0.2   -0.1    3.4    4.6    7.4    9.6    8.8    7.3    5.8    2.4    1.3    0.55    2.65    8.64    5.17    4.35
1905    1.9    1.3    2.1    1.7    5.3    8.4   10.3    8.9    7.5    2.7    2.0    3.5    1.49    3.04    9.20    4.04    4.65
1906    2.2   -1.0    0.7    1.2    4.7    8.0    8.3   10.3    7.4    5.5    4.4    0.3    1.69    2.19    8.88    5.76    4.37
1907    1.1   -0.9    1.6    2.1    4.6    6.8    8.7    7.9    7.5    4.9    1.7    1.2    0.21    2.78    7.81    4.68    3.96
1908   -0.2    1.8   -0.1    0.7    6.1    7.8    9.4    8.4    8.0    8.0    3.5    0.9    0.89    2.21    8.54    6.50    4.52
1909    1.0    0.5   -1.2    2.2    4.2    6.4    8.7    9.0    6.1    4.7   -0.7   -1.2    0.79    1.72    8.07    3.39    3.33
1910   -1.1    0.0    1.6    1.3    5.0    7.5    8.4    9.7    7.1    5.8   -1.4    2.7   -0.78    2.65    8.55    3.85    3.92
1911    1.3    0.4    0.6    2.2    5.9    7.4   10.0   10.4    6.8    3.4    1.7    2.4    1.53    2.91    9.29    3.91    4.40
1912   -0.3    0.3    2.3    2.9    5.1    8.3    9.3    7.3    5.6    3.4    2.2    1.6    0.80    3.45    8.29    3.71    4.00
1913    0.4    1.0    0.7    2.2    4.9    8.0    8.4    8.3    7.3    5.7    3.8    1.3    1.01    2.61    8.22    5.63    4.36
1914    0.3    2.0    0.5    3.5    4.6    7.7    9.4    9.5    7.4    5.3    2.4    0.1    1.16    2.85    8.89    5.03    4.40
1915   -0.1   -0.2    0.2    2.4    3.3    7.0    8.6    9.6    7.2    4.2   -1.6    0.3   -0.04    1.95    8.39    3.30    3.44
1916    3.4   -0.2   -0.8    2.7    4.8    6.3    9.5    9.9    7.7    5.2    3.7    0.0    1.20    2.24    8.60    5.52    4.37
1917   -0.7   -1.3   -1.3   -0.0    5.3    7.4    9.2   10.5    8.7    2.5    4.1   -0.6   -0.64    1.35    9.03    5.07    3.67
1918   -0.8    3.1    0.8    1.1    6.2    6.7    8.8   10.5    5.3    4.8    1.4    2.4    0.49    2.73    8.68    3.87    4.21
1919    0.3   -1.7   -1.7    2.4    6.5    7.4    7.8    8.9    6.7    4.1   -1.3    1.1    0.38    2.37    8.03    3.21    3.40
1920    0.4    1.8    2.0    2.4    5.4    8.0    8.6    8.2    7.5    5.8    4.3    0.5    1.08    3.27    8.26    5.86    4.57
1921    2.4    1.3    1.9    2.3    4.6    7.4   10.2    8.6    8.0    7.7    1.5    2.9    1.38    2.96    8.77    5.76    4.94
1922    0.2    0.7    0.4   -0.5    5.2    7.1    7.8    8.1    6.3    3.5    2.6    2.5    1.31    1.71    7.64    4.09    3.67
1923    2.8    1.4    1.6    1.8    3.1    6.9   10.7    8.9    6.8    5.4   -0.1    0.4    2.25    2.20    8.87    4.03    4.17
1924    1.3    0.6   -1.3    1.4    5.1    7.6    9.6    9.2    7.3    5.1    3.8    4.1    0.75    1.74    8.78    5.41    4.50
1925    2.2    0.7    1.1    1.8    5.8    8.1   10.4    9.7    6.2    5.7    0.0   -1.4    2.41    2.91    9.46    4.00    4.24
1926    1.7    2.1    1.9    3.8    4.1    7.5   10.3    9.9    8.0    2.4    1.4    1.5    0.78    3.27    9.22    3.90    4.56
1927    1.3    0.8    2.1    2.2    4.0    5.5   10.5   10.0    6.7    5.1    2.2   -0.6    1.23    2.79    8.69    4.70    4.19
1928    1.1    1.5    1.3    2.9    4.8    6.0    9.1    9.3    6.3    5.1    3.2    0.5    0.64    2.99    8.15    4.84    4.26
1929   -2.1   -1.8   -0.2    0.9    4.6    6.7    9.2    9.3    8.8    4.5    2.6    1.7   -1.12    1.81    8.44    5.30    3.74
1930    0.9   -2.2    0.3    3.1    4.6    7.7   10.0    9.9    8.0    5.8    1.3    1.4    0.22    2.66    9.20    5.04    4.27
1931   -0.2    0.1   -0.9    2.2    5.2    7.6   10.0    8.3    6.0    4.4    3.9    3.3    0.41    2.17    8.63    4.78    4.18
1932    2.7    0.1    0.6    1.0    4.7    7.6   10.2    9.9    7.0    3.7    2.2    2.4    2.09    2.10    9.25    4.28    4.35
1933   -0.9    0.2    1.9    4.0    5.7    8.7   11.3   10.5    8.0    5.5    1.5    0.2    0.56    3.88   10.16    5.02    4.74
1934    1.8    2.0    0.0    1.9    4.9    8.1   10.7    9.3    8.2    5.2    2.0    4.5    1.32    2.28    9.37    5.13    4.90
1935    1.2    1.2    2.4    2.3    3.6    8.4    9.5    9.9    7.5    4.8    2.3   -1.2    2.31    2.78    9.27    4.85    4.34
1936   -0.7   -1.1    2.4    0.6    5.1    7.8    9.6   10.2    8.6    4.8    1.6    1.6   -1.00    2.71    9.21    4.98    4.22
1937    1.6    0.5   -1.5    3.9    5.7    7.7    9.5    9.9    7.5    4.9    1.5   -1.2    1.25    2.70    9.03    4.64    4.18
1938    1.3    0.8    4.6    2.2    4.4    7.8    8.8    9.2    8.4    6.0    4.9    0.8    0.29    3.76    8.61    6.41    4.96
1939   -0.6    2.1    1.6    2.7    5.3    7.3    9.4   10.1    8.0    3.0    3.8    0.3    0.72    3.23    8.98    4.90    4.43
1940   -3.9   -0.6    0.6    2.7    6.0    8.7    8.9    9.1    6.4    5.1    2.5    0.6   -1.43    3.12    8.90    4.65    3.85
1941   -3.4   -1.3   -0.5    1.4    3.7    7.6    9.9    8.9    9.6    5.6    1.9    2.2   -1.38    1.55    8.81    5.69    3.82
1942   -1.2   -2.7   -0.1    2.5    4.0    7.0    9.0   10.5    7.6    5.6    1.1    2.6   -0.51    2.11    8.83    4.79    3.86
1943    1.0    2.6    2.3    4.6    4.8    8.0    8.9    9.3    7.2    6.4    2.7    1.3    2.04    3.89    8.78    5.46    4.95
1944    2.4   -0.2    0.8    4.4    5.0    7.5   10.6   10.2    6.3    4.4    1.2    1.0    1.19    3.39    9.46    3.96    4.49
1945   -3.7    2.6    3.7    3.5    5.1    8.1   10.4    9.7    8.9    6.4    3.9    1.6   -0.10    4.12    9.41    6.40    5.03
1946   -0.2    1.6    0.7    3.5    4.3    7.2    9.8    8.4    9.0    4.8    3.4   -0.4    0.99    2.82    8.48    5.72    4.35
1947   -0.4   -4.4   -2.4    2.7    6.2    8.7   10.2   10.6    8.3    6.4    2.3    1.6   -1.65    2.19    9.85    5.67    4.20
1948    0.4    0.9    2.9    3.5    4.0    7.8    9.6    9.5    8.3    5.4    4.1    2.2    0.95    3.42    8.96    5.94    4.88
1949    1.7    2.0    0.7    4.2    4.7    7.9   10.1   10.4    9.5    7.1    3.3    1.8    1.97    3.19    9.47    6.64    5.29
1950    1.7   -0.1    2.6    1.8    5.0    8.8    9.8    9.6    7.8    5.2    1.0   -2.2    1.15    3.16    9.40    4.66    4.27
1951    0.1   -0.7   -0.6    0.8    3.7    6.9    9.9    9.2    8.5    6.2    4.1    1.7   -0.91    1.30    8.70    6.26    4.18
1952   -2.2   -0.4    2.1    3.6    6.4    7.4    9.8    9.8    5.6    4.2    0.0   -0.1   -0.30    4.06    9.01    3.29    3.88
1953    1.2    1.0    0.7    1.1    6.3    8.5    9.6    9.9    9.0    6.1    5.0    3.0    0.71    2.74    9.35    6.69    5.15
1954    0.3   -1.2    0.8    2.1    5.7    7.9    8.5    9.0    6.5    6.2    2.2    2.8    0.73    2.89    8.48    4.99    4.28
1955   -0.9   -3.0   -1.5    3.5    3.6    7.4    9.8   10.6    8.8    3.8    4.1    1.1   -0.29    1.86    9.29    5.55    3.98
1956   -0.4   -2.3    1.6    1.0    5.7    6.9    9.8    7.2    8.7    5.3    2.9    3.1   -0.50    2.80    7.97    5.61    4.15
1957    1.0   -0.2    4.4    2.9    4.1    7.0    9.9    9.8    6.8    5.9    3.3    1.3    1.36    3.81    8.94    5.36    4.74
1958   -0.9   -0.6   -0.8    2.1    4.0    7.6    9.7   10.0    9.5    6.6    3.1    0.4   -0.04    1.75    9.15    6.45    4.26
1959   -2.8    0.9    2.8    3.4    6.2    8.5   10.0   10.6    7.7    7.5    3.6    1.9   -0.54    4.12    9.71    6.28    5.05
1960   -0.3   -1.4    2.0    3.9    6.2    9.2    9.4    9.3    7.1    6.2    2.5   -0.4    0.10    4.04    9.28    5.31    4.50
1961   -0.4    2.7    4.1    4.2    5.1    7.8    8.8    9.0    8.9    6.1    2.1   -1.8    0.58    4.45    8.53    5.73    4.72
1962    0.4    0.9   -2.0    1.7    4.4    7.0    8.4    8.8    7.4    6.5    1.9   -0.0   -0.19    1.39    8.07    5.29    3.81
1963   -3.5   -4.3    1.1    3.1    4.5    8.7    8.7    8.8    7.4    6.2    2.7    0.3   -2.53    2.91    8.73    5.45    3.69
1964    1.4    0.9    0.9    3.7    7.0    7.8    9.7    9.0    7.9    4.5    3.1   -0.3    0.85    3.86    8.83    5.15    4.64
1965   -0.8   -0.8    0.0    2.2    5.7    8.3    7.7    8.5    7.4    5.9    0.4    0.0   -0.61    2.66    8.15    4.59    3.74
1966   -0.2    0.6    2.4    1.7    4.6    9.4    8.8    8.3    9.0    4.4    1.1    1.0    0.14    2.94    8.82    4.80    4.27
1967    1.3    1.7    2.2    2.6    4.4    7.5    9.5    9.5    8.0    5.3    2.0    1.2    1.31    3.10    8.83    5.11    4.63
1968    0.8   -2.3    1.2    2.3    3.8    7.9    8.8    8.8    8.2    7.8    2.5    0.1   -0.04    2.46    8.49    6.18    4.18
1969    1.4   -2.6   -1.2    1.4    5.0    7.4   10.0   10.5    8.3    8.5    0.1   -0.0   -0.32    1.75    9.34    5.68    4.13
1970    0.0   -2.3   -0.5    1.2    6.7    9.4    8.8   10.0    8.6    6.0    2.9    1.2   -0.71    2.48    9.41    5.82    4.38
1971    1.3    1.7    1.0    2.3    5.3    6.6    9.5    9.7    8.4    6.5    2.3    4.1    1.39    2.85    8.61    5.77    4.91
1972    0.9    0.6    1.4    3.1    5.4    6.0    9.1    8.6    5.6    5.5    1.4    2.1    1.90    3.28    7.89    4.17    4.15
1973    1.6    0.1    1.2    1.5    5.1    7.8    9.6    9.8    8.0    4.3    1.5    0.6    1.30    2.63    9.08    4.61    4.30
1974    2.2    1.7    0.9    1.6    5.3    7.2    9.0    9.1    6.7    3.3    2.1    3.5    1.51    2.63    8.43    3.99    4.40
1975    1.9    0.9   -0.0    3.2    3.0    7.3   10.3   11.3    7.1    6.0    2.1    2.2    2.17    2.04    9.69    5.08    4.65
1976    2.1    1.6    0.8    3.2    5.7    9.2   11.1    9.1    8.3    5.9    2.2   -1.6    1.96    3.24    9.81    5.49    4.81
1977   -1.3    0.1    2.2    2.2    3.9    6.5    9.8    9.0    7.4    7.6    1.4    2.5   -0.96    2.77    8.44    5.48    4.30
1978   -0.9   -1.9    2.0    1.8    5.5    7.7    8.7    9.9    9.1    7.9    4.2    0.7   -0.04    3.10    8.79    7.08    4.60
1979   -3.6   -2.2   -0.4    2.2    3.4    8.0    9.5    8.5    7.4    6.9    2.1    1.2   -1.68    1.74    8.70    5.49    3.63
1980   -0.9    1.5    0.1    3.1    4.6    8.0    9.0    9.8    9.5    4.3    2.7    1.8    0.56    2.61    8.97    5.45    4.45
1981    0.9   -0.2    2.0    2.0    5.9    7.8    9.5    9.7    8.6    2.3    3.5   -3.5    0.87    3.30    9.01    4.79    4.06
1982   -0.9    1.5    0.8    3.2    4.6    8.7    9.9   10.0    7.9    5.8    3.0    0.2   -1.03    2.90    9.54    5.58    4.59
1983    2.5   -1.5    2.5    1.0    4.9    7.8   11.1   10.4    7.7    5.6    3.5    2.4    0.46    2.83    9.79    5.59    4.88
1984   -1.1    0.8    0.9    2.5    4.0    8.5    9.7   10.0    7.7    5.8    3.8    2.2    0.69    2.47    9.42    5.75    4.56
1985   -2.5   -0.7    0.2    3.1    5.1    6.6    9.9    9.2    8.4    6.2   -0.8    2.0   -0.32    2.80    8.58    4.65    3.94
1986   -0.7   -3.0    0.7    0.6    5.6    7.8    9.5    7.5    5.5    6.0    3.4    1.6   -0.48    2.33    8.24    4.99    3.75
1987   -1.8   -0.9   -0.2    3.8    4.5    6.6   10.0    9.0    7.5    4.1    3.3    1.7   -0.35    2.67    8.59    4.99    4.01
1988    0.9    1.1    1.2    3.0    5.2    8.6    9.6    9.7    8.2    5.8    2.1    4.3    1.24    3.14    9.32    5.33    4.99
1989    3.8    1.6    1.4    1.5    5.5    7.2   10.2   10.0    7.6    6.9    2.5   -0.5    3.31    2.79    9.18    5.65    4.83
1990    2.5    2.3    3.8    2.4    5.7    7.9    9.9   10.8    7.0    7.0    2.2    0.8    1.42    4.00    9.56    5.41    5.23
1991   -0.4   -1.5    2.5    3.0    5.7    6.4   11.5   11.0    7.4    5.6    2.4    1.8   -0.33    3.74    9.66    5.14    4.66
1992    0.6    1.8    2.8    3.5    6.6    9.4    9.6    9.2    7.5    2.2    2.4    0.6    1.40    4.32    9.41    4.02    4.70
1993    1.3    2.9    1.9    4.0    5.3    8.8    9.1    8.2    6.7    2.9    0.8    0.1    1.55    3.70    8.74    3.46    4.34
1994    0.6   -0.6    1.8    2.2    4.3    7.9   10.2    9.2    7.0    5.2    6.2    2.0    0.05    2.78    9.10    6.11    4.69
1995   -0.3    1.2    0.2    3.1    5.2    7.8   10.9   11.0    7.7    8.0    3.7   -1.7    0.97    2.84    9.91    6.46    4.75
1996    2.6   -1.3    0.6    3.4    3.3    7.5    9.4   10.4    8.1    6.8    1.0    0.0   -0.09    2.42    9.10    5.34    4.35
1997   -0.1    1.7    3.3    3.9    5.0    7.9   10.2   11.6    7.7    5.1    5.0    2.2    0.49    4.08    9.90    5.94    5.31
