Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for Wales
Areal series, starting in 1891
Last updated 01-Jan-2022 11:00
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1891   12.7    1.0   14.0   11.1   17.6   12.3   15.6   23.1   16.9   22.1   16.4   19.1     ---    42.8    51.0    55.4   182.0
1892   18.3   14.7    8.7    8.2   13.6   12.3   11.1   16.1   16.4   20.3   17.1   13.7    52.1    30.5    39.5    53.8   170.4
1893   14.7   21.5    6.6    3.0   10.8   10.0   15.1   13.7   14.1   18.2   12.5   17.2    49.8    20.4    38.8    44.8   157.3
1894   22.5   18.5   11.6   14.8   15.8   14.3   18.4   18.2    9.1   15.1   16.5   17.0    58.1    42.2    50.8    40.7   191.6
1895   19.8    2.9   16.1   12.3    5.2    7.4   14.5   16.5    7.5   17.9   19.7   19.8    39.7    33.6    38.4    45.1   159.5
1896    8.7    6.9   23.4   12.4    2.8   14.6   11.9   15.8   25.1   19.8    6.5   21.7    35.4    38.6    42.2    51.3   169.4
1897   14.3   15.1   20.0   19.2   11.0   12.0    8.2   22.3   13.5    9.0   11.1   18.9    51.1    50.1    42.5    33.6   174.5
1898    9.4   17.9   10.1   10.7   19.6   13.7    4.3   16.6    6.6   19.9   15.1   17.1    46.2    40.5    34.5    41.5   161.0
1899   20.9   13.7    9.2   19.7   14.2    7.5    9.0    9.4   19.0   11.5   10.8   17.4    51.7    43.1    26.0    41.3   162.3
1900   22.7   18.2    8.6   12.6   11.3   16.0   10.7   16.3    9.5   20.7   20.9   22.8    58.3    32.6    43.0    51.1   190.4
1901   16.7    8.7   13.2   15.4    8.2   11.0    9.7   14.4   15.1   20.3   10.3   21.8    48.2    36.8    35.1    45.6   164.7
1902   15.4    9.7   15.7   11.8   18.8   15.2   10.0   17.9   12.6   15.4   15.3   13.5    46.9    46.3    43.1    43.3   171.3
1903   19.2   14.1   25.3   10.1   15.7    8.5   15.4   19.7   16.6   29.0   16.4   15.8    46.9    51.0    43.5    62.0   205.7
1904   21.3   21.6   11.9   14.0   14.0    8.4   13.6   15.1   11.2    9.3   11.2   18.5    58.7    40.0    37.1    31.7   170.2
1905   11.2   12.9   20.3   19.8    5.0   14.0   10.6   19.6   10.9   13.6   18.5    9.2    42.6    45.1    44.1    43.0   165.5
1906   21.2   18.1   12.4   10.7   18.9   10.2   10.0   15.5    6.1   24.9   15.7   18.9    48.5    42.1    35.7    46.7   182.6
1907   14.6   12.0   12.8   17.7   16.9   24.3   16.3   17.6    5.9   24.9   16.7   19.2    45.5    47.5    58.1    47.5   198.9
1908   13.5   17.5   19.7   12.8   15.5    9.0   12.0   13.6   17.0   10.4   13.1   22.6    50.1    48.0    34.6    40.5   176.6
1909   14.1    5.1   20.3   15.4    7.4   12.4   18.3   11.7   11.9   23.1   11.5   20.9    41.8    43.1    42.4    46.4   172.0
1910   18.8   24.4    7.9   18.3   16.2   16.0   12.6   20.8    3.8   13.4   21.8   23.3    64.1    42.3    49.3    39.0   197.3
1911    8.4   15.2   12.7   11.2    8.0   11.7    3.8   12.1   11.6   14.1   21.0   26.6    46.9    31.9    27.6    46.6   156.3
1912   17.2   18.6   24.3    3.3   11.4   21.3   15.6   24.3    5.7   14.3   14.3   24.3    62.5    39.0    61.1    34.3   194.6
1913   20.9    9.4   22.1   17.2   17.8   10.3    8.2   10.3   12.1   17.5   22.6   14.1    54.7    57.1    28.8    52.3   182.6
1914   13.6   17.5   25.8    9.1   12.7    9.5   17.8   13.9   10.4   11.2   19.6   23.5    45.2    47.7    41.3    41.2   184.7
1915   19.0   21.0    8.9   12.1   10.6    8.8   17.6   15.6    8.9   13.4   10.1   24.5    63.5    31.6    42.0    32.5   170.5
1916   18.0   22.5   16.0   12.9   16.3   14.9    9.0   13.3   10.2   25.5   19.5   15.9    65.0    45.1    37.2    55.1   193.9
1917    8.3    8.7   16.6   13.5   11.6   12.8    9.3   24.3   11.9   25.1   18.0   11.2    32.9    41.7    46.4    55.0   171.2
1918   15.2   18.3    8.7   11.1   10.0    8.7   17.5   11.1   27.5   18.2   14.5   25.2    44.7    29.7    37.3    60.2   185.9
1919   21.2   10.6   18.1   14.8    8.0   10.6    9.0   11.4   14.3   10.6   14.1   24.8    57.0    40.9    31.1    39.0   167.6
1920   22.6   14.9   19.7   25.2   15.9   15.1   24.0   10.3   12.3   12.0   10.8   14.5    62.2    60.7    49.3    35.0   197.1
1921   24.3    2.1   20.8    8.3   14.7    2.8   10.1   18.6    7.5    9.6   14.5   19.0    40.9    43.9    31.5    31.6   152.3
1922   23.2   18.1   15.1   16.6    8.6   11.6   19.1   15.7   12.4    5.2   10.8   21.1    60.3    40.2    46.3    28.3   177.3
1923   16.8   23.0   11.8   15.9   18.7    6.0   15.4   18.6   17.0   24.8   17.2   22.2    61.0    46.4    40.0    59.0   207.4
1924   18.3    6.9    7.3   13.9   22.2   14.1   17.5   22.0   20.0   17.0   11.1   19.2    47.5    43.4    53.6    48.1   189.5
1925   14.9   24.0   11.3   16.7   21.6    0.6   13.8   18.0   17.1   15.4   11.8   19.6    58.1    49.7    32.4    44.3   184.8
1926   22.4   18.9    8.3   13.4   16.8   10.4   14.9   17.7   14.5   14.4   23.5    9.5    61.0    38.5    42.9    52.4   184.7
1927   23.1   13.6   20.2   13.5    9.1   17.5   20.8   22.3   20.8   13.7   17.7   10.5    46.1    42.7    60.7    52.2   202.7
1928   25.4   14.3   17.3   11.9    7.9   18.5   10.4   16.7    8.9   22.9   21.6   18.7    50.2    37.0    45.5    53.4   194.4
1929    8.8    8.5    4.0    7.3   11.1   12.4   11.2   18.0    6.7   20.1   23.8   25.5    36.0    22.4    41.6    50.6   157.4
