Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Wales
Areal series, starting in 1919
Last updated 01-Jan-2022 11:00
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1919   48.3   66.8   94.7  141.7  197.4  194.8  179.5  189.0  137.1  122.6   50.4   41.9     ---   433.8   563.3   310.1  1464.3
1920   45.4   74.1  100.3   76.5  164.0  170.8  120.8  127.1  115.4  104.4   51.0   46.7   161.4   340.8   418.7   270.8  1196.5
1921   26.4   68.9   92.7  201.8  230.5  239.1  228.1  137.1  161.2  116.0   51.1   34.5   142.1   525.0   604.2   328.4  1587.4
1922   44.1   66.9  115.8  178.4  209.4  193.3  163.4  116.0  104.0  114.3   48.4   29.3   145.5   503.7   472.6   266.8  1383.4
1923   41.6   57.6   94.6  122.5  184.8  138.8  153.1  175.7  138.6   82.3   82.6   45.1   128.5   401.9   467.6   303.6  1317.4
1924   42.1   61.2  148.6  149.2  145.1  142.9  177.3  126.6  101.3   83.7   52.8   39.9   148.4   442.8   446.8   237.8  1270.6
1925   33.6   65.1   97.9  171.3  143.8  283.1  178.8  143.6  124.0   84.2   89.4   47.7   138.6   413.0   605.4   297.6  1462.4
1926   37.3   39.1   77.7  132.2  174.4  213.2  165.7  169.9  101.5   90.7   50.2   39.9   124.0   384.2   548.8   242.5  1291.8
1927   40.1   61.0  106.4  143.3  190.2  168.4  125.3  149.2  101.8  103.4   57.6   22.7   141.0   440.0   442.9   262.8  1269.5
1928   51.1   74.0   79.4  140.5  169.0  175.0  209.1  166.4  160.5   95.1   50.2   36.8   147.8   389.0   550.6   305.9  1407.3
1929   50.5   57.6  204.6  169.8  226.8  234.3  197.5  143.4  169.6   96.7   49.6   52.6   144.9   601.1   575.2   315.9  1652.9
1930   44.5   72.0   92.4  120.3  130.4  232.1  145.9  153.7  109.8   85.9   55.0   30.3   169.2   343.1   531.7   250.7  1272.4
1931   60.0   58.5  132.2  101.4  148.2  139.5  125.4  157.3  103.0  114.3   51.3   30.9   148.8   381.9   422.1   268.6  1222.0
1932   40.7   78.1  126.3  120.4  110.2  227.4  121.0  146.9  115.3   80.4   49.7   44.0   149.7   356.9   495.3   245.4  1260.3
