Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for Wales
Areal series, starting in 1884
Last updated 01-Jan-2022 11:01
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    7.9    6.7    8.1    9.7   14.2   16.9   17.9   19.8   16.9   11.8    8.0    6.4     ---   10.67   18.21   12.21   12.04
1885    4.8    7.7    7.2   10.4   11.5   17.0   19.2   17.3   15.1    9.8    7.6    5.9    6.24    9.70   17.85   10.82   11.14
1886    4.1    3.8    5.9   11.0   13.8   16.8   18.7   18.6   16.1   12.9    8.9    5.3    4.64   10.24   18.07   12.62   11.38
1887    5.3    6.5    6.4    9.8   12.4   20.4   20.6   19.6   14.5   10.4    6.6    5.6    5.68    9.54   20.20   10.49   11.53
1888    5.2    3.5    5.4    8.8   14.4   16.6   16.1   17.0   15.7   11.9    9.3    7.5    4.78    9.59   16.57   12.31   10.99
1889    5.7    5.5    7.0    9.4   15.3   19.1   18.3   17.2   16.1   11.2    9.1    6.2    6.27   10.59   18.19   12.13   11.71
1890    8.3    5.4    8.6   10.7   15.2   16.3   17.0   16.9   18.0   12.6    8.7    1.5    6.65   11.49   16.76   13.11   11.63
1891    4.5    9.0    6.6    9.5   13.1   18.2   17.5   16.3   17.1   11.9    8.0    7.1    4.87    9.75   17.32   12.34   11.58
1892    4.4    5.7    6.0   12.2   14.7   16.8   17.2   17.7   14.7    9.7    9.1    5.3    5.75   10.95   17.25   11.15   11.14
1893    4.4    6.9   11.8   15.7   17.2   19.9   19.5   20.4   16.3   12.8    7.6    7.6    5.50   14.90   19.97   12.23   13.38
1894    5.7    7.7   10.4   13.5   12.4   17.2   19.0   16.8   15.1   12.1    9.8    7.5    6.95   12.09   17.66   12.32   12.28
1895    2.4    0.9    7.8   11.2   17.3   19.7   18.3   18.5   19.9   10.2    9.6    6.0    3.68   12.12   18.79   13.21   11.87
1896    6.6    7.4    9.4   12.7   17.3   20.3   20.1   17.2   15.4    9.7    6.9    6.0    6.69   13.13   19.22   10.66   12.44
1897    3.4    7.6    8.7   10.1   14.4   19.2   20.7   19.3   15.1   13.3   10.0    7.6    5.61   11.08   19.74   12.81   12.48
1898    8.1    7.1    7.1   12.0   13.4   17.5   19.5   19.5   18.9   13.4    9.5    9.6    7.62   10.83   18.88   13.92   13.01
1899    7.2    8.2    9.3   10.6   13.8   20.5   20.3   23.2   16.5   13.3   10.7    4.9    8.37   11.23   21.33   13.51   13.24
1900    6.6    5.0    5.7   11.7   13.4   17.4   20.7   18.4   17.2   12.4    8.9    9.1    5.50   10.25   18.83   12.82   12.24
1901    5.4    4.3    6.4   11.9   16.3   17.0   21.3   18.5   16.3   12.3    7.7    5.8    6.35   11.57   18.96   12.13   12.00
1902    6.6    4.0    9.4   10.8   11.7   16.8   17.7   17.5   16.1   11.7    8.8    6.5    5.54   10.63   17.34   12.21   11.52
1903    6.0    8.6    8.9    9.5   13.9   15.4   17.2   16.3   15.4   12.3    8.9    5.4    6.99   10.77   16.32   12.21   11.50
1904    6.2    5.3    6.5   10.5   13.0   16.1   19.2   17.4   15.7   12.5    8.4    6.6    5.64   10.03   17.57   12.21   11.47
1905    5.9    6.8    9.0    9.6   13.9   17.8   19.2   17.1   14.6   10.4    7.4    7.2    6.40   10.84   18.02   10.79   11.60
1906    7.4    5.7    7.4   11.0   12.3   16.9   18.0   19.0   17.3   13.0    9.4    6.2    6.81   10.21   17.99   13.21   11.99
1907    5.7    5.3    9.7   10.2   13.2   14.2   17.4   16.4   17.6   12.1    9.1    6.7    5.75   11.01   16.02   12.94   11.50
1908    5.3    7.2    6.8    9.1   14.8   17.4   18.6   17.5   15.3   15.2   10.2    6.7    6.40   10.22   17.83   13.59   12.02
1909    6.0    5.9    5.9   11.8   15.1   15.0   16.6   18.5   14.8   12.7    7.6    6.5    6.24   10.93   16.73   11.71   11.41
1910    5.9    7.1    8.9    9.6   14.6   17.2   17.4   17.0   15.7   12.5    6.8    8.0    6.48   11.03   17.19   11.69   11.75
1911    5.8    6.5    7.5    9.7   16.3   17.8   21.6   21.3   17.3   12.4    8.1    8.2    6.77   11.16   20.25   12.60   12.75
1912    5.9    7.3    9.1   12.4   14.5   16.0   18.5   15.1   13.8   11.6    8.4    9.0    7.15   12.00   16.55   11.30   11.83
1913    6.7    7.1    8.5   10.5   13.9   16.5   17.6   18.6   16.7   13.5   10.6    7.0    7.62   10.94   17.57   13.61   12.29
1914    5.6    8.7    8.4   13.3   13.8   17.7   18.6   19.2   17.0   12.9    9.1    6.9    7.05   11.83   18.50   13.04   12.62
1915    5.8    6.4    7.7   10.8   15.2   18.1   17.0   17.7   17.1   11.9    6.0    7.7    6.38   11.22   17.58   11.69   11.82
1916    9.1    5.7    5.5   11.2   14.1   14.6   18.3   19.2   16.1   12.9    8.8    4.9    7.55   10.27   17.41   12.58   11.72
1917    2.6    3.8    6.2    8.5   16.4   17.5   19.4   17.2   16.2   10.7    9.9    5.0    3.78   10.35   18.04   12.25   11.15
1918    6.4    8.3    8.7   10.1   16.2   16.5   18.5   18.3   14.3   11.5    8.5    9.1    6.51   11.69   17.77   11.41   12.22
1919    5.3    3.9    5.7    9.6   16.8   16.7   17.4   18.4   15.7   11.3    5.6    7.8    6.16   10.71   17.52   10.84   11.23
1920    7.5    8.4    9.2   10.0   14.2   17.3   16.1   16.1   15.8   13.3    9.7    6.3    7.89   11.16   16.50   12.96   12.01
1921    8.8    7.1    9.3   11.9   14.5   18.7   22.2   17.6   17.5   16.2    8.0    8.7    7.43   11.91   19.52   13.95   13.43
1922    6.4    7.1    7.0    8.8   15.8   16.7   15.8   15.8   14.8   11.2    8.6    7.5    7.41   10.52   16.08   11.52   11.30
1923    7.4    7.7    9.0   10.4   11.9   14.8   19.3   17.4   14.8   11.8    6.3    6.8    7.55   10.42   17.19   10.97   11.49
1924    6.8    5.5    7.9    9.9   13.8   16.1   17.4   16.3   15.2   12.5    9.1    8.9    6.40   10.55   16.60   12.27   11.64
1925    7.7    7.1    7.4   10.2   13.5   18.9   19.5   18.1   14.2   13.3    6.3    5.4    7.92   10.38   18.85   11.28   11.84
1926    7.1    8.4    8.6   12.3   13.2   16.4   19.8   18.9   16.9   10.9    8.3    6.4    6.92   11.35   18.38   12.04   12.28
1927    6.8    6.7    9.2   10.3   14.9   15.2   18.2   18.1   14.7   13.3    8.4    3.6    6.59   11.46   17.18   12.15   11.64
1928    7.6    8.1    8.1   11.4   14.7   15.8   18.2   17.8   15.9   12.9   10.0    6.4    6.40   11.38   17.26   12.93   12.24
1929    4.0    3.1   10.6   10.1   14.8   16.1   18.9   17.4   18.5   12.0    9.4    8.0    4.52   11.88   17.48   13.30   11.97
1930    7.5    4.2    7.5   10.4   13.5   18.4   17.4   17.9   15.9   12.7    9.0    7.0    6.67   10.46   17.87   12.54   11.82
1931    5.9    6.2    7.4    9.6   13.7   16.6   17.1   17.2   14.4   12.0    9.9    7.7    6.37   10.21   16.95   12.10   11.50
1932    8.4    5.5    7.8    9.1   12.4   18.1   17.8   19.8   15.8   11.5    8.6    7.5    7.26    9.79   18.56   11.94   11.88
1933    5.0    6.3   10.6   11.6   14.9   18.6   20.4   20.4   18.7   12.5    7.8    3.4    6.25   12.38   19.79   12.99   12.54
1934    7.0    6.3    7.7   10.3   14.1   18.4   21.7   17.7   17.0   12.3    8.0    9.4    5.57   10.68   19.29   12.41   12.53
1935    6.5    7.6    9.0   10.8   14.3   17.4   19.7   19.3   16.0   11.8    8.7    5.4    7.86   11.38   18.83   12.17   12.25
1936    5.8    5.2    9.0    9.1   14.9   17.3   17.0   18.6   16.7   12.5    8.5    8.0    5.46   11.01   17.66   12.56   11.90
1937    7.3    7.4    6.0   11.8   15.1   16.7   18.0   20.1   16.2   12.8    7.9    5.4    7.57   10.98   18.28   12.31   12.09
1938    7.8    7.0   11.1   11.5   13.8   16.2   16.9   18.1   16.2   12.9   11.2    6.6    6.72   12.14   17.05   13.43   12.47
1939    6.1    7.7    8.1   11.6   14.7   17.9   17.0   19.2   16.8   11.2   10.6    5.6    6.78   11.48   18.04   12.86   12.23
1940    2.6    5.5    8.8   11.5   15.7   20.2   17.6   18.6   15.9   12.2    9.2    6.5    4.54   11.99   18.76   12.41   12.02
1941    2.4    5.8    8.1    9.3   12.7   18.0   19.8   17.1   17.5   13.2    9.3    8.0    4.86   10.07   18.29   13.35   11.81
1942    4.7    3.7    8.7   13.0   14.6   18.0   17.9   18.7   16.2   12.7    8.0    9.1    5.53   12.07   18.19   12.31   12.15
1943    7.4    8.2    9.9   13.1   15.0   16.6   19.5   17.9   15.6   13.4    9.0    6.0    8.22   12.67   18.02   12.67   12.66
1944    8.3    5.7    8.5   13.0   14.8   16.1   18.5   19.9   15.3   11.4    8.9    6.7    6.68   12.08   18.17   11.87   12.27
1945    3.4    8.9   10.4   13.5   14.9   16.7   18.3   18.7   16.5   14.4    9.4    7.6    6.24   12.94   17.90   13.43   12.74
1946    5.6    7.6    8.2   13.1   14.2   15.0   18.0   16.4   15.9   11.8   10.1    6.1    6.94   11.82   16.48   12.60   11.85
1947    4.4   -0.3    6.0   10.7   15.9   17.6   18.4   22.6   17.4   13.7    9.5    7.0    3.53   10.85   19.58   13.53   11.99
1948    7.2    6.4   12.1   11.9   15.4   15.6   17.9   17.0   15.8   12.7   10.2    7.9    6.90   13.15   16.85   12.88   12.53
1949    7.7    8.1    8.6   12.2   14.5   18.8   20.9   19.6   18.9   14.4    9.1    8.0    7.88   11.73   19.76   14.12   13.41
1950    6.4    7.7   10.4   10.3   14.9   18.8   18.1   17.4   14.9   11.9    8.0    3.5    7.33   11.84   18.11   11.62   11.87
1951    5.8    5.8    6.3    9.6   12.9   17.1   19.0   16.9   16.2   12.8   10.1    8.1    5.03    9.60   17.67   13.03   11.75
1952    5.3    6.1    8.9   12.4   16.1   16.5   18.9   18.2   13.6   11.4    6.5    6.0    6.49   12.48   17.89   10.53   11.69
1953    5.7    6.3    9.6   10.5   15.8   17.2   17.6   18.5   16.2   12.8   10.4    9.2    5.96   11.98   17.78   13.12   12.52
