Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for Wales
Areal series, starting in 1884
Last updated 01-Jan-2022 11:01
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    5.8    4.3    5.1    6.0    9.7   12.3   14.3   15.2   13.3    8.8    5.4    4.1     ---    6.97   13.95    9.16    8.72
1885    2.6    4.9    3.7    6.3    7.5   12.4   14.4   12.7   11.2    6.6    5.3    3.0    3.87    5.86   13.18    7.66    7.57
1886    1.4    1.1    2.7    6.9    9.4   12.3   14.5   14.4   12.3   10.2    6.4    2.3    1.88    6.31   13.75    9.65    7.86
1887    2.4    3.2    2.8    5.2    8.4   14.6   15.5   14.0   10.7    6.6    3.8    2.6    2.64    5.49   14.70    7.05    7.52
1888    2.6    1.2    2.3    5.5    9.5   12.3   12.7   13.0   11.3    7.9    7.1    4.6    2.15    5.79   12.66    8.75    7.52
1889    3.2    2.6    3.8    6.0   10.9   13.9   13.9   13.4   12.1    7.9    6.5    3.3    3.50    6.91   13.74    8.83    8.16
1890    5.3    2.4    5.3    6.5   10.6   12.4   13.2   13.2   13.7    9.1    5.8   -0.8    3.73    7.47   12.91    9.53    8.08
1891    1.4    4.7    3.4    5.6    8.6   13.6   13.6   12.9   13.3    8.6    5.2    4.1    1.68    5.87   13.33    8.99    7.91
1892    1.8    3.1    2.1    6.8   10.2   12.1   13.2   13.9   11.2    6.3    6.4    2.4    2.97    6.35   13.10    7.93    7.46
1893    1.9    4.1    6.9    9.9   12.2   14.5   15.4   16.1   12.2    9.2    4.7    4.6    2.79    9.66   15.33    8.70    9.34
1894    2.9    4.6    6.0    8.9    8.2   12.5   14.6   13.1   10.8    8.7    7.2    5.0    3.99    7.67   13.42    8.89    8.55
1895   -0.4   -2.8    4.3    7.3   11.0   13.3   13.9   14.2   14.7    6.5    6.8    3.5    0.70    7.51   13.83    9.29    7.74
1896    4.2    4.2    6.0    8.4   11.3   14.8   15.0   13.2   12.1    6.0    3.6    3.2    3.93    8.54   14.36    7.22    8.50
1897    1.0    5.3    5.5    6.4    9.1   14.1   15.6   14.9   11.2    9.7    7.0    4.6    3.09    7.02   14.87    9.29    8.72
1898    5.7    4.0    3.3    7.5    9.3   12.5   14.3   15.0   13.9   10.4    6.6    7.0    4.79    6.71   13.97   10.30    9.16
1899    4.3    4.7    4.7    7.1    9.1   14.4   15.5   17.1   12.6    8.9    8.1    1.9    5.35    6.95   15.67    9.86    9.05
1900    4.1    2.4    2.5    7.3    8.8   13.0   15.7   14.0   12.6    8.8    6.2    6.5    2.80    6.19   14.23    9.21    8.53
1901    2.9    1.7    3.4    7.5   10.7   12.4   16.2   14.6   12.7    9.0    4.4    3.2    3.79    7.20   14.42    8.71    8.27
1902    4.3    1.1    6.0    6.4    7.9   12.6   13.3   13.2   11.9    9.0    6.3    4.0    2.90    6.76   13.06    9.03    8.03
1903    3.6    6.0    6.0    5.8    9.8   11.4   13.4   12.9   11.8    9.7    6.2    3.2    4.49    7.20   12.56    9.26    8.33
1904    3.9    3.2    3.7    7.5    9.2   11.9   15.2   13.6   11.7    9.2    5.3    4.0    3.45    6.81   13.58    8.74    8.22
1905    3.5    4.6    5.9    6.7    9.7   13.2   15.0   13.3   11.1    6.8    4.6    4.9    4.04    7.44   13.87    7.52    8.32
1906    4.9    2.9    4.2    6.2    8.9   12.7   13.8   15.3   12.6   10.0    6.6    3.5    4.28    6.45   13.94    9.70    8.50
1907    3.4    2.3    5.5    6.5    9.3   11.0   13.5   13.1   13.2    8.9    6.3    4.5    3.10    7.11   12.54    9.46    8.15
1908    2.4    4.9    3.7    5.4   10.9   12.8   14.5   13.7   12.0   11.7    7.3    4.5    3.89    6.70   13.65   10.35    8.66
1909    3.5    2.9    2.9    7.7    9.8   10.9   13.3   14.2   11.2    9.8    4.6    3.9    3.63    6.78   12.82    8.55    7.92
1910    3.4    4.7    5.5    6.3   10.2   13.3   13.4   13.8   11.9    9.7    3.8    5.7    3.98    7.35   13.51    8.49    8.51
1911    3.5    4.1    4.5    6.4   11.6   13.3   16.4   16.9   13.0    9.2    5.6    5.9    4.47    7.53   15.55    9.27    9.24
1912    3.3    4.6    6.4    8.2   10.6   12.3   14.8   11.8   10.5    7.8    6.1    6.5    4.63    8.41   12.98    8.15    8.60
1913    4.3    4.3    5.4    7.1    9.9   12.6   13.9   14.4   13.1   10.5    8.0    5.0    5.07    7.45   13.66   10.54    9.07
1914    3.1    6.0    5.5    8.9    9.6   13.3   14.6   15.1   12.7    9.7    6.1    4.2    4.65    8.01   14.34    9.55    9.09
1915    3.7    3.6    4.4    7.2   10.3   13.2   13.4   14.1   12.7    8.6    2.6    5.1    3.83    7.29   13.56    7.99    8.28
1916    6.9    3.3    2.8    7.2    9.9   10.7   14.2   15.1   12.5   10.1    6.1    2.0    5.17    6.60   13.38    9.58    8.42
1917    0.9    0.7    2.8    4.7   11.3   13.1   14.9   14.1   13.0    7.4    7.5    2.5    1.19    6.30   14.04    9.27    7.77
