Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for Wales
Areal series, starting in 1884
Last updated 01-Jan-2022 11:01
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    3.6    1.9    2.2    2.3    5.4    8.0   10.6   10.7    9.8    5.8    2.7    1.9     ---    3.28    9.79    6.12    5.43
1885    0.5    2.2    0.4    2.2    3.7    8.0    9.7    8.2    7.3    3.5    2.9    0.2    1.51    2.10    8.64    4.57    4.07
1886   -1.3   -1.5   -0.3    2.6    5.1    8.1   10.2   10.3    8.6    7.6    4.0   -0.6   -0.84    2.45    9.56    6.73    4.43
1887   -0.4   -0.0   -0.7    0.6    4.7    8.9   10.5    8.8    7.0    2.9    1.1   -0.3   -0.36    1.53    9.40    3.67    3.61
1888    0.0   -1.1   -0.8    2.1    4.8    8.1    9.3    9.2    7.0    3.9    4.9    1.8   -0.43    2.07    8.88    5.26    4.13
1889    0.7   -0.3    0.7    2.5    6.7    8.9    9.5    9.8    8.3    4.6    3.9    0.5    0.78    3.31    9.42    5.59    4.68
1890    2.4   -0.5    2.0    2.3    6.2    8.6    9.4    9.5    9.5    5.6    2.9   -3.0    0.86    3.52    9.19    6.01    4.62
1891   -1.6    0.5    0.2    1.7    4.2    9.1    9.6    9.6    9.5    5.3    2.3    1.1   -1.41    2.04    9.43    5.69    4.31
1892   -0.8    0.4   -1.7    1.4    5.8    7.7    9.1   10.3    7.8    2.9    3.7   -0.4    0.23    1.81    9.06    4.77    3.85
1893   -0.5    1.4    2.1    4.0    7.4    9.1   11.3   11.9    8.0    5.7    1.9    1.6    0.13    4.48   10.80    5.22    5.35
1894    0.2    1.5    1.6    4.3    4.2    8.4   10.5    9.9    6.7    5.3    4.5    2.5    1.08    3.34    9.60    5.53    4.99
1895   -3.2   -6.4    0.8    3.3    5.3    7.6    9.9   10.4    9.6    2.9    4.0    1.0   -2.21    3.13    9.32    5.44    3.82
1896    1.7    1.0    2.6    4.3    5.4    9.9   10.2    9.4    8.9    2.5    0.3    0.5    1.24    4.11    9.86    3.87    4.74
1897   -1.3    3.0    2.4    2.8    4.2    9.6   10.8   10.9    7.3    6.2    3.9    1.7    0.64    3.15   10.47    5.81    5.14
1898    3.3    1.0   -0.4    3.2    5.4    8.0    9.4   10.9    9.1    7.3    3.7    4.4    2.00    2.74    9.43    6.72    5.47
1899    1.5    1.1    0.4    3.6    4.8    8.9   10.9   11.5    8.8    4.6    5.5   -1.0    2.38    2.91   10.47    6.27    5.06
1900    1.6   -1.0   -0.7    2.9    4.5    8.8   10.9    9.8    7.9    5.4    3.5    4.0   -0.09    2.24    9.84    5.58    4.84
1901    0.5   -0.9    0.2    2.9    5.5    8.1   11.5   10.8    9.1    5.8    1.1    0.6    1.30    2.88   10.13    5.31    4.63
1902    2.0   -1.9    2.8    1.9    4.1    8.6    9.0    9.2    7.7    6.3    3.7    1.6    0.32    2.95    8.94    5.86    4.62
1903    1.2    3.4    3.2    1.9    5.8    7.4    9.6    9.6    8.2    7.3    3.6    1.0    2.05    3.67    8.90    6.35    5.21
1904    1.5    1.1    0.9    4.5    5.6    7.9   11.1    9.8    7.6    6.0    2.2    1.4    1.24    3.64    9.62    5.27    4.99
1905    1.2    2.4    2.9    3.8    5.4    9.0   10.9    9.6    7.7    3.3    1.8    2.5    1.66    4.03    9.89    4.27    5.07
1906    2.5    0.1    1.1    1.4    5.7    8.5    9.8   11.7    7.9    7.0    3.7    0.9    1.73    2.75   10.01    6.20    5.05
1907    1.0   -0.7    1.4    2.8    5.6    7.9    9.6   10.0    8.8    5.8    3.5    2.1    0.43    3.27    9.16    6.04    4.85
1908   -0.6    2.6    0.7    1.8    7.1    8.4   10.4    9.9    8.8    8.0    4.4    2.2    1.36    3.21    9.60    7.05    5.31
1909    0.9   -0.2   -0.1    3.6    4.7    7.0   10.1    9.9    7.6    7.0    1.6    1.2    0.98    2.72    9.03    5.41    4.47
1910    1.0    2.2    2.2    3.0    6.1    9.5    9.5   10.5    7.9    6.9    0.9    3.4    1.44    3.77    9.84    5.25    5.28
1911    1.3    1.6    1.7    3.0    7.3    8.9   11.4   12.5    8.7    5.9    3.0    3.6    2.12    3.99   10.93    5.89    5.77
1912    0.6    2.0    3.8    3.7    6.7    8.6   11.1    8.5    6.9    3.8    3.6    3.8    2.05    4.72    9.40    4.77    5.26
1913    1.8    1.2    2.1    3.7    6.0    8.4    9.9   10.1    9.5    7.3    4.9    2.8    2.31    3.94    9.51    7.24    5.68
