Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for East Anglia
Areal series, starting in 1960
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   28.9  1963   27.1  1963   20.3  1962   12.1  2021    3.4  1996    1.3  1962    0.0  1961    0.0  1964    0.6  1969    5.3  1997   13.8  1988   23.9  2010    77.7  1963    27.1  2013     1.3  1962    15.3  1988    84.9  1963
   25.8  1979   24.2  1986   16.8  2013    9.1  2013    3.4  1979    0.0  1991    0.0  1960    0.0  1960    0.1  1986    3.8  1993   13.3  1985   21.7  1962    58.1  1979    23.5  1970     0.0  1991    14.0  1993    79.2  2010
   24.2  1985   21.7  1979   16.3  1987    8.2  1968    2.0  1981    0.0  1989    0.0  1965    0.0  1980    0.1  2003    3.3  2008   12.6  1965   21.4  1981    49.3  1985    23.0  1962     0.0  1989    13.5  1985    77.8  1962
   20.7  1987   19.7  1969   16.3  1970    7.2  1970    1.7  2010    0.0  1961    0.0  1962    0.0  1972    0.0  2018    2.8  2003   11.4  1996   18.5  1961    46.0  2010    18.9  1996     0.0  1961    13.3  1965    75.6  1979
   19.7  1997   18.8  1991   12.8  1985    7.1  1984    1.4  1971    0.0  1969    0.0  2006    0.0  1962    0.0  1974    2.7  1983   10.9  1973   18.0  1976    45.4  1968    17.1  1969     0.0  1969    12.5  1973    73.1  1985
   17.4  1964   18.8  1996   12.3  2006    6.3  1978    1.3  2021    0.0  1967    0.0  1994    0.0  2001    0.0  1972    2.6  1992   10.1  1993   16.8  1963    44.8  1982    16.7  1995     0.0  1967    11.5  1996    70.5  1996
   16.2  2013   18.8  1983   12.2  1976    6.1  1996    1.2  1980    0.0  1986    0.0  1995    0.0  2005    0.0  1988    2.2  1980   10.0  2005   16.8  2001    44.6  1965    16.6  1987     0.0  1986    10.7  2010    65.5  1969
   16.1  2017   18.4  1981   12.1  1995    6.1  1977    1.2  1962    0.0  2012    0.0  1996    0.0  2004    0.0  1979    1.8  1964    9.6  1971   16.6  1964    43.0  1964    16.0  2006     0.0  1965    10.4  1962    64.7  1981
   16.0  2010   17.8  1968   11.2  1965    6.0  1969    1.2  2013    0.0  1965    0.0  1997    0.0  2003    0.0  1975    1.6  1973    9.5  1962   15.5  1995    41.7  1996    15.6  1985     0.0  2012    10.3  1971    64.4  1970
   16.0  1966   16.1  2018   11.0  1969    5.7  1990    1.2  1974    0.0  2006    0.0  1998    0.0  2002    0.0  1964    1.5  1987    9.4  2010   14.1  2009    41.5  1986    15.4  2021     0.0  1964    10.0  2005    63.7  1965
   16.0  1980   15.8  2010   10.7  1971    5.1  2019    1.2  2020    0.0  2005    0.0  1999    0.0  2000    0.0  1990    1.5  1988    9.1  1975   13.9  1996    41.2  1969    15.2  1976     0.0  2006     9.6  1997    62.6  1968
   15.8  2021   15.5  1978    9.9  1964    4.9  2008    1.0  1967    0.0  1977    0.0  2000    0.0  2007    0.0  1973    1.4  1981    8.0  1967   13.6  1982    40.7  1981    15.2  1971     0.0  1960     9.2  1975    61.0  1987
   15.5  1965   15.2  1985    9.4  2018    4.8  1975    1.0  1982    0.0  1973    0.0  2001    0.0  1999    0.0  1962    1.4  2010    8.0  1969   13.3  1968    40.3  1987    14.4  1979     0.0  2005     8.7  1969    60.9  2013
   15.4  1982   15.0  1970    9.4  1996    4.6  1988    0.9  1997    0.0  1966    0.0  2002    0.0  1998    0.0  2004    1.1  2002    7.7  1989   13.2  1967    39.9  1962    13.7  1968     0.0  1977     8.3  1980    60.6  1964
   14.7  2009   14.3  1987    9.2  1986    4.5  2003    0.9  1991    0.0  1974    0.0  2003    0.0  1997    0.0  1985    1.1  1961    7.5  1998   13.0  2008    39.9  2009    13.2  1965     0.0  1972     8.3  1979    59.1  1973
   14.4  1968   14.1  2012    9.1  1973    4.4  1983    0.8  1995    0.0  1972    0.0  2004    0.0  1996    0.0  1960    1.1  2018    7.5  1979   12.9  1991    38.9  1997    13.0  1973     0.0  1973     8.2  1961    56.7  1976
   14.1  1960   14.1  2003    8.9  1993    3.9  1997    0.8  2016    0.0  2001    0.0  2005    0.0  1995    0.0  1971    0.9  1962    7.0  1961   12.7  2005    38.1  2013    12.9  1984     0.0  1966     8.0  1998    56.5  1978
   13.8  1977   13.8  1973    8.3  2010    3.9  2012    0.7  2011    0.0  1985    0.0  2007    0.0  2006    0.0  1987    0.8  1984    7.0  1972   12.5  1970    37.7  1977    12.9  1986     0.0  1974     8.0  1967    56.4  1991
   13.7  1978   13.6  1994    8.0  2003    3.8  1973    0.6  1984    0.0  1975    0.0  2020    0.0  2009    0.0  1991    0.8  1979    6.0  1980   12.5  1992    37.6  1970    12.8  1975     0.0  2001     7.8  2008    56.3  1986
